symbol,first,last,change,change_percentage
XDH,16.6,31.6,0.9,90
CTW,14.3,26.8,0.87,87
BMG,13.0,22.1,0.7,70
GTD,9.5,15.6,0.64,64
PHN,26.73,42.2,0.58,58
DM7,12.62,18.98,0.5,50
SJC,6.6,9.8,0.48,48
BMD,10.5,15.1,0.44,44
L14,37.4,51.5,0.38,38
DS3,3.7,5.1,0.38,38
API,9.2,12.6,0.37,37
DTE,7.2,9.8,0.36,36
SDY,2.0,2.7,0.35,35
CI5,10.0,13.5,0.35,35
CFM,8.1,10.9,0.35,35
SIG,6.6,8.8,0.33,33
SAL,4.5,6.0,0.33,33
HD2,13.7,18.2,0.33,33
APS,7.3,9.7,0.33,33
TGG,2.71,3.57,0.32,32
BDB,6.94,9.17,0.32,32
UNI,8.8,11.5,0.31,31
TSJ,15.0,19.7,0.31,31
DVC,9.14,12.0,0.31,31
L43,5.4,7.0,0.3,30
TBD,87.02,112.0,0.29,29
HPI,16.8,21.5,0.28,28
CEO,14.2,18.2,0.28,28
BBT,9.3,11.9,0.28,28
VMS,8.4,10.7,0.27,27
TV3,15.0,19.1,0.27,27
NUE,9.3,11.8,0.27,27
VIC,55.4,69.6,0.26,26
VBH,12.2,15.4,0.26,26
PEN,8.6,10.8,0.26,26
NLG,22.36,28.2,0.26,26
VOC,14.5,18.1,0.25,25
DTP,56.1,70.0,0.25,25
S12,2.9,3.6,0.24,24
MIC,11.3,14.0,0.24,24
MCG,2.2,2.72,0.24,24
HPT,11.64,14.46,0.24,24
GDW,15.3,18.9,0.24,24
CPI,2.9,3.6,0.24,24
VNG,7.0,8.6,0.23,23
RCC,12.96,16.0,0.23,23
NVB,14.7,18.1,0.23,23
HPG,15.0,18.4,0.23,23
HDC,30.15,37.0,0.23,23
CAB,12.0,14.8,0.23,23
APG,3.97,4.88,0.23,23
TGP,4.5,5.5,0.22,22
SJ1,12.2,14.9,0.22,22
NDN,6.4,7.8,0.22,22
HU6,7.9,9.6,0.22,22
HLD,24.75,30.21,0.22,22
FHS,23.3,28.4,0.22,22
APP,4.5,5.5,0.22,22
VHM,45.0,54.5,0.21,21
VCM,18.0,21.8,0.21,21
SRB,1.9,2.3,0.21,21
NVT,7.45,8.99,0.21,21
KBC,17.45,21.15,0.21,21
IDJ,7.8,9.4,0.21,21
BVG,1.9,2.3,0.21,21
BID,34.05,41.1,0.21,21
VSG,1.5,1.8,0.2,20
QHW,21.2,25.4,0.2,20
KDH,22.8,27.4,0.2,20
G36,5.6,6.7,0.2,20
DTL,20.5,24.5,0.2,20
APT,2.0,2.4,0.2,20
VIP,6.5,7.75,0.19,19
VHG,2.1,2.5,0.19,19
SJM,6.2,7.4,0.19,19
PLO,1.6,1.9,0.19,19
HKT,5.9,7.0,0.19,19
DWS,10.1,12.0,0.19,19
BMF,22.1,26.4,0.19,19
STL,1.7,2.0,0.18,18
STB,16.9,20.0,0.18,18
SBS,5.1,6.0,0.18,18
PRE,14.32,16.9,0.18,18
PMG,10.5,12.4,0.18,18
MSN,86.5,102.0,0.18,18
L18,20.65,24.38,0.18,18
ILC,7.3,8.6,0.18,18
STC,17.24,20.24,0.17,17
SDA,6.5,7.6,0.17,17
SCJ,3.0,3.5,0.17,17
S96,0.6,0.7,0.17,17
PVT,17.25,20.1,0.17,17
PCE,21.4,25.0,0.17,17
MTS,11.0,12.9,0.17,17
ELC,8.12,9.51,0.17,17
CMN,42.6,49.9,0.17,17
AVF,0.6,0.7,0.17,17
VRE,26.25,30.55,0.16,16
SVI,49.85,58.0,0.16,16
SCD,15.55,18.0,0.16,16
PVL,2.5,2.9,0.16,16
PTT,8.9,10.3,0.16,16
NED,5.5,6.4,0.16,16
NCS,18.5,21.5,0.16,16
HLB,180.0,209.0,0.16,16
DLG,2.04,2.37,0.16,16
VND,11.8,13.6,0.15,15
VHF,13.1,15.0,0.15,15
SDP,1.3,1.5,0.15,15
SBL,8.8,10.1,0.15,15
PTH,10.9,12.5,0.15,15
PIS,11.7,13.4,0.15,15
