symbol,first,last,change,change_percentage
PTD,4.02,12.7,2.16,216
SBS,1.2,3.7,2.08,208
SGS,2.32,4.86,1.09,109
TSC,3.73,7.02,0.88,88
VIX,1.75,3.25,0.86,86
TLT,2.36,4.25,0.8,80
PTT,3.56,5.99,0.68,68
VHC,6.57,10.52,0.6,60
THS,2.69,4.27,0.59,59
S99,7.36,11.27,0.53,53
BBC,35.1,53.66,0.53,53
POT,6.64,10.07,0.52,52
CAN,16.28,24.64,0.51,51
LGC,6.09,8.98,0.47,47
ITQ,5.03,7.38,0.47,47
VDL,12.65,18.31,0.45,45
PIV,3.21,4.65,0.45,45
BTG,7.83,10.95,0.4,40
SSC,30.18,41.84,0.39,39
IDV,2.34,3.26,0.39,39
CJC,11.16,15.46,0.39,39
MAS,24.08,33.17,0.38,38
GAS,54.04,74.62,0.38,38
IN4,7.6,10.37,0.36,36
VTL,9.33,12.62,0.35,35
TMW,3.33,4.49,0.35,35
MPC,4.49,6.04,0.35,35
VLA,3.76,5.04,0.34,34
CTB,7.42,9.9,0.33,33
VE2,4.79,6.34,0.32,32
TET,8.1,10.59,0.31,31
PTP,3.83,5.03,0.31,31
SWC,4.8,6.18,0.29,29
SGC,17.24,22.31,0.29,29
QTC,7.75,9.98,0.29,29
H11,7.42,9.57,0.29,29
SDG,8.93,11.39,0.28,28
SDC,6.82,8.76,0.28,28
KKC,8.24,10.43,0.27,27
WTC,1.55,1.96,0.26,26
VCF,81.12,102.45,0.26,26
TDW,9.97,12.56,0.26,26
SFC,7.96,10.04,0.26,26
HDM,8.76,11.05,0.26,26
VNT,13.68,17.09,0.25,25
PGT,5.1,6.4,0.25,25
MTH,6.97,8.72,0.25,25
SDV,5.47,6.77,0.24,24
GER,1.31,1.62,0.24,24
SEB,5.14,6.3,0.23,23
HPG,3.77,4.63,0.23,23
KAC,7.69,9.35,0.22,22
HT1,6.32,7.72,0.22,22
PMS,4.1,4.96,0.21,21
PIT,6.0,7.25,0.21,21
IHK,4.62,5.6,0.21,21
CKV,5.97,7.21,0.21,21
TMT,4.04,4.83,0.2,20
DAC,7.5,9.0,0.2,20
SD4,5.96,7.08,0.19,19
MTP,6.73,7.98,0.19,19
CI5,3.56,4.24,0.19,19
VIR,7.53,8.88,0.18,18
TBC,8.61,10.2,0.18,18
MCC,6.75,7.96,0.18,18
DRC,18.02,21.29,0.18,18
ACE,5.65,6.61,0.17,17
