symbol,first,last,change,change_percentage
SGH,5.88,7.11,0.21,21
DXP,2.79,3.03,0.09,9
VTC,31.04,33.4,0.08,8
PMS,7.34,7.84,0.07,7
TS4,12.92,13.54,0.05,5
PNC,19.57,20.11,0.03,3
HAS,39.57,40.65,0.03,3
HAP,13.54,13.9,0.03,3
DPC,9.51,9.81,0.03,3
NHC,5.88,6.0,0.02,2
HTV,8.46,8.64,0.02,2
CII,16.67,17.08,0.02,2
BT6,47.03,47.95,0.02,2
TYA,19.93,20.13,0.01,1
SSC,24.19,24.38,0.01,1
BBT,17.6,17.8,0.01,1
VNR,7.29,7.31,0.0,0
VNM,4.31,4.31,0.0,0
SFC,10.21,10.21,0.0,0
KHA,15.14,15.14,0.0,0
TNA,3.88,3.83,-0.01,-1
REE,7.14,7.06,-0.01,-1
MHC,12.64,12.52,-0.01,-1
GMD,18.25,18.01,-0.01,-1
DHA,15.21,15.12,-0.01,-1
AGF,35.69,35.22,-0.01,-1
SAM,8.51,8.37,-0.02,-2
LAF,25.4,25.0,-0.02,-2
KDC,6.92,6.75,-0.02,-2
GIL,6.24,6.14,-0.02,-2
BPC,9.36,9.16,-0.02,-2
BBC,28.24,27.74,-0.02,-2
TMS,8.93,8.69,-0.03,-3
VSH,10.53,10.13,-0.04,-4
SAV,11.96,11.47,-0.04,-4
KHP,4.69,4.51,-0.04,-4
BBS,5.86,5.61,-0.04,-4
CAN,18.48,17.64,-0.05,-5
VTL,12.85,12.02,-0.06,-6
PPC,9.89,9.29,-0.06,-6
CID,21.0,19.01,-0.09,-9
