symbol,year,month,date,quarter,week,weekday_index,weekday,full_date,open,high,low,close,volume,timestamp,trend
BMF,2018,4,27,2,17,5,Friday,2018-04-27,24.85,24.85,24.85,24.85,100.0,1524787200.0,SIDEWAY
BMF,2018,5,2,2,18,3,Wednesday,2018-05-02,25.56,25.56,25.56,25.56,100.0,1525219200.0,SIDEWAY
BMF,2018,5,3,2,18,4,Thursday,2018-05-03,26.56,26.56,26.56,26.56,100.0,1525305600.0,SIDEWAY
BMF,2018,5,4,2,18,5,Friday,2018-05-04,26.27,26.27,26.27,26.27,100.0,1525392000.0,SIDEWAY
BMF,2018,5,7,2,19,1,Monday,2018-05-07,24.85,24.85,24.85,24.85,100.0,1525651200.0,SIDEWAY
BMF,2018,5,8,2,19,2,Tuesday,2018-05-08,25.28,25.28,25.28,25.28,100.0,1525737600.0,SIDEWAY
BMF,2018,5,16,2,20,3,Wednesday,2018-05-16,26.27,26.27,26.27,26.27,100.0,1526428800.0,SIDEWAY
BMF,2018,7,5,3,27,4,Thursday,2018-07-05,27.84,27.84,27.84,27.84,100.0,1530748800.0,SIDEWAY
BMF,2018,7,17,3,29,2,Tuesday,2018-07-17,28.4,28.4,28.4,28.4,100.0,1531785600.0,SIDEWAY
BMF,2018,7,20,3,29,5,Friday,2018-07-20,32.66,32.66,32.66,32.66,1060900.0,1532044800.0,SIDEWAY
BMF,2018,7,24,3,30,2,Tuesday,2018-07-24,30.53,30.53,30.53,30.53,100.0,1532390400.0,SIDEWAY
BMF,2018,10,4,4,40,4,Thursday,2018-10-04,18.32,18.32,18.32,18.32,100.0,1538611200.0,SIDEWAY
BMF,2018,10,26,4,43,5,Friday,2018-10-26,18.32,18.32,18.32,18.32,100.0,1540512000.0,SIDEWAY
BMF,2018,10,29,4,44,1,Monday,2018-10-29,21.02,21.02,21.02,21.02,100.0,1540771200.0,SIDEWAY
BMF,2018,12,10,4,50,1,Monday,2018-12-10,29.4,29.4,29.4,29.4,100.0,1544400000.0,SIDEWAY
BMF,2018,12,20,4,51,4,Thursday,2018-12-20,33.8,33.8,33.8,33.8,100.0,1545264000.0,SIDEWAY
BMF,2019,4,10,2,15,3,Wednesday,2019-04-10,47.3,47.3,47.3,47.3,100.0,1554854400.0,SIDEWAY
BMF,2019,5,8,2,19,3,Wednesday,2019-05-08,40.3,40.3,40.3,40.3,2100.0,1557273600.0,SIDEWAY
BMF,2019,7,8,3,28,1,Monday,2019-07-08,29.2,29.2,29.2,29.2,100.0,1562544000.0,SIDEWAY
BMF,2019,7,9,3,28,2,Tuesday,2019-07-09,25.1,25.1,25.1,25.1,100.0,1562630400.0,SIDEWAY
BMF,2019,7,12,3,28,5,Friday,2019-07-12,25.5,25.5,25.5,25.5,100.0,1562889600.0,SIDEWAY
BMF,2019,7,16,3,29,2,Tuesday,2019-07-16,29.3,29.3,22.1,22.1,2900.0,1563235200.0,DOWNTREND
BMF,2019,7,19,3,29,5,Friday,2019-07-19,25.5,25.5,25.0,25.0,16800.0,1563494400.0,DOWNTREND
BMF,2019,7,22,3,30,1,Monday,2019-07-22,29.2,29.2,29.2,29.2,100.0,1563753600.0,SIDEWAY
BMF,2019,7,23,3,30,2,Tuesday,2019-07-23,33.4,33.4,29.2,29.2,200.0,1563840000.0,DOWNTREND
BMF,2019,7,26,3,30,5,Friday,2019-07-26,35.9,35.9,26.7,26.7,600.0,1564099200.0,DOWNTREND
BMF,2019,7,29,3,31,1,Monday,2019-07-29,25.5,25.5,25.5,25.5,400.0,1564358400.0,SIDEWAY
BMF,2019,7,30,3,31,2,Tuesday,2019-07-30,26.0,26.0,26.0,26.0,400.0,1564444800.0,SIDEWAY
BMF,2019,7,31,3,31,3,Wednesday,2019-07-31,26.0,26.0,26.0,26.0,1100.0,1564531200.0,SIDEWAY
BMF,2019,8,1,3,31,4,Thursday,2019-08-01,25.5,25.5,25.5,25.5,100.0,1564617600.0,SIDEWAY
