symbol,year,month,date,quarter,week,weekday_index,weekday,full_date,open,high,low,close,volume,timestamp,trend
CT3,2010,4,21,2,16,3,Wednesday,2010-04-21,15.76,15.76,15.76,15.76,3000.0,1271808000.0,SIDEWAY
CT3,2010,4,22,2,16,4,Thursday,2010-04-22,17.34,17.34,17.34,17.34,3000.0,1271894400.0,SIDEWAY
CT3,2010,4,26,2,17,1,Monday,2010-04-26,19.07,19.07,19.07,19.07,1000.0,1272240000.0,SIDEWAY
CT3,2010,4,28,2,17,3,Wednesday,2010-04-28,20.96,20.96,20.96,20.96,200.0,1272412800.0,SIDEWAY
CT3,2010,4,29,2,17,4,Thursday,2010-04-29,23.01,23.01,23.01,23.01,100.0,1272499200.0,SIDEWAY
CT3,2010,5,4,2,18,2,Tuesday,2010-05-04,25.27,25.27,25.27,25.27,100.0,1272931200.0,SIDEWAY
CT3,2010,5,5,2,18,3,Wednesday,2010-05-05,27.79,27.79,27.79,27.79,1110.0,1273017600.0,SIDEWAY
CT3,2010,5,13,2,19,4,Thursday,2010-05-13,27.79,27.79,27.79,27.79,500.0,1273708800.0,SIDEWAY
CT3,2010,5,17,2,20,1,Monday,2010-05-17,25.74,25.74,25.74,25.74,1000.0,1274054400.0,SIDEWAY
CT3,2010,7,5,3,27,1,Monday,2010-07-05,23.17,23.17,23.17,23.17,1000.0,1278288000.0,SIDEWAY
CT3,2010,7,9,3,27,5,Friday,2010-07-09,25.43,25.43,25.43,25.43,10.0,1278633600.0,SIDEWAY
CT3,2010,7,12,3,28,1,Monday,2010-07-12,27.89,27.89,27.89,27.89,10.0,1278892800.0,SIDEWAY
CT3,2010,7,13,3,28,2,Tuesday,2010-07-13,30.63,30.63,30.63,30.63,10.0,1278979200.0,SIDEWAY
CT3,2010,7,14,3,28,3,Wednesday,2010-07-14,33.62,33.62,33.62,33.62,10.0,1279065600.0,SIDEWAY
CT3,2010,7,15,3,28,4,Thursday,2010-07-15,36.62,36.62,36.62,36.62,10.0,1279152000.0,SIDEWAY
CT3,2010,8,23,3,34,1,Monday,2010-08-23,36.46,36.46,36.46,36.46,100.0,1282521600.0,SIDEWAY
CT3,2010,9,9,3,36,4,Thursday,2010-09-09,32.83,32.83,32.83,32.83,500.0,1283990400.0,SIDEWAY
CT3,2010,10,22,4,42,5,Friday,2010-10-22,36.25,36.25,36.25,36.25,100.0,1287705600.0,SIDEWAY
CT3,2010,12,3,4,48,5,Friday,2010-12-03,4.73,4.73,4.73,4.73,100.0,1291334400.0,SIDEWAY
CT3,2010,12,6,4,49,1,Monday,2010-12-06,5.2,5.2,5.2,5.2,100.0,1291593600.0,SIDEWAY
CT3,2010,12,20,4,51,1,Monday,2010-12-20,5.67,5.67,5.67,5.67,100.0,1292803200.0,SIDEWAY
CT3,2011,4,18,2,16,1,Monday,2011-04-18,5.78,5.78,5.78,5.78,200.0,1303084800.0,SIDEWAY
CT3,2011,4,25,2,17,1,Monday,2011-04-25,6.36,6.36,6.36,6.36,100.0,1303689600.0,SIDEWAY
CT3,2011,5,23,2,21,1,Monday,2011-05-23,6.41,6.41,6.41,6.41,200.0,1306108800.0,SIDEWAY
