symbol,year,month,date,quarter,week,weekday_index,weekday,full_date,open,high,low,close,volume,timestamp,trend
DZM,2009,6,11,2,24,4,Thursday,2009-06-11,32.69,49.4,29.06,46.49,373900.0,1244678400.0,UPTREND
DZM,2009,6,12,2,24,5,Friday,2009-06-12,40.39,40.39,40.39,40.39,4100.0,1244764800.0,SIDEWAY
DZM,2009,6,15,2,25,1,Monday,2009-06-15,43.15,43.15,43.15,43.15,7500.0,1245024000.0,SIDEWAY
DZM,2009,6,16,2,25,2,Tuesday,2009-06-16,46.13,46.13,40.17,40.25,213200.0,1245110400.0,DOWNTREND
DZM,2009,6,17,2,25,3,Wednesday,2009-06-17,38.43,38.87,38.43,38.43,87200.0,1245196800.0,SIDEWAY
DZM,2009,6,18,2,25,4,Thursday,2009-06-18,35.96,36.32,35.74,35.74,48500.0,1245283200.0,DOWNTREND
DZM,2009,6,19,2,25,5,Friday,2009-06-19,33.42,37.78,33.27,33.34,116200.0,1245369600.0,DOWNTREND
DZM,2009,6,22,2,26,1,Monday,2009-06-22,31.53,33.85,31.53,31.53,23400.0,1245628800.0,SIDEWAY
DZM,2009,6,23,2,26,2,Tuesday,2009-06-23,29.71,29.71,29.71,29.71,2400.0,1245715200.0,SIDEWAY
DZM,2009,6,24,2,26,3,Wednesday,2009-06-24,27.68,30.8,27.68,28.04,98700.0,1245801600.0,UPTREND
DZM,2009,6,25,2,26,4,Thursday,2009-06-25,28.33,28.91,25.93,25.93,42300.0,1245888000.0,DOWNTREND
DZM,2009,6,26,2,26,5,Friday,2009-06-26,24.84,26.88,24.77,24.77,60800.0,1245974400.0,DOWNTREND
DZM,2009,6,29,2,27,1,Monday,2009-06-29,23.61,23.61,23.17,23.17,38200.0,1246233600.0,DOWNTREND
DZM,2009,6,30,2,27,2,Tuesday,2009-06-30,21.94,21.94,21.65,21.65,28600.0,1246320000.0,DOWNTREND
DZM,2009,7,1,3,27,3,Wednesday,2009-07-01,20.27,20.27,20.27,20.27,400.0,1246406400.0,SIDEWAY
DZM,2009,7,2,3,27,4,Thursday,2009-07-02,18.89,21.07,18.89,20.27,63900.0,1246492800.0,UPTREND
DZM,2009,7,3,3,27,5,Friday,2009-07-03,18.09,20.7,18.09,20.7,68700.0,1246579200.0,UPTREND
DZM,2009,7,6,3,28,1,Monday,2009-07-06,20.85,20.85,20.85,20.85,9500.0,1246838400.0,SIDEWAY
DZM,2009,7,7,3,28,2,Tuesday,2009-07-07,22.3,22.3,22.3,22.3,200.0,1246924800.0,SIDEWAY
DZM,2009,7,8,3,28,3,Wednesday,2009-07-08,23.83,23.83,23.83,23.83,21800.0,1247011200.0,SIDEWAY
DZM,2009,7,9,3,28,4,Thursday,2009-07-09,25.43,25.43,23.9,25.43,83600.0,1247097600.0,SIDEWAY
DZM,2009,7,10,3,28,5,Friday,2009-07-10,27.17,27.17,23.97,24.34,87000.0,1247184000.0,DOWNTREND
DZM,2009,7,13,3,29,1,Monday,2009-07-13,26.15,26.15,23.25,23.25,14900.0,1247443200.0,DOWNTREND
DZM,2009,7,14,3,29,2,Tuesday,2009-07-14,24.7,24.7,22.81,23.61,34100.0,1247529600.0,DOWNTREND
DZM,2009,7,15,3,29,3,Wednesday,2009-07-15,24.63,24.84,23.97,24.84,18300.0,1247616000.0,UPTREND
DZM,2009,7,16,3,29,4,Thursday,2009-07-16,26.23,26.23,25.06,25.57,31100.0,1247702400.0,DOWNTREND
DZM,2009,7,17,3,29,5,Friday,2009-07-17,26.52,26.52,24.55,24.55,7400.0,1247788800.0,DOWNTREND
DZM,2009,7,20,3,30,1,Monday,2009-07-20,23.39,23.39,23.25,23.25,600.0,1248048000.0,DOWNTREND
DZM,2009,7,21,3,30,2,Tuesday,2009-07-21,22.67,23.54,21.87,22.88,25900.0,1248134400.0,UPTREND
DZM,2009,7,22,3,30,3,Wednesday,2009-07-22,23.97,23.97,22.96,23.25,6700.0,1248220800.0,DOWNTREND
DZM,2009,7,23,3,30,4,Thursday,2009-07-23,22.52,24.26,21.72,24.12,19300.0,1248307200.0,UPTREND
DZM,2009,7,24,3,30,5,Friday,2009-07-24,24.34,24.63,24.34,24.63,20600.0,1248393600.0,UPTREND
DZM,2009,7,27,3,31,1,Monday,2009-07-27,26.23,26.23,25.35,26.23,73600.0,1248652800.0,SIDEWAY
DZM,2009,7,28,3,31,2,Tuesday,2009-07-28,27.68,27.75,25.43,26.52,30800.0,1248739200.0,DOWNTREND
DZM,2009,7,29,3,31,3,Wednesday,2009-07-29,27.68,27.68,25.57,26.15,58700.0,1248825600.0,DOWNTREND
DZM,2009,7,30,3,31,4,Thursday,2009-07-30,26.01,27.61,25.43,27.61,60400.0,1248912000.0,UPTREND
DZM,2009,7,31,3,31,5,Friday,2009-07-31,28.04,28.26,27.61,28.26,77700.0,1248998400.0,UPTREND
DZM,2009,8,3,3,32,1,Monday,2009-08-03,29.42,29.79,28.19,29.06,48100.0,1249257600.0,DOWNTREND
DZM,2009,8,4,3,32,2,Tuesday,2009-08-04,30.51,30.51,28.33,28.99,36900.0,1249344000.0,DOWNTREND
DZM,2009,8,5,3,32,3,Wednesday,2009-08-05,29.06,30.22,28.7,30.08,52100.0,1249430400.0,UPTREND
DZM,2009,8,6,3,32,4,Thursday,2009-08-06,30.51,31.75,29.71,30.51,38500.0,1249516800.0,SIDEWAY
DZM,2009,8,7,3,32,5,Friday,2009-08-07,30.51,31.24,30.08,30.08,23900.0,1249603200.0,DOWNTREND
DZM,2009,8,10,3,33,1,Monday,2009-08-10,30.58,31.17,30.51,30.73,23200.0,1249862400.0,UPTREND
DZM,2009,8,11,3,33,2,Tuesday,2009-08-11,30.15,30.51,29.13,29.79,20500.0,1249948800.0,DOWNTREND
DZM,2009,8,12,3,33,3,Wednesday,2009-08-12,29.79,30.08,28.7,28.7,17200.0,1250035200.0,DOWNTREND
DZM,2009,8,13,3,33,4,Thursday,2009-08-13,29.79,29.79,27.61,27.68,35700.0,1250121600.0,DOWNTREND
DZM,2009,8,14,3,33,5,Friday,2009-08-14,28.7,30.08,27.61,30.08,70200.0,1250208000.0,UPTREND
DZM,2009,8,17,3,34,1,Monday,2009-08-17,30.51,30.66,29.06,29.06,20800.0,1250467200.0,DOWNTREND
DZM,2009,8,18,3,34,2,Tuesday,2009-08-18,29.79,30.08,29.2,29.64,48600.0,1250553600.0,DOWNTREND
DZM,2009,8,19,3,34,3,Wednesday,2009-08-19,29.79,30.51,28.33,29.35,65400.0,1250640000.0,DOWNTREND
DZM,2009,8,20,3,34,4,Thursday,2009-08-20,28.33,28.84,28.04,28.33,30200.0,1250726400.0,SIDEWAY
DZM,2009,8,21,3,34,5,Friday,2009-08-21,28.04,28.99,27.82,28.33,26800.0,1250812800.0,UPTREND
DZM,2009,8,24,3,35,1,Monday,2009-08-24,28.33,28.33,27.61,27.68,11100.0,1251072000.0,DOWNTREND
DZM,2009,8,25,3,35,2,Tuesday,2009-08-25,27.61,27.68,27.24,27.32,24100.0,1251158400.0,DOWNTREND
DZM,2009,8,26,3,35,3,Wednesday,2009-08-26,28.33,29.42,28.33,28.7,59400.0,1251244800.0,UPTREND
DZM,2009,8,27,3,35,4,Thursday,2009-08-27,29.06,29.06,28.84,28.99,4900.0,1251331200.0,DOWNTREND
DZM,2009,8,28,3,35,5,Friday,2009-08-28,29.06,29.35,28.99,29.13,53900.0,1251417600.0,UPTREND
DZM,2009,8,31,3,36,1,Monday,2009-08-31,29.13,29.79,28.77,29.79,50700.0,1251676800.0,UPTREND
DZM,2009,9,1,3,36,2,Tuesday,2009-09-01,29.5,30.51,28.77,29.13,73800.0,1251763200.0,DOWNTREND
DZM,2009,9,3,3,36,4,Thursday,2009-09-03,29.42,30.15,29.42,29.64,36500.0,1251936000.0,UPTREND
DZM,2009,9,4,3,36,5,Friday,2009-09-04,29.79,29.79,28.48,29.06,23100.0,1252022400.0,DOWNTREND
DZM,2009,9,7,3,37,1,Monday,2009-09-07,27.61,28.33,27.61,27.82,6500.0,1252281600.0,UPTREND
DZM,2009,9,8,3,37,2,Tuesday,2009-09-08,28.33,28.7,28.33,28.48,16100.0,1252368000.0,UPTREND
DZM,2009,9,9,3,37,3,Wednesday,2009-09-09,28.7,28.7,28.33,28.48,19200.0,1252454400.0,DOWNTREND
DZM,2009,9,10,3,37,4,Thursday,2009-09-10,28.55,30.15,28.48,29.5,47300.0,1252540800.0,UPTREND
DZM,2009,9,11,3,37,5,Friday,2009-09-11,29.79,30.08,28.7,29.35,21100.0,1252627200.0,DOWNTREND
DZM,2009,9,14,3,38,1,Monday,2009-09-14,29.79,29.79,28.7,29.42,29300.0,1252886400.0,DOWNTREND
DZM,2009,9,15,3,38,2,Tuesday,2009-09-15,29.2,29.2,28.7,28.99,18700.0,1252972800.0,DOWNTREND
DZM,2009,9,16,3,38,3,Wednesday,2009-09-16,28.84,29.35,28.77,29.35,48900.0,1253059200.0,UPTREND
DZM,2009,9,17,3,38,4,Thursday,2009-09-17,29.64,30.88,29.5,30.88,50000.0,1253145600.0,UPTREND
DZM,2009,9,18,3,38,5,Friday,2009-09-18,32.69,32.76,31.6,32.76,76900.0,1253232000.0,UPTREND
DZM,2009,9,21,3,39,1,Monday,2009-09-21,34.51,34.8,34.51,34.8,82200.0,1253491200.0,UPTREND
DZM,2009,9,22,3,39,2,Tuesday,2009-09-22,34.87,36.61,33.42,34.51,38000.0,1253577600.0,DOWNTREND
DZM,2009,9,23,3,39,3,Wednesday,2009-09-23,34.87,34.87,32.76,32.98,86700.0,1253664000.0,DOWNTREND
DZM,2009,9,24,3,39,4,Thursday,2009-09-24,33.2,35.23,33.2,35.16,45900.0,1253750400.0,UPTREND
DZM,2009,9,25,3,39,5,Friday,2009-09-25,34.87,35.6,34.73,35.31,55600.0,1253836800.0,UPTREND
DZM,2009,9,28,3,40,1,Monday,2009-09-28,36.32,36.76,35.31,35.52,43200.0,1254096000.0,DOWNTREND
DZM,2009,9,29,3,40,2,Tuesday,2009-09-29,35.81,35.81,34.14,34.14,19600.0,1254182400.0,DOWNTREND
DZM,2009,9,30,3,40,3,Wednesday,2009-09-30,33.93,34.94,33.05,33.64,21500.0,1254268800.0,DOWNTREND
DZM,2009,10,1,4,40,4,Thursday,2009-10-01,33.78,33.78,31.46,31.46,42600.0,1254355200.0,DOWNTREND
DZM,2009,10,2,4,40,5,Friday,2009-10-02,30.51,30.51,29.79,30.51,34000.0,1254441600.0,SIDEWAY
DZM,2009,10,5,4,41,1,Monday,2009-10-05,31.96,32.04,31.96,32.04,37500.0,1254700800.0,UPTREND
DZM,2009,10,6,4,41,2,Tuesday,2009-10-06,32.69,34.22,32.69,34.22,43500.0,1254787200.0,UPTREND
DZM,2009,10,7,4,41,3,Wednesday,2009-10-07,35.31,35.31,33.42,33.56,26900.0,1254873600.0,DOWNTREND
DZM,2009,10,8,4,41,4,Thursday,2009-10-08,33.42,33.78,31.53,33.13,10700.0,1254960000.0,DOWNTREND
DZM,2009,10,9,4,41,5,Friday,2009-10-09,33.78,34.87,33.13,34.07,55600.0,1255046400.0,UPTREND
DZM,2009,10,12,4,42,1,Monday,2009-10-12,34.8,34.8,34.0,34.44,49200.0,1255305600.0,DOWNTREND
DZM,2009,10,13,4,42,2,Tuesday,2009-10-13,34.44,34.44,32.33,32.33,15000.0,1255392000.0,DOWNTREND
DZM,2009,10,14,4,42,3,Wednesday,2009-10-14,33.05,34.51,33.05,34.44,32600.0,1255478400.0,UPTREND
DZM,2009,10,15,4,42,4,Thursday,2009-10-15,34.87,35.6,34.87,35.6,93900.0,1255564800.0,UPTREND
DZM,2009,10,16,4,42,5,Friday,2009-10-16,35.6,35.6,34.87,34.87,36100.0,1255651200.0,DOWNTREND
DZM,2009,10,19,4,43,1,Monday,2009-10-19,35.23,35.38,34.87,35.38,49000.0,1255910400.0,UPTREND
DZM,2009,10,20,4,43,2,Tuesday,2009-10-20,35.96,36.32,35.23,35.23,99100.0,1255996800.0,DOWNTREND
DZM,2009,10,21,4,43,3,Wednesday,2009-10-21,34.29,35.6,34.29,35.6,14300.0,1256083200.0,UPTREND
DZM,2009,10,22,4,43,4,Thursday,2009-10-22,35.02,35.6,34.87,35.31,65500.0,1256169600.0,UPTREND
DZM,2009,10,23,4,43,5,Friday,2009-10-23,33.49,35.23,33.49,34.0,33600.0,1256256000.0,UPTREND
DZM,2009,10,26,4,44,1,Monday,2009-10-26,32.84,34.44,32.76,32.76,14600.0,1256515200.0,DOWNTREND
DZM,2009,10,27,4,44,2,Tuesday,2009-10-27,31.82,32.04,31.24,31.96,11200.0,1256601600.0,UPTREND
DZM,2009,10,28,4,44,3,Wednesday,2009-10-28,31.75,32.33,30.95,31.38,11200.0,1256688000.0,DOWNTREND
DZM,2009,10,29,4,44,4,Thursday,2009-10-29,33.05,33.34,31.96,32.98,28900.0,1256774400.0,DOWNTREND
DZM,2009,10,30,4,44,5,Friday,2009-10-30,35.02,35.02,33.93,34.8,9200.0,1256860800.0,DOWNTREND
DZM,2009,11,2,4,45,1,Monday,2009-11-02,32.47,33.78,32.26,32.47,31300.0,1257120000.0,SIDEWAY
DZM,2009,11,3,4,45,2,Tuesday,2009-11-03,31.24,31.31,30.58,30.58,21300.0,1257206400.0,DOWNTREND
DZM,2009,11,4,4,45,3,Wednesday,2009-11-04,28.91,31.89,28.84,28.84,58300.0,1257292800.0,DOWNTREND
DZM,2009,11,5,4,45,4,Thursday,2009-11-05,30.51,30.51,28.04,30.51,11300.0,1257379200.0,SIDEWAY
DZM,2009,11,6,4,45,5,Friday,2009-11-06,31.82,31.82,29.35,29.35,15500.0,1257465600.0,DOWNTREND
DZM,2009,11,9,4,46,1,Monday,2009-11-09,31.67,31.67,28.04,28.62,40400.0,1257724800.0,DOWNTREND
DZM,2009,11,10,4,46,2,Tuesday,2009-11-10,28.48,28.55,26.59,26.95,32000.0,1257811200.0,DOWNTREND
