symbol,year,month,date,quarter,week,weekday_index,weekday,full_date,open,high,low,close,volume,timestamp,trend
FIR,2018,10,18,4,42,4,Thursday,2018-10-18,3.96,3.96,3.96,3.96,1800.0,1539820800.0,SIDEWAY
FIR,2018,10,19,4,42,5,Friday,2018-10-19,4.23,4.23,4.23,4.23,2200.0,1539907200.0,SIDEWAY
FIR,2018,10,22,4,43,1,Monday,2018-10-22,4.52,4.52,4.52,4.52,2800.0,1540166400.0,SIDEWAY
FIR,2018,10,23,4,43,2,Tuesday,2018-10-23,4.84,4.84,4.84,4.84,3200.0,1540252800.0,SIDEWAY
FIR,2018,10,24,4,43,3,Wednesday,2018-10-24,5.17,5.17,5.17,5.17,3700.0,1540339200.0,SIDEWAY
FIR,2018,10,25,4,43,4,Thursday,2018-10-25,5.53,5.53,5.53,5.53,800.0,1540425600.0,SIDEWAY
FIR,2018,10,26,4,43,5,Friday,2018-10-26,5.91,5.91,5.91,5.91,19500.0,1540512000.0,SIDEWAY
FIR,2018,10,29,4,44,1,Monday,2018-10-29,6.32,6.32,6.32,6.32,11200.0,1540771200.0,SIDEWAY
FIR,2018,10,30,4,44,2,Tuesday,2018-10-30,6.76,6.76,6.76,6.76,10200.0,1540857600.0,SIDEWAY
FIR,2018,10,31,4,44,3,Wednesday,2018-10-31,7.23,7.23,7.23,7.23,10500.0,1540944000.0,SIDEWAY
FIR,2018,11,1,4,44,4,Thursday,2018-11-01,7.72,7.72,7.72,7.72,13610.0,1541030400.0,SIDEWAY
FIR,2018,11,2,4,44,5,Friday,2018-11-02,8.26,8.26,8.26,8.26,16600.0,1541116800.0,SIDEWAY
FIR,2018,11,5,4,45,1,Monday,2018-11-05,8.84,8.84,8.84,8.84,38600.0,1541376000.0,SIDEWAY
FIR,2018,11,6,4,45,2,Tuesday,2018-11-06,9.46,9.46,9.46,9.46,86870.0,1541462400.0,SIDEWAY
FIR,2018,11,7,4,45,3,Wednesday,2018-11-07,10.12,10.12,10.1,10.1,358700.0,1541548800.0,DOWNTREND
FIR,2018,11,8,4,45,4,Thursday,2018-11-08,9.9,9.98,9.81,9.98,77250.0,1541635200.0,UPTREND
FIR,2018,11,9,4,45,5,Friday,2018-11-09,9.76,9.96,9.57,9.76,94040.0,1541721600.0,SIDEWAY
FIR,2018,11,12,4,46,1,Monday,2018-11-12,9.7,10.34,9.7,10.17,110590.0,1541980800.0,UPTREND
FIR,2018,11,13,4,46,2,Tuesday,2018-11-13,9.95,10.17,9.91,9.96,103310.0,1542067200.0,UPTREND
FIR,2018,11,14,4,46,3,Wednesday,2018-11-14,9.84,10.45,9.81,9.92,94280.0,1542153600.0,UPTREND
FIR,2018,11,15,4,46,4,Thursday,2018-11-15,9.87,10.03,9.62,9.81,122210.0,1542240000.0,DOWNTREND
