symbol,year,month,date,quarter,week,weekday_index,weekday,full_date,open,high,low,close,volume,timestamp,trend
HAX,2006,12,27,4,52,3,Wednesday,2006-12-27,5.09,5.09,5.09,5.09,500.0,1167177600.0,SIDEWAY
HAX,2006,12,28,4,52,4,Thursday,2006-12-28,5.34,5.34,5.34,5.34,1250.0,1167264000.0,SIDEWAY
HAX,2006,12,29,4,52,5,Friday,2006-12-29,5.6,5.6,5.6,5.6,1000.0,1167350400.0,SIDEWAY
HAX,2007,1,2,1,1,2,Tuesday,2007-01-02,5.6,5.88,5.6,5.88,1490.0,1167696000.0,UPTREND
HAX,2007,1,3,1,1,3,Wednesday,2007-01-03,6.17,6.17,6.17,6.17,2500.0,1167782400.0,SIDEWAY
HAX,2007,1,4,1,1,4,Thursday,2007-01-04,6.48,6.48,6.48,6.48,2800.0,1167868800.0,SIDEWAY
HAX,2007,1,5,1,1,5,Friday,2007-01-05,6.8,6.8,6.8,6.8,1460.0,1167955200.0,SIDEWAY
HAX,2007,1,8,1,2,1,Monday,2007-01-08,7.11,7.11,7.11,7.11,4990.0,1168214400.0,SIDEWAY
HAX,2007,1,9,1,2,2,Tuesday,2007-01-09,7.11,7.11,7.11,7.11,2980.0,1168300800.0,SIDEWAY
HAX,2007,1,11,1,2,4,Thursday,2007-01-11,7.11,7.11,6.76,6.76,530.0,1168473600.0,DOWNTREND
HAX,2007,1,12,1,2,5,Friday,2007-01-12,6.76,6.76,6.42,6.42,1100.0,1168560000.0,DOWNTREND
HAX,2007,1,16,1,3,2,Tuesday,2007-01-16,6.42,6.42,6.41,6.41,100.0,1168905600.0,DOWNTREND
HAX,2007,1,17,1,3,3,Wednesday,2007-01-17,6.41,6.41,6.1,6.1,200.0,1168992000.0,DOWNTREND
HAX,2007,1,19,1,3,5,Friday,2007-01-19,6.1,6.1,5.81,5.81,10.0,1169164800.0,DOWNTREND
HAX,2007,1,22,1,4,1,Monday,2007-01-22,5.81,5.81,5.57,5.57,600.0,1169424000.0,DOWNTREND
HAX,2007,1,23,1,4,2,Tuesday,2007-01-23,5.57,5.57,5.29,5.29,20.0,1169510400.0,DOWNTREND
HAX,2007,1,24,1,4,3,Wednesday,2007-01-24,5.29,5.29,5.29,5.29,100.0,1169596800.0,SIDEWAY
HAX,2007,1,26,1,4,5,Friday,2007-01-26,5.29,5.29,5.09,5.09,2840.0,1169769600.0,DOWNTREND
HAX,2007,1,29,1,5,1,Monday,2007-01-29,5.09,5.09,4.83,4.83,580.0,1170028800.0,DOWNTREND
HAX,2007,1,30,1,5,2,Tuesday,2007-01-30,4.74,4.83,4.7,4.7,12450.0,1170115200.0,DOWNTREND
HAX,2007,1,31,1,5,3,Wednesday,2007-01-31,4.83,5.07,4.83,5.07,11120.0,1170201600.0,UPTREND
HAX,2007,2,1,1,5,4,Thursday,2007-02-01,5.07,5.32,5.07,5.32,8150.0,1170288000.0,UPTREND
HAX,2007,2,2,1,5,5,Friday,2007-02-02,5.43,5.43,5.43,5.43,3300.0,1170374400.0,SIDEWAY
HAX,2007,2,5,1,6,1,Monday,2007-02-05,5.43,5.43,5.43,5.43,5270.0,1170633600.0,SIDEWAY
HAX,2007,2,6,1,6,2,Tuesday,2007-02-06,5.43,5.43,5.29,5.29,2930.0,1170720000.0,DOWNTREND
HAX,2007,2,7,1,6,3,Wednesday,2007-02-07,5.43,5.43,5.43,5.43,7200.0,1170806400.0,SIDEWAY
HAX,2007,2,8,1,6,4,Thursday,2007-02-08,5.43,5.43,5.43,5.43,2500.0,1170892800.0,SIDEWAY
HAX,2007,2,9,1,6,5,Friday,2007-02-09,5.43,5.7,5.43,5.43,4590.0,1170979200.0,SIDEWAY
HAX,2007,2,12,1,7,1,Monday,2007-02-12,5.64,5.7,5.64,5.7,2700.0,1171238400.0,UPTREND
HAX,2007,2,13,1,7,2,Tuesday,2007-02-13,5.98,5.98,5.98,5.98,10170.0,1171324800.0,SIDEWAY
HAX,2007,2,14,1,7,3,Wednesday,2007-02-14,5.98,6.26,5.98,6.26,4050.0,1171411200.0,UPTREND
HAX,2007,2,15,1,7,4,Thursday,2007-02-15,6.26,6.26,6.26,6.26,1580.0,1171497600.0,SIDEWAY
HAX,2007,2,26,1,9,1,Monday,2007-02-26,6.26,6.55,6.26,6.55,3380.0,1172448000.0,UPTREND
HAX,2007,2,27,1,9,2,Tuesday,2007-02-27,6.55,6.87,6.55,6.83,4080.0,1172534400.0,UPTREND
HAX,2007,2,28,1,9,3,Wednesday,2007-02-28,6.83,6.83,6.83,6.83,10.0,1172620800.0,SIDEWAY
HAX,2007,3,1,1,9,4,Thursday,2007-03-01,6.83,6.83,6.83,6.83,2500.0,1172707200.0,SIDEWAY
HAX,2007,3,2,1,9,5,Friday,2007-03-02,6.83,6.83,6.49,6.49,400.0,1172793600.0,DOWNTREND
