symbol,year,month,date,quarter,week,weekday_index,weekday,full_date,open,high,low,close,volume,timestamp,trend
HVG,2009,11,25,4,48,3,Wednesday,2009-11-25,15.9,16.59,15.21,15.9,191100.0,1259107200.0,SIDEWAY
HVG,2009,11,26,4,48,4,Thursday,2009-11-26,15.21,15.21,15.21,15.21,29090.0,1259193600.0,SIDEWAY
HVG,2009,11,27,4,48,5,Friday,2009-11-27,14.52,15.77,14.52,14.52,127020.0,1259280000.0,SIDEWAY
HVG,2009,11,30,4,49,1,Monday,2009-11-30,13.83,15.21,13.83,14.94,110100.0,1259539200.0,UPTREND
HVG,2009,12,1,4,49,2,Tuesday,2009-12-01,14.8,15.21,14.66,14.8,72930.0,1259625600.0,SIDEWAY
HVG,2009,12,2,4,49,3,Wednesday,2009-12-02,14.11,14.52,14.11,14.11,126130.0,1259712000.0,SIDEWAY
HVG,2009,12,3,4,49,4,Thursday,2009-12-03,14.11,14.8,14.11,14.8,251280.0,1259798400.0,UPTREND
HVG,2009,12,4,4,49,5,Friday,2009-12-04,14.94,15.49,14.94,15.49,527530.0,1259884800.0,UPTREND
HVG,2009,12,7,4,50,1,Monday,2009-12-07,15.63,15.63,15.21,15.49,139860.0,1260144000.0,DOWNTREND
HVG,2009,12,8,4,50,2,Tuesday,2009-12-08,15.49,15.49,14.8,14.8,187990.0,1260230400.0,DOWNTREND
HVG,2009,12,9,4,50,3,Wednesday,2009-12-09,14.11,14.38,14.11,14.11,195490.0,1260316800.0,SIDEWAY
HVG,2009,12,10,4,50,4,Thursday,2009-12-10,13.97,14.52,13.41,13.41,200690.0,1260403200.0,DOWNTREND
HVG,2009,12,11,4,50,5,Friday,2009-12-11,13.69,13.69,13.0,13.28,96060.0,1260489600.0,DOWNTREND
HVG,2009,12,14,4,51,1,Monday,2009-12-14,13.28,13.83,13.28,13.83,33670.0,1260748800.0,UPTREND
HVG,2009,12,15,4,51,2,Tuesday,2009-12-15,13.41,13.83,13.28,13.5,49330.0,1260835200.0,UPTREND
HVG,2009,12,16,4,51,3,Wednesday,2009-12-16,12.72,13.5,12.59,13.5,37210.0,1260921600.0,UPTREND
HVG,2009,12,17,4,51,4,Thursday,2009-12-17,12.86,13.47,12.83,13.47,77510.0,1261008000.0,UPTREND
HVG,2009,12,18,4,51,5,Friday,2009-12-18,13.83,13.83,13.69,13.75,16250.0,1261094400.0,DOWNTREND
HVG,2009,12,21,4,52,1,Monday,2009-12-21,14.11,14.38,13.83,14.38,68290.0,1261353600.0,UPTREND
HVG,2009,12,22,4,52,2,Tuesday,2009-12-22,14.11,14.38,13.83,14.24,89870.0,1261440000.0,UPTREND
HVG,2009,12,23,4,52,3,Wednesday,2009-12-23,13.69,13.97,13.69,13.83,70400.0,1261526400.0,UPTREND
HVG,2009,12,24,4,52,4,Thursday,2009-12-24,13.28,13.83,13.28,13.72,96460.0,1261612800.0,UPTREND
