symbol,year,month,date,quarter,week,weekday_index,weekday,full_date,open,high,low,close,volume,timestamp,trend
ITS,2015,12,18,4,51,5,Friday,2015-12-18,11.92,12.0,11.92,12.0,20000.0,1450396800.0,UPTREND
ITS,2015,12,25,4,52,5,Friday,2015-12-25,10.22,10.22,10.22,10.22,100.0,1451001600.0,SIDEWAY
ITS,2015,12,28,4,53,1,Monday,2015-12-28,8.75,8.75,8.75,8.75,100.0,1451260800.0,SIDEWAY
ITS,2015,12,29,4,53,2,Tuesday,2015-12-29,7.51,7.51,7.51,7.51,100.0,1451347200.0,SIDEWAY
ITS,2015,12,30,4,53,3,Wednesday,2015-12-30,6.43,6.43,6.43,6.43,100.0,1451433600.0,SIDEWAY
ITS,2015,12,31,4,53,4,Thursday,2015-12-31,5.5,5.5,5.5,5.5,100.0,1451520000.0,SIDEWAY
ITS,2016,1,4,1,1,1,Monday,2016-01-04,4.72,4.72,4.72,4.72,100.0,1451865600.0,SIDEWAY
ITS,2016,1,5,1,1,2,Tuesday,2016-01-05,4.03,4.03,4.03,4.03,6000.0,1451952000.0,SIDEWAY
ITS,2016,1,6,1,1,3,Wednesday,2016-01-06,3.48,4.49,3.48,4.49,200.0,1452038400.0,UPTREND
ITS,2016,1,7,1,1,4,Thursday,2016-01-07,3.48,3.48,3.48,3.48,200.0,1452124800.0,SIDEWAY
ITS,2016,1,8,1,1,5,Friday,2016-01-08,3.95,3.95,3.41,3.41,600.0,1452211200.0,DOWNTREND
ITS,2016,1,11,1,2,1,Monday,2016-01-11,3.95,3.95,3.1,3.1,300.0,1452470400.0,DOWNTREND
ITS,2016,1,12,1,2,2,Tuesday,2016-01-12,3.48,3.48,3.48,3.48,1500.0,1452556800.0,SIDEWAY
ITS,2016,1,15,1,2,5,Friday,2016-01-15,3.79,3.79,3.1,3.1,200.0,1452816000.0,DOWNTREND
ITS,2016,1,19,1,3,2,Tuesday,2016-01-19,3.41,3.41,3.41,3.41,100.0,1453161600.0,SIDEWAY
ITS,2016,1,28,1,4,4,Thursday,2016-01-28,3.79,3.87,3.02,3.02,20500.0,1453939200.0,DOWNTREND
ITS,2016,1,29,1,4,5,Friday,2016-01-29,3.41,3.48,3.41,3.41,9000.0,1454025600.0,SIDEWAY
ITS,2016,2,1,1,5,1,Monday,2016-02-01,3.41,3.41,3.41,3.41,100.0,1454284800.0,SIDEWAY
ITS,2016,2,3,1,5,3,Wednesday,2016-02-03,3.41,3.41,3.41,3.41,4500.0,1454457600.0,SIDEWAY
ITS,2016,2,4,1,5,4,Thursday,2016-02-04,3.87,3.87,3.02,3.02,200.0,1454544000.0,DOWNTREND
ITS,2016,2,17,1,7,3,Wednesday,2016-02-17,3.41,3.41,3.41,3.41,100.0,1455667200.0,SIDEWAY
ITS,2016,2,26,1,8,5,Friday,2016-02-26,3.56,3.56,3.56,3.56,100.0,1456444800.0,SIDEWAY
ITS,2016,2,29,1,9,1,Monday,2016-02-29,3.72,4.03,3.1,3.41,1600.0,1456704000.0,DOWNTREND
ITS,2016,3,2,1,9,3,Wednesday,2016-03-02,3.56,3.64,3.1,3.64,500.0,1456876800.0,UPTREND
ITS,2016,3,4,1,9,5,Friday,2016-03-04,3.72,3.87,3.72,3.87,2000.0,1457049600.0,UPTREND
ITS,2016,3,7,1,10,1,Monday,2016-03-07,3.41,4.03,3.41,4.03,1800.0,1457308800.0,UPTREND
ITS,2016,3,8,1,10,2,Tuesday,2016-03-08,3.48,4.03,3.48,3.64,3200.0,1457395200.0,UPTREND
ITS,2016,3,9,1,10,3,Wednesday,2016-03-09,3.41,3.95,3.41,3.95,2300.0,1457481600.0,UPTREND
ITS,2016,3,10,1,10,4,Thursday,2016-03-10,3.56,3.87,3.56,3.87,400.0,1457568000.0,UPTREND
ITS,2016,3,14,1,11,1,Monday,2016-03-14,3.95,4.03,3.95,4.03,400.0,1457913600.0,UPTREND
ITS,2016,3,15,1,11,2,Tuesday,2016-03-15,3.56,3.95,3.56,3.87,21300.0,1458000000.0,UPTREND
ITS,2016,3,16,1,11,3,Wednesday,2016-03-16,3.56,3.79,3.56,3.79,300.0,1458086400.0,UPTREND
ITS,2016,3,17,1,11,4,Thursday,2016-03-17,3.33,3.87,3.33,3.87,5500.0,1458172800.0,UPTREND
ITS,2016,3,18,1,11,5,Friday,2016-03-18,3.87,4.03,3.87,4.03,2500.0,1458259200.0,UPTREND
ITS,2016,3,21,1,12,1,Monday,2016-03-21,3.48,4.03,3.48,3.95,800.0,1458518400.0,UPTREND
ITS,2016,3,22,1,12,2,Tuesday,2016-03-22,3.95,3.95,3.95,3.95,1700.0,1458604800.0,SIDEWAY
ITS,2016,3,23,1,12,3,Wednesday,2016-03-23,3.48,4.49,3.48,4.49,10800.0,1458691200.0,UPTREND
ITS,2016,3,24,1,12,4,Thursday,2016-03-24,4.57,4.65,4.57,4.65,35600.0,1458777600.0,UPTREND
ITS,2016,3,25,1,12,5,Friday,2016-03-25,4.96,5.19,4.8,5.19,14000.0,1458864000.0,UPTREND
ITS,2016,3,28,1,13,1,Monday,2016-03-28,5.73,5.73,5.73,5.73,35500.0,1459123200.0,SIDEWAY
ITS,2016,3,29,1,13,2,Tuesday,2016-03-29,6.58,6.58,6.58,6.58,133620.0,1459209600.0,SIDEWAY
ITS,2016,3,30,1,13,3,Wednesday,2016-03-30,7.51,7.51,7.43,7.51,234280.0,1459296000.0,SIDEWAY
ITS,2016,3,31,1,13,4,Thursday,2016-03-31,8.59,8.59,8.52,8.59,209286.0,1459382400.0,SIDEWAY
ITS,2016,4,1,2,13,5,Friday,2016-04-01,8.52,8.52,7.36,7.36,130754.0,1459468800.0,DOWNTREND
ITS,2016,4,4,2,14,1,Monday,2016-04-04,6.43,7.43,6.43,6.97,115500.0,1459728000.0,UPTREND
ITS,2016,4,5,2,14,2,Tuesday,2016-04-05,6.97,7.9,6.97,7.9,172940.0,1459814400.0,UPTREND
ITS,2016,4,6,2,14,3,Wednesday,2016-04-06,8.52,8.75,8.52,8.75,196128.0,1459900800.0,UPTREND
ITS,2016,4,7,2,14,4,Thursday,2016-04-07,9.99,9.99,8.13,9.29,296008.0,1459987200.0,DOWNTREND
ITS,2016,4,8,2,14,5,Friday,2016-04-08,8.98,9.29,8.52,8.75,172400.0,1460073600.0,DOWNTREND
