symbol,year,month,date,quarter,week,weekday_index,weekday,full_date,open,high,low,close,volume,timestamp,trend
L40,2021,1,27,1,4,3,Wednesday,2021-01-27,17.69,17.69,17.69,17.69,100.0,1611705600.0,SIDEWAY
L40,2021,1,28,1,4,4,Thursday,2021-01-28,19.44,19.44,19.44,19.44,200.0,1611792000.0,SIDEWAY
L40,2021,1,29,1,4,5,Friday,2021-01-29,21.39,21.39,21.39,21.39,1100.0,1611878400.0,SIDEWAY
L40,2021,2,1,1,5,1,Monday,2021-02-01,23.52,23.52,23.52,23.52,1100.0,1612137600.0,SIDEWAY
L40,2021,2,2,1,5,2,Tuesday,2021-02-02,24.3,25.86,24.3,25.86,4200.0,1612224000.0,UPTREND
L40,2021,2,3,1,5,3,Wednesday,2021-02-03,28.39,28.39,28.39,28.39,2500.0,1612310400.0,SIDEWAY
L40,2021,2,4,1,5,4,Thursday,2021-02-04,28.39,28.39,28.09,28.09,300.0,1612396800.0,DOWNTREND
L40,2021,2,5,1,5,5,Friday,2021-02-05,26.83,30.82,26.83,30.82,2600.0,1612483200.0,UPTREND
L40,2021,2,8,1,6,1,Monday,2021-02-08,33.83,33.83,33.05,33.05,1900.0,1612742400.0,DOWNTREND
L40,2021,2,9,1,6,2,Tuesday,2021-02-09,33.54,34.02,33.54,34.02,300.0,1612828800.0,UPTREND
L40,2021,2,17,1,7,3,Wednesday,2021-02-17,37.43,37.43,34.02,34.02,2100.0,1613520000.0,DOWNTREND
L40,2021,2,18,1,7,4,Thursday,2021-02-18,34.02,34.02,34.02,34.02,300.0,1613606400.0,SIDEWAY
L40,2021,2,19,1,7,5,Friday,2021-02-19,36.45,36.94,36.45,36.94,3000.0,1613692800.0,UPTREND
L40,2021,2,22,1,8,1,Monday,2021-02-22,34.02,34.02,34.02,34.02,100.0,1613952000.0,SIDEWAY
L40,2021,2,25,1,8,4,Thursday,2021-02-25,35.97,35.97,35.97,35.97,1500.0,1614211200.0,SIDEWAY
L40,2021,3,2,1,9,2,Tuesday,2021-03-02,37.91,39.56,37.91,39.56,6600.0,1614643200.0,UPTREND
L40,2021,3,5,1,9,5,Friday,2021-03-05,39.86,40.83,39.86,40.83,800.0,1614902400.0,UPTREND
L40,2021,3,8,1,10,1,Monday,2021-03-08,40.83,41.8,40.83,41.8,600.0,1615161600.0,UPTREND
L40,2021,3,9,1,10,2,Tuesday,2021-03-09,41.8,45.98,41.8,45.98,1200.0,1615248000.0,UPTREND
L40,2021,3,10,1,10,3,Wednesday,2021-03-10,44.72,44.72,44.72,44.72,100.0,1615334400.0,SIDEWAY
L40,2021,3,11,1,10,4,Thursday,2021-03-11,44.72,49.19,44.72,47.63,1100.0,1615420800.0,UPTREND
L40,2021,3,12,1,10,5,Friday,2021-03-12,47.63,47.63,42.87,47.05,400.0,1615507200.0,DOWNTREND
L40,2021,3,15,1,11,1,Monday,2021-03-15,51.72,51.72,47.63,47.63,1300.0,1615766400.0,DOWNTREND
L40,2021,3,17,1,11,3,Wednesday,2021-03-17,46.66,46.66,46.66,46.66,800.0,1615939200.0,SIDEWAY
L40,2021,3,19,1,11,5,Friday,2021-03-19,44.72,44.72,44.72,44.72,200.0,1616112000.0,SIDEWAY
L40,2021,3,25,1,12,4,Thursday,2021-03-25,41.8,41.8,41.8,41.8,100.0,1616630400.0,SIDEWAY
L40,2021,3,30,1,13,2,Tuesday,2021-03-30,37.62,41.8,37.62,41.8,400.0,1617062400.0,UPTREND
L40,2021,4,5,2,14,1,Monday,2021-04-05,42.9,42.9,38.0,38.0,2300.0,1617580800.0,DOWNTREND
L40,2021,4,9,2,14,5,Friday,2021-04-09,35.0,39.0,35.0,39.0,700.0,1617926400.0,UPTREND
L40,2021,4,12,2,15,1,Monday,2021-04-12,37.9,39.8,35.1,39.8,3500.0,1618185600.0,UPTREND
L40,2021,4,13,2,15,2,Tuesday,2021-04-13,35.9,35.9,35.9,35.9,2000.0,1618272000.0,SIDEWAY
L40,2021,4,14,2,15,3,Wednesday,2021-04-14,39.0,39.0,39.0,39.0,2000.0,1618358400.0,SIDEWAY
L40,2021,4,15,2,15,4,Thursday,2021-04-15,38.0,38.0,35.2,35.2,5300.0,1618444800.0,DOWNTREND
L40,2021,4,19,2,16,1,Monday,2021-04-19,37.8,37.8,37.2,37.2,2100.0,1618790400.0,DOWNTREND
L40,2021,4,20,2,16,2,Tuesday,2021-04-20,37.0,37.0,37.0,37.0,1200.0,1618876800.0,SIDEWAY
L40,2021,4,28,2,17,3,Wednesday,2021-04-28,36.0,36.0,35.0,35.0,1700.0,1619568000.0,DOWNTREND
L40,2021,5,4,2,18,2,Tuesday,2021-05-04,32.0,35.7,32.0,35.0,800.0,1620086400.0,UPTREND
L40,2021,5,5,2,18,3,Wednesday,2021-05-05,33.0,34.0,33.0,34.0,2600.0,1620172800.0,UPTREND
L40,2021,5,6,2,18,4,Thursday,2021-05-06,34.5,34.5,34.5,34.5,1000.0,1620259200.0,SIDEWAY
L40,2021,5,7,2,18,5,Friday,2021-05-07,33.0,33.0,33.0,33.0,200.0,1620345600.0,SIDEWAY
L40,2021,5,12,2,19,3,Wednesday,2021-05-12,33.0,36.3,33.0,36.3,400.0,1620777600.0,UPTREND
L40,2021,5,13,2,19,4,Thursday,2021-05-13,34.0,34.0,34.0,34.0,300.0,1620864000.0,SIDEWAY
L40,2021,5,18,2,20,2,Tuesday,2021-05-18,36.0,36.0,31.0,35.5,300.0,1621296000.0,DOWNTREND
L40,2021,5,24,2,21,1,Monday,2021-05-24,34.0,34.0,34.0,34.0,1500.0,1621814400.0,SIDEWAY
L40,2021,5,25,2,21,2,Tuesday,2021-05-25,33.5,33.5,33.5,33.5,1400.0,1621900800.0,SIDEWAY
L40,2021,5,26,2,21,3,Wednesday,2021-05-26,33.0,33.9,33.0,33.0,2500.0,1621987200.0,SIDEWAY
L40,2021,5,27,2,21,4,Thursday,2021-05-27,33.0,33.0,30.1,32.9,2000.0,1622073600.0,DOWNTREND
L40,2021,5,31,2,22,1,Monday,2021-05-31,34.0,34.0,34.0,34.0,100.0,1622419200.0,SIDEWAY
L40,2021,6,24,2,25,4,Thursday,2021-06-24,33.9,33.9,33.9,33.9,100.0,1624492800.0,SIDEWAY
L40,2021,6,30,2,26,3,Wednesday,2021-06-30,30.6,30.6,30.6,30.6,300.0,1625011200.0,SIDEWAY
L40,2021,7,1,3,26,4,Thursday,2021-07-01,33.4,33.4,33.4,33.4,100.0,1625097600.0,SIDEWAY
L40,2021,7,6,3,27,2,Tuesday,2021-07-06,30.1,30.1,30.1,30.1,600.0,1625529600.0,SIDEWAY
L40,2021,7,7,3,27,3,Wednesday,2021-07-07,32.9,32.9,32.9,32.9,100.0,1625616000.0,SIDEWAY
L40,2021,7,9,3,27,5,Friday,2021-07-09,34.4,34.4,34.4,34.4,100.0,1625788800.0,SIDEWAY
L40,2021,7,12,3,28,1,Monday,2021-07-12,36.8,36.8,36.8,36.8,100.0,1626048000.0,SIDEWAY
L40,2021,7,14,3,28,3,Wednesday,2021-07-14,36.0,36.0,36.0,36.0,500.0,1626220800.0,SIDEWAY
L40,2021,7,29,3,30,4,Thursday,2021-07-29,35.8,35.8,35.8,35.8,300.0,1627516800.0,SIDEWAY
L40,2021,7,30,3,30,5,Friday,2021-07-30,35.8,35.8,35.7,35.7,600.0,1627603200.0,DOWNTREND
L40,2021,8,3,3,31,2,Tuesday,2021-08-03,35.7,38.0,35.7,38.0,1400.0,1627948800.0,UPTREND
