symbol,year,month,date,quarter,week,weekday_index,weekday,full_date,open,high,low,close,volume,timestamp,trend
SJD,2006,12,26,4,52,2,Tuesday,2006-12-26,5.97,6.22,5.97,6.22,24990.0,1167091200.0,UPTREND
SJD,2006,12,27,4,52,3,Wednesday,2006-12-27,6.48,6.53,6.48,6.53,4500.0,1167177600.0,UPTREND
SJD,2006,12,28,4,52,4,Thursday,2006-12-28,6.86,6.86,6.86,6.86,25570.0,1167264000.0,SIDEWAY
SJD,2006,12,29,4,52,5,Friday,2006-12-29,7.2,7.2,7.2,7.2,63700.0,1167350400.0,SIDEWAY
SJD,2007,1,2,1,1,2,Tuesday,2007-01-02,7.55,7.55,7.55,7.55,70600.0,1167696000.0,SIDEWAY
SJD,2007,1,3,1,1,3,Wednesday,2007-01-03,7.93,7.93,7.93,7.93,113900.0,1167782400.0,SIDEWAY
SJD,2007,1,4,1,1,4,Thursday,2007-01-04,8.32,8.32,8.32,8.32,93240.0,1167868800.0,SIDEWAY
SJD,2007,1,5,1,1,5,Friday,2007-01-05,8.7,8.7,8.36,8.36,65890.0,1167955200.0,DOWNTREND
SJD,2007,1,8,1,2,1,Monday,2007-01-08,8.36,8.36,8.27,8.27,20550.0,1168214400.0,DOWNTREND
SJD,2007,1,9,1,2,2,Tuesday,2007-01-09,8.02,8.19,8.02,8.19,52470.0,1168300800.0,UPTREND
SJD,2007,1,10,1,2,3,Wednesday,2007-01-10,8.44,8.44,8.19,8.19,121490.0,1168387200.0,DOWNTREND
SJD,2007,1,11,1,2,4,Thursday,2007-01-11,8.19,8.19,8.19,8.19,63220.0,1168473600.0,SIDEWAY
SJD,2007,1,12,1,2,5,Friday,2007-01-12,8.19,8.19,7.78,7.84,54420.0,1168560000.0,DOWNTREND
SJD,2007,1,15,1,3,1,Monday,2007-01-15,8.19,8.19,7.93,8.02,43150.0,1168819200.0,DOWNTREND
SJD,2007,1,16,1,3,2,Tuesday,2007-01-16,8.02,8.19,8.02,8.17,59540.0,1168905600.0,UPTREND
SJD,2007,1,17,1,3,3,Wednesday,2007-01-17,7.84,7.84,7.79,7.79,51230.0,1168992000.0,DOWNTREND
