symbol,year,month,date,quarter,week,weekday_index,weekday,full_date,open,high,low,close,volume,timestamp,trend
SSI,2006,12,15,4,50,5,Friday,2006-12-15,7.66,21.9,0.01,9.98,293000.0,1166140800.0,UPTREND
SSI,2006,12,18,4,51,1,Monday,2006-12-18,9.31,9.98,9.31,9.31,340200.0,1166400000.0,SIDEWAY
SSI,2006,12,19,4,51,2,Tuesday,2006-12-19,10.68,10.81,9.91,10.68,326900.0,1166486400.0,SIDEWAY
SSI,2006,12,20,4,51,3,Wednesday,2006-12-20,11.84,11.84,10.73,10.73,651600.0,1166572800.0,DOWNTREND
SSI,2006,12,21,4,51,4,Thursday,2006-12-21,10.95,10.95,10.28,10.28,200100.0,1166659200.0,DOWNTREND
SSI,2006,12,22,4,51,5,Friday,2006-12-22,9.25,9.25,9.25,9.25,41300.0,1166745600.0,SIDEWAY
SSI,2006,12,25,4,52,1,Monday,2006-12-25,8.33,8.33,8.33,8.33,289000.0,1167004800.0,SIDEWAY
SSI,2006,12,26,4,52,2,Tuesday,2006-12-26,7.5,8.87,7.5,8.7,435500.0,1167091200.0,UPTREND
SSI,2006,12,27,4,52,3,Wednesday,2006-12-27,8.76,9.26,8.76,8.76,376200.0,1167177600.0,SIDEWAY
SSI,2006,12,28,4,52,4,Thursday,2006-12-28,9.09,9.14,8.21,9.09,162400.0,1167264000.0,SIDEWAY
SSI,2006,12,29,4,52,5,Friday,2006-12-29,7.83,8.54,7.83,8.48,235500.0,1167350400.0,UPTREND
SSI,2007,1,2,1,1,2,Tuesday,2007-01-02,8.65,8.76,8.32,8.65,236800.0,1167696000.0,SIDEWAY
SSI,2007,1,3,1,1,3,Wednesday,2007-01-03,8.4,8.66,8.38,8.66,301900.0,1167782400.0,UPTREND
SSI,2007,1,4,1,1,4,Thursday,2007-01-04,8.65,9.27,8.65,9.27,213900.0,1167868800.0,UPTREND
SSI,2007,1,5,1,1,5,Friday,2007-01-05,10.15,10.15,10.15,10.15,357100.0,1167955200.0,SIDEWAY
SSI,2007,1,8,1,2,1,Monday,2007-01-08,11.17,11.17,9.14,9.63,317300.0,1168214400.0,DOWNTREND
SSI,2007,1,9,1,2,2,Tuesday,2007-01-09,9.85,10.4,8.84,10.24,535800.0,1168300800.0,UPTREND
SSI,2007,1,10,1,2,3,Wednesday,2007-01-10,11.16,11.16,10.4,10.79,606000.0,1168387200.0,DOWNTREND
SSI,2007,1,11,1,2,4,Thursday,2007-01-11,10.13,11.11,10.13,10.78,520400.0,1168473600.0,UPTREND
SSI,2007,1,12,1,2,5,Friday,2007-01-12,11.95,11.95,10.95,11.66,759000.0,1168560000.0,DOWNTREND
SSI,2007,1,15,1,3,1,Monday,2007-01-15,12.32,12.59,11.8,12.21,492600.0,1168819200.0,DOWNTREND
SSI,2007,1,16,1,3,2,Tuesday,2007-01-16,12.43,12.87,11.5,11.93,304400.0,1168905600.0,DOWNTREND
SSI,2007,1,17,1,3,3,Wednesday,2007-01-17,11.99,11.99,11.04,11.04,212100.0,1168992000.0,DOWNTREND
SSI,2007,1,18,1,3,4,Thursday,2007-01-18,10.08,11.77,10.08,11.61,461700.0,1169078400.0,UPTREND
SSI,2007,1,19,1,3,5,Friday,2007-01-19,11.77,12.04,11.49,11.55,482500.0,1169164800.0,DOWNTREND
SSI,2007,1,22,1,4,1,Monday,2007-01-22,11.5,11.5,10.51,11.5,279700.0,1169424000.0,SIDEWAY
SSI,2007,1,23,1,4,2,Tuesday,2007-01-23,10.99,11.22,10.68,10.89,272400.0,1169510400.0,DOWNTREND
