symbol,year,month,date,quarter,week,weekday_index,weekday,full_date,open,high,low,close,volume,timestamp,trend
UEM,2015,10,7,4,41,3,Wednesday,2015-10-07,6.8,6.8,6.8,6.8,2000.0,1444176000.0,SIDEWAY
UEM,2015,10,19,4,43,1,Monday,2015-10-19,5.99,5.99,5.99,5.99,100.0,1445212800.0,SIDEWAY
UEM,2015,10,22,4,43,4,Thursday,2015-10-22,5.44,5.44,5.44,5.44,100.0,1445472000.0,SIDEWAY
UEM,2015,11,25,4,48,3,Wednesday,2015-11-25,4.79,4.79,4.79,4.79,10000.0,1448409600.0,SIDEWAY
UEM,2015,12,14,4,51,1,Monday,2015-12-14,5.44,5.44,5.44,5.44,1000.0,1450051200.0,SIDEWAY
UEM,2016,2,3,1,5,3,Wednesday,2016-02-03,5.44,5.44,5.44,5.44,100.0,1454457600.0,SIDEWAY
UEM,2016,3,23,1,12,3,Wednesday,2016-03-23,7.62,7.62,7.62,7.62,100.0,1458691200.0,SIDEWAY
UEM,2016,4,26,2,17,2,Tuesday,2016-04-26,6.48,6.48,6.48,6.48,100.0,1461628800.0,SIDEWAY
UEM,2016,4,29,2,17,5,Friday,2016-04-29,7.4,7.4,5.55,5.55,200.0,1461888000.0,DOWNTREND
UEM,2016,5,5,2,18,4,Thursday,2016-05-05,7.4,7.4,7.4,7.4,100.0,1462406400.0,SIDEWAY
UEM,2016,5,6,2,18,5,Friday,2016-05-06,6.32,8.49,6.32,8.49,200.0,1462492800.0,UPTREND
UEM,2016,5,18,2,20,3,Wednesday,2016-05-18,6.32,6.32,6.32,6.32,100.0,1463529600.0,SIDEWAY
UEM,2016,5,24,2,21,2,Tuesday,2016-05-24,6.32,6.32,6.32,6.32,1000.0,1464048000.0,SIDEWAY
UEM,2016,7,8,3,27,5,Friday,2016-07-08,5.66,5.66,5.66,5.66,100.0,1467936000.0,SIDEWAY
UEM,2016,7,20,3,29,3,Wednesday,2016-07-20,4.83,5.66,4.83,4.83,8800.0,1468972800.0,SIDEWAY
UEM,2016,10,14,4,41,5,Friday,2016-10-14,5.06,5.06,5.06,5.06,100.0,1476403200.0,SIDEWAY
UEM,2016,10,17,4,42,1,Monday,2016-10-17,5.66,5.66,5.66,5.66,100.0,1476662400.0,SIDEWAY
UEM,2016,10,18,4,42,2,Tuesday,2016-10-18,5.66,5.66,5.66,5.66,400.0,1476748800.0,SIDEWAY
UEM,2016,12,2,4,48,5,Friday,2016-12-02,5.66,5.66,5.66,5.66,100.0,1480636800.0,SIDEWAY
UEM,2017,4,11,2,15,2,Tuesday,2017-04-11,5.36,5.36,5.06,5.06,18600.0,1491868800.0,DOWNTREND
UEM,2017,4,17,2,16,1,Monday,2017-04-17,4.35,4.35,4.35,4.35,277.0,1492387200.0,SIDEWAY
UEM,2017,5,26,2,21,5,Friday,2017-05-26,6.02,6.02,6.02,6.02,100.0,1495756800.0,SIDEWAY
UEM,2017,7,10,3,28,1,Monday,2017-07-10,6.69,6.82,6.69,6.82,200.0,1499644800.0,UPTREND
UEM,2017,7,11,3,28,2,Tuesday,2017-07-11,7.69,7.69,7.69,7.69,100.0,1499731200.0,SIDEWAY
UEM,2017,7,12,3,28,3,Wednesday,2017-07-12,8.03,8.7,8.03,8.7,300.0,1499817600.0,UPTREND
UEM,2017,7,13,3,28,4,Thursday,2017-07-13,9.43,9.43,9.43,9.43,100.0,1499904000.0,SIDEWAY
UEM,2017,7,14,3,28,5,Friday,2017-07-14,10.77,10.77,10.77,10.77,100.0,1499990400.0,SIDEWAY
UEM,2017,7,17,3,29,1,Monday,2017-07-17,12.31,12.31,12.31,12.31,100.0,1500249600.0,SIDEWAY
UEM,2017,7,19,3,29,3,Wednesday,2017-07-19,14.12,14.12,14.12,14.12,100.0,1500422400.0,SIDEWAY
UEM,2017,7,24,3,30,1,Monday,2017-07-24,16.19,16.19,16.19,16.19,25000.0,1500854400.0,SIDEWAY
UEM,2017,7,28,3,30,5,Friday,2017-07-28,18.6,18.6,18.6,18.6,3000.0,1501200000.0,SIDEWAY
UEM,2017,7,31,3,31,1,Monday,2017-07-31,21.07,21.07,21.07,21.07,200.0,1501459200.0,SIDEWAY
UEM,2017,8,2,3,31,3,Wednesday,2017-08-02,23.75,23.95,23.75,23.95,500.0,1501632000.0,UPTREND
UEM,2017,8,4,3,31,5,Friday,2017-08-04,26.76,26.76,26.76,26.76,1000.0,1501804800.0,SIDEWAY
UEM,2017,8,10,3,32,4,Thursday,2017-08-10,27.43,27.43,27.43,27.43,1300.0,1502323200.0,SIDEWAY
UEM,2017,8,17,3,33,4,Thursday,2017-08-17,27.43,30.11,27.43,30.11,1500.0,1502928000.0,UPTREND
UEM,2017,9,15,3,37,5,Friday,2017-09-15,24.42,24.42,24.42,24.42,4500.0,1505433600.0,SIDEWAY
UEM,2017,9,18,3,38,1,Monday,2017-09-18,27.77,27.77,27.77,27.77,2000.0,1505692800.0,SIDEWAY
UEM,2017,9,26,3,39,2,Tuesday,2017-09-26,30.44,30.44,30.44,30.44,7000.0,1506384000.0,SIDEWAY
UEM,2017,10,2,4,40,1,Monday,2017-10-02,31.11,31.11,31.11,31.11,1500.0,1506902400.0,SIDEWAY
UEM,2017,11,7,4,45,2,Tuesday,2017-11-07,31.11,31.11,31.11,31.11,500.0,1510012800.0,SIDEWAY
UEM,2017,12,19,4,51,2,Tuesday,2017-12-19,31.11,31.11,31.11,31.11,500.0,1513641600.0,SIDEWAY
UEM,2018,4,16,2,16,1,Monday,2018-04-16,18.99,18.99,18.99,18.99,3300.0,1523836800.0,SIDEWAY
UEM,2018,5,18,2,20,5,Friday,2018-05-18,24.79,24.79,24.79,24.79,100.0,1526601600.0,SIDEWAY
UEM,2018,5,23,2,21,3,Wednesday,2018-05-23,28.44,28.44,28.44,28.44,3000.0,1527033600.0,SIDEWAY
UEM,2018,5,28,2,22,1,Monday,2018-05-28,30.31,30.31,30.31,30.31,2900.0,1527465600.0,SIDEWAY
UEM,2018,6,29,2,26,5,Friday,2018-06-29,32.1,32.1,32.1,32.1,4600.0,1530230400.0,SIDEWAY
UEM,2018,8,22,3,34,3,Wednesday,2018-08-22,32.1,32.1,32.1,32.1,1000.0,1534896000.0,SIDEWAY
UEM,2022,1,19,1,3,3,Wednesday,2022-01-19,32.1,32.1,32.1,32.1,4300.0,1642550400.0,SIDEWAY
UEM,2022,3,18,1,11,5,Friday,2022-03-18,32.0,32.0,32.0,32.0,3100.0,1647561600.0,SIDEWAY
UEM,2022,3,21,1,12,1,Monday,2022-03-21,32.0,32.0,32.0,32.0,25.0,1647820800.0,SIDEWAY
UEM,2022,8,8,3,32,1,Monday,2022-08-08,32.0,32.0,32.0,32.0,100.0,1659916800.0,SIDEWAY
UEM,2022,8,9,3,32,2,Tuesday,2022-08-09,32.0,32.0,32.0,32.0,10297.0,1660003200.0,SIDEWAY
UEM,2023,3,31,1,13,5,Friday,2023-03-31,19.2,19.2,19.2,19.2,200.0,1680220800.0,SIDEWAY
