symbol,year,month,date,quarter,week,weekday_index,weekday,full_date,open,high,low,close,volume,timestamp,trend
VHE,2019,1,14,1,3,1,Monday,2019-01-14,16.25,16.25,16.25,16.25,600.0,1547424000.0,SIDEWAY
VHE,2019,1,15,1,3,2,Tuesday,2019-01-15,17.84,17.84,17.84,17.84,100.0,1547510400.0,SIDEWAY
VHE,2019,1,16,1,3,3,Wednesday,2019-01-16,19.59,19.59,19.59,19.59,1100.0,1547596800.0,SIDEWAY
VHE,2019,1,17,1,3,4,Thursday,2019-01-17,21.5,21.5,21.5,21.5,29500.0,1547683200.0,SIDEWAY
VHE,2019,1,18,1,3,5,Friday,2019-01-18,23.59,23.59,23.59,23.59,28900.0,1547769600.0,SIDEWAY
VHE,2019,1,21,1,4,1,Monday,2019-01-21,25.92,25.92,23.92,25.67,14000.0,1548028800.0,DOWNTREND
VHE,2019,1,22,1,4,2,Tuesday,2019-01-22,23.75,25.75,23.34,25.67,79600.0,1548115200.0,UPTREND
VHE,2019,1,23,1,4,3,Wednesday,2019-01-23,25.42,25.75,24.0,24.17,10400.0,1548201600.0,DOWNTREND
VHE,2019,1,24,1,4,4,Thursday,2019-01-24,25.0,25.0,23.42,24.17,27600.0,1548288000.0,DOWNTREND
VHE,2019,1,25,1,4,5,Friday,2019-01-25,23.42,24.84,23.42,24.17,23100.0,1548374400.0,UPTREND
VHE,2019,1,28,1,5,1,Monday,2019-01-28,24.92,24.92,24.34,24.34,1000.0,1548633600.0,DOWNTREND
VHE,2019,1,29,1,5,2,Tuesday,2019-01-29,23.42,23.42,22.92,22.92,3200.0,1548720000.0,DOWNTREND
VHE,2019,1,30,1,5,3,Wednesday,2019-01-30,24.17,24.59,23.34,24.17,21000.0,1548806400.0,SIDEWAY
VHE,2019,1,31,1,5,4,Thursday,2019-01-31,24.17,24.59,23.75,23.75,10900.0,1548892800.0,DOWNTREND
VHE,2019,2,1,1,5,5,Friday,2019-02-01,23.75,24.59,23.75,24.59,13000.0,1548979200.0,UPTREND
VHE,2019,2,11,1,7,1,Monday,2019-02-11,24.42,26.09,23.34,25.92,24900.0,1549843200.0,UPTREND
VHE,2019,2,12,1,7,2,Tuesday,2019-02-12,24.25,25.0,23.84,25.0,40700.0,1549929600.0,UPTREND
VHE,2019,2,13,1,7,3,Wednesday,2019-02-13,24.17,24.92,23.67,24.92,19200.0,1550016000.0,UPTREND
VHE,2019,2,14,1,7,4,Thursday,2019-02-14,24.5,24.5,23.92,24.34,1500.0,1550102400.0,DOWNTREND
VHE,2019,2,15,1,7,5,Friday,2019-02-15,23.75,24.75,23.75,24.75,12100.0,1550188800.0,UPTREND
VHE,2019,2,19,1,8,2,Tuesday,2019-02-19,24.59,24.75,23.59,23.67,12900.0,1550534400.0,DOWNTREND
VHE,2019,2,20,1,8,3,Wednesday,2019-02-20,24.5,24.5,23.75,23.84,6000.0,1550620800.0,DOWNTREND
VHE,2019,2,21,1,8,4,Thursday,2019-02-21,23.84,24.34,23.75,23.84,2100.0,1550707200.0,SIDEWAY
VHE,2019,2,22,1,8,5,Friday,2019-02-22,24.17,24.25,23.75,24.09,10200.0,1550793600.0,DOWNTREND
VHE,2019,2,25,1,9,1,Monday,2019-02-25,24.0,24.0,23.42,23.84,12600.0,1551052800.0,DOWNTREND
VHE,2019,2,26,1,9,2,Tuesday,2019-02-26,23.84,23.92,23.42,23.42,9700.0,1551139200.0,DOWNTREND
