symbol,year,month,date,quarter,week,weekday_index,weekday,full_date,open,high,low,close,volume,timestamp,trend
VTO,2007,10,9,4,41,2,Tuesday,2007-10-09,28.68,28.68,28.68,28.68,1000.0,1191888000.0,SIDEWAY
VTO,2007,10,11,4,41,4,Thursday,2007-10-11,32.82,32.82,32.18,31.54,548040.0,1192060800.0,DOWNTREND
VTO,2007,10,15,4,42,1,Monday,2007-10-15,31.07,31.86,31.07,31.38,289380.0,1192406400.0,UPTREND
VTO,2007,10,16,4,42,2,Tuesday,2007-10-16,31.38,31.38,30.59,30.59,162830.0,1192492800.0,DOWNTREND
VTO,2007,10,17,4,42,3,Wednesday,2007-10-17,29.63,30.59,29.63,29.63,191670.0,1192579200.0,SIDEWAY
VTO,2007,10,18,4,42,4,Thursday,2007-10-18,29.63,29.63,29.0,29.0,251450.0,1192665600.0,DOWNTREND
VTO,2007,10,19,4,42,5,Friday,2007-10-19,30.27,30.27,29.0,30.27,346790.0,1192752000.0,SIDEWAY
VTO,2007,10,26,4,43,5,Friday,2007-10-26,30.27,30.27,29.79,30.11,126060.0,1193356800.0,DOWNTREND
VTO,2007,10,31,4,44,3,Wednesday,2007-10-31,29.79,30.11,29.63,30.11,255080.0,1193788800.0,UPTREND
VTO,2007,11,1,4,44,4,Thursday,2007-11-01,30.27,30.59,30.27,30.27,264210.0,1193875200.0,SIDEWAY
VTO,2007,11,2,4,44,5,Friday,2007-11-02,29.95,30.27,29.95,29.95,126930.0,1193961600.0,SIDEWAY
VTO,2007,11,6,4,45,2,Tuesday,2007-11-06,30.11,30.11,29.79,29.95,264770.0,1194307200.0,DOWNTREND
VTO,2007,11,7,4,45,3,Wednesday,2007-11-07,30.11,30.75,29.95,30.75,529460.0,1194393600.0,UPTREND
VTO,2007,11,8,4,45,4,Thursday,2007-11-08,30.59,30.59,30.27,30.27,106150.0,1194480000.0,DOWNTREND
VTO,2007,11,9,4,45,5,Friday,2007-11-09,30.27,30.59,30.11,30.59,403180.0,1194566400.0,UPTREND
VTO,2007,11,12,4,46,1,Monday,2007-11-12,30.59,30.59,29.95,30.27,100390.0,1194825600.0,DOWNTREND
VTO,2007,11,13,4,46,2,Tuesday,2007-11-13,29.63,29.95,28.84,28.84,174080.0,1194912000.0,DOWNTREND
VTO,2007,11,14,4,46,3,Wednesday,2007-11-14,29.79,29.95,29.0,29.79,70230.0,1194998400.0,SIDEWAY
VTO,2007,11,15,4,46,4,Thursday,2007-11-15,29.15,29.63,29.15,29.47,57330.0,1195084800.0,UPTREND
VTO,2007,11,16,4,46,5,Friday,2007-11-16,29.15,29.31,29.15,29.15,64440.0,1195171200.0,SIDEWAY
VTO,2007,11,19,4,47,1,Monday,2007-11-19,29.31,29.31,29.0,29.15,98050.0,1195430400.0,DOWNTREND
VTO,2007,11,20,4,47,2,Tuesday,2007-11-20,28.84,29.0,28.84,28.84,63480.0,1195516800.0,SIDEWAY
VTO,2007,11,21,4,47,3,Wednesday,2007-11-21,28.04,28.52,28.04,28.36,84100.0,1195603200.0,UPTREND
VTO,2007,11,22,4,47,4,Thursday,2007-11-22,28.36,28.84,28.36,28.84,153350.0,1195689600.0,UPTREND
VTO,2007,11,23,4,47,5,Friday,2007-11-23,28.84,29.31,28.84,29.31,82300.0,1195776000.0,UPTREND
VTO,2007,11,26,4,48,1,Monday,2007-11-26,29.31,29.79,29.31,29.47,47620.0,1196035200.0,UPTREND
VTO,2007,11,27,4,48,2,Tuesday,2007-11-27,29.31,29.31,28.84,29.0,29950.0,1196121600.0,DOWNTREND
VTO,2007,11,28,4,48,3,Wednesday,2007-11-28,29.95,29.95,29.15,29.31,51290.0,1196208000.0,DOWNTREND
VTO,2007,11,29,4,48,4,Thursday,2007-11-29,29.15,29.31,29.15,29.15,37920.0,1196294400.0,SIDEWAY
VTO,2007,11,30,4,48,5,Friday,2007-11-30,29.15,29.15,28.52,28.68,76940.0,1196380800.0,DOWNTREND
VTO,2007,12,3,4,49,1,Monday,2007-12-03,28.68,29.31,28.68,29.31,58600.0,1196640000.0,UPTREND
VTO,2007,12,4,4,49,2,Tuesday,2007-12-04,29.31,29.31,29.15,29.15,63880.0,1196726400.0,DOWNTREND
VTO,2007,12,5,4,49,3,Wednesday,2007-12-05,29.0,29.0,28.52,28.68,86330.0,1196812800.0,DOWNTREND
VTO,2007,12,6,4,49,4,Thursday,2007-12-06,28.68,29.15,28.68,28.84,39300.0,1196899200.0,UPTREND
VTO,2007,12,7,4,49,5,Friday,2007-12-07,29.15,29.31,29.0,29.31,107630.0,1196985600.0,UPTREND
VTO,2007,12,10,4,50,1,Monday,2007-12-10,29.0,29.0,28.68,28.84,40340.0,1197244800.0,DOWNTREND
VTO,2007,12,11,4,50,2,Tuesday,2007-12-11,28.68,28.68,28.36,28.36,46560.0,1197331200.0,DOWNTREND
VTO,2007,12,12,4,50,3,Wednesday,2007-12-12,28.36,28.68,28.04,28.36,60340.0,1197417600.0,SIDEWAY
VTO,2007,12,13,4,50,4,Thursday,2007-12-13,28.36,28.52,27.72,27.72,28540.0,1197504000.0,DOWNTREND
VTO,2007,12,14,4,50,5,Friday,2007-12-14,27.4,27.72,27.08,27.08,24340.0,1197590400.0,DOWNTREND
VTO,2007,12,17,4,51,1,Monday,2007-12-17,27.08,27.4,26.61,26.61,48730.0,1197849600.0,DOWNTREND
VTO,2007,12,18,4,51,2,Tuesday,2007-12-18,26.45,26.92,26.45,26.61,51760.0,1197936000.0,UPTREND
VTO,2007,12,19,4,51,3,Wednesday,2007-12-19,27.08,27.88,26.92,27.72,53190.0,1198022400.0,UPTREND
VTO,2007,12,20,4,51,4,Thursday,2007-12-20,26.45,27.4,26.45,26.92,63580.0,1198108800.0,UPTREND
VTO,2007,12,21,4,51,5,Friday,2007-12-21,26.45,26.92,26.45,26.76,68110.0,1198195200.0,UPTREND
VTO,2007,12,24,4,52,1,Monday,2007-12-24,19.12,19.12,18.0,18.8,35810.0,1198454400.0,DOWNTREND
VTO,2007,12,25,4,52,2,Tuesday,2007-12-25,18.32,18.32,18.0,18.0,47420.0,1198540800.0,DOWNTREND
VTO,2007,12,26,4,52,3,Wednesday,2007-12-26,17.84,18.16,17.68,18.0,31340.0,1198627200.0,UPTREND
VTO,2007,12,27,4,52,4,Thursday,2007-12-27,18.48,18.48,18.16,18.16,35610.0,1198713600.0,DOWNTREND
VTO,2007,12,28,4,52,5,Friday,2007-12-28,18.32,18.96,18.0,18.96,43900.0,1198800000.0,UPTREND
VTO,2008,1,2,1,1,3,Wednesday,2008-01-02,18.48,18.48,18.16,18.32,41240.0,1199232000.0,DOWNTREND
VTO,2008,1,3,1,1,4,Thursday,2008-01-03,18.0,18.16,17.84,18.0,34280.0,1199318400.0,SIDEWAY
VTO,2008,1,4,1,1,5,Friday,2008-01-04,17.84,18.0,17.68,18.0,22950.0,1199404800.0,UPTREND
VTO,2008,1,7,1,2,1,Monday,2008-01-07,17.52,17.68,17.21,17.21,26080.0,1199664000.0,DOWNTREND
VTO,2008,1,8,1,2,2,Tuesday,2008-01-08,17.52,17.52,16.73,16.73,41530.0,1199750400.0,DOWNTREND
VTO,2008,1,9,1,2,3,Wednesday,2008-01-09,16.89,16.89,16.25,16.25,27650.0,1199836800.0,DOWNTREND
VTO,2008,1,10,1,2,4,Thursday,2008-01-10,15.93,15.93,15.45,15.45,61890.0,1199923200.0,DOWNTREND
VTO,2008,1,11,1,2,5,Friday,2008-01-11,15.93,15.93,15.77,15.77,52460.0,1200009600.0,DOWNTREND
VTO,2008,1,14,1,3,1,Monday,2008-01-14,15.13,15.13,15.01,15.01,10240.0,1200268800.0,DOWNTREND
VTO,2008,1,15,1,3,2,Tuesday,2008-01-15,14.27,14.27,14.27,14.27,47340.0,1200355200.0,SIDEWAY
VTO,2008,1,16,1,3,3,Wednesday,2008-01-16,14.94,14.97,14.66,14.97,100430.0,1200441600.0,UPTREND
VTO,2008,1,17,1,3,4,Thursday,2008-01-17,15.33,15.33,14.34,14.5,68420.0,1200528000.0,DOWNTREND
VTO,2008,1,18,1,3,5,Friday,2008-01-18,14.27,14.66,14.27,14.37,54920.0,1200614400.0,UPTREND
VTO,2008,1,21,1,4,1,Monday,2008-01-21,14.18,14.18,13.73,13.86,53350.0,1200873600.0,DOWNTREND
VTO,2008,1,22,1,4,2,Tuesday,2008-01-22,13.51,13.7,13.22,13.38,41860.0,1200960000.0,DOWNTREND
VTO,2008,1,23,1,4,3,Wednesday,2008-01-23,12.78,12.81,12.71,12.71,47290.0,1201046400.0,DOWNTREND
VTO,2008,1,25,1,4,5,Friday,2008-01-25,11.88,12.74,11.88,12.52,35800.0,1201219200.0,UPTREND
VTO,2008,1,28,1,5,1,Monday,2008-01-28,13.13,13.13,12.9,13.13,123050.0,1201478400.0,SIDEWAY
VTO,2008,1,29,1,5,2,Tuesday,2008-01-29,13.77,13.77,13.77,13.77,32540.0,1201564800.0,SIDEWAY
VTO,2008,1,30,1,5,3,Wednesday,2008-01-30,14.43,14.43,14.43,14.43,44710.0,1201651200.0,SIDEWAY
VTO,2008,1,31,1,5,4,Thursday,2008-01-31,15.13,15.13,14.34,14.94,336770.0,1201737600.0,DOWNTREND
VTO,2008,2,1,1,5,5,Friday,2008-02-01,15.45,15.68,15.29,15.68,143410.0,1201824000.0,UPTREND
VTO,2008,2,12,1,7,2,Tuesday,2008-02-12,15.64,15.64,15.13,15.13,60830.0,1202774400.0,DOWNTREND
VTO,2008,2,13,1,7,3,Wednesday,2008-02-13,14.97,14.97,14.4,14.4,64730.0,1202860800.0,DOWNTREND
VTO,2008,2,14,1,7,4,Thursday,2008-02-14,14.5,15.01,14.5,14.63,57370.0,1202947200.0,UPTREND
VTO,2008,2,15,1,7,5,Friday,2008-02-15,14.63,14.63,14.34,14.34,123480.0,1203033600.0,DOWNTREND
