date,timestamp,open,high,low,close,volume,price_three_days_ago,price_three_days_ago_difference,price_three_days_ago_return,price_two_days_ago,price_yesterday,price_tomorrow,price_tomorrow_difference,price_tomorrow_return,direction,MA5,MA10,MA20,MA50,MA100,MA200,MA50-1,MA200-1,golden-cross-1,golden-cross-0,golden-cross
2009-12-10,1260403200,15.736,17.82,15.736,15.736,504100,,,,,,14.993,-0.74,-0.05,-1,,,,,,,,,False,False,False
2009-12-11,1260489600,14.993,14.993,14.993,14.993,58390,,,,,15.736,14.26,-0.73,-0.05,-1,,,,,,,,,False,False,False
2009-12-14,1260748800,14.26,15.302,14.26,14.26,346050,,,,15.736,14.993,13.584,-0.68,-0.05,-1,,,,,,,,,False,False,False
2009-12-15,1260835200,13.768,14.26,13.584,13.584,134640,15.736,-2.15,-0.14,14.993,14.26,12.909,-0.67,-0.05,-1,,,,,,,,,False,False,False
2009-12-16,1260921600,12.909,12.909,12.909,12.909,64820,14.993,-2.08,-0.14,14.26,13.584,13.218,0.31,0.02,1,14.3,,,,,,,,False,False,False
2009-12-17,1261008000,12.291,13.401,12.291,13.218,336680,14.26,-1.04,-0.07,13.584,12.909,13.825,0.61,0.05,1,13.79,,,,,,,,False,False,False
2009-12-18,1261094400,13.825,13.825,13.825,13.825,123610,13.584,0.24,0.02,12.909,13.218,14.501,0.68,0.05,1,13.56,,,,,,,,False,False,False
2009-12-21,1261353600,14.501,14.501,14.501,14.501,10310,12.909,1.59,0.12,13.218,13.825,15.186,0.69,0.05,1,13.61,,,,,,,,False,False,False
2009-12-22,1261440000,15.186,15.186,13.893,15.186,908170,13.218,1.97,0.15,13.825,14.501,14.81,-0.38,-0.03,-1,13.93,,,,,,,,False,False,False
2009-12-23,1261526400,14.81,15.369,14.752,14.81,214170,13.825,0.99,0.07,14.501,15.186,15.427,0.62,0.04,1,14.31,14.3,,,,,,,False,False,False
2009-12-24,1261612800,14.752,15.552,14.626,15.427,362380,14.501,0.93,0.06,15.186,14.81,16.16,0.73,0.05,1,14.75,14.27,,,,,,,False,False,False
2009-12-25,1261699200,15.977,16.16,15.427,16.16,395360,15.186,0.97,0.06,14.81,15.427,15.427,-0.73,-0.05,-1,15.22,14.39,,,,,,,False,False,False
2009-12-28,1261958400,15.369,16.286,15.369,15.427,163320,14.81,0.62,0.04,15.427,16.16,14.694,-0.73,-0.05,-1,15.4,14.5,,,,,,,False,False,False
2009-12-29,1262044800,14.752,15.369,14.694,14.694,156660,15.427,-0.73,-0.05,16.16,15.427,14.752,0.06,0.0,1,15.3,14.62,,,,,,,False,False,False
2009-12-30,1262131200,15.369,15.369,14.694,14.752,139110,16.16,-1.41,-0.09,15.427,14.694,14.752,0.0,0.0,-1,15.29,14.8,,,,,,,False,False,False
2009-12-31,1262217600,15.244,15.369,14.626,14.752,207850,15.427,-0.67,-0.04,14.694,14.752,15.485,0.73,0.05,1,15.16,14.95,,,,,,,False,False,False
2010-01-04,1262563200,15.06,15.485,15.06,15.485,302470,14.694,0.79,0.05,14.752,14.752,15.61,0.12,0.01,1,15.02,15.12,,,,,,,False,False,False
2010-01-05,1262649600,16.16,16.228,15.485,15.61,528380,14.752,0.86,0.06,14.752,15.485,16.353,0.74,0.05,1,15.06,15.23,,,,,,,False,False,False
2010-01-06,1262736000,15.427,16.353,15.244,16.353,445200,14.752,1.6,0.11,15.485,15.61,17.144,0.79,0.05,1,15.39,15.35,,,,,,,False,False,False
2010-01-07,1262822400,17.144,17.144,16.353,17.144,582470,15.485,1.66,0.11,15.61,16.353,16.353,-0.79,-0.05,-1,15.87,15.58,14.94,,,,,,False,False,False
2010-01-08,1262908800,17.945,17.945,16.353,16.353,465330,15.61,0.74,0.05,16.353,17.144,16.594,0.24,0.01,1,16.19,15.67,14.97,,,,,,False,False,False
2010-01-11,1263168000,16.903,16.961,15.977,16.594,284470,16.353,0.24,0.01,17.144,16.353,15.794,-0.8,-0.05,-1,16.41,15.72,15.05,,,,,,False,False,False
