date,timestamp,open,high,low,close,volume,price_three_days_ago,price_three_days_ago_difference,price_three_days_ago_return,price_two_days_ago,price_yesterday,price_tomorrow,price_tomorrow_difference,price_tomorrow_return,direction,MA5,MA10,MA20,MA50,MA100,MA200,MA50-1,MA200-1,golden-cross-1,golden-cross-0,golden-cross
2009-10-26,1256515200,8.519,8.994,6.622,8.519,116960,,,,,,8.81,0.29,0.03,1,,,,,,,,,False,False,False
2009-10-27,1256601600,8.432,8.994,8.151,8.81,26700,,,,,8.519,9.681,0.87,0.1,1,,,,,,,,,False,False,False
2009-10-28,1256688000,9.584,9.681,9.584,9.681,8300,,,,8.519,8.81,10.359,0.68,0.07,1,,,,,,,,,False,False,False
2009-10-29,1256774400,10.852,10.852,10.359,10.359,6100,8.519,1.84,0.22,8.81,9.681,9.874,-0.48,-0.05,-1,,,,,,,,,False,False,False
2009-10-30,1256860800,11.201,11.907,9.874,9.874,29410,8.81,1.06,0.12,9.681,10.359,9.197,-0.68,-0.07,-1,9.45,,,,,,,,False,False,False
2009-11-02,1257120000,9.197,9.197,8.906,9.197,10300,9.681,-0.48,-0.05,10.359,9.874,8.326,-0.87,-0.09,-1,9.58,,,,,,,,False,False,False
2009-11-03,1257206400,8.326,8.906,8.326,8.326,52900,10.359,-2.03,-0.2,9.874,9.197,8.713,0.39,0.05,1,9.49,,,,,,,,False,False,False
2009-11-04,1257292800,8.713,8.713,8.713,8.713,20,9.874,-1.16,-0.12,9.197,8.326,8.713,0.0,0.0,-1,9.29,,,,,,,,False,False,False
2009-11-05,1257379200,8.713,8.713,8.713,8.713,15500,9.197,-0.48,-0.05,8.326,8.713,8.713,0.0,0.0,-1,8.96,,,,,,,,False,False,False
2009-11-06,1257465600,9.691,9.691,8.713,8.713,39800,8.326,0.39,0.05,8.713,8.713,8.616,-0.1,-0.01,-1,8.73,9.09,,,,,,,False,False,False
2009-11-09,1257724800,8.81,8.81,8.519,8.616,17000,8.713,-0.1,-0.01,8.713,8.713,8.713,0.1,0.01,1,8.62,9.1,,,,,,,False,False,False
