date,timestamp,open,high,low,close,volume,price_three_days_ago,price_three_days_ago_difference,price_three_days_ago_return,price_two_days_ago,price_yesterday,price_tomorrow,price_tomorrow_difference,price_tomorrow_return,direction,MA5,MA10,MA20,MA50,MA100,MA200,MA50-1,MA200-1,golden-cross-1,golden-cross-0,golden-cross
2012-03-12,1331510400,10.742,10.742,10.742,10.742,5000,,,,,,11.226,0.48,0.04,1,,,,,,,,,False,False,False
2012-03-13,1331596800,11.226,11.226,11.226,11.226,200,,,,,10.742,11.613,0.39,0.03,1,,,,,,,,,False,False,False
2012-03-14,1331683200,11.613,11.613,11.613,11.613,100,,,,10.742,11.226,11.903,0.29,0.02,1,,,,,,,,,False,False,False
2012-03-15,1331769600,11.903,11.903,11.903,11.903,200,10.742,1.16,0.11,11.226,11.613,11.903,0.0,0.0,-1,,,,,,,,,False,False,False
2012-03-16,1331856000,11.903,11.903,11.903,11.903,0,11.226,0.68,0.06,11.613,11.903,12.097,0.19,0.02,1,11.48,,,,,,,,False,False,False
2012-03-19,1332115200,12.097,12.097,12.097,12.097,500,11.613,0.48,0.04,11.903,11.903,12.581,0.48,0.04,1,11.75,,,,,,,,False,False,False
2012-03-20,1332201600,12.194,12.581,12.194,12.581,2000,11.903,0.68,0.06,11.903,12.097,13.355,0.77,0.06,1,12.02,,,,,,,,False,False,False
2012-03-21,1332288000,12.968,13.355,12.968,13.355,8500,11.903,1.45,0.12,12.097,12.581,13.548,0.19,0.01,1,12.37,,,,,,,,False,False,False
2012-03-22,1332374400,13.548,13.548,13.548,13.548,2000,12.097,1.45,0.12,12.581,13.355,13.645,0.1,0.01,1,12.7,,,,,,,,False,False,False
2012-03-23,1332460800,13.645,13.645,13.645,13.645,2000,12.581,1.06,0.08,13.355,13.548,13.355,-0.29,-0.02,-1,13.05,12.26,,,,,,,False,False,False
2012-03-26,1332720000,13.548,13.548,13.355,13.355,3000,13.355,0.0,0.0,13.548,13.645,13.355,0.0,0.0,-1,13.3,12.52,,,,,,,False,False,False
2012-03-27,1332806400,13.355,13.355,13.355,13.355,0,13.548,-0.19,-0.01,13.645,13.355,13.355,0.0,0.0,-1,13.45,12.74,,,,,,,False,False,False
2012-03-28,1332892800,13.355,13.355,13.355,13.355,0,13.645,-0.29,-0.02,13.355,13.355,13.355,0.0,0.0,-1,13.45,12.91,,,,,,,False,False,False
2012-03-29,1332979200,13.355,13.355,13.355,13.355,1000,13.355,0.0,0.0,13.355,13.355,12.484,-0.87,-0.07,-1,13.41,13.05,,,,,,,False,False,False
2012-03-30,1333065600,12.484,12.484,12.484,12.484,2000,13.355,-0.87,-0.07,13.355,13.355,13.355,0.87,0.07,1,13.18,13.11,,,,,,,False,False,False
2012-04-03,1333411200,13.355,13.355,13.355,13.355,100,13.355,0.0,0.0,13.355,12.484,14.032,0.68,0.05,1,13.18,13.24,,,,,,,False,False,False
2012-04-04,1333497600,14.032,14.032,14.032,14.032,100,13.355,0.68,0.05,12.484,13.355,13.839,-0.19,-0.01,-1,13.32,13.38,,,,,,,False,False,False
2012-04-05,1333584000,14.129,14.129,13.839,13.839,2300,12.484,1.36,0.11,13.355,14.032,13.839,0.0,0.0,-1,13.41,13.43,,,,,,,False,False,False
