date,timestamp,open,high,low,close,volume,price_three_days_ago,price_three_days_ago_difference,price_three_days_ago_return,price_two_days_ago,price_yesterday,price_tomorrow,price_tomorrow_difference,price_tomorrow_return,direction,MA5,MA10,MA20,MA50,MA100,MA200,MA50-1,MA200-1,golden-cross-1,golden-cross-0,golden-cross
2016-03-16,1458086400,13.19,13.19,13.19,13.19,100,,,,,,15.131,1.94,0.15,1,,,,,,,,,False,False,False
2016-03-17,1458172800,15.131,15.131,15.131,15.131,100,,,,,13.19,15.131,0.0,0.0,-1,,,,,,,,,False,False,False
2016-03-18,1458259200,15.131,15.131,15.131,15.131,0,,,,13.19,15.131,15.131,0.0,0.0,-1,,,,,,,,,False,False,False
2016-03-21,1458518400,15.131,15.131,15.131,15.131,100200,13.19,1.94,0.15,15.131,15.131,15.131,0.0,0.0,-1,,,,,,,,,False,False,False
2016-03-22,1458604800,15.131,15.131,15.131,15.131,0,15.131,0.0,0.0,15.131,15.131,14.742,-0.39,-0.03,-1,14.74,,,,,,,,False,False,False
2016-03-23,1458691200,14.742,14.742,14.742,14.742,200,15.131,-0.39,-0.03,15.131,15.131,14.742,0.0,0.0,-1,15.05,,,,,,,,False,False,False
2016-03-24,1458777600,14.742,14.742,14.742,14.742,0,15.131,-0.39,-0.03,15.131,14.742,14.742,0.0,0.0,-1,14.98,,,,,,,,False,False,False
2016-03-25,1458864000,14.742,14.742,14.742,14.742,0,15.131,-0.39,-0.03,14.742,14.742,12.57,-2.17,-0.15,-1,14.9,,,,,,,,False,False,False
2016-03-28,1459123200,12.57,12.57,12.57,12.57,100,14.742,-2.17,-0.15,14.742,14.742,14.432,1.86,0.15,1,14.39,,,,,,,,False,False,False
2016-03-29,1459209600,14.432,14.432,14.432,14.432,11200,14.742,-0.31,-0.02,14.742,12.57,14.742,0.31,0.02,1,14.25,14.49,,,,,,,False,False,False
2016-03-30,1459296000,14.742,14.742,14.742,14.742,4500,14.742,0.0,0.0,12.57,14.432,14.742,0.0,0.0,-1,14.25,14.65,,,,,,,False,False,False
2016-03-31,1459382400,14.742,14.742,14.742,14.742,300,12.57,2.17,0.17,14.432,14.742,14.742,0.0,0.0,-1,14.25,14.61,,,,,,,False,False,False
2016-04-01,1459468800,14.742,14.742,14.742,14.742,0,14.432,0.31,0.02,14.742,14.742,14.742,0.0,0.0,-1,14.25,14.57,,,,,,,False,False,False
2016-04-04,1459728000,14.742,14.742,14.742,14.742,0,14.742,0.0,0.0,14.742,14.742,12.881,-1.86,-0.13,-1,14.68,14.53,,,,,,,False,False,False
2016-04-05,1459814400,12.803,12.881,12.803,12.881,2700,14.742,-1.86,-0.13,14.742,14.742,13.19,0.31,0.02,1,14.37,14.31,,,,,,,False,False,False
2016-04-06,1459900800,13.19,13.19,13.19,13.19,200,14.742,-1.55,-0.11,14.742,12.881,14.354,1.16,0.09,1,14.06,14.15,,,,,,,False,False,False
2016-04-07,1459987200,13.966,14.354,13.19,14.354,400,14.742,-0.39,-0.03,12.881,13.19,13.19,-1.16,-0.08,-1,13.98,14.11,,,,,,,False,False,False
2016-04-08,1460073600,13.19,13.19,13.19,13.19,1000,12.881,0.31,0.02,13.19,14.354,13.966,0.78,0.06,1,13.67,13.96,,,,,,,False,False,False
2016-04-11,1460332800,13.19,13.966,12.803,13.966,2000,13.19,0.78,0.06,14.354,13.19,13.966,0.0,0.0,-1,13.52,14.1,,,,,,,False,False,False
2016-04-12,1460419200,13.966,13.966,13.966,13.966,300,14.354,-0.39,-0.03,13.19,13.966,13.966,0.0,0.0,-1,13.73,14.05,14.27,,,,,,False,False,False
2016-04-13,1460505600,13.966,13.966,13.966,13.966,500,13.19,0.78,0.06,13.966,13.966,13.19,-0.78,-0.06,-1,13.89,13.97,14.31,,,,,,False,False,False
2016-04-14,1460592000,13.19,13.19,13.19,13.19,500,13.966,-0.78,-0.06,13.966,13.966,13.035,-0.15,-0.01,-1,13.66,13.82,14.21,,,,,,False,False,False
2016-04-15,1460678400,13.035,13.035,13.035,13.035,2400,13.966,-0.93,-0.07,13.966,13.19,12.881,-0.15,-0.01,-1,13.62,13.65,14.11,,,,,,False,False,False
2016-04-19,1461024000,12.881,12.881,12.881,12.881,500,13.966,-1.08,-0.08,13.19,13.035,12.881,0.0,0.0,-1,13.41,13.46,14.0,,,,,,False,False,False
2016-04-20,1461110400,12.881,12.881,12.881,12.881,0,13.19,-0.31,-0.02,13.035,12.881,12.881,0.0,0.0,-1,13.19,13.46,13.88,,,,,,False,False,False
2016-04-21,1461196800,12.881,12.881,12.881,12.881,0,13.035,-0.15,-0.01,12.881,12.881,12.881,0.0,0.0,-1,12.97,13.43,13.79,,,,,,False,False,False
2016-04-22,1461283200,12.881,12.881,12.881,12.881,0,12.881,0.0,0.0,12.881,12.881,13.966,1.08,0.08,1,12.91,13.28,13.7,,,,,,False,False,False
2016-04-25,1461542400,13.966,13.966,13.966,13.966,100,12.881,1.08,0.08,12.881,12.881,12.414,-1.55,-0.11,-1,13.1,13.36,13.66,,,,,,False,False,False
2016-04-26,1461628800,12.414,12.414,12.414,12.414,300,12.881,-0.47,-0.04,12.881,13.966,12.491,0.08,0.01,1,13.0,13.21,13.65,,,,,,False,False,False
2016-04-27,1461715200,12.57,12.57,12.491,12.491,2200,12.881,-0.39,-0.03,13.966,12.414,13.733,1.24,0.1,1,12.93,13.06,13.56,,,,,,False,False,False
2016-04-28,1461801600,13.655,13.966,13.655,13.733,1400,13.966,-0.23,-0.02,12.414,12.491,13.811,0.08,0.01,1,13.1,13.04,13.5,,,,,,False,False,False
2016-04-29,1461888000,13.811,13.811,13.811,13.811,0,12.414,1.4,0.11,12.491,13.733,12.491,-1.32,-0.1,-1,13.28,13.1,13.46,,,,,,False,False,False
2016-05-04,1462320000,12.491,12.491,12.491,12.491,200,12.491,0.0,0.0,13.733,13.811,12.414,-0.08,-0.01,-1,12.99,13.04,13.35,,,,,,False,False,False
2016-05-05,1462406400,12.414,12.414,12.414,12.414,500,13.733,-1.32,-0.1,13.811,12.491,12.414,0.0,0.0,-1,12.99,13.0,13.23,,,,,,False,False,False
2016-05-06,1462492800,12.414,12.414,12.414,12.414,0,13.811,-1.4,-0.1,12.491,12.414,12.414,0.0,0.0,-1,12.97,12.95,13.21,,,,,,False,False,False
2016-05-09,1462752000,12.414,12.414,12.414,12.414,0,12.491,-0.08,-0.01,12.414,12.414,13.19,0.78,0.06,1,12.71,12.9,13.17,,,,,,False,False,False
2016-05-10,1462838400,13.19,13.19,13.19,13.19,100,12.414,0.78,0.06,12.414,12.414,13.19,0.0,0.0,-1,12.58,12.93,13.11,,,,,,False,False,False
2016-05-11,1462924800,13.19,13.19,13.19,13.19,0,12.414,0.78,0.06,12.414,13.19,13.19,0.0,0.0,-1,12.72,12.86,13.11,,,,,,False,False,False
2016-05-12,1463011200,13.19,13.19,13.19,13.19,0,12.414,0.78,0.06,13.19,13.19,13.346,0.16,0.01,1,12.88,12.93,13.07,,,,,,False,False,False
2016-05-13,1463097600,13.346,13.346,13.346,13.346,100,13.19,0.16,0.01,13.19,13.19,13.346,0.0,0.0,-1,13.07,13.02,13.04,,,,,,False,False,False
