date,timestamp,open,high,low,close,volume,price_three_days_ago,price_three_days_ago_difference,price_three_days_ago_return,price_two_days_ago,price_yesterday,price_tomorrow,price_tomorrow_difference,price_tomorrow_return,direction,MA5,MA10,MA20,MA50,MA100,MA200,MA50-1,MA200-1,golden-cross-1,golden-cross-0,golden-cross
2009-10-12,1255305600,20.82,25.49,18.7,25.49,418800,,,,,,22.86,-2.63,-0.1,-1,,,,,,,,,False,False,False
2009-10-13,1255392000,24.39,24.39,21.67,22.86,266500,,,,,25.49,21.59,-1.27,-0.06,-1,,,,,,,,,False,False,False
2009-10-14,1255478400,22.1,22.1,21.59,21.59,71800,,,,25.49,22.86,20.48,-1.11,-0.05,-1,,,,,,,,,False,False,False
2009-10-15,1255564800,21.59,22.1,20.14,20.48,762200,25.49,-5.01,-0.2,22.86,21.59,19.12,-1.36,-0.07,-1,,,,,,,,,False,False,False
2009-10-16,1255651200,20.4,20.4,19.04,19.12,443400,22.86,-3.74,-0.16,21.59,20.48,18.87,-0.25,-0.01,-1,21.91,,,,,,,,False,False,False
2009-10-19,1255910400,19.55,19.55,18.27,18.87,325000,21.59,-2.72,-0.13,20.48,19.12,20.23,1.36,0.07,1,20.58,,,,,,,,False,False,False
2009-10-20,1255996800,19.55,20.23,18.87,20.23,375400,20.48,-0.25,-0.01,19.12,18.87,20.57,0.34,0.02,1,20.06,,,,,,,,False,False,False
2009-10-21,1256083200,20.4,20.57,19.72,20.57,238000,19.12,1.45,0.08,18.87,20.23,21.5,0.93,0.05,1,19.85,,,,,,,,False,False,False
2009-10-22,1256169600,21.67,21.84,20.91,21.5,442500,18.87,2.63,0.14,20.23,20.57,19.97,-1.53,-0.07,-1,20.06,,,,,,,,False,False,False
2009-10-23,1256256000,21.5,21.5,19.97,19.97,165100,20.23,-0.26,-0.01,20.57,21.5,19.38,-0.59,-0.03,-1,20.23,21.07,,,,,,,False,False,False
2009-10-26,1256515200,20.14,21.25,18.78,19.38,372500,20.57,-1.19,-0.06,21.5,19.97,18.44,-0.94,-0.05,-1,20.33,20.46,,,,,,,False,False,False
2009-10-27,1256601600,17.93,18.7,17.93,18.44,184400,21.5,-3.06,-0.14,19.97,19.38,19.21,0.77,0.04,1,19.97,20.02,,,,,,,False,False,False
2009-10-28,1256688000,17.17,19.55,17.08,19.21,160300,19.97,-0.76,-0.04,19.38,18.44,17.85,-1.36,-0.07,-1,19.7,19.78,,,,,,,False,False,False
2009-10-29,1256774400,17.85,18.7,17.85,17.85,98200,19.38,-1.53,-0.08,18.44,19.21,18.27,0.42,0.02,1,18.97,19.51,,,,,,,False,False,False
2009-10-30,1256860800,18.27,18.7,17.59,18.27,111400,18.44,-0.17,-0.01,19.21,17.85,16.91,-1.36,-0.07,-1,18.63,19.43,,,,,,,False,False,False
2009-11-02,1257120000,17.85,17.85,16.91,16.91,38300,19.21,-2.3,-0.12,17.85,18.27,15.81,-1.1,-0.07,-1,18.14,19.23,,,,,,,False,False,False
2009-11-03,1257206400,16.91,17.0,15.81,15.81,34500,17.85,-2.04,-0.11,18.27,16.91,14.96,-0.85,-0.05,-1,17.61,18.79,,,,,,,False,False,False
2009-11-04,1257292800,15.3,15.81,14.96,14.96,97600,18.27,-3.31,-0.18,16.91,15.81,15.3,0.34,0.02,1,16.76,18.23,,,,,,,False,False,False
2009-11-05,1257379200,15.3,15.64,14.11,15.3,176800,16.91,-1.61,-0.1,15.81,14.96,14.96,-0.34,-0.02,-1,16.25,17.61,,,,,,,False,False,False
2009-11-06,1257465600,15.81,15.98,14.87,14.96,108600,15.81,-0.85,-0.05,14.96,15.3,14.28,-0.68,-0.05,-1,15.59,17.11,19.09,,,,,,False,False,False
2009-11-09,1257724800,14.36,14.7,14.28,14.28,77800,14.96,-0.68,-0.05,15.3,14.96,13.51,-0.77,-0.05,-1,15.06,16.6,18.53,,,,,,False,False,False
2009-11-10,1257811200,14.28,14.28,13.43,13.51,91800,15.3,-1.79,-0.12,14.96,14.28,13.68,0.17,0.01,1,14.6,16.11,18.06,,,,,,False,False,False
2009-11-11,1257897600,14.36,14.36,12.92,13.68,46600,14.96,-1.28,-0.09,14.28,13.51,14.45,0.77,0.06,1,14.35,15.55,17.66,,,,,,False,False,False
2009-11-12,1257984000,14.02,14.53,13.85,14.45,90600,14.28,0.17,0.01,13.51,13.68,14.11,-0.34,-0.02,-1,14.18,15.21,17.36,,,,,,False,False,False
2009-11-13,1258070400,14.45,14.45,13.51,14.11,97700,13.51,0.6,0.04,13.68,14.45,14.79,0.68,0.05,1,14.01,14.8,17.11,,,,,,False,False,False
2009-11-16,1258329600,14.45,14.79,14.45,14.79,22200,13.68,1.11,0.08,14.45,14.11,15.72,0.93,0.06,1,14.11,14.58,16.91,,,,,,False,False,False
2009-11-17,1258416000,15.72,15.72,14.87,15.72,300100,14.45,1.27,0.09,14.11,14.79,15.72,0.0,0.0,-1,14.55,14.58,16.68,,,,,,False,False,False
2009-11-18,1258502400,16.149,16.149,15.3,15.72,138700,14.11,1.61,0.11,14.79,15.72,15.47,-0.25,-0.02,-1,14.96,14.65,16.44,,,,,,False,False,False
2009-11-19,1258588800,15.89,15.89,15.13,15.47,90700,14.79,0.68,0.05,15.72,15.72,14.87,-0.6,-0.04,-1,15.16,14.67,16.14,,,,,,False,False,False
2009-11-20,1258675200,15.72,15.72,14.45,14.87,69200,15.72,-0.85,-0.05,15.72,15.47,14.11,-0.76,-0.05,-1,15.31,14.66,15.88,,,,,,False,False,False
2009-11-23,1258934400,14.96,15.3,14.02,14.11,65700,15.72,-1.61,-0.1,15.47,14.87,14.02,-0.09,-0.01,-1,15.18,14.64,15.62,,,,,,False,False,False
2009-11-24,1259020800,14.36,14.45,13.43,14.02,57800,15.47,-1.45,-0.09,14.87,14.11,13.18,-0.84,-0.06,-1,14.84,14.69,15.4,,,,,,False,False,False
2009-11-25,1259107200,14.49,14.96,13.09,13.18,82300,14.87,-1.69,-0.11,14.11,14.02,12.62,-0.56,-0.04,-1,14.33,14.64,15.1,,,,,,False,False,False
2009-11-26,1259193600,13.09,13.09,12.62,12.62,52300,14.11,-1.49,-0.11,14.02,13.18,12.15,-0.47,-0.04,-1,13.76,14.46,14.84,,,,,,False,False,False
2009-11-27,1259280000,11.78,13.46,11.78,12.15,117600,14.02,-1.87,-0.13,13.18,12.62,13.37,1.22,0.1,1,13.22,14.26,14.53,,,,,,False,False,False
2009-11-30,1259539200,12.62,13.37,12.62,13.37,56900,13.18,0.19,0.01,12.62,12.15,14.02,0.65,0.05,1,13.07,14.12,14.35,,,,,,False,False,False
2009-12-01,1259625600,13.55,14.02,13.37,14.02,78700,12.62,1.4,0.11,12.15,13.37,13.46,-0.56,-0.04,-1,13.07,13.95,14.26,,,,,,False,False,False
2009-12-02,1259712000,14.86,14.86,12.99,13.46,44000,12.15,1.31,0.11,13.37,14.02,13.09,-0.37,-0.03,-1,13.12,13.73,14.19,,,,,,False,False,False
2009-12-03,1259798400,12.62,13.55,12.62,13.09,56500,13.37,-0.28,-0.02,14.02,13.46,13.18,0.09,0.01,1,13.22,13.49,14.08,,,,,,False,False,False
2009-12-04,1259884800,12.99,13.27,12.99,13.18,25200,14.02,-0.84,-0.06,13.46,13.09,12.99,-0.19,-0.01,-1,13.42,13.32,13.99,,,,,,False,False,False
2009-12-07,1260144000,12.62,13.27,12.62,12.99,20400,13.46,-0.47,-0.03,13.09,13.18,12.43,-0.56,-0.04,-1,13.35,13.21,13.93,,,,,,False,False,False
2009-12-08,1260230400,12.9,12.9,12.34,12.43,23700,13.09,-0.66,-0.05,13.18,12.99,11.87,-0.56,-0.05,-1,13.03,13.05,13.87,,,,,,False,False,False
2009-12-09,1260316800,12.25,12.25,11.87,11.87,66300,13.18,-1.31,-0.1,12.99,12.43,11.22,-0.65,-0.05,-1,12.71,12.92,13.78,,,,,,False,False,False
2009-12-10,1260403200,11.97,12.34,11.22,11.22,34800,12.99,-1.77,-0.14,12.43,11.87,11.12,-0.1,-0.01,-1,12.34,12.78,13.62,,,,,,False,False,False
2009-12-11,1260489600,11.31,11.59,11.12,11.12,46900,12.43,-1.31,-0.11,11.87,11.22,11.78,0.66,0.06,1,11.93,12.68,13.47,,,,,,False,False,False
2009-12-14,1260748800,11.22,11.97,10.75,11.78,20900,11.87,-0.09,-0.01,11.22,11.12,11.59,-0.19,-0.02,-1,11.68,12.52,13.32,,,,,,False,False,False
2009-12-15,1260835200,11.59,11.59,11.4,11.59,8400,11.22,0.37,0.03,11.12,11.78,10.84,-0.75,-0.06,-1,11.52,12.27,13.11,,,,,,False,False,False
2009-12-16,1260921600,11.12,11.12,10.84,10.84,48600,11.12,-0.28,-0.03,11.78,11.59,10.47,-0.37,-0.03,-1,11.31,12.01,12.87,,,,,,False,False,False
2009-12-17,1261008000,10.19,10.94,10.1,10.47,19000,11.78,-1.31,-0.11,11.59,10.84,11.03,0.56,0.05,1,11.16,11.75,12.62,,,,,,False,False,False
2009-12-18,1261094400,10.84,11.03,10.84,11.03,54200,11.59,-0.56,-0.05,10.84,10.47,11.78,0.75,0.07,1,11.14,11.53,12.43,15.54,,,,,False,False,False
2009-12-21,1261353600,11.68,11.78,11.59,11.78,56000,10.84,0.94,0.09,10.47,11.03,12.06,0.28,0.02,1,11.14,11.41,12.31,15.26,,,15.54,,False,False,False
2009-12-22,1261440000,12.53,12.53,11.87,12.06,70300,10.47,1.59,0.15,11.03,11.78,12.34,0.28,0.02,1,11.24,11.38,12.21,15.05,,,15.26,,False,False,False
2009-12-23,1261526400,12.81,12.81,12.15,12.34,30600,11.03,1.31,0.12,11.78,12.06,12.53,0.19,0.02,1,11.54,11.42,12.17,14.86,,,15.05,,False,False,False
2009-12-24,1261612800,12.15,12.53,11.87,12.53,45500,11.78,0.75,0.06,12.06,12.34,13.09,0.56,0.04,1,11.95,11.55,12.17,14.7,,,14.86,,False,False,False
2009-12-25,1261699200,12.62,13.09,12.53,13.09,88200,12.06,1.03,0.09,12.34,12.53,12.43,-0.66,-0.05,-1,12.36,11.75,12.21,14.58,,,14.7,,False,False,False
2009-12-28,1261958400,12.62,13.27,12.43,12.43,25500,12.34,0.09,0.01,12.53,13.09,12.06,-0.37,-0.03,-1,12.49,11.82,12.17,14.45,,,14.58,,False,False,False
2009-12-29,1262044800,11.97,12.43,11.97,12.06,33300,12.53,-0.47,-0.04,13.09,12.43,12.43,0.37,0.03,1,12.49,11.86,12.07,14.29,,,14.45,,False,False,False
