date,timestamp,open,high,low,close,volume,price_three_days_ago,price_three_days_ago_difference,price_three_days_ago_return,price_two_days_ago,price_yesterday,price_tomorrow,price_tomorrow_difference,price_tomorrow_return,direction,MA5,MA10,MA20,MA50,MA100,MA200,MA50-1,MA200-1,golden-cross-1,golden-cross-0,golden-cross
2019-12-18,1576627200,7.4,7.4,7.4,7.4,0,,,,,,10.3,2.9,0.39,1,,,,,,,,,False,False,False
2019-12-19,1576713600,10.3,10.3,10.3,10.3,100,,,,,7.4,11.8,1.5,0.15,1,,,,,,,,,False,False,False
2019-12-20,1576800000,11.8,11.8,11.8,11.8,100,,,,7.4,10.3,13.5,1.7,0.14,1,,,,,,,,,False,False,False
2019-12-23,1577059200,13.5,13.5,13.5,13.5,600,7.4,6.1,0.82,10.3,11.8,15.5,2.0,0.15,1,,,,,,,,,False,False,False
2019-12-24,1577145600,15.5,15.5,15.5,15.5,200,10.3,5.2,0.5,11.8,13.5,17.8,2.3,0.15,1,11.7,,,,,,,,False,False,False
2019-12-25,1577232000,17.8,17.8,17.8,17.8,800,11.8,6.0,0.51,13.5,15.5,20.0,2.2,0.12,1,13.78,,,,,,,,False,False,False
2019-12-26,1577318400,20.4,20.4,20.0,20.0,1100,13.5,6.5,0.48,15.5,17.8,20.0,0.0,0.0,-1,15.72,,,,,,,,False,False,False
2019-12-27,1577404800,20.0,20.0,20.0,20.0,300,15.5,4.5,0.29,17.8,20.0,20.0,0.0,0.0,-1,17.36,,,,,,,,False,False,False
2019-12-30,1577664000,20.0,20.0,20.0,20.0,0,17.8,2.2,0.12,20.0,20.0,20.0,0.0,0.0,-1,18.66,,,,,,,,False,False,False
2019-12-31,1577750400,20.0,20.0,20.0,20.0,0,20.0,0.0,0.0,20.0,20.0,17.0,-3.0,-0.15,-1,19.56,15.63,,,,,,,False,False,False
2020-01-02,1577923200,17.0,17.0,17.0,17.0,100,20.0,-3.0,-0.15,20.0,20.0,17.0,0.0,0.0,-1,19.4,16.59,,,,,,,False,False,False
2020-01-03,1578009600,17.0,17.0,17.0,17.0,0,20.0,-3.0,-0.15,20.0,17.0,17.0,0.0,0.0,-1,18.8,17.26,,,,,,,False,False,False
2020-01-06,1578268800,17.0,17.0,17.0,17.0,0,20.0,-3.0,-0.15,17.0,17.0,14.5,-2.5,-0.15,-1,18.2,17.78,,,,,,,False,False,False
2020-01-07,1578355200,14.5,14.5,14.5,14.5,200,17.0,-2.5,-0.15,17.0,17.0,13.0,-1.5,-0.1,-1,17.1,17.88,,,,,,,False,False,False
2020-01-08,1578441600,13.0,13.0,13.0,13.0,17500,17.0,-4.0,-0.24,17.0,14.5,13.0,0.0,0.0,-1,15.7,17.63,,,,,,,False,False,False
2020-01-09,1578528000,13.0,13.0,13.0,13.0,0,17.0,-4.0,-0.24,14.5,13.0,13.0,0.0,0.0,-1,14.9,17.15,,,,,,,False,False,False
2020-01-10,1578614400,13.0,13.0,13.0,13.0,0,14.5,-1.5,-0.1,13.0,13.0,13.0,0.0,0.0,-1,14.1,16.45,,,,,,,False,False,False
2020-01-13,1578873600,13.0,13.0,13.0,13.0,0,13.0,0.0,0.0,13.0,13.0,13.0,0.0,0.0,-1,13.3,15.75,,,,,,,False,False,False
2020-01-14,1578960000,13.0,13.0,13.0,13.0,0,13.0,0.0,0.0,13.0,13.0,13.0,0.0,0.0,-1,13.0,15.05,,,,,,,False,False,False
2020-01-15,1579046400,13.0,13.0,13.0,13.0,0,13.0,0.0,0.0,13.0,13.0,13.0,0.0,0.0,-1,13.0,14.35,14.99,,,,,,False,False,False
2020-01-16,1579132800,13.0,13.0,13.0,13.0,0,13.0,0.0,0.0,13.0,13.0,13.0,0.0,0.0,-1,13.0,13.95,15.27,,,,,,False,False,False
2020-01-17,1579219200,13.0,13.0,13.0,13.0,0,13.0,0.0,0.0,13.0,13.0,13.0,0.0,0.0,-1,13.0,13.55,15.4,,,,,,False,False,False
2020-01-20,1579478400,13.0,13.0,13.0,13.0,0,13.0,0.0,0.0,13.0,13.0,13.0,0.0,0.0,-1,13.0,13.15,15.46,,,,,,False,False,False
2020-01-21,1579564800,13.0,13.0,13.0,13.0,0,13.0,0.0,0.0,13.0,13.0,14.8,1.8,0.14,1,13.0,13.0,15.44,,,,,,False,False,False
2020-01-22,1579651200,14.8,14.8,14.8,14.8,100,13.0,1.8,0.14,13.0,13.0,16.9,2.1,0.14,1,13.36,13.18,15.4,,,,,,False,False,False
2020-01-30,1580342400,17.0,17.0,16.9,16.9,808,13.0,3.9,0.3,13.0,14.8,16.9,0.0,0.0,-1,14.14,13.57,15.36,,,,,,False,False,False
2020-01-31,1580428800,16.9,16.9,16.9,16.9,0,13.0,3.9,0.3,14.8,16.9,16.9,0.0,0.0,-1,14.92,13.96,15.2,,,,,,False,False,False
2020-02-03,1580688000,16.9,16.9,16.9,16.9,0,14.8,2.1,0.14,16.9,16.9,18.9,2.0,0.12,1,15.7,14.35,15.05,,,,,,False,False,False
