date,timestamp,open,high,low,close,volume,price_three_days_ago,price_three_days_ago_difference,price_three_days_ago_return,price_two_days_ago,price_yesterday,price_tomorrow,price_tomorrow_difference,price_tomorrow_return,direction,MA5,MA10,MA20,MA50,MA100,MA200,MA50-1,MA200-1,golden-cross-1,golden-cross-0,golden-cross
2010-07-22,1279756800,9.58,9.641,9.334,9.334,1000,,,,,,9.087,-0.25,-0.03,-1,,,,,,,,,False,False,False
2010-07-23,1279843200,9.519,9.519,8.536,9.087,1100,,,,,9.334,8.414,-0.67,-0.07,-1,,,,,,,,,False,False,False
2010-07-26,1280102400,8.414,8.414,8.414,8.414,200,,,,9.334,9.087,8.414,0.0,0.0,-1,,,,,,,,,False,False,False
2010-07-27,1280188800,8.414,8.414,8.414,8.414,0,9.334,-0.92,-0.1,9.087,8.414,8.106,-0.31,-0.04,-1,,,,,,,,,False,False,False
2010-07-28,1280275200,8.228,8.228,8.106,8.106,200,9.087,-0.98,-0.11,8.414,8.414,8.167,0.06,0.01,1,8.67,,,,,,,,False,False,False
2010-07-29,1280361600,8.167,8.167,8.167,8.167,0,8.414,-0.25,-0.03,8.414,8.106,8.167,0.0,0.0,-1,8.44,,,,,,,,False,False,False
2010-07-30,1280448000,8.167,8.167,8.167,8.167,0,8.414,-0.25,-0.03,8.106,8.167,8.167,0.0,0.0,-1,8.25,,,,,,,,False,False,False
2010-08-02,1280707200,8.167,8.167,8.167,8.167,0,8.106,0.06,0.01,8.167,8.167,8.167,0.0,0.0,-1,8.2,,,,,,,,False,False,False
2010-08-03,1280793600,8.167,8.167,8.167,8.167,0,8.167,0.0,0.0,8.167,8.167,8.167,0.0,0.0,-1,8.15,,,,,,,,False,False,False
2010-08-04,1280880000,8.167,8.167,8.167,8.167,0,8.167,0.0,0.0,8.167,8.167,8.965,0.8,0.1,1,8.17,8.42,,,,,,,False,False,False
2010-08-05,1280966400,8.965,8.965,8.965,8.965,100,8.167,0.8,0.1,8.167,8.167,8.965,0.0,0.0,-1,8.33,8.38,,,,,,,False,False,False
2010-08-06,1281052800,8.965,8.965,8.965,8.965,0,8.167,0.8,0.1,8.167,8.965,8.965,0.0,0.0,-1,8.49,8.37,,,,,,,False,False,False
2010-08-09,1281312000,8.965,8.965,8.965,8.965,0,8.167,0.8,0.1,8.965,8.965,8.965,0.0,0.0,-1,8.65,8.43,,,,,,,False,False,False
2010-08-10,1281398400,8.965,8.965,8.965,8.965,0,8.965,0.0,0.0,8.965,8.965,8.965,0.0,0.0,-1,8.81,8.48,,,,,,,False,False,False
2010-08-11,1281484800,8.965,8.965,8.965,8.965,0,8.965,0.0,0.0,8.965,8.965,8.965,0.0,0.0,-1,8.96,8.57,,,,,,,False,False,False
2010-08-12,1281571200,8.965,8.965,8.965,8.965,0,8.965,0.0,0.0,8.965,8.965,8.965,0.0,0.0,-1,8.96,8.65,,,,,,,False,False,False
2010-08-13,1281657600,8.965,8.965,8.965,8.965,0,8.965,0.0,0.0,8.965,8.965,8.965,0.0,0.0,-1,8.96,8.73,,,,,,,False,False,False
2010-08-16,1281916800,8.965,8.965,8.965,8.965,0,8.965,0.0,0.0,8.965,8.965,8.965,0.0,0.0,-1,8.96,8.81,,,,,,,False,False,False
2010-08-17,1282003200,8.965,8.965,8.965,8.965,0,8.965,0.0,0.0,8.965,8.965,8.965,0.0,0.0,-1,8.96,8.89,,,,,,,False,False,False
2010-08-18,1282089600,8.965,8.965,8.965,8.965,0,8.965,0.0,0.0,8.965,8.965,8.536,-0.43,-0.05,-1,8.96,8.96,8.69,,,,,,False,False,False
2010-08-19,1282176000,8.536,8.536,8.536,8.536,100,8.965,-0.43,-0.05,8.965,8.965,8.536,0.0,0.0,-1,8.88,8.92,8.65,,,,,,False,False,False
2010-08-20,1282262400,8.536,8.536,8.536,8.536,0,8.965,-0.43,-0.05,8.965,8.536,8.536,0.0,0.0,-1,8.79,8.88,8.62,,,,,,False,False,False
2010-08-23,1282521600,8.536,8.536,8.536,8.536,0,8.965,-0.43,-0.05,8.536,8.536,8.536,0.0,0.0,-1,8.71,8.84,8.63,,,,,,False,False,False
2010-08-24,1282608000,8.536,8.536,8.536,8.536,0,8.536,0.0,0.0,8.536,8.536,8.536,0.0,0.0,-1,8.62,8.79,8.64,,,,,,False,False,False
2010-08-25,1282694400,8.536,8.536,8.536,8.536,0,8.536,0.0,0.0,8.536,8.536,8.536,0.0,0.0,-1,8.54,8.75,8.66,,,,,,False,False,False
2010-08-26,1282780800,8.536,8.536,8.536,8.536,0,8.536,0.0,0.0,8.536,8.536,8.536,0.0,0.0,-1,8.54,8.71,8.68,,,,,,False,False,False
2010-08-27,1282867200,8.536,8.536,8.536,8.536,0,8.536,0.0,0.0,8.536,8.536,7.738,-0.8,-0.09,-1,8.54,8.66,8.7,,,,,,False,False,False
2010-08-30,1283126400,7.738,7.738,7.738,7.738,100,8.536,-0.8,-0.09,8.536,8.536,6.999,-0.74,-0.1,-1,8.38,8.54,8.67,,,,,,False,False,False
2010-08-31,1283212800,6.999,6.999,6.999,6.999,100,8.536,-1.54,-0.18,8.536,7.738,6.326,-0.67,-0.1,-1,8.07,8.35,8.62,,,,,,False,False,False
2010-09-01,1283299200,7.676,7.676,6.326,6.326,300,8.536,-2.21,-0.26,7.738,6.999,6.079,-0.25,-0.04,-1,7.63,8.08,8.52,,,,,,False,False,False
2010-09-06,1283731200,6.079,6.079,6.079,6.079,300,7.738,-1.66,-0.21,6.999,6.326,6.079,0.0,0.0,-1,7.14,7.84,8.38,,,,,,False,False,False
2010-09-07,1283817600,6.079,6.079,6.079,6.079,0,6.999,-0.92,-0.13,6.326,6.079,6.079,0.0,0.0,-1,6.64,7.59,8.23,,,,,,False,False,False
2010-09-08,1283904000,6.079,6.079,6.079,6.079,0,6.326,-0.25,-0.04,6.079,6.079,6.079,0.0,0.0,-1,6.31,7.34,8.09,,,,,,False,False,False
2010-09-09,1283990400,6.079,6.079,6.079,6.079,0,6.079,0.0,0.0,6.079,6.079,6.633,0.55,0.09,1,6.13,7.1,7.95,,,,,,False,False,False
2010-09-10,1284076800,6.633,6.633,6.633,6.633,100,6.079,0.55,0.09,6.079,6.079,6.633,0.0,0.0,-1,6.19,6.91,7.83,,,,,,False,False,False
2010-09-13,1284336000,6.633,6.633,6.633,6.633,0,6.079,0.55,0.09,6.079,6.633,6.633,0.0,0.0,-1,6.3,6.72,7.71,,,,,,False,False,False
2010-09-14,1284422400,6.633,6.633,6.633,6.633,0,6.079,0.55,0.09,6.633,6.633,6.633,0.0,0.0,-1,6.41,6.53,7.6,,,,,,False,False,False
2010-09-15,1284508800,6.633,6.633,6.633,6.633,0,6.633,0.0,0.0,6.633,6.633,6.633,0.0,0.0,-1,6.52,6.42,7.48,,,,,,False,False,False
2010-09-16,1284595200,6.633,6.633,6.633,6.633,0,6.633,0.0,0.0,6.633,6.633,6.633,0.0,0.0,-1,6.63,6.38,7.36,,,,,,False,False,False
2010-09-17,1284681600,6.633,6.633,6.633,6.633,0,6.633,0.0,0.0,6.633,6.633,6.633,0.0,0.0,-1,6.63,6.41,7.25,,,,,,False,False,False
2010-09-20,1284940800,6.633,6.633,6.633,6.633,0,6.633,0.0,0.0,6.633,6.633,6.633,0.0,0.0,-1,6.63,6.47,7.15,,,,,,False,False,False
2010-09-21,1285027200,6.633,6.633,6.633,6.633,0,6.633,0.0,0.0,6.633,6.633,6.633,0.0,0.0,-1,6.63,6.52,7.06,,,,,,False,False,False
2010-09-22,1285113600,6.633,6.633,6.633,6.633,0,6.633,0.0,0.0,6.633,6.633,6.018,-0.62,-0.09,-1,6.63,6.58,6.96,,,,,,False,False,False
2010-09-23,1285200000,6.018,6.018,6.018,6.018,600,6.633,-0.62,-0.09,6.633,6.633,6.018,0.0,0.0,-1,6.51,6.57,6.84,,,,,,False,False,False
2010-09-24,1285286400,6.018,6.018,6.018,6.018,0,6.633,-0.62,-0.09,6.633,6.018,6.018,0.0,0.0,-1,6.39,6.51,6.71,,,,,,False,False,False
2010-09-27,1285545600,6.018,6.018,6.018,6.018,0,6.633,-0.62,-0.09,6.018,6.018,6.018,0.0,0.0,-1,6.26,6.45,6.58,,,,,,False,False,False
2010-09-28,1285632000,6.018,6.018,6.018,6.018,0,6.018,0.0,0.0,6.018,6.018,5.465,-0.55,-0.09,-1,6.14,6.39,6.46,,,,,,False,False,False
2010-09-29,1285718400,5.465,5.465,5.465,5.465,100,6.018,-0.55,-0.09,6.018,6.018,4.975,-0.49,-0.09,-1,5.91,6.27,6.34,,,,,,False,False,False
2010-09-30,1285804800,4.975,4.975,4.975,4.975,200,6.018,-1.04,-0.17,6.018,5.465,5.465,0.49,0.1,1,5.7,6.1,6.24,,,,,,False,False,False
2010-10-01,1285891200,5.465,5.465,5.465,5.465,100,6.018,-0.55,-0.09,5.465,4.975,4.975,-0.49,-0.09,-1,5.59,5.99,6.2,7.57,,,,,False,False,False
2010-10-04,1286150400,4.975,4.975,4.975,4.975,100,5.465,-0.49,-0.09,4.975,5.465,5.403,0.43,0.09,1,5.38,5.82,6.14,7.49,,,7.57,,False,False,False
2010-10-05,1286236800,4.483,5.403,4.483,5.403,4200,4.975,0.43,0.09,5.465,4.975,4.114,-1.29,-0.24,-1,5.26,5.7,6.11,7.41,,,7.49,,False,False,False
2010-10-06,1286323200,4.114,4.114,4.114,4.114,1000,5.465,-1.35,-0.25,4.975,5.403,4.483,0.37,0.09,1,4.99,5.45,6.01,7.33,,,7.41,,False,False,False
2010-10-07,1286409600,4.422,4.483,4.422,4.483,300,4.975,-0.49,-0.1,5.403,4.114,4.851,0.37,0.08,1,4.89,5.29,5.93,7.25,,,7.33,,False,False,False
2010-10-08,1286496000,4.851,4.851,4.851,4.851,200,5.403,-0.55,-0.1,4.114,4.483,5.219,0.37,0.08,1,4.77,5.18,5.84,7.18,,,7.25,,False,False,False
2010-10-11,1286755200,5.219,5.219,5.219,5.219,200,4.114,1.11,0.27,4.483,4.851,5.219,0.0,0.0,-1,4.81,5.1,5.77,7.12,,,7.18,,False,False,False
2010-10-12,1286841600,5.219,5.219,5.219,5.219,0,4.483,0.74,0.17,4.851,5.219,5.219,0.0,0.0,-1,4.78,5.02,5.7,7.06,,,7.12,,False,False,False
2010-10-13,1286928000,5.219,5.219,5.219,5.219,0,4.851,0.37,0.08,5.219,5.219,5.403,0.18,0.03,1,5.0,4.99,5.63,7.01,,,7.06,,False,False,False
2010-10-14,1287014400,5.403,5.403,5.403,5.403,200,5.219,0.18,0.03,5.219,5.219,5.833,0.43,0.08,1,5.18,5.04,5.57,6.95,,,7.01,,False,False,False
2010-10-15,1287100800,5.833,5.833,5.833,5.833,200,5.219,0.61,0.12,5.219,5.403,5.28,-0.55,-0.09,-1,5.38,5.07,5.53,6.9,,,6.95,,False,False,False
