date,timestamp,open,high,low,close,volume,price_three_days_ago,price_three_days_ago_difference,price_three_days_ago_return,price_two_days_ago,price_yesterday,price_tomorrow,price_tomorrow_difference,price_tomorrow_return,direction,MA5,MA10,MA20,MA50,MA100,MA200,MA50-1,MA200-1,golden-cross-1,golden-cross-0,golden-cross
2010-03-01,1267401600,14.485,14.485,14.485,14.485,0,,,,,,14.485,0.0,0.0,-1,,,,,,,,,False,False,False
2010-03-02,1267488000,14.485,14.485,14.485,14.485,0,,,,,14.485,14.485,0.0,0.0,-1,,,,,,,,,False,False,False
2010-03-03,1267574400,14.485,14.485,14.485,14.485,0,,,,14.485,14.485,14.485,0.0,0.0,-1,,,,,,,,,False,False,False
2010-03-04,1267660800,14.485,14.485,14.485,14.485,0,14.485,0.0,0.0,14.485,14.485,14.485,0.0,0.0,-1,,,,,,,,,False,False,False
2010-03-05,1267747200,14.485,14.485,14.485,14.485,0,14.485,0.0,0.0,14.485,14.485,14.485,0.0,0.0,-1,14.48,,,,,,,,False,False,False
2010-03-08,1268006400,14.485,14.485,14.485,14.485,0,14.485,0.0,0.0,14.485,14.485,14.485,0.0,0.0,-1,14.48,,,,,,,,False,False,False
2010-03-09,1268092800,14.485,14.485,14.485,14.485,0,14.485,0.0,0.0,14.485,14.485,14.485,0.0,0.0,-1,14.48,,,,,,,,False,False,False
2010-03-10,1268179200,14.485,14.485,14.485,14.485,0,14.485,0.0,0.0,14.485,14.485,14.485,0.0,0.0,-1,14.48,,,,,,,,False,False,False
2010-03-11,1268265600,14.485,14.485,14.485,14.485,0,14.485,0.0,0.0,14.485,14.485,14.485,0.0,0.0,-1,14.48,,,,,,,,False,False,False
2010-03-12,1268352000,14.485,14.485,14.485,14.485,0,14.485,0.0,0.0,14.485,14.485,14.485,0.0,0.0,-1,14.48,14.48,,,,,,,False,False,False
2010-03-15,1268611200,14.485,14.485,14.485,14.485,0,14.485,0.0,0.0,14.485,14.485,14.485,0.0,0.0,-1,14.48,14.48,,,,,,,False,False,False
2010-03-16,1268697600,14.485,14.485,14.485,14.485,0,14.485,0.0,0.0,14.485,14.485,14.485,0.0,0.0,-1,14.48,14.48,,,,,,,False,False,False
2010-03-17,1268784000,14.485,14.485,14.485,14.485,0,14.485,0.0,0.0,14.485,14.485,14.485,0.0,0.0,-1,14.48,14.48,,,,,,,False,False,False
2010-03-18,1268870400,14.485,14.485,14.485,14.485,0,14.485,0.0,0.0,14.485,14.485,14.485,0.0,0.0,-1,14.48,14.48,,,,,,,False,False,False
2010-03-19,1268956800,14.485,14.485,14.485,14.485,0,14.485,0.0,0.0,14.485,14.485,14.485,0.0,0.0,-1,14.48,14.48,,,,,,,False,False,False
2010-03-22,1269216000,14.485,14.485,14.485,14.485,0,14.485,0.0,0.0,14.485,14.485,14.485,0.0,0.0,-1,14.48,14.48,,,,,,,False,False,False
2010-03-23,1269302400,14.485,14.485,14.485,14.485,0,14.485,0.0,0.0,14.485,14.485,14.485,0.0,0.0,-1,14.48,14.48,,,,,,,False,False,False
2010-03-24,1269388800,14.485,14.485,14.485,14.485,10,14.485,0.0,0.0,14.485,14.485,15.25,0.77,0.05,1,14.48,14.48,,,,,,,False,False,False
2010-03-25,1269475200,15.25,15.25,15.25,15.25,0,14.485,0.77,0.05,14.485,14.485,15.25,0.0,0.0,-1,14.64,14.56,,,,,,,False,False,False
2010-03-26,1269561600,15.25,15.25,15.25,15.25,0,14.485,0.77,0.05,14.485,15.25,15.25,0.0,0.0,-1,14.79,14.64,14.56,,,,,,False,False,False
2010-03-29,1269820800,15.25,15.25,15.25,15.25,0,14.485,0.77,0.05,15.25,15.25,15.25,0.0,0.0,-1,14.94,14.71,14.6,,,,,,False,False,False
2010-03-30,1269907200,15.25,15.25,15.25,15.25,0,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0,-1,15.1,14.79,14.64,,,,,,False,False,False
2010-03-31,1269993600,15.25,15.25,15.25,15.25,0,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0,-1,15.25,14.87,14.68,,,,,,False,False,False
2010-04-01,1270080000,15.25,15.25,15.25,15.25,0,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0,-1,15.25,14.94,14.71,,,,,,False,False,False
2010-04-02,1270166400,15.25,15.25,15.25,15.25,0,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0,-1,15.25,15.02,14.75,,,,,,False,False,False
2010-04-05,1270425600,15.25,15.25,15.25,15.25,0,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0,-1,15.25,15.1,14.79,,,,,,False,False,False
2010-04-06,1270512000,15.25,15.25,15.25,15.25,0,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0,-1,15.25,15.17,14.83,,,,,,False,False,False
2010-04-07,1270598400,15.25,15.25,15.25,15.25,0,15.25,0.0,0.0,15.25,15.25,14.488,-0.76,-0.05,-1,15.25,15.25,14.87,,,,,,False,False,False
2010-04-08,1270684800,14.488,14.488,14.488,14.488,0,15.25,-0.76,-0.05,15.25,15.25,15.25,0.76,0.05,1,15.1,15.17,14.87,,,,,,False,False,False
2010-04-09,1270771200,15.25,15.25,15.25,15.25,0,15.25,0.0,0.0,15.25,14.488,15.25,0.0,0.0,-1,15.1,15.17,14.91,,,,,,False,False,False
2010-04-12,1271030400,15.25,15.25,15.25,15.25,0,15.25,0.0,0.0,14.488,15.25,15.25,0.0,0.0,-1,15.1,15.17,14.94,,,,,,False,False,False
2010-04-13,1271116800,15.25,15.25,15.25,15.25,0,14.488,0.76,0.05,15.25,15.25,15.25,0.0,0.0,-1,15.1,15.17,14.98,,,,,,False,False,False
2010-04-14,1271203200,15.25,15.25,15.25,15.25,0,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0,-1,15.1,15.17,15.02,,,,,,False,False,False
2010-04-15,1271289600,15.25,15.25,15.25,15.25,0,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0,-1,15.25,15.17,15.06,,,,,,False,False,False
2010-04-16,1271376000,15.25,15.25,15.25,15.25,0,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0,-1,15.25,15.17,15.1,,,,,,False,False,False
2010-04-19,1271635200,15.25,15.25,15.25,15.25,0,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0,-1,15.25,15.17,15.14,,,,,,False,False,False
2010-04-20,1271721600,15.25,15.25,15.25,15.25,0,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0,-1,15.25,15.17,15.17,,,,,,False,False,False
2010-04-21,1271808000,15.25,15.25,15.25,15.25,0,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0,-1,15.25,15.17,15.21,,,,,,False,False,False
