date,timestamp,open,high,low,close,volume,price_three_days_ago,price_three_days_ago_difference,price_three_days_ago_return,price_two_days_ago,price_yesterday,price_tomorrow,price_tomorrow_difference,price_tomorrow_return,direction,MA5,MA10,MA20,MA50,MA100,MA200,MA50-1,MA200-1,golden-cross-1,golden-cross-0,golden-cross
2015-12-22,1450742400,8.749,8.749,8.189,8.189,31900,,,,,,8.189,0.0,0.0,-1,,,,,,,,,False,False,False
2015-12-23,1450828800,8.189,8.189,8.189,8.189,17000,,,,,8.189,8.4,0.21,0.03,1,,,,,,,,,False,False,False
2015-12-24,1450915200,8.189,8.4,8.189,8.4,109000,,,,8.189,8.189,8.329,-0.07,-0.01,-1,,,,,,,,,False,False,False
2015-12-25,1451001600,8.189,8.329,8.189,8.329,54300,8.189,0.14,0.02,8.189,8.4,8.4,0.07,0.01,1,,,,,,,,,False,False,False
2015-12-28,1451260800,8.329,8.4,8.329,8.4,54300,8.189,0.21,0.03,8.4,8.329,8.4,0.0,0.0,-1,8.3,,,,,,,,False,False,False
2015-12-29,1451347200,8.4,8.4,8.329,8.4,27500,8.4,0.0,0.0,8.329,8.4,8.749,0.35,0.04,1,8.34,,,,,,,,False,False,False
2015-12-30,1451433600,8.47,8.749,8.47,8.749,72600,8.329,0.42,0.05,8.4,8.4,9.59,0.84,0.1,1,8.46,,,,,,,,False,False,False
2015-12-31,1451520000,8.749,9.59,8.749,9.59,165900,8.4,1.19,0.14,8.4,8.749,9.94,0.35,0.04,1,8.69,,,,,,,,False,False,False
2016-01-04,1451865600,8.749,9.94,8.749,9.94,98100,8.4,1.54,0.18,8.749,9.59,10.5,0.56,0.06,1,9.02,,,,,,,,False,False,False
2016-01-05,1451952000,9.94,10.5,9.729,10.5,195500,8.749,1.75,0.2,9.59,9.94,10.569,0.07,0.01,1,9.44,8.87,,,,,,,False,False,False
2016-01-06,1452038400,10.5,10.569,10.43,10.569,189100,9.59,0.98,0.1,9.94,10.5,10.709,0.14,0.01,1,9.87,9.11,,,,,,,False,False,False
2016-01-07,1452124800,10.43,10.709,10.219,10.709,186100,9.94,0.77,0.08,10.5,10.569,10.92,0.21,0.02,1,10.26,9.36,,,,,,,False,False,False
2016-01-08,1452211200,10.43,10.92,10.43,10.92,193400,10.5,0.42,0.04,10.569,10.709,11.059,0.14,0.01,1,10.53,9.61,,,,,,,False,False,False
2016-01-11,1452470400,10.92,11.059,10.92,11.059,230900,10.569,0.49,0.05,10.709,10.92,10.85,-0.21,-0.02,-1,10.75,9.88,,,,,,,False,False,False
