date,timestamp,open,high,low,close,volume,price_three_days_ago,price_three_days_ago_difference,price_three_days_ago_return,price_two_days_ago,price_yesterday,price_tomorrow,price_tomorrow_difference,price_tomorrow_return,direction,MA5,MA10,MA20,MA50,MA100,MA200,MA50-1,MA200-1,golden-cross-1,golden-cross-0,golden-cross
2017-12-13,1513123200,16.219,16.219,16.219,16.219,100,,,,,,16.219,0.0,0.0,-1,,,,,,,,,False,False,False
2017-12-14,1513209600,16.219,16.219,16.219,16.219,0,,,,,16.219,16.219,0.0,0.0,-1,,,,,,,,,False,False,False
2017-12-15,1513296000,16.219,16.219,16.219,16.219,0,,,,16.219,16.219,18.62,2.4,0.15,1,,,,,,,,,False,False,False
2017-12-18,1513555200,18.62,18.62,18.62,18.62,100,16.219,2.4,0.15,16.219,16.219,18.62,0.0,0.0,-1,,,,,,,,,False,False,False
2017-12-19,1513641600,18.62,18.62,18.62,18.62,0,16.219,2.4,0.15,16.219,18.62,18.62,0.0,0.0,-1,17.18,,,,,,,,False,False,False
2017-12-20,1513728000,18.62,18.62,18.62,18.62,0,16.219,2.4,0.15,18.62,18.62,18.62,0.0,0.0,-1,17.66,,,,,,,,False,False,False
2017-12-21,1513814400,18.62,18.62,18.62,18.62,0,18.62,0.0,0.0,18.62,18.62,18.62,0.0,0.0,-1,18.14,,,,,,,,False,False,False
2017-12-22,1513900800,18.62,18.62,18.62,18.62,0,18.62,0.0,0.0,18.62,18.62,18.62,0.0,0.0,-1,18.62,,,,,,,,False,False,False
2017-12-25,1514160000,18.62,18.62,18.62,18.62,0,18.62,0.0,0.0,18.62,18.62,18.62,0.0,0.0,-1,18.62,,,,,,,,False,False,False
2017-12-26,1514246400,18.62,18.62,18.62,18.62,0,18.62,0.0,0.0,18.62,18.62,21.351,2.73,0.15,1,18.62,17.9,,,,,,,False,False,False
2017-12-27,1514332800,21.351,21.351,21.351,21.351,100,18.62,2.73,0.15,18.62,18.62,19.944,-1.41,-0.07,-1,19.17,18.41,,,,,,,False,False,False
2017-12-28,1514419200,19.944,19.944,19.944,19.944,300,18.62,1.32,0.07,18.62,21.351,19.944,0.0,0.0,-1,19.43,18.79,,,,,,,False,False,False
2017-12-29,1514505600,19.944,19.944,19.944,19.944,0,18.62,1.32,0.07,21.351,19.944,22.923,2.98,0.15,1,19.7,19.16,,,,,,,False,False,False
2018-01-02,1514851200,22.923,22.923,22.923,22.923,100,21.351,1.57,0.07,19.944,19.944,25.654,2.73,0.12,1,20.56,19.59,,,,,,,False,False,False
2018-01-03,1514937600,25.654,25.654,25.654,25.654,600,19.944,5.71,0.29,19.944,22.923,28.963,3.31,0.13,1,21.96,20.29,,,,,,,False,False,False
2018-01-04,1515024000,28.963,28.963,28.963,28.963,100,19.944,9.02,0.45,22.923,25.654,28.963,0.0,0.0,-1,23.49,21.33,,,,,,,False,False,False
2018-01-05,1515110400,28.963,28.963,28.963,28.963,0,22.923,6.04,0.26,25.654,28.963,33.267,4.3,0.15,1,25.29,22.36,,,,,,,False,False,False
2018-01-08,1515369600,28.963,33.267,28.963,33.267,500,25.654,7.61,0.3,28.963,28.963,37.239,3.97,0.12,1,27.95,23.82,,,,,,,False,False,False
2018-01-09,1515456000,37.239,37.239,37.239,37.239,100,28.963,8.28,0.29,28.963,33.267,37.239,0.0,0.0,-1,30.82,25.69,,,,,,,False,False,False
2018-01-10,1515542400,37.239,37.239,37.239,37.239,0,28.963,8.28,0.29,33.267,37.239,37.239,0.0,0.0,-1,33.13,27.55,22.72,,,,,,False,False,False
2018-01-11,1515628800,37.239,37.239,37.239,37.239,0,33.267,3.97,0.12,37.239,37.239,37.239,0.0,0.0,-1,34.79,29.14,23.78,,,,,,False,False,False
2018-01-12,1515715200,37.239,37.239,37.239,37.239,0,37.239,0.0,0.0,37.239,37.239,37.239,0.0,0.0,-1,36.44,30.87,24.83,,,,,,False,False,False
2018-01-15,1515974400,37.239,37.239,37.239,37.239,0,37.239,0.0,0.0,37.239,37.239,37.239,0.0,0.0,-1,37.24,32.6,25.88,,,,,,False,False,False
2018-01-16,1516060800,37.239,37.239,37.239,37.239,0,37.239,0.0,0.0,37.239,37.239,37.239,0.0,0.0,-1,37.24,34.03,26.81,,,,,,False,False,False
2018-01-17,1516147200,37.239,37.239,37.239,37.239,0,37.239,0.0,0.0,37.239,37.239,37.239,0.0,0.0,-1,37.24,35.19,27.74,,,,,,False,False,False
2018-01-18,1516233600,37.239,37.239,37.239,37.239,0,37.239,0.0,0.0,37.239,37.239,37.239,0.0,0.0,-1,37.24,36.01,28.67,,,,,,False,False,False
2018-01-19,1516320000,37.239,37.239,37.239,37.239,0,37.239,0.0,0.0,37.239,37.239,37.239,0.0,0.0,-1,37.24,36.84,29.6,,,,,,False,False,False
2018-01-22,1516579200,37.239,37.239,37.239,37.239,0,37.239,0.0,0.0,37.239,37.239,37.239,0.0,0.0,-1,37.24,37.24,30.53,,,,,,False,False,False
2018-01-23,1516665600,37.239,37.239,37.239,37.239,0,37.239,0.0,0.0,37.239,37.239,42.784,5.55,0.15,1,37.24,37.24,31.46,,,,,,False,False,False
2018-01-24,1516752000,31.694,42.784,31.694,42.784,600,37.239,5.55,0.15,37.239,37.239,40.962,-1.82,-0.04,-1,38.35,37.79,32.67,,,,,,False,False,False
2018-01-25,1516838400,40.962,40.962,40.962,40.962,0,37.239,3.72,0.1,37.239,42.784,47.087,6.12,0.15,1,39.09,38.17,33.65,,,,,,False,False,False
2018-01-26,1516924800,47.087,47.087,47.087,47.087,100,37.239,9.85,0.26,42.784,40.962,47.087,0.0,0.0,-1,41.06,39.15,35.01,,,,,,False,False,False
2018-01-29,1517184000,47.087,47.087,47.087,47.087,0,42.784,4.3,0.1,40.962,47.087,47.087,0.0,0.0,-1,43.03,40.14,36.37,,,,,,False,False,False
2018-01-30,1517270400,47.087,47.087,47.087,47.087,0,40.962,6.12,0.15,47.087,47.087,47.17,0.08,0.0,1,45.0,41.12,37.57,,,,,,False,False,False
2018-01-31,1517356800,47.17,47.17,47.17,47.17,500,47.087,0.08,0.0,47.087,47.087,47.17,0.0,0.0,-1,45.88,42.11,38.65,,,,,,False,False,False
2018-02-01,1517443200,47.17,47.17,47.17,47.17,0,47.087,0.08,0.0,47.087,47.17,40.135,-7.04,-0.15,-1,47.12,43.11,39.56,,,,,,False,False,False
2018-02-02,1517529600,40.135,40.135,40.135,40.135,100,47.087,-6.95,-0.15,47.17,47.17,40.135,0.0,0.0,-1,45.73,43.4,40.12,,,,,,False,False,False
2018-02-05,1517788800,40.135,40.135,40.135,40.135,0,47.17,-7.04,-0.15,47.17,40.135,40.135,0.0,0.0,-1,44.34,43.69,40.46,,,,,,False,False,False
2018-02-06,1517875200,40.135,40.135,40.135,40.135,0,47.17,-7.04,-0.15,40.135,40.135,41.377,1.24,0.03,1,42.95,43.98,40.61,,,,,,False,False,False
2018-02-07,1517961600,41.377,41.377,41.377,41.377,500,40.135,1.24,0.03,40.135,40.135,47.583,6.21,0.15,1,41.79,43.83,40.81,,,,,,False,False,False
2018-02-08,1518048000,47.583,47.583,47.583,47.583,100,40.135,7.45,0.19,40.135,41.377,47.583,0.0,0.0,-1,41.87,44.5,41.33,,,,,,False,False,False
2018-02-09,1518134400,47.583,47.583,47.583,47.583,0,40.135,7.45,0.19,41.377,47.583,47.583,0.0,0.0,-1,43.36,44.55,41.85,,,,,,False,False,False
2018-02-12,1518393600,47.583,47.583,47.583,47.583,0,41.377,6.21,0.15,47.583,47.583,54.618,7.04,0.15,1,44.85,44.6,42.37,,,,,,False,False,False
2018-02-13,1518480000,47.997,54.618,47.997,54.618,200,47.583,7.04,0.15,47.583,47.583,51.307,-3.31,-0.06,-1,47.75,45.35,43.23,,,,,,False,False,False
2018-02-21,1519171200,51.307,51.307,51.307,51.307,0,47.583,3.72,0.08,47.583,54.618,43.611,-7.7,-0.15,-1,49.73,45.76,43.94,,,,,,False,False,False
2018-02-22,1519257600,43.611,43.611,43.611,43.611,500,47.583,-3.97,-0.08,54.618,51.307,37.074,-6.54,-0.15,-1,48.94,45.41,44.26,,,,,,False,False,False
2018-02-23,1519344000,43.86,43.86,37.074,37.074,500,54.618,-17.54,-0.32,51.307,43.611,35.418,-1.66,-0.04,-1,46.84,45.1,44.25,,,,,,False,False,False
2018-02-26,1519603200,43.86,43.86,35.418,35.418,500,51.307,-15.89,-0.31,43.611,37.074,40.88,5.46,0.15,1,44.41,44.63,44.16,,,,,,False,False,False
2018-02-27,1519689600,40.88,40.88,40.88,40.88,0,43.611,-2.73,-0.06,37.074,35.418,34.757,-6.12,-0.15,-1,41.66,44.7,44.34,,,,,,False,False,False
2018-02-28,1519776000,34.757,34.757,34.757,34.757,100,37.074,-2.32,-0.06,35.418,40.88,39.97,5.21,0.15,1,38.35,44.04,43.94,34.22,,,,,False,False,False
2018-03-01,1519862400,39.97,39.97,39.97,39.97,200,35.418,4.55,0.13,40.88,34.757,34.012,-5.96,-0.15,-1,37.62,43.28,43.89,34.7,,,34.22,,False,False,False
2018-03-02,1519948800,34.012,34.012,34.012,34.012,600,40.88,-6.87,-0.17,34.757,39.97,28.963,-5.05,-0.15,-1,37.01,41.92,43.23,35.05,,,34.7,,False,False,False
2018-03-05,1520208000,28.963,28.963,28.963,28.963,200,34.757,-5.79,-0.17,39.97,34.012,33.267,4.3,0.15,1,35.72,40.06,42.33,35.31,,,35.05,,False,False,False
2018-03-06,1520294400,24.66,33.267,24.66,33.267,300,39.97,-6.7,-0.17,34.012,28.963,31.612,-1.66,-0.05,-1,34.19,37.93,41.64,35.6,,,35.31,,False,False,False
2018-03-07,1520380800,23.585,31.612,23.585,31.612,300,34.012,-2.4,-0.07,28.963,33.267,30.122,-1.49,-0.05,-1,33.56,35.96,40.86,35.86,,,35.6,,False,False,False
2018-03-08,1520467200,30.122,30.122,30.122,30.122,100,28.963,1.16,0.04,33.267,31.612,34.591,4.47,0.15,1,31.6,34.61,40.01,36.09,,,35.86,,False,False,False
2018-03-09,1520553600,34.591,34.591,34.591,34.591,200,33.267,1.32,0.04,31.612,30.122,29.543,-5.05,-0.15,-1,31.71,34.36,39.73,36.41,,,36.09,,False,False,False
2018-03-12,1520812800,29.543,29.543,29.543,29.543,100,31.612,-2.07,-0.07,30.122,34.591,25.24,-4.3,-0.15,-1,31.83,33.77,39.2,36.63,,,36.41,,False,False,False
2018-03-13,1520899200,33.93,33.93,25.24,25.24,2000,30.122,-4.88,-0.16,34.591,29.543,34.012,8.77,0.35,1,30.22,32.21,38.46,36.76,,,36.63,,False,False,False
2018-03-14,1520985600,34.012,34.012,34.012,34.012,200,34.591,-0.58,-0.02,29.543,25.24,38.977,4.96,0.15,1,30.7,32.13,38.09,37.07,,,36.76,,False,False,False
2018-03-15,1521072000,38.977,38.977,38.977,38.977,100,29.543,9.43,0.32,25.24,34.012,38.977,0.0,0.0,-1,32.47,32.03,37.66,37.42,,,37.07,,False,False,False
2018-03-16,1521158400,38.977,38.977,38.977,38.977,0,25.24,13.74,0.54,34.012,38.977,38.977,0.0,0.0,-1,33.35,32.53,37.23,37.8,,,37.42,,False,False,False
2018-03-19,1521417600,38.977,38.977,38.977,38.977,0,34.012,4.96,0.15,38.977,38.977,35.584,-3.39,-0.09,-1,35.24,33.53,36.8,38.18,,,37.8,,False,False,False
2018-03-20,1521504000,35.584,35.584,35.584,35.584,500,38.977,-3.39,-0.09,38.977,38.977,35.584,0.0,0.0,-1,37.31,33.76,35.84,38.44,,,38.18,,False,False,False
2018-03-21,1521590400,35.584,35.584,35.584,35.584,0,38.977,-3.39,-0.09,38.977,35.584,35.584,0.0,0.0,-1,37.62,34.16,35.06,38.64,,,38.44,,False,False,False
2018-03-22,1521676800,35.584,35.584,35.584,35.584,0,38.977,-3.39,-0.09,35.584,35.584,35.584,0.0,0.0,-1,36.94,34.71,34.66,38.77,,,38.64,,False,False,False
2018-03-23,1521763200,35.584,35.584,35.584,35.584,0,35.584,0.0,0.0,35.584,35.584,33.101,-2.48,-0.07,-1,36.26,34.81,34.58,38.9,,,38.77,,False,False,False
2018-03-26,1522022400,33.101,33.101,33.101,33.101,200,35.584,-2.48,-0.07,35.584,35.584,33.101,0.0,0.0,-1,35.09,35.16,34.47,38.9,,,38.9,,False,False,False
2018-03-27,1522108800,33.101,33.101,33.101,33.101,0,35.584,-2.48,-0.07,35.584,33.101,33.101,0.0,0.0,-1,34.59,35.95,34.08,38.81,,,38.9,,False,False,False
2018-03-28,1522195200,33.101,33.101,33.101,33.101,0,35.584,-2.48,-0.07,33.101,33.101,33.101,0.0,0.0,-1,34.09,35.86,34.0,38.73,,,38.81,,False,False,False
2018-03-29,1522281600,33.101,33.101,33.101,33.101,0,33.101,0.0,0.0,33.101,33.101,37.983,4.88,0.15,1,33.6,35.27,33.65,38.65,,,38.73,,False,False,False
2018-03-30,1522368000,33.101,37.983,33.101,37.983,700,33.101,4.88,0.15,33.101,33.101,37.322,-0.66,-0.02,-1,34.08,35.17,33.85,38.66,,,38.65,,False,False,False
2018-04-02,1522627200,37.322,37.322,37.322,37.322,0,33.101,4.22,0.13,33.101,37.983,37.239,-0.08,-0.0,-1,34.92,35.0,34.27,38.67,,,38.66,,False,False,False
2018-04-03,1522713600,34.757,37.239,34.757,37.239,300,33.101,4.14,0.13,37.983,37.322,35.584,-1.65,-0.04,-1,35.75,35.17,34.47,38.67,,,38.67,,False,False,False
2018-04-04,1522800000,35.584,35.584,35.584,35.584,0,37.983,-2.4,-0.06,37.322,37.239,35.584,0.0,0.0,-1,36.25,35.17,34.67,38.63,,,38.67,,False,False,False
2018-04-05,1522886400,35.584,35.584,35.584,35.584,0,37.322,-1.74,-0.05,37.239,35.584,35.584,0.0,0.0,-1,36.74,35.17,34.94,38.6,,,38.63,,False,False,False
2018-04-06,1522972800,35.584,35.584,35.584,35.584,100,37.239,-1.65,-0.04,35.584,35.584,35.584,0.0,0.0,-1,36.26,35.17,34.99,38.57,,,38.6,,False,False,False
2018-04-09,1523232000,35.584,35.584,35.584,35.584,0,35.584,0.0,0.0,35.584,35.584,35.584,0.0,0.0,-1,35.92,35.42,35.29,38.53,,,38.57,,False,False,False
2018-04-10,1523318400,35.584,35.584,35.584,35.584,0,35.584,0.0,0.0,35.584,35.584,35.584,0.0,0.0,-1,35.58,35.67,35.81,38.5,,,38.53,,False,False,False
2018-04-11,1523404800,35.584,35.584,35.584,35.584,200,35.584,0.0,0.0,35.584,35.584,35.584,0.0,0.0,-1,35.58,35.91,35.89,38.36,,,38.5,,False,False,False
2018-04-12,1523491200,35.584,35.584,35.584,35.584,0,35.584,0.0,0.0,35.584,35.584,35.584,0.0,0.0,-1,35.58,36.16,35.72,38.25,,,38.36,,False,False,False
2018-04-13,1523577600,35.584,35.584,35.584,35.584,0,35.584,0.0,0.0,35.584,35.584,35.584,0.0,0.0,-1,35.58,35.92,35.55,38.02,,,38.25,,False,False,False
2018-04-16,1523836800,35.584,35.584,35.584,35.584,0,35.584,0.0,0.0,35.584,35.584,35.584,0.0,0.0,-1,35.58,35.75,35.38,37.79,,,38.02,,False,False,False
2018-04-17,1523923200,35.584,35.584,35.584,35.584,0,35.584,0.0,0.0,35.584,35.584,35.584,0.0,0.0,-1,35.58,35.58,35.38,37.56,,,37.79,,False,False,False
2018-04-18,1524009600,35.584,35.584,35.584,35.584,0,35.584,0.0,0.0,35.584,35.584,35.584,0.0,0.0,-1,35.58,35.58,35.38,37.33,,,37.56,,False,False,False
2018-04-19,1524096000,35.584,35.584,35.584,35.584,0,35.584,0.0,0.0,35.584,35.584,35.584,0.0,0.0,-1,35.58,35.58,35.38,37.1,,,37.33,,False,False,False
2018-04-20,1524182400,35.584,35.584,35.584,35.584,0,35.584,0.0,0.0,35.584,35.584,40.88,5.3,0.15,1,35.58,35.58,35.38,37.0,,,37.1,,False,False,False
2018-04-23,1524441600,40.88,40.88,40.88,40.88,100,35.584,5.3,0.15,35.584,35.584,40.88,0.0,0.0,-1,36.64,36.11,35.77,37.02,,,37.0,,False,False,False
2018-04-24,1524528000,40.88,40.88,40.88,40.88,0,35.584,5.3,0.15,35.584,40.88,47.004,6.12,0.15,1,37.7,36.64,36.15,37.03,,,37.02,,False,False,False
2018-04-26,1524700800,47.004,47.004,47.004,47.004,100,35.584,11.42,0.32,40.88,40.88,47.004,0.0,0.0,-1,39.99,37.79,36.85,37.15,,,37.03,,False,False,False
2018-04-27,1524787200,47.004,47.004,47.004,47.004,0,40.88,6.12,0.15,40.88,47.004,47.004,0.0,0.0,-1,42.27,38.93,37.55,37.13,,,37.15,,False,False,False
