date,timestamp,open,high,low,close,volume
2002-01-02,1009929600,2.915,2.915,2.915,2.915,1700
2002-01-04,1010102400,2.884,2.884,2.884,2.884,1400
2002-01-07,1010361600,15.773,15.773,15.773,15.773,27200
2002-01-09,1010534400,2.821,2.821,2.821,2.821,27500
2002-01-11,1010707200,2.791,2.791,2.791,2.791,14400
2002-01-14,1010966400,2.765,2.765,2.765,2.765,19200
2002-01-16,1011139200,2.743,2.743,2.743,2.743,7300
2002-01-18,1011312000,2.717,2.717,2.717,2.717,5100
2002-01-21,1011571200,2.693,2.693,2.693,2.693,7300
2002-01-23,1011744000,2.717,2.717,2.717,2.717,60000
2002-01-25,1011916800,14.657,14.657,14.657,14.657,27200
2002-01-28,1012176000,2.717,2.717,2.717,2.717,2500
2002-01-30,1012348800,2.693,2.693,2.693,2.693,129300
2002-02-01,1012521600,2.66,2.66,2.66,2.66,138600
2002-02-04,1012780800,2.693,2.693,2.693,2.693,80100
2002-02-06,1012953600,2.717,2.717,2.717,2.717,48500
2002-02-08,1013126400,2.717,2.717,2.717,2.717,74900
2002-02-18,1013990400,2.693,2.693,2.693,2.693,19900
2002-02-20,1014163200,2.66,2.66,2.66,2.66,45200
2002-02-22,1014336000,2.637,2.637,2.637,2.637,28800
2002-02-25,1014595200,2.611,2.611,2.611,2.611,17700
2002-02-27,1014768000,2.588,2.588,2.588,2.588,35600
2002-03-01,1014940800,2.611,2.611,2.611,2.611,93000
2002-03-04,1015200000,2.588,2.588,2.588,2.588,77700
2002-03-05,1015286400,2.563,2.563,2.563,2.563,21500
2002-03-06,1015372800,2.539,2.539,2.539,2.539,30500
2002-03-07,1015459200,2.519,2.519,2.519,2.519,21700
2002-03-08,1015545600,2.502,2.502,2.502,2.502,77400
2002-03-11,1015804800,2.502,2.502,2.502,2.502,113000
2002-03-12,1015891200,2.519,2.519,2.519,2.519,24100
2002-03-13,1015977600,2.539,2.539,2.539,2.539,12000
2002-03-14,1016064000,2.556,2.556,2.556,2.556,1900
2002-03-15,1016150400,2.582,2.582,2.582,2.582,101600
2002-03-18,1016409600,2.563,2.563,2.563,2.563,106900
2002-03-19,1016496000,2.539,2.539,2.539,2.539,29900
2002-03-20,1016582400,2.556,2.556,2.556,2.556,118900
2002-03-21,1016668800,2.556,2.556,2.556,2.556,28400
2002-03-22,1016755200,2.545,2.545,2.545,2.545,47900
2002-03-25,1017014400,2.57,2.57,2.57,2.57,32300
2002-03-26,1017100800,2.593,2.593,2.593,2.593,2600
2002-03-27,1017187200,2.619,2.619,2.619,2.619,39000
2002-03-28,1017273600,2.643,2.643,2.643,2.643,10400
2002-03-29,1017360000,2.668,2.668,2.668,2.668,7500
2002-04-01,1017619200,2.693,2.693,2.693,2.693,30100
2002-04-02,1017705600,2.717,2.717,2.717,2.717,11400
2002-04-03,1017792000,2.748,2.748,2.748,2.748,187500
2002-04-04,1017878400,2.765,2.765,2.765,2.765,80600
2002-04-05,1017964800,2.743,2.743,2.743,2.743,35400
2002-04-08,1018224000,2.717,2.717,2.717,2.717,62000
2002-04-09,1018310400,2.743,2.743,2.743,2.743,32900
2002-04-10,1018396800,2.743,2.743,2.743,2.743,50100
2002-04-11,1018483200,2.748,2.748,2.748,2.748,38800
2002-04-12,1018569600,2.735,2.735,2.735,2.735,33800
2002-04-15,1018828800,2.748,2.748,2.748,2.748,26400
2002-04-16,1018915200,2.748,2.748,2.748,2.748,29900
2002-04-17,1019001600,2.73,2.73,2.73,2.73,20800
2002-04-18,1019088000,2.753,2.753,2.753,2.753,32700
2002-04-19,1019174400,2.779,2.779,2.779,2.779,47900
2002-04-22,1019433600,2.779,2.779,2.779,2.779,25800
2002-04-23,1019520000,2.797,2.797,2.797,2.797,38600
2002-04-24,1019606400,2.829,2.829,2.829,2.829,21200
2002-04-25,1019692800,2.858,2.858,2.858,2.858,65100
2002-04-26,1019779200,2.884,2.884,2.884,2.884,38000
2002-05-02,1020297600,2.915,2.915,2.915,2.915,13600
2002-05-03,1020384000,2.944,2.944,2.944,2.944,3800
2002-05-06,1020643200,2.976,2.976,2.976,2.976,9800
2002-05-07,1020729600,2.944,2.944,2.944,2.944,79000
2002-05-08,1020816000,2.915,2.915,2.915,2.915,86100
2002-05-09,1020902400,2.944,2.944,2.944,2.944,29200
2002-05-10,1020988800,2.976,2.976,2.976,2.976,18300
2002-05-13,1021248000,2.976,2.976,2.976,2.976,77000
2002-05-14,1021334400,2.976,2.976,2.976,2.976,43900
2002-05-15,1021420800,2.976,2.976,2.976,2.976,60600
2002-05-16,1021507200,2.976,2.976,2.976,2.976,43000
2002-05-17,1021593600,2.963,2.963,2.963,2.963,50900
2002-05-20,1021852800,2.939,2.939,2.939,2.939,39100
2002-05-21,1021939200,2.963,2.963,2.963,2.963,36500
2002-05-22,1022025600,2.952,2.952,2.952,2.952,8000
2002-05-23,1022112000,2.952,2.952,2.952,2.952,16400
2002-05-24,1022198400,2.952,2.952,2.952,2.952,35100
2002-05-27,1022457600,2.933,2.933,2.933,2.933,41400
2002-05-28,1022544000,2.933,2.933,2.933,2.933,63500
2002-05-29,1022630400,2.926,2.926,2.926,2.926,34400
2002-05-30,1022716800,2.933,2.933,2.933,2.933,15500
2002-05-31,1022803200,2.963,2.963,2.963,2.963,7500
2002-06-03,1023062400,2.988,2.988,2.988,2.988,34900
2002-06-04,1023148800,2.956,2.956,2.956,2.956,19500
2002-06-05,1023235200,2.956,2.956,2.956,2.956,12900
2002-06-06,1023321600,2.956,2.956,2.956,2.956,12200
2002-06-07,1023408000,2.956,2.956,2.956,2.956,22500
2002-06-10,1023667200,2.976,2.976,2.976,2.976,28500
2002-06-11,1023753600,2.956,2.956,2.956,2.956,9900
2002-06-12,1023840000,2.956,2.956,2.956,2.956,14200
2002-06-13,1023926400,2.939,2.939,2.939,2.939,11300
2002-06-14,1024012800,2.915,2.915,2.915,2.915,28300
2002-06-17,1024272000,2.884,2.884,2.884,2.884,45300
2002-06-18,1024358400,2.853,2.853,2.853,2.853,7100
2002-06-19,1024444800,2.821,2.821,2.821,2.821,11000
2002-06-20,1024531200,2.853,2.853,2.853,2.853,55800
2002-06-21,1024617600,2.884,2.884,2.884,2.884,3500
2002-06-24,1024876800,2.915,2.915,2.915,2.915,300
2002-06-25,1024963200,2.939,2.939,2.939,2.939,26700
2002-06-26,1025049600,2.939,2.939,2.939,2.939,32700
2002-06-27,1025136000,2.944,2.944,2.944,2.944,26900
2002-06-28,1025222400,2.976,2.976,2.976,2.976,34800
2002-07-01,1025481600,2.956,2.956,2.956,2.956,16100
2002-07-02,1025568000,2.963,2.963,2.963,2.963,14000
2002-07-03,1025654400,2.976,2.976,2.976,2.976,28900
2002-07-04,1025740800,2.963,2.963,2.963,2.963,21900
2002-07-05,1025827200,2.976,2.976,2.976,2.976,22500
2002-07-08,1026086400,2.963,2.963,2.963,2.963,13900
2002-07-09,1026172800,2.939,2.939,2.939,2.939,17700
2002-07-10,1026259200,2.939,2.939,2.939,2.939,36100
2002-07-11,1026345600,2.956,2.956,2.956,2.956,46400
2002-07-12,1026432000,2.956,2.956,2.956,2.956,48700
2002-07-15,1026691200,2.956,2.956,2.956,2.956,83700
2002-07-16,1026777600,2.963,2.963,2.963,2.963,28800
2002-07-17,1026864000,2.933,2.933,2.933,2.933,21300
2002-07-18,1026950400,2.901,2.901,2.901,2.901,15000
2002-07-19,1027036800,10.646,10.646,10.646,10.646,26700
2002-07-22,1027296000,2.884,2.884,2.884,2.884,46900
2002-07-23,1027382400,2.915,2.915,2.915,2.915,9600
2002-07-24,1027468800,2.944,2.944,2.944,2.944,57300
2002-07-25,1027555200,2.915,2.915,2.915,2.915,30300
2002-07-26,1027641600,2.933,2.933,2.933,2.933,14200
2002-07-29,1027900800,2.915,2.915,2.915,2.915,23000
2002-07-30,1027987200,2.926,2.926,2.926,2.926,17700
2002-07-31,1028073600,2.908,2.908,2.908,2.908,25100
2002-08-01,1028160000,2.908,2.908,2.908,2.908,11200
2002-08-02,1028246400,2.895,2.895,2.895,2.895,22800
2002-08-05,1028505600,2.873,2.873,2.873,2.873,44500
2002-08-06,1028592000,2.873,2.873,2.873,2.873,20800
2002-08-07,1028678400,2.873,2.873,2.873,2.873,26400
2002-08-08,1028764800,2.873,2.873,2.873,2.873,22200
