date,timestamp,open,high,low,close,volume
2003-01-02,1041465600,7.74,7.74,7.74,7.74,1500
2003-01-03,1041552000,8.044,8.044,8.044,8.044,0
2003-01-06,1041811200,7.653,7.653,7.653,7.653,1100
2003-01-07,1041897600,7.623,7.623,7.623,7.623,1000
2003-01-08,1041984000,7.623,7.623,7.623,7.623,2000
2003-01-09,1042070400,7.601,7.601,7.601,7.601,1000
2003-01-10,1042156800,7.653,7.653,7.653,7.653,400
2003-01-13,1042416000,7.601,7.601,7.601,7.601,2200
2003-01-14,1042502400,7.601,7.601,7.601,7.601,200
2003-01-15,1042588800,7.578,7.578,7.578,7.578,4200
2003-01-16,1042675200,7.578,7.578,7.578,7.578,4900
2003-01-17,1042761600,7.535,7.535,7.535,7.535,1700
2003-01-20,1043020800,7.623,7.623,7.623,7.623,4400
2003-01-21,1043107200,7.578,7.578,7.578,7.578,1900
2003-01-22,1043193600,7.556,7.556,7.556,7.556,2200
2003-01-23,1043280000,7.556,7.556,7.556,7.556,3200
2003-01-24,1043366400,7.74,7.74,7.74,7.74,6100
2003-01-27,1043625600,7.83,7.83,7.83,7.83,9100
2003-01-28,1043712000,7.512,7.512,7.512,7.512,7200
2003-02-10,1044835200,7.217,7.217,7.217,7.217,2200
2003-02-11,1044921600,6.944,6.944,6.944,6.944,6600
2003-02-12,1045008000,6.663,6.663,6.663,6.663,48600
2003-02-13,1045094400,6.922,6.922,6.922,6.922,1600
2003-02-14,1045180800,7.187,7.187,7.187,7.187,3800
2003-02-17,1045440000,7.172,7.172,7.172,7.172,5700
2003-02-18,1045526400,7.172,7.172,7.172,7.172,10000
2003-02-19,1045612800,7.172,7.172,7.172,7.172,9900
2003-02-20,1045699200,7.032,7.032,7.032,7.032,5000
2003-02-21,1045785600,7.305,7.305,7.305,7.305,5300
2003-02-24,1046044800,7.305,7.305,7.305,7.305,0
2003-02-25,1046131200,7.009,7.009,7.009,7.009,3800
2003-02-26,1046217600,7.032,7.032,7.032,7.032,6200
2003-02-27,1046304000,7.032,7.032,7.032,7.032,6300
2003-02-28,1046390400,7.128,7.128,7.128,7.128,10400
2003-03-03,1046649600,7.394,7.394,7.394,7.394,10600
2003-03-04,1046736000,7.394,7.394,7.394,7.394,8100
2003-03-05,1046822400,7.187,7.187,7.187,7.187,5300
2003-03-06,1046908800,7.187,7.187,7.187,7.187,2400
2003-03-07,1046995200,7.283,7.283,7.283,7.283,4000
2003-03-10,1047254400,7.305,7.305,7.305,7.305,5000
2003-03-11,1047340800,7.305,7.305,7.305,7.305,6000
2003-03-12,1047427200,7.305,7.305,7.305,7.305,2600
2003-03-13,1047513600,7.594,7.594,7.594,7.594,3000
2003-03-14,1047600000,7.305,7.305,7.305,7.305,4100
2003-03-17,1047859200,7.305,7.305,7.305,7.305,3100
2003-03-18,1047945600,7.305,7.305,7.305,7.305,2700
2003-03-19,1048032000,7.305,7.305,7.305,7.305,3300
2003-03-20,1048118400,7.239,7.239,7.239,7.239,5800
2003-03-21,1048204800,7.239,7.239,7.239,7.239,5700
2003-03-24,1048464000,7.076,7.076,7.076,7.076,12500
2003-03-25,1048550400,7.128,7.128,7.128,7.128,3100
2003-03-26,1048636800,7.143,7.143,7.143,7.143,6800
2003-03-27,1048723200,7.128,7.128,7.128,7.128,4700
2003-03-28,1048809600,7.054,7.054,7.054,7.054,3600
2003-03-31,1049068800,6.854,6.854,6.854,6.854,5800
2003-04-01,1049155200,6.899,6.899,6.899,6.899,5800
2003-04-02,1049241600,7.128,7.128,7.128,7.128,1100
2003-04-03,1049328000,7.239,7.239,7.239,7.239,7100
2003-04-04,1049414400,7.239,7.239,7.239,7.239,3600
2003-04-07,1049673600,7.239,7.239,7.239,7.239,7700
2003-04-08,1049760000,7.187,7.187,7.187,7.187,3600
2003-04-09,1049846400,7.076,7.076,7.076,7.076,5900
2003-04-10,1049932800,7.076,7.076,7.076,7.076,1500
2003-04-11,1050019200,7.143,7.143,7.143,7.143,1100
2003-04-14,1050278400,7.143,7.143,7.143,7.143,3300
2003-04-15,1050364800,7.143,7.143,7.143,7.143,1500
2003-04-16,1050451200,7.143,7.143,7.143,7.143,1700
2003-04-17,1050537600,7.143,7.143,7.143,7.143,5400
2003-04-18,1050624000,7.283,7.283,7.283,7.283,1400
2003-04-21,1050883200,7.283,7.283,7.283,7.283,6700
2003-04-22,1050969600,7.283,7.283,7.283,7.283,6700
2003-04-23,1051056000,7.305,7.305,7.305,7.305,6900
2003-04-24,1051142400,7.349,7.349,7.349,7.349,2600
2003-04-25,1051228800,7.349,7.349,7.349,7.349,11300
2003-04-28,1051488000,7.349,7.349,7.349,7.349,6800
2003-04-29,1051574400,7.328,7.328,7.328,7.328,5000
2003-05-05,1052092800,7.38,7.38,7.38,7.38,9900
2003-05-06,1052179200,7.394,7.394,7.394,7.394,10100
2003-05-07,1052265600,7.445,7.445,7.445,7.445,3900
2003-05-08,1052352000,7.512,7.512,7.512,7.512,5900
2003-05-09,1052438400,7.623,7.623,7.623,7.623,4700
2003-05-12,1052697600,7.74,7.74,7.74,7.74,10900
2003-05-13,1052784000,7.74,7.74,7.74,7.74,5100
2003-05-14,1052870400,7.74,7.74,7.74,7.74,11900
2003-05-15,1052956800,7.667,7.667,7.667,7.667,18000
2003-05-16,1053043200,7.667,7.667,7.667,7.667,3200
2003-05-19,1053302400,7.623,7.623,7.623,7.623,4000
2003-05-20,1053388800,7.512,7.512,7.512,7.512,16400
2003-05-21,1053475200,7.535,7.535,7.424,7.424,7400
2003-05-22,1053561600,7.401,7.512,7.401,7.512,580
2003-05-23,1053648000,7.512,7.512,7.512,7.512,820
2003-05-26,1053907200,7.512,7.512,7.512,7.512,3630
2003-05-27,1053993600,7.504,7.535,7.504,7.535,3200
2003-05-28,1054080000,7.527,7.578,7.527,7.578,1240
2003-05-29,1054166400,7.578,7.578,7.578,7.578,9200
2003-05-30,1054252800,7.578,7.578,7.578,7.578,1200
2003-06-02,1054512000,7.586,7.586,7.535,7.535,2530
2003-06-03,1054598400,7.535,7.535,7.504,7.535,11600
2003-06-04,1054684800,7.512,7.542,7.512,7.512,2110
2003-06-05,1054771200,7.504,7.535,7.504,7.535,200
2003-06-06,1054857600,7.535,7.535,7.535,7.535,2000
