date,timestamp,open,high,low,close,volume
2007-01-02,1167696000,32.686,33.705,32.686,32.686,8700
2007-01-03,1167782400,32.92,32.92,31.745,32.92,18400
2007-01-04,1167868800,32.92,32.92,32.607,32.764,34850
2007-01-05,1167955200,32.92,32.92,32.137,32.92,36150
2007-01-08,1168214400,32.92,32.92,32.215,32.215,28950
2007-01-09,1168300800,32.137,32.215,32.137,32.137,30090
2007-01-10,1168387200,32.529,32.529,32.293,32.293,26540
2007-01-11,1168473600,31.745,32.137,31.745,32.137,42430
2007-01-12,1168560000,32.137,32.137,30.569,30.569,76320
2007-01-15,1168819200,31.824,31.824,30.569,30.569,69570
2007-01-16,1168905600,30.569,31.354,30.569,31.354,29760
2007-01-17,1168992000,30.569,30.569,29.864,29.864,46150
2007-01-18,1169078400,30.569,30.569,30.256,30.569,19250
2007-01-19,1169164800,30.178,30.569,30.178,30.178,31580
2007-01-22,1169424000,30.178,30.178,29.002,29.393,28350
2007-01-23,1169510400,29.786,29.786,29.786,29.786,119380
2007-01-24,1169596800,30.569,31.118,30.569,31.118,139610
2007-01-25,1169683200,32.607,32.607,32.137,32.137,97940
2007-01-26,1169769600,30.569,31.667,30.569,31.667,75540
2007-01-29,1170028800,31.354,31.511,31.354,31.354,20000
2007-01-30,1170115200,31.354,31.354,31.354,31.354,22750
2007-01-31,1170201600,31.354,31.745,30.569,30.569,28750
2007-02-01,1170288000,30.569,31.354,30.569,31.354,18980
2007-02-02,1170374400,31.354,31.354,31.354,31.354,9410
2007-02-05,1170633600,31.275,31.354,30.569,31.275,19300
2007-02-06,1170720000,31.275,31.354,31.275,31.275,50050
2007-02-07,1170806400,31.745,32.058,31.745,31.745,57690
2007-02-08,1170892800,31.745,32.529,31.745,31.745,60190
2007-02-09,1170979200,31.354,31.745,31.354,31.354,31990
2007-02-12,1171238400,32.101,32.101,31.941,31.941,22400
2007-02-13,1171324800,32.101,32.904,32.101,32.101,28470
2007-02-14,1171411200,32.101,32.904,32.101,32.101,41300
2007-02-15,1171497600,32.101,32.503,32.101,32.101,58560
2007-02-26,1172448000,32.904,32.904,32.824,32.904,77120
2007-02-27,1172534400,34.508,34.508,34.508,34.508,64840
2007-02-28,1172620800,36.194,36.194,36.194,36.194,70000
2007-03-01,1172707200,37.959,37.959,37.959,37.959,59940
2007-03-02,1172793600,39.806,39.806,39.806,39.806,120360
2007-03-05,1173052800,41.732,41.732,41.732,41.732,63950
2007-03-06,1173139200,43.738,43.738,43.738,43.738,5690
2007-03-07,1173225600,45.744,45.744,45.744,45.744,26850
2007-03-08,1173312000,47.751,47.751,45.744,47.751,375040
2007-03-09,1173398400,47.751,48.954,47.751,48.954,319120
2007-03-12,1173657600,51.362,51.362,50.56,50.961,234330
2007-03-13,1173744000,53.368,53.368,53.368,53.368,220570
2007-03-14,1173830400,52.968,55.776,52.968,52.968,185730
2007-03-15,1173916800,50.56,50.56,50.56,50.56,30730
2007-03-16,1174003200,48.152,52.968,48.152,52.968,201730
2007-03-19,1174262400,53.769,53.769,51.362,51.362,81080
2007-03-20,1174348800,51.362,52.968,52.165,52.968,205150
2007-03-21,1174435200,50.56,51.362,50.56,50.56,23960
2007-03-22,1174521600,48.152,48.152,48.152,48.152,16490
2007-03-23,1174608000,45.744,45.744,45.744,45.744,73780
2007-03-26,1174867200,43.738,43.738,43.738,43.738,7210
2007-03-27,1174953600,41.732,41.732,41.732,41.732,1930
2007-03-28,1175040000,40.127,40.127,39.644,39.644,18520
2007-03-29,1175126400,39.324,41.33,39.324,41.33,35470
2007-03-30,1175212800,43.337,43.337,40.929,40.929,60680
2007-04-02,1175472000,39.324,39.324,38.923,38.923,37980
2007-04-03,1175558400,36.997,36.997,36.997,36.997,46880
2007-04-04,1175644800,36.997,37.318,35.311,37.318,67270
2007-04-05,1175731200,37.719,37.879,37.719,37.879,29030
2007-04-06,1175817600,37.879,37.879,37.639,37.639,22340
2007-04-09,1176076800,36.114,36.114,36.114,36.114,27490
2007-04-10,1176163200,35.712,35.712,35.712,35.712,31070
2007-04-11,1176249600,36.515,36.515,35.712,36.435,18080
2007-04-12,1176336000,36.916,36.916,36.114,36.114,22050
2007-04-13,1176422400,36.114,36.114,34.99,34.99,24460
2007-04-16,1176681600,34.67,34.67,33.305,33.305,17270
