date,timestamp,open,high,low,close,volume
2007-01-02,1167696000,3.416,3.631,3.416,3.594,43000
2007-01-03,1167782400,3.67,4.03,3.67,3.869,70700
2007-01-04,1167868800,3.869,4.097,3.869,4.074,32300
2007-01-05,1167955200,3.991,4.385,3.952,4.074,68200
2007-01-08,1168214400,3.997,4.069,3.952,3.997,41000
2007-01-09,1168300800,3.787,4.013,3.655,3.776,25500
2007-01-10,1168387200,3.781,4.013,3.781,3.892,44500
2007-01-11,1168473600,3.952,4.19,3.952,4.074,92100
2007-01-12,1168560000,4.048,4.19,3.952,4.013,42800
2007-01-15,1168819200,4.048,4.444,4.013,4.013,40800
2007-01-16,1168905600,4.013,4.13,3.83,4.057,49400
2007-01-17,1168992000,3.836,3.98,3.715,3.836,27200
2007-01-18,1169078400,3.787,3.836,3.715,3.836,35500
2007-01-19,1169164800,3.787,3.952,3.77,3.952,44200
2007-01-22,1169424000,3.869,4.251,3.83,3.869,69700
2007-01-23,1169510400,3.952,4.312,3.892,3.892,58700
2007-01-24,1169596800,4.003,4.19,3.952,4.085,133900
2007-01-25,1169683200,4.062,4.19,3.974,4.146,85200
2007-01-26,1169769600,4.118,4.527,4.097,4.527,118400
2007-01-29,1170028800,4.765,4.765,4.765,4.765,25400
2007-01-30,1170115200,5.234,5.234,5.234,5.234,43500
2007-01-31,1170201600,5.749,5.749,5.749,5.749,56900
2007-02-01,1170288000,6.324,6.324,6.324,6.324,101700
2007-02-02,1170374400,6.949,6.949,6.949,6.949,74100
2007-02-05,1170633600,7.64,7.64,7.64,7.64,21300
2007-02-06,1170720000,7.668,8.397,7.668,7.966,273700
2007-02-07,1170806400,8.236,8.861,7.783,8.381,218500
2007-02-08,1170892800,8.098,8.385,7.844,8.087,86700
2007-02-09,1170979200,7.668,8.143,7.291,7.723,44300
2007-02-12,1171238400,7.618,8.087,7.186,7.628,39600
2007-02-13,1171324800,7.783,8.376,7.783,8.264,55200
2007-02-14,1171411200,8.131,8.932,8.131,8.746,67700
2007-02-15,1171497600,8.922,9.68,8.922,9.68,86000
2007-02-26,1172448000,10.47,10.47,10.47,10.47,31400
2007-02-27,1172534400,11.509,11.509,11.509,11.509,12700
2007-02-28,1172620800,12.66,12.66,12.66,12.66,165200
2007-03-01,1172707200,12.958,13.92,12.958,13.775,145500
2007-03-02,1172793600,13.715,14.433,13.163,14.135,90700
2007-03-05,1173052800,13.775,15.08,13.775,15.08,83500
2007-03-06,1173139200,15.573,16.218,15.573,15.932,69800
2007-03-07,1173225600,15.573,17.247,14.374,15.451,46200
2007-03-08,1173312000,14.34,14.97,14.013,14.013,48800
2007-03-09,1173398400,13.605,14.25,13.173,13.655,71800
2007-03-12,1173657600,13.605,14.959,13.234,13.892,64000
2007-03-13,1173744000,13.821,14.97,13.173,13.892,81200
2007-03-14,1173830400,13.416,14.013,12.742,12.935,48400
2007-03-15,1173916800,12.184,12.698,12.072,12.576,78800
2007-03-16,1174003200,12.217,13.388,12.217,13.388,37500
2007-03-19,1174262400,13.416,14.433,13.416,13.775,47900
2007-03-20,1174348800,13.582,14.135,12.527,13.533,23000
2007-03-21,1174435200,13.582,14.135,13.295,13.655,56300
2007-03-22,1174521600,13.582,14.135,12.819,13.163,45600
2007-03-23,1174608000,13.582,14.937,13.355,14.853,112200
2007-03-26,1174867200,14.505,15.965,13.775,13.775,42800
2007-03-27,1174953600,13.246,14.135,13.058,13.058,12600
2007-03-28,1175040000,12.338,13.892,11.929,13.892,81600
2007-03-29,1175126400,13.179,13.571,13.179,13.571,16900
2007-03-30,1175212800,13.5,14.842,13.477,13.477,56800
2007-04-02,1175472000,12.686,13.416,12.66,12.66,44400
2007-04-03,1175558400,12.051,13.173,11.498,11.979,36700
2007-04-04,1175644800,12.051,12.819,11.377,12.819,26600
2007-04-05,1175731200,12.156,12.935,11.858,12.1,28700
2007-04-06,1175817600,11.681,11.99,11.498,11.736,39900
2007-04-09,1176076800,11.681,11.796,11.681,11.736,17900
2007-04-10,1176163200,11.701,12.819,11.62,11.669,21600
2007-04-11,1176249600,11.543,11.726,11.377,11.377,13200
2007-04-12,1176336000,10.924,11.62,10.542,10.78,22600
2007-04-13,1176422400,9.94,10.901,9.835,9.846,37300
2007-04-16,1176681600,9.104,9.58,8.945,8.945,26800
2007-04-17,1176768000,8.408,10.0,8.276,8.564,51100
2007-04-18,1176854400,8.624,9.248,8.624,9.248,13000
2007-04-19,1176940800,9.221,9.94,9.221,9.221,47900
2007-04-20,1177027200,8.851,9.104,8.719,8.806,23400
2007-04-23,1177286400,8.298,8.746,8.143,8.225,16700
2007-04-24,1177372800,8.385,8.624,8.385,8.502,21900
2007-04-25,1177459200,8.519,8.806,7.668,8.746,22600
2007-05-02,1178064000,8.564,8.746,8.446,8.624,5000
2007-05-03,1178150400,8.54,8.624,8.204,8.564,18600
2007-05-04,1178236800,8.376,8.508,8.325,8.325,16800
2007-05-07,1178496000,8.376,9.198,8.159,8.746,24700
2007-05-08,1178582400,8.746,9.104,8.746,8.866,30900
2007-05-09,1178668800,8.828,9.104,8.564,8.612,19800
2007-05-10,1178755200,8.397,8.524,8.303,8.397,17200
2007-05-11,1178841600,8.491,8.756,8.385,8.746,14700
2007-05-14,1179100800,8.624,8.861,8.624,8.806,38400
2007-05-15,1179187200,8.767,8.922,8.624,8.746,22100
2007-05-16,1179273600,8.635,8.806,8.564,8.564,27800
2007-05-17,1179360000,8.635,8.685,8.624,8.656,13400
2007-05-18,1179446400,8.662,8.961,8.624,8.961,42100
2007-05-21,1179705600,9.104,9.702,9.104,9.702,29600
2007-05-22,1179792000,10.586,10.586,10.586,10.586,8000
2007-05-23,1179878400,10.586,11.642,10.182,11.139,112700
2007-05-24,1179964800,10.399,11.299,10.337,10.399,30900
2007-05-25,1180051200,10.453,11.139,9.415,10.901,78000
2007-05-28,1180310400,10.532,11.26,10.532,10.647,37700
2007-05-29,1180396800,10.287,10.84,9.878,10.182,27000
2007-05-30,1180483200,9.895,10.155,9.596,10.0,40300
2007-05-31,1180569600,9.94,10.166,9.94,10.072,46300
2007-06-01,1180656000,10.331,11.023,10.331,10.536,48500
2007-06-04,1180915200,10.304,10.509,10.193,10.193,18400
2007-06-05,1181001600,10.21,10.747,9.916,10.127,20400
2007-06-06,1181088000,10.205,10.453,10.123,10.453,32500
2007-06-07,1181174400,10.399,10.602,10.399,10.399,19900
2007-06-08,1181260800,10.443,10.536,10.359,10.371,38400
2007-06-11,1181520000,10.193,10.331,10.056,10.304,6800
2007-06-12,1181606400,10.193,10.287,10.193,10.193,8100
2007-06-13,1181692800,10.193,10.315,10.056,10.221,22900
2007-06-14,1181779200,10.331,10.609,10.331,10.47,34400
2007-06-15,1181865600,10.492,10.602,10.465,10.52,22300
2007-06-18,1182124800,10.536,10.741,10.465,10.52,17200
2007-06-19,1182211200,10.443,10.602,10.331,10.399,6200
2007-06-20,1182297600,10.399,10.525,10.331,10.415,17500
2007-06-21,1182384000,10.277,10.399,10.193,10.193,15700
2007-06-22,1182470400,10.26,10.331,10.15,10.193,12900
2007-06-25,1182729600,10.056,10.26,9.916,9.972,24700
2007-06-26,1182816000,9.907,10.056,9.778,9.778,19300
2007-06-27,1182902400,9.713,10.056,9.503,9.519,14400
2007-06-28,1182988800,9.281,9.503,9.171,9.171,27900
2007-06-29,1183075200,8.883,9.088,8.607,8.746,32900
2007-07-02,1183334400,8.54,8.817,8.431,8.54,17000
2007-07-03,1183420800,8.391,9.132,8.22,8.337,19300
2007-07-04,1183507200,8.391,9.227,8.315,9.227,20200
2007-07-05,1183593600,8.956,9.348,8.746,8.746,40700
2007-07-06,1183680000,8.894,9.034,8.761,8.932,18400
2007-07-09,1183939200,8.9,9.094,8.746,9.094,16400
2007-07-10,1184025600,9.233,9.425,9.233,9.404,15700
2007-07-11,1184112000,9.342,9.907,9.326,9.829,37000
2007-07-12,1184198400,9.636,10.199,9.365,9.519,32200
2007-07-13,1184284800,9.636,10.586,9.326,10.099,39900
2007-07-16,1184544000,10.061,10.221,9.907,10.084,39600
2007-07-17,1184630400,10.066,10.26,10.066,10.123,31000
2007-07-18,1184716800,10.099,10.294,10.099,10.199,28600
2007-07-19,1184803200,9.944,10.199,9.811,9.867,17400
2007-07-20,1184889600,9.829,9.907,9.713,9.79,5200
2007-07-23,1185148800,9.695,9.829,9.619,9.713,4300
2007-07-24,1185235200,9.464,9.674,9.365,9.519,11100
2007-07-25,1185321600,9.233,9.271,9.132,9.248,14200
2007-07-26,1185408000,9.055,9.132,8.956,9.094,8600
2007-07-27,1185494400,9.055,9.188,8.8,9.132,13100
2007-07-30,1185753600,8.669,9.132,8.119,8.746,10700
2007-07-31,1185840000,8.585,8.746,8.353,8.353,11800
2007-08-01,1185926400,9.132,9.441,8.746,9.094,17000
2007-08-02,1186012800,9.132,9.326,8.939,8.994,5800
2007-08-03,1186099200,8.706,9.132,8.706,8.839,6200
2007-08-06,1186358400,8.645,8.74,8.546,8.662,7200
2007-08-07,1186444800,8.685,8.723,8.546,8.706,5600
2007-08-08,1186531200,8.701,8.8,8.701,8.779,9500
2007-08-09,1186617600,8.817,8.978,8.817,8.978,10300
2007-08-10,1186704000,9.034,9.034,8.761,8.817,6900
2007-08-13,1186963200,8.939,8.939,8.645,8.706,7600
2007-08-14,1187049600,8.551,8.824,8.551,8.746,12000
2007-08-15,1187136000,8.939,8.939,8.645,8.706,10900
2007-08-16,1187222400,8.645,8.746,8.551,8.645,17400
2007-08-17,1187308800,8.551,8.645,8.551,8.591,3900
2007-08-20,1187568000,8.645,8.645,8.47,8.607,6800
2007-08-21,1187654400,8.546,8.585,8.159,8.258,11300
2007-08-22,1187740800,7.966,8.159,7.966,8.004,11800
2007-08-23,1187827200,7.966,8.021,7.789,7.866,9000
2007-08-24,1187913600,7.966,7.966,7.866,7.943,20100
2007-08-27,1188172800,7.966,8.159,7.966,8.159,11900
2007-08-28,1188259200,8.453,8.453,8.258,8.315,1900
2007-08-29,1188345600,8.376,8.53,8.353,8.47,18200
2007-08-30,1188432000,9.034,9.265,8.546,9.265,70100
2007-08-31,1188518400,10.066,10.066,9.425,9.519,38700
2007-09-04,1188864000,9.519,9.713,9.227,9.326,11300
2007-09-05,1188950400,9.342,9.419,8.761,8.978,16700
2007-09-06,1189036800,8.939,9.713,8.861,9.326,35200
2007-09-07,1189123200,9.071,9.713,9.071,9.713,64500
2007-09-10,1189382400,9.734,9.79,9.519,9.619,19900
2007-09-11,1189468800,9.619,9.713,9.519,9.657,41000
2007-09-12,1189555200,9.619,9.907,9.619,9.773,61300
2007-09-13,1189641600,10.105,10.105,9.519,9.558,33900
2007-09-14,1189728000,9.811,10.492,9.713,10.431,116800
2007-09-17,1189987200,11.316,11.316,11.183,11.316,36800
2007-09-18,1190073600,12.444,12.444,11.841,12.079,159400
2007-09-19,1190160000,12.107,12.233,11.841,12.212,60200
2007-09-20,1190246400,11.974,12.233,11.841,11.996,77000
2007-09-21,1190332800,12.023,12.107,11.841,11.869,27400
2007-09-24,1190592000,11.89,11.89,11.736,11.813,58600
2007-09-25,1190678400,12.107,12.892,11.869,12.422,81800
2007-09-26,1190764800,12.632,12.681,12.366,12.444,56400
2007-09-27,1190851200,12.444,12.499,12.317,12.471,39200
2007-09-28,1190937600,12.366,13.655,12.366,13.655,87800
2007-10-01,1191196800,14.655,14.655,14.655,14.655,28400
2007-10-02,1191283200,16.103,16.103,15.921,15.921,170200
2007-10-03,1191369600,17.707,17.707,15.788,16.839,177600
2007-10-04,1191456000,16.578,18.105,16.578,18.105,146600
2007-10-05,1191542400,19.785,19.785,19.785,19.785,93700
2007-10-08,1191801600,21.758,21.758,19.996,19.996,163600
2007-10-09,1191888000,21.842,21.842,18.707,18.813,126900
2007-10-10,1191974400,19.735,20.68,18.679,20.525,212000
2007-10-11,1192060800,20.785,21.842,20.128,21.631,203000
2007-10-12,1192147200,22.366,22.626,21.443,22.366,165400
2007-10-15,1192406400,22.499,24.391,21.969,24.391,154300
