date,timestamp,open,high,low,close,volume
2008-01-02,1199232000,17.142,17.205,16.694,16.694,7080
2008-01-03,1199318400,16.694,16.825,16.694,16.694,10190
2008-01-04,1199404800,16.825,16.887,16.631,16.887,8510
2008-01-07,1199664000,16.631,16.887,16.306,16.306,8180
2008-01-08,1199750400,16.631,16.631,16.631,16.631,5390
2008-01-09,1199836800,16.95,16.95,15.989,15.989,10260
2008-01-10,1199923200,15.418,15.674,15.348,15.674,5800
2008-01-11,1200009600,14.9,16.306,14.9,15.348,8200
2008-01-14,1200268800,15.348,15.348,14.776,15.348,8620
2008-01-15,1200355200,14.644,14.713,14.581,14.581,21520
2008-01-16,1200441600,15.224,15.286,15.031,15.286,5090
2008-01-17,1200528000,15.989,15.989,14.713,15.224,20410
2008-01-18,1200614400,15.224,15.796,15.224,15.796,9030
2008-01-21,1200873600,15.348,15.418,15.348,15.348,7970
2008-01-22,1200960000,14.713,15.286,14.713,15.224,6490
2008-01-23,1201046400,15.031,15.031,14.581,14.581,11120
2008-01-24,1201132800,14.968,15.224,14.644,14.644,13430
2008-01-25,1201219200,14.644,14.713,14.072,14.644,3050
2008-01-28,1201478400,14.202,14.713,14.202,14.388,7410
2008-01-29,1201564800,14.458,15.031,14.458,15.031,16540
2008-01-30,1201651200,15.348,15.734,15.031,15.734,80620
2008-01-31,1201737600,15.989,15.989,15.603,15.674,32120
2008-02-01,1201824000,15.989,15.989,15.865,15.989,9500
2008-02-12,1202774400,16.12,16.12,15.674,15.674,6200
2008-02-13,1202860800,15.031,15.092,14.9,14.9,10480
2008-02-14,1202947200,15.348,15.348,15.031,15.348,11910
2008-02-15,1203033600,15.348,15.348,14.713,15.161,25580
2008-02-18,1203292800,14.713,14.713,14.458,14.458,46600
2008-02-19,1203379200,14.388,14.968,14.326,14.836,10060
2008-02-20,1203465600,14.133,14.9,14.133,14.133,31520
2008-02-21,1203552000,13.429,13.429,13.429,13.429,21170
2008-02-22,1203638400,12.795,13.429,12.795,13.429,18870
