date,timestamp,open,high,low,close,volume
2008-01-02,1199232000,46.39,47.51,46.39,47.51,400
2008-01-03,1199318400,45.14,47.32,45.14,46.39,2600
2008-01-04,1199404800,44.07,44.3,44.07,44.07,700
2008-01-07,1199664000,39.9,46.16,39.9,39.9,2200
2008-01-08,1199750400,41.75,44.07,41.75,41.98,2100
2008-01-09,1199836800,41.75,41.75,41.75,41.75,500
2008-01-10,1199923200,40.27,41.76,40.27,40.36,800
2008-01-11,1200009600,39.9,41.29,39.9,39.9,4300
2008-01-14,1200268800,36.61,39.44,36.61,38.97,3800
2008-01-15,1200355200,34.1,34.1,34.1,34.1,1000
2008-01-16,1200441600,36.72,37.47,36.72,37.47,2400
2008-01-17,1200528000,40.27,40.84,34.85,37.47,2800
2008-01-18,1200614400,39.17,39.72,36.05,36.05,1100
2008-01-21,1200873600,38.42,38.97,35.44,37.39,11800
2008-01-22,1200960000,37.69,40.39,36.79,39.57,17900
2008-01-23,1201046400,40.7,41.07,39.72,41.07,21300
2008-01-24,1201132800,44.67,44.67,41.37,43.09,26400
2008-01-25,1201219200,48.49,48.49,43.47,48.49,12400
2008-01-28,1201478400,50.43,50.43,50.43,50.43,2100
2008-01-29,1201564800,55.46,55.46,52.46,55.46,54200
2008-01-30,1201651200,60.85,60.85,59.58,60.85,48600
2008-01-31,1201737600,64.45,66.78,54.71,63.7,27600
2008-02-01,1201824000,66.7,68.5,64.45,68.5,36200
2008-02-12,1202774400,69.7,69.7,62.2,67.45,9300
2008-02-13,1202860800,63.7,64.519,58.6,60.02,24900
2008-02-14,1202947200,59.95,62.2,56.96,57.55,10300
2008-02-15,1203033600,59.2,59.2,56.2,56.35,20600
2008-02-18,1203292800,54.71,54.71,51.03,51.03,37200
2008-02-19,1203379200,47.96,52.46,47.21,49.46,21100
2008-02-20,1203465600,49.46,49.46,43.76,43.99,14400
2008-02-21,1203552000,41.59,43.46,40.77,40.77,10600
2008-02-22,1203638400,37.17,44.21,36.87,39.72,26000
2008-02-25,1203897600,41.96,42.34,41.96,42.34,28500
2008-02-26,1203984000,46.54,46.54,38.3,38.3,25200
2008-02-27,1204070400,39.04,41.96,37.17,38.59,17600
2008-02-28,1204156800,38.6,38.97,37.85,38.97,10000
2008-02-29,1204243200,34.77,36.72,34.77,34.85,29200
2008-03-03,1204502400,38.75,38.75,31.93,32.38,26500
2008-03-04,1204588800,32.97,32.97,31.02,31.02,6000
2008-03-05,1204675200,28.1,29.98,28.03,28.1,26500
2008-03-06,1204761600,30.95,30.95,30.95,30.95,2600
2008-03-07,1204848000,34.03,34.03,34.03,34.03,1800
2008-03-10,1205107200,37.39,37.39,34.47,34.85,37200
2008-03-11,1205193600,36.72,36.72,33.57,33.87,28800
