date,timestamp,open,high,low,close,volume
2008-01-02,1199232000,10.752,10.752,10.169,10.558,4100
2008-01-03,1199318400,9.881,10.412,9.881,10.412,2200
2008-01-04,1199404800,11.292,11.331,10.752,10.752,1500
2008-01-07,1199664000,9.779,9.858,9.585,9.779,3200
2008-01-08,1199750400,9.643,9.917,9.643,9.877,8100
2008-01-09,1199836800,9.917,9.917,9.001,9.537,4000
2008-01-10,1199923200,9.405,9.405,8.378,9.293,12100
2008-01-11,1200009600,8.86,9.293,8.86,9.293,3400
2008-01-14,1200268800,9.307,9.307,8.903,8.903,4100
2008-01-15,1200355200,8.807,8.846,8.257,8.612,6800
2008-01-16,1200441600,9.488,9.488,9.41,9.488,11500
2008-01-17,1200528000,10.189,10.636,9.537,9.779,24500
2008-01-18,1200614400,9.298,9.877,9.298,9.877,5300
2008-01-21,1200873600,9.245,9.245,9.245,9.245,1100
2008-01-22,1200960000,9.107,9.147,9.107,9.147,1000
2008-01-23,1201046400,8.923,8.962,8.372,8.807,8400
2008-01-24,1201132800,9.55,10.018,8.612,8.612,7400
2008-01-25,1201219200,7.935,8.315,7.555,8.125,7600
2008-01-28,1201478400,8.222,8.69,8.222,8.612,5900
2008-01-29,1201564800,8.938,9.371,8.938,9.293,6300
2008-01-30,1201651200,9.502,10.217,9.502,10.217,11500
2008-01-31,1201737600,11.259,11.259,9.581,10.461,6500
2008-02-01,1201824000,10.208,10.558,10.208,10.558,8900
2008-02-12,1202774400,11.001,11.204,10.267,10.267,4700
2008-02-13,1202860800,9.779,9.858,9.779,9.779,2900
2008-02-14,1202947200,9.206,9.936,9.206,9.779,5700
2008-02-15,1203033600,10.612,10.612,9.877,9.877,2900
2008-02-18,1203292800,8.617,9.08,8.617,9.001,5500
2008-02-19,1203379200,8.109,9.371,8.109,9.293,2600
2008-02-20,1203465600,9.828,9.828,8.825,8.903,4400
2008-02-21,1203552000,8.612,8.612,7.989,8.222,13300
2008-02-22,1203638400,7.006,7.638,6.656,7.638,6800
2008-02-25,1203897600,8.466,8.466,8.466,8.466,14600
2008-02-26,1203984000,9.701,9.701,8.757,8.757,23700
2008-02-27,1204070400,8.807,9.25,8.807,8.807,10200
2008-02-28,1204156800,8.962,9.04,8.364,8.563,6600
