date,timestamp,open,high,low,close,volume
2009-01-02,1230854400,1.276,1.307,1.252,1.307,710
2009-01-05,1231113600,1.252,1.252,1.252,1.252,30
2009-01-06,1231200000,1.252,1.307,1.252,1.307,3040
2009-01-07,1231286400,1.362,1.368,1.337,1.368,5650
2009-01-08,1231372800,1.315,1.345,1.307,1.345,1930
2009-01-09,1231459200,1.315,1.315,1.315,1.315,200
2009-01-12,1231718400,1.276,1.276,1.276,1.276,10
2009-01-13,1231804800,1.3,1.315,1.283,1.315,3410
2009-01-14,1231891200,1.376,1.376,1.33,1.337,3510
2009-01-15,1231977600,1.337,1.337,1.337,1.337,10
2009-01-16,1232064000,1.276,1.337,1.276,1.337,490
2009-01-19,1232323200,1.376,1.376,1.376,1.376,30
2009-01-20,1232409600,2.096,2.096,2.096,2.096,0
2009-01-21,1232496000,2.096,2.096,2.096,2.096,0
2009-01-22,1232582400,1.43,1.43,1.43,1.43,10
2009-01-23,1232668800,1.43,1.469,1.43,1.469,1030
2009-02-02,1233532800,1.399,1.399,1.399,1.399,10
2009-02-03,1233619200,1.354,1.354,1.33,1.33,890
2009-02-04,1233705600,1.33,1.345,1.33,1.345,1010
2009-02-05,1233792000,1.292,1.292,1.292,1.292,2000
2009-02-06,1233878400,1.354,1.354,1.354,1.354,190
2009-02-09,1234137600,1.354,1.354,1.354,1.354,520
2009-02-10,1234224000,1.354,1.354,1.33,1.33,700
2009-02-11,1234310400,1.276,1.384,1.27,1.315,1030
2009-02-12,1234396800,1.23,1.23,1.23,1.23,90
2009-02-13,1234483200,1.222,1.222,1.215,1.215,110
2009-02-16,1234742400,1.176,1.27,1.176,1.27,150
2009-02-17,1234828800,1.206,1.33,1.206,1.33,230
2009-02-18,1234915200,1.315,1.315,1.307,1.307,15450
2009-02-19,1235001600,1.307,1.307,1.307,1.307,5260
2009-02-20,1235088000,1.307,1.307,1.307,1.307,500
2009-02-23,1235347200,1.27,1.27,1.244,1.27,2300
2009-02-24,1235433600,1.244,1.252,1.244,1.252,3200
2009-02-25,1235520000,1.237,1.307,1.237,1.307,3050
2009-02-26,1235606400,1.3,1.3,1.3,1.3,1100
2009-02-27,1235692800,1.283,1.283,1.276,1.276,6000
2009-03-02,1235952000,1.215,1.276,1.215,1.276,5110
2009-03-03,1236038400,1.215,1.215,1.215,1.215,130
2009-03-04,1236124800,1.26,1.27,1.215,1.215,530
2009-03-05,1236211200,1.252,1.27,1.16,1.16,5000
2009-03-06,1236297600,1.206,1.215,1.169,1.176,2040
2009-03-09,1236556800,1.199,1.199,1.176,1.199,1050
2009-03-10,1236643200,1.222,1.252,1.222,1.252,2810
2009-03-11,1236729600,1.315,1.315,1.3,1.307,6810
2009-03-12,1236816000,1.307,1.337,1.276,1.337,1040
2009-03-13,1236902400,1.337,1.337,1.337,1.337,2300
2009-03-16,1237161600,1.283,1.283,1.276,1.276,1400
2009-03-17,1237248000,1.276,1.276,1.276,1.276,300
2009-03-18,1237334400,1.276,1.337,1.276,1.337,12880
2009-03-19,1237420800,1.283,1.354,1.283,1.283,1620
2009-03-20,1237507200,1.283,1.283,1.283,1.283,1000
2009-03-23,1237766400,1.283,1.283,1.283,1.283,1140
2009-03-24,1237852800,1.33,1.33,1.283,1.292,6680
2009-03-25,1237939200,1.315,1.315,1.292,1.292,1610
2009-03-26,1238025600,1.3,1.315,1.3,1.315,1210
2009-03-27,1238112000,1.315,1.315,1.26,1.26,9630
2009-03-30,1238371200,1.252,1.26,1.252,1.26,630
2009-03-31,1238457600,1.26,1.323,1.26,1.323,330
2009-04-01,1238544000,1.337,1.345,1.337,1.345,4350
2009-04-02,1238630400,1.362,1.368,1.3,1.3,3200
2009-04-03,1238716800,1.354,1.354,1.33,1.33,9380
2009-04-07,1239062400,1.33,1.384,1.323,1.368,22510
2009-04-08,1239148800,1.354,1.354,1.337,1.337,3850
2009-04-09,1239235200,1.337,1.368,1.33,1.337,7250
2009-04-10,1239321600,1.368,1.399,1.368,1.392,17670
2009-04-13,1239580800,1.462,1.462,1.462,1.462,8000
2009-04-14,1239667200,1.509,1.509,1.399,1.491,2890
2009-04-15,1239753600,1.469,1.469,1.43,1.43,1600
2009-04-16,1239840000,1.399,1.43,1.392,1.43,4200
2009-04-17,1239926400,1.469,1.469,1.362,1.362,18940
2009-04-20,1240185600,1.315,1.315,1.3,1.3,5150
2009-04-21,1240272000,1.26,1.283,1.26,1.283,1300
2009-04-22,1240358400,1.337,1.345,1.33,1.345,3850
2009-04-23,1240444800,1.392,1.392,1.392,1.392,1050
2009-04-24,1240531200,1.362,1.384,1.337,1.384,2330
2009-04-27,1240790400,1.384,1.384,1.354,1.354,1960
2009-04-28,1240876800,1.315,1.392,1.315,1.392,480
2009-04-29,1240963200,1.323,1.416,1.323,1.33,420
2009-05-04,1241395200,1.392,1.392,1.392,1.392,4710
2009-05-05,1241481600,1.462,1.462,1.423,1.423,15380
2009-05-06,1241568000,1.379,1.43,1.356,1.43,5900
2009-05-07,1241654400,1.477,1.477,1.423,1.469,5060
2009-05-08,1241740800,1.43,1.469,1.43,1.469,1630
2009-05-11,1242000000,1.469,1.477,1.469,1.469,5990
2009-05-12,1242086400,1.399,1.469,1.399,1.469,11770
2009-05-13,1242172800,1.435,1.509,1.435,1.509,6690
2009-05-14,1242259200,1.577,1.577,1.553,1.577,29000
2009-05-15,1242345600,1.655,1.655,1.655,1.655,9740
2009-05-18,1242604800,1.733,1.733,1.733,1.733,10030
2009-05-19,1242691200,1.817,1.817,1.817,1.817,6870
2009-05-20,1242777600,1.903,1.903,1.903,1.903,6850
2009-05-21,1242864000,1.995,1.995,1.995,1.995,9900
2009-05-22,1242950400,2.089,2.089,1.995,2.066,50720
2009-05-25,1243209600,2.089,2.089,1.972,2.05,21590
2009-05-26,1243296000,2.05,2.096,2.05,2.096,24900
2009-05-27,1243382400,2.142,2.149,2.111,2.149,21260
2009-05-28,1243468800,2.149,2.166,2.05,2.157,16670
2009-05-29,1243555200,2.182,2.219,2.166,2.219,38760
2009-06-01,1243814400,2.219,2.258,2.149,2.149,13750
2009-06-02,1243900800,2.249,2.249,2.249,2.249,24540
2009-06-03,1243987200,2.313,2.321,2.236,2.321,13070
2009-06-04,1244073600,2.398,2.436,2.389,2.436,19050
2009-06-05,1244160000,2.551,2.551,2.551,2.551,8500
2009-06-08,1244419200,2.676,2.676,2.63,2.676,35370
2009-06-09,1244505600,2.676,2.808,2.551,2.808,23540
2009-06-10,1244592000,2.676,2.785,2.669,2.669,21610
2009-06-11,1244678400,2.8,2.8,2.785,2.8,122920
2009-06-12,1244764800,2.931,2.931,2.707,2.722,28470
2009-06-15,1245024000,2.744,2.8,2.707,2.8,25910
2009-06-16,1245110400,2.676,2.77,2.661,2.676,14210
2009-06-17,1245196800,2.544,2.63,2.544,2.616,27920
2009-06-18,1245283200,2.616,2.729,2.583,2.583,9650
2009-06-19,1245369600,2.513,2.59,2.513,2.551,9070
2009-06-22,1245628800,2.597,2.597,2.428,2.428,6600
2009-06-23,1245715200,2.313,2.313,2.313,2.313,2220
2009-06-24,1245801600,2.243,2.42,2.243,2.42,11760
2009-06-25,1245888000,2.313,2.476,2.313,2.443,8700
2009-06-26,1245974400,2.506,2.506,2.451,2.476,1130
2009-06-29,1246233600,2.597,2.597,2.367,2.367,2240
2009-06-30,1246320000,2.336,2.461,2.249,2.249,17870
2009-07-01,1246406400,2.149,2.157,2.142,2.142,4800
2009-07-02,1246492800,2.142,2.243,2.041,2.243,3840
2009-07-03,1246579200,2.134,2.304,2.134,2.236,7960
2009-07-06,1246838400,2.289,2.343,2.289,2.343,4930
2009-07-07,1246924800,2.274,2.389,2.243,2.243,5920
2009-07-08,1247011200,2.243,2.258,2.243,2.258,3820
2009-07-09,1247097600,2.313,2.313,2.258,2.274,1250
2009-07-10,1247184000,2.359,2.359,2.313,2.313,260
2009-07-13,1247443200,2.313,2.313,2.243,2.243,230
2009-07-14,1247529600,2.174,2.28,2.134,2.134,2710
2009-07-15,1247616000,2.089,2.149,2.089,2.142,5950
2009-07-16,1247702400,2.072,2.166,2.072,2.127,25090
2009-07-17,1247788800,2.127,2.127,2.05,2.05,11340
2009-07-20,1248048000,2.111,2.111,1.948,1.948,6300
2009-07-21,1248134400,2.035,2.041,1.933,2.041,5310
2009-07-22,1248220800,2.111,2.127,1.979,2.05,8190
2009-07-23,1248307200,2.111,2.119,2.089,2.119,1080
2009-07-24,1248393600,2.213,2.219,2.213,2.219,4240
2009-07-27,1248652800,2.219,2.289,2.166,2.219,8320
2009-07-28,1248739200,2.227,2.227,2.111,2.134,4390
2009-07-29,1248825600,2.166,2.227,2.119,2.196,10710
2009-07-30,1248912000,2.236,2.236,2.142,2.219,10520
2009-07-31,1248998400,2.227,2.28,2.149,2.274,6080
2009-08-03,1249257600,2.204,2.382,2.204,2.367,20660
2009-08-04,1249344000,2.483,2.483,2.467,2.483,49980
2009-08-05,1249430400,2.513,2.608,2.513,2.608,23790
2009-08-06,1249516800,2.683,2.729,2.646,2.722,33990
2009-08-07,1249603200,2.762,2.785,2.608,2.707,41650
2009-08-10,1249862400,2.83,2.83,2.691,2.785,84230
2009-08-11,1249948800,2.923,2.923,2.923,2.923,71420
2009-08-12,1250035200,3.064,3.064,3.064,3.064,171640
2009-08-13,1250121600,3.21,3.21,3.094,3.116,140960
2009-08-14,1250208000,2.963,3.116,2.963,3.009,92100
2009-08-17,1250467200,3.155,3.155,3.06,3.06,72780
2009-08-18,1250553600,3.06,3.166,3.047,3.073,27140
2009-08-19,1250640000,3.166,3.166,3.118,3.155,34520
2009-08-20,1250726400,3.236,3.236,3.166,3.166,24150
2009-08-21,1250812800,3.166,3.177,3.083,3.083,35140
2009-08-24,1251072000,2.989,3.118,2.989,3.06,17040
2009-08-25,1251158400,3.06,3.083,2.977,2.977,18780
2009-08-26,1251244800,2.977,3.013,2.907,2.907,24990
2009-08-27,1251331200,2.929,2.942,2.884,2.942,19170
2009-08-28,1251417600,3.047,3.083,3.047,3.047,53690
2009-08-31,1251676800,3.177,3.177,3.073,3.073,43640
2009-09-01,1251763200,2.977,3.06,2.977,3.047,13630
2009-09-03,1251936000,2.967,3.013,2.967,3.013,27450
2009-09-04,1252022400,3.013,3.013,2.942,2.942,29560
2009-09-07,1252281600,2.942,2.967,2.825,2.825,29190
2009-09-08,1252368000,2.92,2.942,2.849,2.942,10420
2009-09-09,1252454400,2.942,2.977,2.92,2.942,4100
2009-09-10,1252540800,2.942,2.977,2.895,2.895,19150
2009-09-11,1252627200,2.942,2.942,2.895,2.895,30480
2009-09-14,1252886400,2.895,2.929,2.895,2.907,17650
2009-09-15,1252972800,2.907,2.907,2.872,2.872,10540
2009-09-16,1253059200,2.872,2.884,2.86,2.872,11030
2009-09-17,1253145600,2.849,2.849,2.825,2.825,10260
2009-09-18,1253232000,2.849,2.849,2.836,2.849,3110
