date,timestamp,open,high,low,close,volume
2009-12-01,1259625600,17.05,17.05,14.92,16.2,441200
2009-12-02,1259712000,17.36,17.36,15.4,15.4,237200
2009-12-03,1259798400,15.52,15.52,15.0,15.0,239600
2009-12-04,1259884800,14.0,15.32,13.85,15.1,281400
2009-12-07,1260144000,14.96,15.4,14.96,15.4,301700
2009-12-08,1260230400,15.77,16.059,15.48,15.7,219500
2009-12-09,1260316800,15.13,15.71,14.76,15.2,208100
2009-12-10,1260403200,15.08,15.38,14.33,14.4,129300
2009-12-11,1260489600,14.9,14.9,13.9,13.9,157000
2009-12-14,1260748800,14.58,14.58,12.84,14.2,175200
2009-12-15,1260835200,14.93,15.09,13.7,13.7,123800
2009-12-16,1260921600,14.51,14.59,13.5,13.5,57100
2009-12-17,1261008000,12.86,13.73,12.78,13.1,154600
2009-12-18,1261094400,13.37,13.6,13.21,13.6,57300
2009-12-21,1261353600,13.97,14.2,13.97,14.2,154500
2009-12-22,1261440000,15.33,15.4,13.62,13.7,175700
2009-12-23,1261526400,13.14,14.96,13.14,14.2,184400
2009-12-24,1261612800,14.46,15.07,13.32,14.0,252000
2009-12-25,1261699200,13.77,14.53,13.77,14.3,211400
2009-12-28,1261958400,15.11,15.11,13.65,13.8,116400
2009-12-29,1262044800,13.95,13.95,13.4,13.4,68700
2009-12-30,1262131200,14.11,14.11,12.85,13.4,138100
2009-12-31,1262217600,13.71,14.02,13.09,13.4,204400
