date,timestamp,open,high,low,close,volume
2009-01-02,1230854400,3.29,3.463,3.29,3.463,309590
2009-01-05,1231113600,3.504,3.587,3.463,3.545,241210
2009-01-06,1231200000,3.504,3.504,3.373,3.373,191910
2009-01-07,1231286400,3.414,3.463,3.332,3.414,214520
2009-01-08,1231372800,3.29,3.373,3.29,3.29,106080
2009-01-09,1231459200,3.242,3.373,3.201,3.373,87680
2009-01-12,1231718400,3.29,3.332,3.29,3.29,73140
2009-01-13,1231804800,3.201,3.242,3.159,3.201,136870
2009-01-14,1231891200,3.201,3.29,3.159,3.242,58970
2009-01-15,1231977600,3.159,3.201,3.159,3.201,62120
2009-01-16,1232064000,3.159,3.242,3.159,3.242,61450
2009-01-19,1232323200,3.201,3.201,3.159,3.159,46990
2009-01-20,1232409600,3.068,3.118,3.027,3.027,57300
2009-01-21,1232496000,3.027,3.118,3.027,3.118,27980
2009-01-22,1232582400,3.118,3.159,2.985,3.159,93460
2009-01-23,1232668800,3.159,3.201,3.118,3.201,33540
2009-02-02,1233532800,3.118,3.159,3.068,3.068,24330
2009-02-03,1233619200,3.068,3.068,2.937,2.937,38950
2009-02-04,1233705600,2.896,3.027,2.896,2.985,34590
2009-02-05,1233792000,3.027,3.027,2.854,2.937,33940
2009-02-06,1233878400,2.937,2.985,2.937,2.985,38770
2009-02-09,1234137600,3.068,3.068,3.027,3.068,8200
2009-02-10,1234224000,2.985,3.027,2.937,3.027,31410
2009-02-11,1234310400,2.896,2.937,2.896,2.896,64390
2009-02-12,1234396800,2.854,2.937,2.765,2.765,96220
2009-02-13,1234483200,2.813,2.896,2.813,2.896,83540
2009-02-16,1234742400,2.985,2.985,2.896,2.937,107290
2009-02-17,1234828800,2.854,2.937,2.813,2.813,88850
2009-02-18,1234915200,2.765,2.813,2.682,2.765,75350
2009-02-19,1235001600,2.813,2.813,2.682,2.682,51190
2009-02-20,1235088000,2.682,2.723,2.682,2.723,73440
2009-02-23,1235347200,2.723,2.765,2.682,2.682,32600
2009-02-24,1235433600,2.682,2.682,2.641,2.641,45680
2009-02-25,1235520000,2.723,2.765,2.682,2.765,64290
2009-02-26,1235606400,2.813,2.813,2.682,2.765,47030
2009-02-27,1235692800,2.723,2.896,2.723,2.854,74330
2009-03-02,1235952000,2.765,2.896,2.765,2.854,46750
2009-03-03,1236038400,2.854,2.854,2.765,2.813,46560
2009-03-04,1236124800,2.723,2.813,2.723,2.813,10600
2009-03-05,1236211200,2.854,2.854,2.765,2.813,24530
2009-03-06,1236297600,2.813,2.813,2.765,2.765,39550
2009-03-09,1236556800,2.723,2.813,2.723,2.813,63430
2009-03-10,1236643200,2.854,2.937,2.813,2.937,233680
2009-03-11,1236729600,3.027,3.068,2.937,3.068,165500
2009-03-12,1236816000,2.985,3.027,2.937,2.937,145050
2009-03-13,1236902400,2.896,3.027,2.896,2.896,67240
2009-03-16,1237161600,2.854,2.896,2.854,2.854,86840
2009-03-17,1237248000,2.896,2.985,2.896,2.937,229510
2009-03-18,1237334400,3.027,3.027,2.985,2.985,195680
2009-03-19,1237420800,2.937,3.027,2.854,2.854,230420
2009-03-20,1237507200,2.765,2.896,2.765,2.854,82600
2009-03-23,1237766400,2.896,2.896,2.813,2.813,81600
2009-03-24,1237852800,2.896,2.937,2.854,2.937,147680
2009-03-25,1237939200,2.896,2.937,2.854,2.896,165290
