date,timestamp,open,high,low,close,volume
2010-01-04,1262563200,4.597,4.597,4.597,4.597,0
2010-01-05,1262649600,3.915,3.915,3.915,3.915,4000
2010-01-06,1262736000,4.136,4.136,4.136,4.136,0
2010-01-07,1262822400,3.523,3.523,3.523,3.523,11
2010-01-08,1262908800,2.637,3.218,2.637,3.218,110
2010-01-11,1263168000,3.512,3.512,3.065,3.065,1020
2010-01-12,1263254400,3.391,3.391,3.391,3.391,20
2010-01-13,1263340800,3.607,3.607,3.281,3.281,25000
2010-01-14,1263427200,3.171,3.171,3.171,3.171,618
2010-01-15,1263513600,3.084,3.084,3.084,3.084,1500
2010-01-18,1263772800,3.261,3.261,3.261,3.261,4000
2010-01-19,1263859200,3.281,3.281,3.281,3.281,1300
2010-01-20,1263945600,3.501,3.501,3.501,3.501,0
2010-01-21,1264032000,3.261,3.261,3.261,3.261,1000
2010-01-22,1264118400,3.256,3.256,3.197,3.197,3400
2010-01-25,1264377600,3.171,3.171,3.171,3.171,2000
2010-01-26,1264464000,3.391,3.391,3.391,3.391,0
2010-01-27,1264550400,3.391,3.391,3.391,3.391,0
2010-01-28,1264636800,3.391,3.391,3.391,3.391,0
2010-01-29,1264723200,3.065,3.065,3.065,3.065,2878
2010-02-01,1264982400,3.065,3.065,3.065,3.065,1123
2010-02-02,1265068800,3.281,3.281,3.281,3.281,0
2010-02-03,1265155200,3.281,3.281,3.281,3.281,0
2010-02-04,1265241600,3.281,3.281,3.281,3.281,0
2010-02-05,1265328000,3.234,3.234,2.909,2.909,140
2010-02-08,1265587200,3.218,3.218,3.175,3.218,10027
2010-02-09,1265673600,2.956,2.956,2.956,2.956,350
2010-02-10,1265760000,3.171,3.171,3.171,3.171,0
2010-02-11,1265846400,2.647,2.647,2.647,2.647,10
2010-02-12,1265932800,2.647,2.647,2.647,2.647,10
2010-02-22,1266796800,2.867,2.867,2.867,2.867,0
2010-02-23,1266883200,2.764,2.845,2.764,2.845,1622
2010-02-24,1266969600,3.151,3.151,3.151,3.151,10
2010-02-25,1267056000,2.97,3.238,2.97,3.238,2010
2010-02-26,1267142400,3.133,3.197,3.073,3.197,4666
2010-03-01,1267401600,3.247,3.35,3.247,3.35,4000
2010-03-02,1267488000,3.107,3.107,3.107,3.107,550
2010-03-03,1267574400,3.391,3.391,3.391,3.391,2000
2010-03-04,1267660800,3.611,3.611,3.611,3.611,0
2010-03-05,1267747200,3.501,3.501,3.501,3.501,3000
2010-03-08,1268006400,3.805,3.805,3.805,3.805,20
2010-03-09,1268092800,4.026,4.026,4.026,4.026,0
2010-03-10,1268179200,3.611,3.611,3.611,3.611,3000
2010-03-11,1268265600,3.501,3.501,3.501,3.501,3000
2010-03-12,1268352000,3.831,3.831,3.831,3.831,10
2010-03-15,1268611200,4.157,4.157,4.157,4.157,10
2010-03-16,1268697600,3.721,3.721,3.721,3.721,3000
2010-03-17,1268784000,4.046,4.046,3.941,3.941,132
2010-03-18,1268870400,3.721,3.721,3.721,3.721,500
2010-03-19,1268956800,3.941,3.941,3.941,3.941,0
2010-03-22,1269216000,3.941,3.941,3.941,3.941,0
2010-03-23,1269302400,4.115,4.115,4.115,4.115,100
2010-03-24,1269388800,4.334,4.334,4.334,4.334,0
2010-03-25,1269475200,4.334,4.334,4.334,4.334,0
2010-03-26,1269561600,4.486,4.486,4.486,4.486,10
2010-03-29,1269820800,4.707,4.707,4.707,4.707,0
2010-03-30,1269907200,4.026,4.026,4.026,4.026,100
2010-03-31,1269993600,4.246,4.246,4.246,4.246,0
2010-04-01,1270080000,3.611,3.611,3.611,3.611,10
2010-04-02,1270166400,3.831,3.831,3.831,3.831,0
2010-04-05,1270425600,3.168,3.35,3.168,3.35,2392
2010-04-06,1270512000,2.998,2.998,2.998,2.998,40
2010-04-07,1270598400,3.303,3.303,3.285,3.303,5990
2010-04-08,1270684800,3.204,3.204,3.204,3.204,0
2010-04-09,1270771200,3.303,3.303,3.303,3.303,0
2010-04-12,1271030400,3.523,3.523,3.523,3.523,0
2010-04-13,1271116800,3.63,3.63,3.543,3.543,4000
2010-04-14,1271203200,3.611,3.611,3.507,3.611,4457
2010-04-15,1271289600,3.589,3.831,3.49,3.831,29205
2010-04-16,1271376000,3.831,3.831,3.831,3.831,3600
2010-04-19,1271635200,3.958,4.021,3.915,3.915,1610
2010-04-20,1271721600,4.136,4.136,4.136,4.136,0
