date,timestamp,open,high,low,close,volume
2010-01-04,1262563200,6.422,6.422,6.422,6.422,9700
2010-01-05,1262649600,6.869,6.869,6.812,6.812,8400
2010-01-06,1262736000,6.869,6.869,6.422,6.588,15500
2010-01-07,1262822400,6.374,6.48,6.374,6.48,400
2010-01-08,1262908800,6.422,6.422,6.316,6.316,8600
2010-01-11,1263168000,6.316,6.316,6.042,6.042,2300
2010-01-12,1263254400,5.877,5.935,5.819,5.819,3600
2010-01-13,1263340800,5.935,6.265,5.935,6.265,700
2010-01-14,1263427200,6.265,6.422,6.265,6.422,28700
2010-01-15,1263513600,6.316,6.374,6.042,6.042,7700
2010-01-18,1263772800,5.877,5.877,5.877,5.877,300
2010-01-19,1263859200,6.042,6.042,6.042,6.042,300
2010-01-20,1263945600,6.316,6.316,6.316,6.316,100
2010-01-21,1264032000,5.877,5.935,5.877,5.877,7700
2010-01-22,1264118400,5.768,5.768,5.768,5.768,1300
2010-01-25,1264377600,5.984,5.984,5.984,5.984,1100
2010-01-26,1264464000,6.374,6.374,5.71,6.316,4100
2010-01-27,1264550400,6.588,6.588,5.877,5.877,3100
2010-01-28,1264636800,6.207,6.207,5.877,5.877,2400
2010-01-29,1264723200,6.149,6.149,5.877,5.877,4200
2010-02-01,1264982400,6.042,6.042,5.935,6.042,3400
2010-02-02,1265068800,6.149,6.149,6.149,6.149,100
2010-02-03,1265155200,6.042,6.149,5.984,5.984,12100
2010-02-04,1265241600,5.935,6.207,5.935,5.984,4700
2010-02-05,1265328000,6.042,6.042,5.768,5.984,15200
2010-02-08,1265587200,6.207,6.207,5.877,5.877,4400
2010-02-09,1265673600,5.935,5.935,5.877,5.935,3000
2010-02-10,1265760000,6.042,6.042,6.042,6.042,500
2010-02-11,1265846400,6.042,6.042,5.935,5.935,5300
2010-02-12,1265932800,6.1,6.207,6.1,6.207,1700
2010-02-22,1266796800,6.48,6.48,6.042,6.042,1300
2010-02-23,1266883200,6.207,6.207,5.935,5.984,6800
2010-02-24,1266969600,6.265,6.265,6.265,6.265,100
2010-02-25,1267056000,6.48,6.538,6.207,6.207,4400
2010-02-26,1267142400,6.042,6.042,5.984,6.042,6200
2010-03-01,1267401600,6.042,6.042,6.042,6.042,1100
2010-03-02,1267488000,6.042,6.042,5.935,6.042,10300
2010-03-03,1267574400,6.042,6.042,6.042,6.042,5500
2010-03-04,1267660800,6.042,6.207,6.042,6.042,27700
2010-03-05,1267747200,6.042,6.265,5.984,6.265,33600
2010-03-08,1268006400,6.422,6.422,6.422,6.422,85800
2010-03-09,1268092800,6.869,6.869,6.48,6.538,27400
2010-03-10,1268179200,6.812,6.812,6.316,6.316,6700
2010-03-11,1268265600,6.812,6.812,6.48,6.646,49900
2010-03-12,1268352000,6.919,6.919,6.422,6.704,38400
2010-03-15,1268611200,6.869,6.977,6.754,6.869,33500
2010-03-16,1268697600,6.869,6.869,6.422,6.538,25300
2010-03-17,1268784000,6.265,6.588,6.207,6.374,17100
2010-03-18,1268870400,6.374,6.704,6.316,6.704,11700
2010-03-19,1268956800,6.588,6.588,6.422,6.538,8000
2010-03-22,1269216000,6.48,6.538,6.374,6.538,8100
2010-03-23,1269302400,6.374,6.374,6.316,6.316,6400
2010-03-24,1269388800,6.538,6.754,6.538,6.754,37200
2010-03-25,1269475200,6.919,7.192,6.704,7.192,119800
2010-03-26,1269561600,7.143,7.25,6.977,7.25,51200
2010-03-29,1269820800,7.308,7.581,7.143,7.581,82800
2010-03-30,1269907200,8.02,8.02,7.913,8.02,104000
2010-03-31,1269993600,8.566,8.566,8.351,8.566,223000
2010-04-01,1270080000,9.121,9.121,8.02,8.516,177500
2010-04-02,1270166400,8.731,8.731,8.128,8.186,138700
2010-04-05,1270425600,8.186,8.682,8.128,8.516,101700
2010-04-06,1270512000,8.789,8.789,7.855,7.913,73800
2010-04-07,1270598400,7.475,8.351,7.358,7.688,66400
2010-04-08,1270684800,8.235,8.458,7.962,8.401,74800
2010-04-09,1270771200,8.235,8.351,7.746,7.855,86300
2010-04-12,1271030400,7.962,7.962,7.688,7.688,50500
2010-04-13,1271116800,7.797,8.235,7.746,7.855,13100
2010-04-14,1271203200,7.631,7.746,7.416,7.688,113300
2010-04-15,1271289600,7.581,7.631,7.416,7.523,66600
2010-04-16,1271376000,7.523,7.962,7.416,7.962,167600
2010-04-19,1271635200,8.294,8.294,7.797,8.235,61900
2010-04-20,1271721600,8.294,8.516,8.128,8.235,63100
2010-04-21,1271808000,8.458,8.516,7.913,8.235,72800
2010-04-22,1271894400,8.235,8.235,7.797,7.797,93100
2010-04-26,1272240000,8.186,8.186,7.688,7.855,32400
2010-04-27,1272326400,7.962,7.962,7.688,7.797,14400
2010-04-28,1272412800,7.746,8.294,7.631,8.294,184700
2010-04-29,1272499200,8.566,8.682,8.516,8.682,173900
