date,timestamp,open,high,low,close,volume
2010-01-04,1262563200,3.902,4.062,3.902,4.062,54650
2010-01-05,1262649600,4.246,4.246,4.198,4.246,55220
2010-01-06,1262736000,4.132,4.246,4.132,4.132,34470
2010-01-07,1262822400,4.291,4.339,4.225,4.339,124570
2010-01-08,1262908800,4.521,4.543,4.476,4.543,89740
2010-01-11,1263168000,4.543,4.543,4.339,4.339,35880
2010-01-12,1263254400,4.339,4.361,4.132,4.132,19190
2010-01-13,1263340800,3.97,4.246,3.925,4.016,48030
2010-01-14,1263427200,4.109,4.109,3.947,3.947,19460
2010-01-15,1263513600,4.083,4.083,3.947,4.062,11920
2010-01-18,1263772800,3.902,3.947,3.881,3.947,14670
2010-01-19,1263859200,3.881,3.995,3.881,3.97,5280
2010-01-20,1263945600,4.062,4.062,3.809,3.809,15490
2010-01-21,1264032000,3.902,3.902,3.626,3.626,24110
2010-01-22,1264118400,3.626,3.647,3.558,3.626,17810
2010-01-25,1264377600,3.581,3.765,3.581,3.626,7050
2010-01-26,1264464000,3.765,3.787,3.74,3.787,14990
2010-01-27,1264550400,3.696,3.787,3.626,3.74,16220
2010-01-28,1264636800,3.581,3.674,3.558,3.626,12700
2010-01-29,1264723200,3.674,3.674,3.626,3.626,4580
2010-02-01,1264982400,3.626,3.674,3.626,3.674,16680
2010-02-02,1265068800,3.787,3.787,3.603,3.674,7630
2010-02-03,1265155200,3.674,3.765,3.626,3.765,10990
2010-02-04,1265241600,3.647,3.765,3.647,3.74,8600
2010-02-05,1265328000,3.74,3.74,3.626,3.626,14940
2010-02-08,1265587200,3.603,3.626,3.558,3.558,10240
2010-02-09,1265673600,3.444,3.674,3.444,3.647,4430
2010-02-10,1265760000,3.74,3.74,3.674,3.674,210
2010-02-11,1265846400,3.674,3.674,3.674,3.674,2910
2010-02-12,1265932800,3.674,3.765,3.674,3.718,8740
2010-02-22,1266796800,3.787,3.787,3.74,3.787,19140
2010-02-23,1266883200,3.787,3.787,3.674,3.696,14230
2010-02-24,1266969600,3.626,3.674,3.581,3.674,10080
2010-02-25,1267056000,3.696,3.765,3.674,3.696,7100
2010-02-26,1267142400,3.74,3.74,3.626,3.626,2020
2010-03-01,1267401600,3.603,3.674,3.603,3.674,10940
2010-03-02,1267488000,3.696,3.696,3.626,3.674,17950
2010-03-03,1267574400,3.855,3.855,3.674,3.74,11870
2010-03-04,1267660800,3.718,3.881,3.718,3.718,12410
2010-03-05,1267747200,3.718,3.787,3.696,3.74,8110
2010-03-08,1268006400,3.74,3.809,3.74,3.787,13810
2010-03-09,1268092800,3.74,3.855,3.74,3.809,19270
2010-03-10,1268179200,3.833,3.855,3.74,3.833,26970
2010-03-11,1268265600,3.855,4.016,3.855,4.016,58900
2010-03-12,1268352000,4.016,4.177,4.016,4.132,25660
2010-03-15,1268611200,4.225,4.225,3.995,3.995,36960
2010-03-16,1268697600,3.995,3.995,3.833,3.881,29480
2010-03-17,1268784000,3.995,3.995,3.765,3.765,30840
2010-03-18,1268870400,3.765,3.902,3.765,3.881,6520
2010-03-19,1268956800,3.881,3.902,3.765,3.765,11580
2010-03-22,1269216000,3.902,3.902,3.787,3.787,15470
2010-03-23,1269302400,3.881,3.881,3.718,3.718,17230
2010-03-24,1269388800,3.881,3.881,3.833,3.855,5480
2010-03-25,1269475200,3.902,3.97,3.833,3.833,35770
2010-03-26,1269561600,3.902,3.902,3.787,3.833,17810
2010-03-29,1269820800,3.787,3.902,3.718,3.881,1160
2010-03-30,1269907200,3.902,3.902,3.718,3.787,2900
2010-03-31,1269993600,3.674,3.902,3.674,3.674,15250
2010-04-01,1270080000,3.787,3.787,3.674,3.696,7090
2010-04-02,1270166400,3.696,3.855,3.696,3.718,2780
2010-04-05,1270425600,3.809,3.809,3.674,3.765,16320
2010-04-06,1270512000,3.718,3.809,3.718,3.809,47010
2010-04-07,1270598400,3.855,3.902,3.833,3.855,21420
2010-04-08,1270684800,3.855,4.016,3.855,3.902,26470
2010-04-09,1270771200,4.038,4.083,3.995,4.062,184500
2010-04-12,1271030400,3.947,3.947,3.947,3.947,31330
2010-04-13,1271116800,3.833,3.902,3.833,3.881,7490
2010-04-14,1271203200,3.925,3.925,3.881,3.902,10010
2010-04-15,1271289600,3.902,3.902,3.855,3.855,36990
2010-04-16,1271376000,3.947,3.947,3.881,3.902,26710
2010-04-19,1271635200,3.925,3.925,3.809,3.833,15210
2010-04-20,1271721600,3.947,4.016,3.855,4.016,101200
2010-04-21,1271808000,4.154,4.198,4.109,4.198,164120
2010-04-22,1271894400,4.361,4.406,4.361,4.406,193470
2010-04-26,1272240000,4.406,4.59,4.269,4.568,143720
2010-04-27,1272326400,4.384,4.454,4.361,4.361,60360
2010-04-28,1272412800,4.361,4.361,4.154,4.154,106760
2010-04-29,1272499200,4.154,4.361,4.154,4.361,182360
2010-05-04,1272931200,4.568,4.568,4.361,4.428,120340
2010-05-05,1273017600,4.521,4.521,4.246,4.269,74120
2010-05-06,1273104000,4.269,4.476,4.269,4.476,157020
2010-05-07,1273190400,4.658,4.658,4.339,4.361,221520
