date,timestamp,open,high,low,close,volume
2010-01-04,1262563200,6.138,6.138,6.138,6.138,0
2010-01-05,1262649600,6.138,6.138,6.138,6.138,0
2010-01-06,1262736000,6.138,6.138,6.138,6.138,0
2010-01-07,1262822400,6.138,6.138,6.138,6.138,0
2010-01-08,1262908800,6.138,6.138,6.138,6.138,0
2010-01-11,1263168000,6.138,6.138,6.138,6.138,0
2010-01-12,1263254400,6.138,6.138,6.138,6.138,0
2010-01-13,1263340800,6.138,6.138,6.138,6.138,0
2010-01-14,1263427200,6.138,6.138,6.138,6.138,0
2010-01-15,1263513600,5.086,5.086,5.086,5.086,0
2010-01-18,1263772800,6.138,6.138,6.138,6.138,0
2010-01-19,1263859200,6.138,6.138,6.138,6.138,0
2010-01-20,1263945600,6.138,6.138,6.138,6.138,0
2010-01-21,1264032000,6.138,6.138,6.138,6.138,0
2010-01-22,1264118400,6.138,6.138,6.138,6.138,0
2010-01-25,1264377600,6.138,6.138,6.138,6.138,0
2010-01-26,1264464000,6.138,6.138,6.138,6.138,0
2010-01-27,1264550400,6.138,6.138,6.138,6.138,0
2010-01-28,1264636800,6.138,6.138,6.138,6.138,0
2010-01-29,1264723200,6.138,6.138,6.138,6.138,0
2010-02-01,1264982400,6.138,6.138,6.138,6.138,0
2010-02-02,1265068800,6.138,6.138,6.138,6.138,0
2010-02-03,1265155200,6.138,6.138,6.138,6.138,0
2010-02-04,1265241600,6.138,6.138,6.138,6.138,0
2010-02-05,1265328000,6.138,6.138,6.138,6.138,0
2010-02-08,1265587200,6.138,6.138,6.138,6.138,0
2010-02-09,1265673600,6.138,6.138,6.138,6.138,0
2010-02-10,1265760000,6.138,6.138,6.138,6.138,0
2010-02-11,1265846400,6.138,6.138,6.138,6.138,0
2010-02-12,1265932800,6.138,6.138,6.138,6.138,0
2010-02-22,1266796800,6.138,6.138,6.138,6.138,0
2010-02-23,1266883200,6.138,6.138,6.138,6.138,0
2010-02-24,1266969600,6.138,6.138,6.138,6.138,0
2010-02-25,1267056000,6.138,6.138,6.138,6.138,0
2010-02-26,1267142400,6.138,6.138,6.138,6.138,0
2010-03-01,1267401600,6.138,6.138,6.138,6.138,0
2010-03-02,1267488000,6.138,6.138,6.138,6.138,0
2010-03-03,1267574400,6.138,6.138,6.138,6.138,0
2010-03-04,1267660800,6.138,6.138,6.138,6.138,0
2010-03-05,1267747200,6.138,6.138,6.138,6.138,0
2010-03-08,1268006400,6.138,6.138,6.138,6.138,0
2010-03-09,1268092800,5.481,5.481,5.481,5.481,200
2010-03-10,1268179200,5.6,5.6,5.6,5.6,0
2010-03-11,1268265600,4.92,4.92,4.92,4.92,100
2010-03-12,1268352000,4.432,4.432,4.432,4.432,100
2010-03-15,1268611200,4.556,4.556,4.556,4.556,0
2010-03-16,1268697600,3.993,3.993,3.993,3.993,100
2010-03-17,1268784000,3.604,3.604,3.604,3.604,100
2010-03-18,1268870400,3.079,3.46,3.079,3.46,210
2010-03-19,1268956800,3.118,3.118,3.118,3.118,100
2010-03-22,1269216000,3.24,3.24,3.24,3.24,0
2010-03-23,1269302400,3.24,3.24,3.24,3.24,0
2010-03-24,1269388800,3.409,3.409,3.409,3.409,110
2010-03-25,1269475200,3.531,3.531,3.531,3.531,0
2010-03-26,1269561600,3.531,3.531,3.531,3.531,0
2010-03-29,1269820800,3.531,3.531,3.531,3.531,0
2010-03-30,1269907200,3.531,3.531,3.531,3.531,0
2010-03-31,1269993600,3.531,3.531,3.531,3.531,0
2010-04-01,1270080000,3.531,3.531,3.531,3.531,0
2010-04-02,1270166400,3.531,3.531,3.531,3.531,0
2010-04-05,1270425600,3.531,3.531,3.531,3.531,0
2010-04-06,1270512000,3.531,3.531,3.531,3.531,0
2010-04-07,1270598400,3.166,3.166,3.166,3.166,1000
2010-04-08,1270684800,2.986,2.986,2.986,2.986,100
2010-04-09,1270771200,3.604,3.604,3.604,3.604,0
2010-04-12,1271030400,3.409,3.409,3.409,3.409,500
2010-04-13,1271116800,3.531,3.531,3.531,3.531,0
2010-04-14,1271203200,3.531,3.531,3.531,3.531,0
2010-04-15,1271289600,3.387,3.387,3.387,3.387,200
2010-04-16,1271376000,3.507,3.507,3.507,3.507,0
2010-04-19,1271635200,3.507,3.507,3.507,3.507,0
2010-04-20,1271721600,3.123,3.24,3.123,3.24,2000
2010-04-21,1271808000,3.624,3.624,3.24,3.24,200
2010-04-22,1271894400,3.484,3.484,3.484,3.484,0
2010-04-26,1272240000,3.484,3.484,3.484,3.484,0
2010-04-27,1272326400,3.484,3.484,3.484,3.484,0
2010-04-28,1272412800,3.336,3.336,3.336,3.336,1000
2010-04-29,1272499200,3.46,3.46,3.46,3.46,0
2010-05-04,1272931200,2.995,2.995,2.995,2.995,50
2010-05-05,1273017600,3.118,3.118,3.118,3.118,0
2010-05-06,1273104000,2.94,3.118,2.94,3.118,1200
2010-05-07,1273190400,3.426,3.426,3.166,3.166,1010
2010-05-10,1273449600,2.865,3.263,2.865,3.263,6110
2010-05-11,1273536000,3.166,3.166,3.166,3.166,1000
2010-05-12,1273622400,3.289,3.289,3.289,3.289,0
2010-05-13,1273708800,3.484,3.484,3.484,3.484,100
2010-05-14,1273795200,3.604,3.604,3.604,3.604,0
2010-05-17,1274054400,3.604,3.604,3.604,3.604,0
2010-05-18,1274140800,3.604,3.604,3.604,3.604,0
