date,timestamp,open,high,low,close,volume
2010-01-04,1262563200,4.046,4.115,4.027,4.115,25400
2010-01-05,1262649600,4.267,4.331,4.046,4.046,3100
2010-01-06,1262736000,3.939,3.939,3.939,3.939,2200
2010-01-07,1262822400,3.743,4.137,3.718,3.718,3500
2010-01-08,1262908800,3.764,3.764,3.718,3.718,5000
2010-01-11,1263168000,3.567,3.656,3.567,3.656,5400
2010-01-12,1263254400,3.523,3.523,3.502,3.502,800
2010-01-13,1263340800,3.502,3.764,3.391,3.764,4000
2010-01-14,1263427200,3.875,3.896,3.875,3.896,200
2010-01-15,1263513600,4.046,4.046,3.939,3.939,200
2010-01-18,1263772800,4.003,4.003,4.003,4.003,0
2010-01-19,1263859200,3.743,3.743,3.743,3.743,1000
2010-01-20,1263945600,3.61,3.61,3.502,3.502,2400
2010-01-21,1264032000,3.391,3.391,3.391,3.391,1000
2010-01-22,1264118400,3.61,3.61,3.586,3.586,1100
2010-01-25,1264377600,3.391,3.743,3.371,3.743,800
2010-01-26,1264464000,3.586,3.718,3.586,3.718,8200
2010-01-27,1264550400,3.875,3.875,3.502,3.787,3400
2010-01-28,1264636800,3.523,3.523,3.502,3.502,6700
2010-01-29,1264723200,3.656,3.656,3.631,3.631,6600
2010-02-01,1264982400,3.631,3.631,3.631,3.631,0
2010-02-02,1265068800,3.567,3.875,3.547,3.875,25700
2010-02-03,1265155200,3.939,3.939,3.764,3.764,2000
2010-02-04,1265241600,3.656,3.896,3.656,3.896,8400
2010-02-05,1265328000,3.764,3.764,3.718,3.718,5300
2010-02-08,1265587200,3.631,3.631,3.631,3.631,1000
2010-02-09,1265673600,3.631,3.631,3.631,3.631,0
2010-02-10,1265760000,3.718,3.718,3.7,3.7,200
2010-02-11,1265846400,3.875,3.875,3.875,3.875,100
2010-02-12,1265932800,3.675,3.675,3.61,3.631,4100
2010-02-22,1266796800,3.631,3.631,3.631,3.631,0
2010-02-23,1266883200,3.718,3.875,3.718,3.875,11700
2010-02-24,1266969600,4.091,4.091,3.851,3.939,6500
2010-02-25,1267056000,4.07,4.07,3.984,4.046,2100
2010-02-26,1267142400,4.003,4.003,3.939,3.939,2000
2010-03-01,1267401600,3.984,3.984,3.96,3.984,3500
2010-03-02,1267488000,3.984,3.984,3.718,3.939,3300
2010-03-03,1267574400,3.718,3.96,3.718,3.939,5500
2010-03-04,1267660800,3.939,3.96,3.915,3.96,5200
2010-03-05,1267747200,3.718,3.764,3.718,3.764,2400
2010-03-08,1268006400,3.787,3.984,3.787,3.984,9500
2010-03-09,1268092800,4.159,4.159,3.939,3.96,1400
2010-03-10,1268179200,4.159,4.159,3.939,3.939,5900
2010-03-11,1268265600,4.027,4.027,3.939,3.939,1100
2010-03-12,1268352000,4.027,4.204,4.027,4.204,71800
2010-03-15,1268611200,4.487,4.487,4.376,4.376,24100
2010-03-16,1268697600,4.376,4.376,4.159,4.159,6600
2010-03-17,1268784000,4.003,4.003,3.984,3.984,700
2010-03-18,1268870400,3.743,4.179,3.743,4.179,6900
2010-03-19,1268956800,4.159,4.159,4.046,4.046,1500
2010-03-22,1269216000,3.875,3.939,3.808,3.808,7800
2010-03-23,1269302400,4.115,4.159,3.896,4.137,5900
2010-03-24,1269388800,4.267,4.267,4.046,4.046,3100
2010-03-25,1269475200,3.896,4.046,3.875,3.875,4500
2010-03-26,1269561600,4.046,4.046,3.939,3.939,2700
2010-03-29,1269820800,3.896,4.159,3.831,4.159,4700
2010-03-30,1269907200,3.875,3.875,3.831,3.831,3100
2010-03-31,1269993600,3.851,3.851,3.851,3.851,0
2010-04-01,1270080000,3.984,3.984,3.984,3.984,600
2010-04-02,1270166400,4.046,4.046,4.046,4.046,100
2010-04-05,1270425600,3.831,3.851,3.831,3.851,3500
2010-04-06,1270512000,3.875,3.875,3.875,3.875,2800
2010-04-07,1270598400,3.896,3.896,3.831,3.875,4100
2010-04-08,1270684800,3.984,3.984,3.831,3.831,3900
2010-04-09,1270771200,3.808,3.875,3.808,3.875,10300
2010-04-12,1271030400,3.718,3.764,3.718,3.764,10500
2010-04-13,1271116800,3.787,3.787,3.787,3.787,2500
2010-04-14,1271203200,3.984,3.984,3.939,3.939,8000
2010-04-15,1271289600,4.137,4.137,3.939,3.939,3200
2010-04-16,1271376000,4.091,4.091,3.939,3.984,15400
2010-04-19,1271635200,4.07,4.091,4.003,4.091,47400
2010-04-20,1271721600,4.159,4.159,4.046,4.07,27400
2010-04-21,1271808000,4.07,4.07,3.939,3.939,37200
2010-04-22,1271894400,4.137,4.159,4.003,4.137,35000
2010-04-26,1272240000,4.179,4.179,4.003,4.027,6700
2010-04-27,1272326400,4.046,4.046,3.851,3.875,11600
2010-04-28,1272412800,3.831,3.939,3.831,3.939,25000
2010-04-29,1272499200,4.046,4.137,4.046,4.137,42500
2010-05-04,1272931200,4.42,4.42,4.42,4.42,14500
2010-05-05,1273017600,4.727,4.727,4.331,4.444,59000
2010-05-06,1273104000,4.376,4.487,4.376,4.376,68300
2010-05-07,1273190400,4.487,4.487,4.115,4.179,133200
2010-05-10,1273449600,4.204,4.204,4.091,4.159,10300
2010-05-11,1273536000,4.027,4.244,4.027,4.244,13300
2010-05-12,1273622400,4.223,4.223,3.851,3.875,15700
2010-05-13,1273708800,4.003,4.027,4.003,4.027,4500
2010-05-14,1273795200,4.046,4.046,3.939,4.046,18600
2010-05-17,1274054400,4.046,4.046,3.787,3.831,12300
2010-05-18,1274140800,4.003,4.003,3.61,3.718,21800
2010-05-19,1274227200,3.896,3.896,3.567,3.586,11700
2010-05-20,1274313600,3.764,3.831,3.718,3.831,35300
2010-05-21,1274400000,3.7,3.7,3.478,3.547,21200
2010-05-24,1274659200,3.61,3.764,3.61,3.764,11200
