date,timestamp,open,high,low,close,volume
2011-01-04,1294099200,3.295,3.342,3.295,3.342,98630
2011-01-05,1294185600,3.342,3.342,3.201,3.201,224810
2011-01-06,1294272000,3.201,3.248,3.179,3.225,138040
2011-01-07,1294358400,3.248,3.342,3.225,3.225,63550
2011-01-10,1294617600,3.179,3.248,3.109,3.109,223470
2011-01-11,1294704000,3.062,3.179,3.038,3.038,129770
2011-01-12,1294790400,3.131,3.131,3.038,3.131,158100
2011-01-13,1294876800,3.131,3.201,3.109,3.156,96590
2011-01-14,1294963200,3.156,3.201,3.131,3.156,58400
2011-01-17,1295222400,3.201,3.225,3.156,3.179,85160
2011-01-18,1295308800,3.131,3.201,3.131,3.131,155220
2011-01-19,1295395200,3.109,3.179,3.086,3.109,80550
2011-01-20,1295481600,3.131,3.131,3.038,3.062,96610
2011-01-21,1295568000,3.062,3.201,3.062,3.156,167310
2011-01-24,1295827200,3.179,3.179,3.109,3.109,78570
2011-01-25,1295913600,3.086,3.109,3.038,3.062,56860
2011-01-26,1296000000,3.156,3.156,3.086,3.109,37340
2011-01-27,1296086400,3.109,3.156,3.086,3.131,43410
2011-01-28,1296172800,3.179,3.179,3.131,3.179,72470
2011-02-08,1297123200,3.225,3.225,3.109,3.156,116110
2011-02-09,1297209600,3.201,3.225,3.156,3.179,178050
2011-02-10,1297296000,3.179,3.201,3.131,3.156,28870
2011-02-11,1297382400,3.201,3.295,3.156,3.295,348320
2011-02-14,1297641600,3.342,3.458,3.319,3.413,708400
2011-02-15,1297728000,3.319,3.388,3.271,3.319,195030
2011-02-16,1297814400,3.342,3.342,3.295,3.342,159230
2011-02-17,1297900800,3.342,3.342,3.201,3.248,209590
2011-02-18,1297987200,3.201,3.271,3.179,3.201,110020
2011-02-21,1298246400,3.086,3.086,3.062,3.062,258740
2011-02-22,1298332800,3.015,3.015,2.921,2.991,313380
2011-02-23,1298419200,3.015,3.086,2.991,3.038,76620
2011-02-24,1298505600,3.038,3.086,2.944,3.015,137740
2011-02-25,1298592000,3.062,3.062,2.991,2.991,116420
