date,timestamp,open,high,low,close,volume
2011-02-18,1297987200,13.3,13.3,13.3,13.3,10000
2011-02-21,1298246400,13.3,13.3,13.3,13.3,0
2011-02-22,1298332800,13.3,13.3,13.3,13.3,0
2011-02-23,1298419200,13.3,13.3,13.3,13.3,0
2011-02-24,1298505600,13.3,13.3,13.3,13.3,0
2011-02-25,1298592000,13.5,13.5,13.3,13.3,304000
2011-02-28,1298851200,13.3,13.3,13.3,13.3,0
2011-03-01,1298937600,13.3,13.3,13.3,13.3,0
2011-03-02,1299024000,13.3,13.3,13.3,13.3,0
2011-03-03,1299110400,13.3,13.3,13.3,13.3,0
2011-03-04,1299196800,13.3,13.3,13.3,13.3,0
2011-03-07,1299456000,13.3,13.3,13.3,13.3,0
2011-03-08,1299542400,13.3,13.3,13.3,13.3,0
2011-03-09,1299628800,13.3,13.3,13.3,13.3,0
2011-03-10,1299715200,13.3,13.3,13.3,13.3,0
2011-03-11,1299801600,13.3,13.3,13.3,13.3,0
2011-03-14,1300060800,13.3,13.3,13.3,13.3,0
2011-03-15,1300147200,13.3,13.3,13.3,13.3,0
2011-03-16,1300233600,13.3,13.3,13.3,13.3,0
2011-03-17,1300320000,13.3,13.3,13.3,13.3,0
2011-03-18,1300406400,13.3,13.3,13.3,13.3,0
2011-03-21,1300665600,14.1,14.1,14.1,14.1,1000
2011-03-22,1300752000,14.1,14.1,14.1,14.1,0
2011-03-23,1300838400,12.7,12.7,12.7,12.7,1000
2011-03-24,1300924800,12.7,12.7,12.7,12.7,0
2011-03-25,1301011200,12.7,12.7,12.7,12.7,0
2011-03-28,1301270400,12.7,12.7,12.7,12.7,0
2011-03-29,1301356800,12.7,12.7,12.7,12.7,0
2011-03-30,1301443200,12.7,12.7,12.7,12.7,0
2011-03-31,1301529600,12.7,12.7,12.7,12.7,0
2011-04-01,1301616000,12.7,12.7,12.7,12.7,0
2011-04-04,1301875200,12.7,12.7,12.7,12.7,0
2011-04-05,1301961600,12.7,12.7,12.7,12.7,0
2011-04-06,1302048000,12.7,12.7,12.7,12.7,0
2011-04-07,1302134400,12.7,12.7,12.7,12.7,0
2011-04-08,1302220800,12.7,12.7,12.7,12.7,0
2011-04-13,1302652800,12.7,12.7,12.7,12.7,0
2011-04-14,1302739200,13.4,13.4,13.4,13.4,2500
2011-04-15,1302825600,13.4,13.4,13.4,13.4,14000
2011-04-18,1303084800,13.4,13.4,13.4,13.4,0
2011-04-19,1303171200,13.4,13.4,13.4,13.4,0
2011-04-20,1303257600,13.4,13.4,13.4,13.4,0
2011-04-21,1303344000,13.4,13.4,13.4,13.4,0
2011-04-22,1303430400,13.4,13.4,13.4,13.4,0
2011-04-25,1303689600,13.4,13.4,13.4,13.4,0
2011-04-26,1303776000,13.4,13.4,13.4,13.4,0
2011-04-27,1303862400,13.4,13.4,13.4,13.4,0
2011-04-28,1303948800,13.4,13.4,13.4,13.4,0
2011-04-29,1304035200,13.4,13.4,13.4,13.4,0
2011-05-04,1304467200,13.4,13.4,13.4,13.4,0
2011-05-05,1304553600,13.4,13.4,13.4,13.4,0
2011-05-06,1304640000,13.4,13.4,13.4,13.4,0
2011-05-09,1304899200,13.4,13.4,13.4,13.4,16500
2011-05-10,1304985600,13.8,13.8,12.1,12.1,200
2011-05-11,1305072000,13.6,13.6,13.6,13.6,100
2011-05-12,1305158400,13.6,13.6,13.6,13.6,0
2011-05-13,1305244800,13.6,13.6,13.6,13.6,0
2011-05-16,1305504000,13.6,13.6,13.6,13.6,0
2011-05-17,1305590400,13.6,13.6,13.6,13.6,0
2011-05-18,1305676800,13.6,13.6,13.6,13.6,0
2011-05-19,1305763200,13.6,13.6,13.6,13.6,0
2011-05-20,1305849600,13.6,13.6,13.6,13.6,0
2011-05-23,1306108800,13.6,13.6,13.6,13.6,0
2011-05-24,1306195200,13.6,13.6,13.6,13.6,0
2011-05-25,1306281600,13.6,13.6,13.6,13.6,0
2011-05-26,1306368000,13.6,13.6,13.6,13.6,0
2011-05-27,1306454400,13.6,13.6,13.6,13.6,100000
2011-05-30,1306713600,13.6,13.6,13.6,13.6,0
2011-05-31,1306800000,13.6,13.6,13.6,13.6,0
2011-06-01,1306886400,13.6,13.6,13.6,13.6,0
2011-06-02,1306972800,13.6,13.6,13.6,13.6,0
2011-06-03,1307059200,13.6,13.6,13.6,13.6,0
2011-06-06,1307318400,13.6,13.6,13.6,13.6,0
2011-06-07,1307404800,13.6,13.6,13.6,13.6,0
2011-06-08,1307491200,13.6,13.6,13.6,13.6,0
2011-06-09,1307577600,13.6,13.6,13.6,13.6,0
2011-06-10,1307664000,13.6,13.6,13.6,13.6,0
2011-06-13,1307923200,13.6,13.6,13.6,13.6,0
2011-06-14,1308009600,13.6,13.6,13.6,13.6,0
2011-06-15,1308096000,13.6,13.6,13.6,13.6,0
2011-06-16,1308182400,13.6,13.6,13.6,13.6,6000
2011-06-17,1308268800,13.6,13.6,13.6,13.6,0
2011-06-20,1308528000,12.3,12.3,12.3,12.3,100
2011-06-21,1308614400,12.3,12.3,12.3,12.3,100
2011-06-22,1308700800,12.3,12.3,12.3,12.3,0
2011-06-23,1308787200,12.3,12.3,12.3,12.3,0
2011-06-24,1308873600,11.1,11.1,11.1,11.1,100
2011-06-27,1309132800,11.1,11.1,11.1,11.1,0
2011-06-28,1309219200,11.1,11.1,11.1,11.1,0
2011-06-29,1309305600,11.1,11.1,11.1,11.1,0
2011-06-30,1309392000,10.0,10.0,10.0,10.0,100
2011-07-01,1309478400,9.0,9.0,9.0,9.0,200
2011-07-04,1309737600,8.1,8.1,8.1,8.1,100
2011-07-05,1309824000,8.1,8.1,8.1,8.1,0
2011-07-06,1309910400,8.1,8.1,8.1,8.1,0
2011-07-07,1309996800,7.3,7.3,7.3,7.3,100
2011-07-08,1310083200,7.3,7.3,7.3,7.3,0
2011-07-11,1310342400,7.3,7.3,7.3,7.3,0
2011-07-12,1310428800,7.3,7.3,7.3,7.3,0
2011-07-13,1310515200,6.6,6.6,6.6,6.6,400
2011-07-14,1310601600,6.6,6.6,6.6,6.6,0
2011-07-15,1310688000,7.2,7.2,7.2,7.2,101800
2011-07-18,1310947200,7.9,7.9,7.9,7.9,300
2011-07-19,1311033600,8.0,8.0,8.0,8.0,500
2011-07-20,1311120000,7.2,8.0,7.2,8.0,300
2011-07-21,1311206400,7.0,7.0,7.0,7.0,100
2011-07-22,1311292800,7.0,7.0,7.0,7.0,0
2011-07-25,1311552000,7.0,7.0,7.0,7.0,0
2011-07-26,1311638400,7.7,7.7,7.7,7.7,100
2011-07-27,1311724800,7.1,7.1,7.1,7.1,100
2011-07-28,1311811200,7.1,7.1,7.1,7.1,0
2011-07-29,1311897600,7.8,7.8,6.4,6.4,400
2011-08-01,1312156800,6.8,6.8,6.8,6.8,0
2011-08-02,1312243200,6.2,6.2,6.2,6.2,100
2011-08-03,1312329600,6.8,6.8,5.6,5.6,300
2011-08-04,1312416000,6.6,6.6,5.4,5.4,300
2011-08-05,1312502400,6.3,6.3,6.3,6.3,400
2011-08-08,1312761600,5.7,5.7,5.7,5.7,200
2011-08-09,1312848000,5.2,5.2,5.2,5.2,100
2011-08-10,1312934400,4.7,4.7,4.7,4.7,200
2011-08-11,1313020800,4.7,4.7,4.7,4.7,0
2011-08-12,1313107200,5.1,5.1,5.1,5.1,100
2011-08-15,1313366400,4.6,4.6,4.6,4.6,200
2011-08-16,1313452800,4.2,4.2,4.2,4.2,200
2011-08-17,1313539200,3.8,3.8,3.8,3.8,100
2011-08-18,1313625600,3.8,3.8,3.8,3.8,0
2011-08-19,1313712000,3.8,3.8,3.8,3.8,0
2011-08-22,1313971200,3.8,3.8,3.8,3.8,0
2011-08-23,1314057600,3.5,3.5,3.5,3.5,100
2011-08-24,1314144000,3.5,3.5,3.5,3.5,0
2011-08-25,1314230400,3.2,3.6,3.2,3.2,3100
2011-08-26,1314316800,3.4,3.4,3.4,3.4,0
2011-08-29,1314576000,3.2,3.2,3.1,3.1,5000
2011-08-30,1314662400,3.1,3.1,3.1,3.1,0
2011-08-31,1314748800,2.8,2.8,2.8,2.8,5800
2011-09-01,1314835200,2.7,2.7,2.6,2.6,80000
2011-09-05,1315180800,2.8,2.8,2.8,2.8,500
2011-09-06,1315267200,3.0,3.0,2.8,3.0,16500
2011-09-07,1315353600,3.2,3.3,3.2,3.3,1700
2011-09-08,1315440000,3.5,3.5,3.0,3.0,6600
2011-09-09,1315526400,2.8,2.8,2.8,2.8,64600
2011-09-12,1315785600,3.0,3.0,3.0,3.0,9200
2011-09-13,1315872000,3.3,3.3,3.3,3.3,24100
2011-09-14,1315958400,3.6,3.6,3.6,3.6,24000
2011-09-15,1316044800,3.6,3.6,3.3,3.3,15100
2011-09-16,1316131200,3.1,3.7,3.1,3.7,115500
2011-09-19,1316390400,3.9,3.9,3.9,3.9,38900
2011-09-20,1316476800,4.2,4.2,4.1,4.2,12400
2011-09-21,1316563200,4.6,4.6,4.5,4.6,54900
2011-09-22,1316649600,4.6,4.7,4.2,4.5,31400
2011-09-23,1316736000,4.2,4.2,4.0,4.0,29800
2011-09-26,1316995200,3.8,4.0,3.6,3.7,32000
2011-09-27,1317081600,3.5,3.5,3.4,3.4,20800
2011-09-28,1317168000,3.5,3.7,3.5,3.6,19900
2011-09-29,1317254400,3.4,3.4,3.3,3.3,16300
2011-09-30,1317340800,3.3,3.3,3.2,3.2,5300
2011-10-03,1317600000,3.5,3.5,3.1,3.1,16400
2011-10-04,1317686400,3.0,3.1,2.9,3.0,25400
2011-10-05,1317772800,3.0,3.0,2.7,2.7,61700
2011-10-06,1317859200,3.0,3.0,2.6,3.0,41100
2011-10-07,1317945600,3.0,3.0,3.0,3.0,300
2011-10-10,1318204800,3.3,3.3,3.0,3.0,5300
2011-10-11,1318291200,3.0,3.0,3.0,3.0,4300
2011-10-12,1318377600,2.8,2.8,2.7,2.8,25400
2011-10-13,1318464000,2.7,2.7,2.5,2.7,42200
2011-10-14,1318550400,2.8,2.8,2.7,2.7,21600
