date,timestamp,open,high,low,close,volume
2011-01-04,1294099200,7.882,7.882,7.724,7.724,16600
2011-01-05,1294185600,7.724,7.882,7.252,7.646,140500
2011-01-06,1294272000,7.252,7.803,7.252,7.488,114600
2011-01-07,1294358400,7.33,7.488,7.252,7.33,50200
2011-01-10,1294617600,7.409,7.409,6.936,6.936,30500
2011-01-11,1294704000,6.858,7.094,6.7,6.858,55700
2011-01-12,1294790400,6.936,7.094,6.936,7.094,8400
2011-01-13,1294876800,6.778,7.252,6.778,7.015,16300
2011-01-14,1294963200,7.094,7.094,6.936,6.936,22500
2011-01-17,1295222400,6.858,7.488,6.858,7.488,123700
2011-01-18,1295308800,7.803,7.803,7.172,7.33,35200
2011-01-19,1295395200,7.724,7.724,7.409,7.409,25800
2011-01-20,1295481600,7.882,7.882,7.172,7.172,41200
2011-01-21,1295568000,7.724,7.882,7.094,7.33,96800
2011-01-24,1295827200,7.33,7.33,7.252,7.252,7900
2011-01-25,1295913600,7.172,7.172,6.778,6.858,63500
2011-01-26,1296000000,6.858,7.094,6.858,7.094,21400
2011-01-27,1296086400,6.936,7.172,6.936,7.172,21300
2011-01-28,1296172800,7.33,7.409,7.094,7.094,44200
2011-02-08,1297123200,7.33,7.33,6.7,6.936,80100
2011-02-09,1297209600,7.015,7.094,6.858,7.015,14800
2011-02-10,1297296000,6.7,6.936,6.7,6.858,8900
2011-02-11,1297382400,6.858,7.015,6.858,6.858,6300
2011-02-14,1297641600,6.936,6.936,6.7,6.7,45900
2011-02-15,1297728000,6.936,6.936,6.621,6.621,12700
2011-02-16,1297814400,6.778,6.778,6.621,6.7,11700
2011-02-17,1297900800,6.542,6.7,6.463,6.463,17600
2011-02-18,1297987200,6.463,6.621,6.384,6.384,6900
2011-02-21,1298246400,6.226,6.306,6.069,6.069,48800
2011-02-22,1298332800,6.148,6.148,5.832,5.832,34800
2011-02-23,1298419200,6.148,6.226,5.99,6.226,54000
2011-02-24,1298505600,6.148,6.148,5.912,6.069,47800
2011-02-25,1298592000,6.069,6.226,6.069,6.226,10400
2011-02-28,1298851200,6.226,6.226,5.99,5.99,5400
2011-03-01,1298937600,5.832,6.069,5.832,5.912,4500
2011-03-02,1299024000,5.438,5.754,5.438,5.596,103900
2011-03-03,1299110400,5.518,5.518,5.36,5.438,31200
2011-03-04,1299196800,5.044,5.518,5.044,5.518,36100
2011-03-07,1299456000,5.518,5.518,5.438,5.438,1700
2011-03-08,1299542400,5.518,5.518,5.438,5.438,11700
2011-03-09,1299628800,5.281,5.36,5.281,5.281,8000
2011-03-10,1299715200,5.36,5.596,5.36,5.596,57700
2011-03-11,1299801600,5.912,5.912,5.832,5.912,28200
2011-03-14,1300060800,6.306,6.306,5.596,5.754,37300
2011-03-15,1300147200,5.754,6.306,5.675,5.675,44900
2011-03-16,1300233600,6.069,6.306,5.754,5.99,57700
2011-03-17,1300320000,6.306,6.306,5.99,6.069,26000
2011-03-18,1300406400,5.99,6.306,5.912,6.148,54700
2011-03-21,1300665600,6.069,6.226,6.069,6.069,45300
2011-03-22,1300752000,5.99,5.99,5.754,5.832,57200
2011-03-23,1300838400,5.832,5.832,5.596,5.832,29200
2011-03-24,1300924800,5.912,5.912,5.754,5.912,21600
2011-03-25,1301011200,5.832,5.832,5.754,5.754,20200
2011-03-28,1301270400,6.069,6.069,5.912,6.069,40800
2011-03-29,1301356800,5.99,5.99,5.832,5.832,31200
2011-03-30,1301443200,5.675,5.754,5.518,5.754,24400
2011-03-31,1301529600,5.912,5.912,5.675,5.754,11700
2011-04-01,1301616000,5.928,5.928,5.667,5.754,36800
2011-04-04,1301875200,5.928,5.928,5.579,5.667,17000
2011-04-05,1301961600,5.667,5.754,5.667,5.754,9500
2011-04-06,1302048000,5.754,5.928,5.754,5.841,8600
2011-04-07,1302134400,5.928,5.928,5.841,5.841,300
2011-04-08,1302220800,5.667,5.667,5.492,5.492,43000
2011-04-13,1302652800,5.492,5.579,5.492,5.579,8800
2011-04-14,1302739200,5.318,5.492,5.318,5.492,9300
2011-04-15,1302825600,5.492,5.492,5.405,5.405,11100
2011-04-18,1303084800,5.231,5.318,5.231,5.318,9200
2011-04-19,1303171200,5.231,5.318,5.231,5.231,13400
2011-04-20,1303257600,5.579,5.579,5.318,5.579,25100
2011-04-21,1303344000,5.492,5.492,5.318,5.318,20700
2011-04-22,1303430400,5.579,5.579,5.231,5.318,9400
2011-04-25,1303689600,5.492,5.667,5.318,5.667,56500
2011-04-26,1303776000,5.841,5.928,5.405,5.579,28700
2011-04-27,1303862400,5.579,5.841,5.579,5.579,8300
2011-04-28,1303948800,5.667,5.928,5.667,5.667,9500
2011-04-29,1304035200,5.754,5.928,5.405,5.405,11700
2011-05-04,1304467200,5.841,5.928,5.579,5.579,35800
2011-05-05,1304553600,5.754,5.928,5.405,5.492,14300
2011-05-06,1304640000,5.667,5.667,5.667,5.667,14900
2011-05-09,1304899200,5.754,5.841,5.405,5.405,20300
2011-05-10,1304985600,5.579,5.754,5.492,5.667,36000
2011-05-11,1305072000,5.405,6.015,5.405,5.667,43400
2011-05-12,1305158400,5.841,5.928,5.579,5.579,43100
2011-05-13,1305244800,5.841,5.841,5.579,5.579,3000
2011-05-16,1305504000,5.754,5.754,5.405,5.405,14400
2011-05-17,1305590400,5.405,5.405,5.318,5.318,19000
2011-05-18,1305676800,5.231,5.579,5.231,5.318,47500
2011-05-19,1305763200,5.492,5.579,5.231,5.231,42900
2011-05-20,1305849600,5.492,5.492,5.056,5.056,14400
2011-05-23,1306108800,5.144,5.144,4.795,5.056,8000
2011-05-24,1306195200,4.621,4.795,4.621,4.621,26000
