date,timestamp,open,high,low,close,volume
2011-01-04,1294099200,47.501,47.501,46.736,47.501,60420
2011-01-05,1294185600,47.501,47.501,46.736,47.118,138760
2011-01-06,1294272000,45.969,46.736,45.969,46.736,41040
2011-01-07,1294358400,47.501,47.501,46.352,46.352,61620
2011-01-10,1294617600,47.118,47.118,45.969,46.736,96850
2011-01-11,1294704000,46.736,46.736,45.586,45.586,112330
2011-01-12,1294790400,45.203,46.736,45.203,45.586,37590
2011-01-13,1294876800,46.352,46.736,45.586,46.736,65610
2011-01-14,1294963200,47.118,47.118,46.736,47.118,99310
2011-01-17,1295222400,47.501,48.268,47.118,47.501,137840
2011-01-18,1295308800,47.501,47.884,46.352,46.352,169160
2011-01-19,1295395200,47.118,47.118,46.352,47.118,218380
2011-01-20,1295481600,46.352,47.501,46.352,46.736,120160
2011-01-21,1295568000,47.118,49.034,46.736,49.034,668050
2011-01-24,1295827200,49.416,51.332,48.651,49.034,446230
2011-01-25,1295913600,48.268,50.949,48.268,49.034,300660
2011-01-26,1296000000,49.8,49.8,49.034,49.416,106960
2011-01-27,1296086400,49.034,50.183,49.034,50.183,342030
2011-01-28,1296172800,50.183,51.716,50.183,51.332,378340
2011-02-08,1297123200,51.332,52.481,51.332,52.098,200390
2011-02-09,1297209600,52.098,53.248,51.332,51.716,453610
2011-02-10,1297296000,52.098,52.098,51.332,51.716,235040
2011-02-11,1297382400,52.098,52.098,50.949,51.332,221120
2011-02-14,1297641600,51.716,51.716,50.949,50.949,183090
2011-02-15,1297728000,50.566,50.949,50.183,50.949,288950
2011-02-16,1297814400,51.332,51.332,50.183,50.183,169150
2011-02-17,1297900800,50.183,50.183,48.268,49.034,272840
2011-02-18,1297987200,47.884,48.268,47.118,47.501,199110
2011-02-21,1298246400,46.352,46.352,45.203,45.203,379300
2011-02-22,1298332800,43.288,45.203,43.288,43.288,361610
2011-02-23,1298419200,44.457,44.457,42.118,42.118,272700
2011-02-24,1298505600,42.118,42.118,40.168,40.947,256560
2011-02-25,1298592000,42.118,42.118,39.778,41.337,242290
2011-02-28,1298851200,40.558,42.508,39.778,39.778,179630
2011-03-01,1298937600,40.168,40.558,39.388,40.558,84450
2011-03-02,1299024000,39.778,40.558,38.53,38.53,469720
2011-03-03,1299110400,37.438,38.607,37.438,38.061,171220
2011-03-04,1299196800,38.92,38.92,37.672,37.906,222640
2011-03-07,1299456000,37.906,38.92,37.828,38.92,183080
2011-03-08,1299542400,38.998,38.998,38.218,38.842,120290
2011-03-09,1299628800,38.842,38.842,37.048,37.048,175780
2011-03-10,1299715200,37.36,38.842,37.282,38.842,243730
2011-03-11,1299801600,40.168,40.558,40.168,40.558,191570
2011-03-14,1300060800,41.337,41.337,38.53,38.53,160030
2011-03-15,1300147200,37.828,39.778,37.828,38.452,232450
2011-03-16,1300233600,38.452,38.998,38.218,38.53,238470
