date,timestamp,open,high,low,close,volume
2012-01-03,1325548800,4.649,4.649,4.649,4.649,100
2012-01-04,1325635200,4.791,4.791,4.791,4.791,100
2012-01-05,1325721600,4.509,4.509,4.509,4.509,1000
2012-01-06,1325808000,4.368,4.368,4.368,4.368,700
2012-01-09,1326067200,4.368,4.368,4.368,4.368,1500
2012-01-10,1326153600,4.368,4.368,4.368,4.368,0
2012-01-11,1326240000,4.649,4.649,4.649,4.649,1900
2012-01-12,1326326400,4.861,4.861,4.861,4.861,100
2012-01-13,1326412800,4.861,4.861,4.861,4.861,0
2012-01-16,1326672000,4.861,4.861,4.861,4.861,0
2012-01-17,1326758400,4.861,4.861,4.861,4.861,0
2012-01-18,1326844800,4.861,4.861,4.861,4.861,0
2012-01-19,1326931200,4.649,4.649,4.649,4.649,3600
2012-01-20,1327017600,4.649,4.649,4.649,4.649,0
2012-01-30,1327881600,4.931,4.931,4.931,4.931,100
2012-01-31,1327968000,5.212,5.212,5.212,5.212,100
2012-02-01,1328054400,5.495,5.495,5.495,5.495,100
2012-02-02,1328140800,5.495,5.495,5.495,5.495,0
2012-02-03,1328227200,5.495,5.495,5.495,5.495,0
2012-02-06,1328486400,5.495,5.495,5.495,5.495,0
2012-02-07,1328572800,5.495,5.495,5.495,5.495,0
2012-02-08,1328659200,5.142,5.354,5.142,5.354,1100
2012-02-09,1328745600,5.002,5.002,5.002,5.002,100
2012-02-10,1328832000,4.72,4.72,4.72,4.72,1900
2012-02-13,1329091200,4.72,4.72,4.72,4.72,0
2012-02-14,1329177600,4.438,4.438,4.438,4.438,4800
2012-02-15,1329264000,4.438,4.438,4.438,4.438,0
2012-02-16,1329350400,4.438,4.438,4.438,4.438,0
2012-02-17,1329436800,4.72,4.72,4.72,4.72,100
2012-02-20,1329696000,5.002,5.002,5.002,5.002,100
2012-02-21,1329782400,5.212,5.212,5.212,5.212,100
2012-02-22,1329868800,5.212,5.212,5.212,5.212,0
2012-02-23,1329955200,4.931,4.931,4.861,4.861,4200
2012-02-24,1330041600,4.861,4.861,4.861,4.861,0
2012-02-27,1330300800,4.931,4.931,4.931,4.931,2200
2012-02-28,1330387200,4.931,4.931,4.931,4.931,700
2012-02-29,1330473600,4.931,4.931,4.931,4.931,0
2012-03-01,1330560000,4.931,4.931,4.931,4.931,7900
2012-03-02,1330646400,4.931,4.931,4.649,4.649,9400
2012-03-05,1330905600,5.002,5.002,4.861,5.002,11800
2012-03-06,1330992000,5.072,5.072,5.072,5.072,9500
2012-03-07,1331078400,5.142,5.424,5.142,5.424,23800
2012-03-08,1331164800,5.635,5.705,5.565,5.705,4700
2012-03-09,1331251200,5.705,5.705,5.705,5.705,2900
2012-03-12,1331510400,5.354,5.354,5.354,5.354,100
2012-03-13,1331596800,5.072,5.072,5.072,5.072,200
2012-03-14,1331683200,5.072,5.072,5.072,5.072,100
2012-03-15,1331769600,5.424,5.424,5.424,5.424,100
2012-03-16,1331856000,5.072,5.072,5.072,5.072,900
2012-03-19,1332115200,5.072,5.072,5.072,5.072,0
2012-03-20,1332201600,5.072,5.072,5.072,5.072,0
2012-03-21,1332288000,5.354,5.354,5.284,5.284,1000
2012-03-22,1332374400,5.142,5.142,5.142,5.142,2000
2012-03-23,1332460800,5.495,5.495,5.495,5.495,100
2012-03-26,1332720000,5.354,5.635,5.354,5.354,700
2012-03-27,1332806400,5.705,5.705,5.705,5.705,11000
2012-03-28,1332892800,5.354,5.354,5.354,5.354,3000
2012-03-29,1332979200,5.354,5.354,5.354,5.354,2000
2012-03-30,1333065600,5.354,5.354,5.142,5.142,2400
2012-04-03,1333411200,5.142,5.142,5.142,5.142,0
2012-04-04,1333497600,5.142,5.142,5.142,5.142,1000
2012-04-05,1333584000,5.142,5.142,5.142,5.142,2000
2012-04-06,1333670400,5.142,5.142,5.072,5.072,2500
2012-04-09,1333929600,5.424,5.424,5.284,5.424,6000
2012-04-10,1334016000,5.635,5.776,5.635,5.705,6200
2012-04-11,1334102400,5.988,6.059,5.988,6.059,8500
2012-04-12,1334188800,6.34,6.481,6.199,6.34,10600
2012-04-13,1334275200,6.27,6.27,6.27,6.27,400
2012-04-16,1334534400,6.129,6.622,6.059,6.622,4100
2012-04-17,1334620800,6.833,6.833,6.833,6.833,100
2012-04-18,1334707200,6.692,6.692,6.411,6.411,4500
2012-04-19,1334793600,6.481,6.481,6.34,6.34,1000
2012-04-20,1334880000,6.27,6.27,6.27,6.27,300
2012-04-23,1335139200,5.848,6.27,5.848,6.27,10600
2012-04-24,1335225600,5.848,6.199,5.848,6.199,32200
2012-04-25,1335312000,5.988,6.34,5.988,6.27,57500
2012-04-26,1335398400,6.199,6.199,6.129,6.129,5400
2012-04-27,1335484800,6.199,6.481,6.199,6.481,1000
2012-05-02,1335916800,6.27,6.692,6.27,6.692,1200
2012-05-03,1336003200,6.34,6.34,6.27,6.27,1000
2012-05-04,1336089600,6.129,6.692,5.988,6.692,49600
2012-05-07,1336348800,7.115,7.115,7.045,7.045,34000
2012-05-08,1336435200,7.045,7.045,7.045,7.045,0
2012-05-09,1336521600,7.256,7.256,6.974,7.045,14000
2012-05-10,1336608000,6.974,7.045,6.833,7.045,5600
2012-05-11,1336694400,6.974,7.115,6.763,6.763,26900
2012-05-14,1336953600,7.045,7.045,6.411,6.411,7400
2012-05-15,1337040000,6.411,6.411,6.411,6.411,0
2012-05-16,1337126400,6.692,6.692,6.692,6.692,100
2012-05-17,1337212800,6.763,6.763,6.27,6.27,10800
2012-05-18,1337299200,6.622,6.622,6.622,6.622,100
2012-05-21,1337558400,7.045,7.045,7.045,7.045,200
2012-05-22,1337644800,7.045,7.045,7.045,7.045,100
2012-05-23,1337731200,7.185,7.185,7.185,7.185,100
2012-05-24,1337817600,7.185,7.185,7.185,7.185,0
2012-05-25,1337904000,7.185,7.185,7.185,7.185,0
2012-05-28,1338163200,7.185,7.185,6.692,7.045,300
2012-05-29,1338249600,6.622,6.763,6.552,6.763,1700
2012-05-30,1338336000,6.34,6.974,6.34,6.974,700
2012-05-31,1338422400,6.974,6.974,6.974,6.974,0
2012-06-01,1338508800,6.974,6.974,6.974,6.974,0
2012-06-04,1338768000,6.974,6.974,6.974,6.974,0
2012-06-05,1338854400,6.974,6.974,6.974,6.974,0
2012-06-06,1338940800,6.974,6.974,6.974,6.974,0
2012-06-07,1339027200,6.552,6.833,6.552,6.833,200
2012-06-08,1339113600,6.833,6.833,6.833,6.833,0
2012-06-11,1339372800,6.763,6.763,6.763,6.763,200
