date,timestamp,open,high,low,close,volume
2012-01-03,1325548800,4.402,4.402,4.402,4.402,0
2012-01-04,1325635200,4.552,4.552,4.552,4.552,200
2012-01-05,1325721600,4.664,4.664,4.664,4.664,100
2012-01-06,1325808000,4.442,4.442,4.442,4.442,200
2012-01-09,1326067200,4.479,4.479,4.479,4.479,100
2012-01-10,1326153600,4.552,4.552,4.552,4.552,100
2012-01-11,1326240000,4.59,4.59,4.59,4.59,100
2012-01-12,1326326400,4.479,4.479,4.479,4.479,100
2012-01-13,1326412800,4.552,4.552,4.552,4.552,100
2012-01-16,1326672000,4.59,4.59,4.59,4.59,200
2012-01-17,1326758400,4.516,4.516,4.516,4.516,200
2012-01-18,1326844800,4.552,4.552,4.552,4.552,200
2012-01-19,1326931200,4.552,4.552,4.552,4.552,0
2012-01-20,1327017600,4.552,4.552,4.552,4.552,0
2012-01-30,1327881600,4.552,4.552,4.552,4.552,0
2012-01-31,1327968000,4.552,4.552,4.552,4.552,200
2012-02-01,1328054400,4.552,4.552,4.552,4.552,0
2012-02-02,1328140800,4.552,4.552,4.552,4.552,0
2012-02-03,1328227200,4.59,4.59,4.59,4.59,100
2012-02-06,1328486400,4.628,4.628,4.628,4.628,100
2012-02-07,1328572800,4.814,4.814,4.814,4.814,100
2012-02-08,1328659200,4.776,4.776,4.776,4.776,200
2012-02-09,1328745600,4.776,4.776,4.776,4.776,0
2012-02-10,1328832000,4.814,4.814,4.814,4.814,200
2012-02-13,1329091200,4.776,4.776,4.776,4.776,800
2012-02-14,1329177600,4.516,4.516,4.479,4.479,1300
2012-02-15,1329264000,4.328,4.328,4.328,4.328,100
2012-02-16,1329350400,4.328,4.328,4.328,4.328,0
2012-02-17,1329436800,4.442,4.442,4.067,4.067,1100
2012-02-20,1329696000,4.328,4.365,4.328,4.365,300
2012-02-21,1329782400,4.402,4.402,4.328,4.328,400
2012-02-22,1329868800,4.479,4.479,4.479,4.479,200
2012-02-23,1329955200,4.292,4.292,4.292,4.292,200
2012-02-24,1330041600,4.292,4.292,4.292,4.292,0
2012-02-27,1330300800,4.479,4.479,4.479,4.479,400
2012-02-28,1330387200,4.292,4.292,4.18,4.216,9300
2012-02-29,1330473600,4.292,4.292,4.292,4.292,500
2012-03-01,1330560000,4.479,4.479,4.479,4.479,200
2012-03-02,1330646400,4.59,4.59,4.59,4.59,100
2012-03-05,1330905600,4.814,4.852,4.479,4.479,2800
2012-03-06,1330992000,4.365,4.365,4.365,4.365,100
2012-03-07,1331078400,4.59,4.59,4.104,4.104,700
2012-03-08,1331164800,4.18,4.18,3.993,3.993,1700
2012-03-09,1331251200,4.142,4.142,4.142,4.142,200
2012-03-12,1331510400,4.142,4.142,4.142,4.142,0
2012-03-13,1331596800,4.292,4.365,3.881,4.365,1800
2012-03-14,1331683200,4.03,4.03,4.03,4.03,200
2012-03-15,1331769600,4.03,4.03,3.918,3.957,1100
2012-03-16,1331856000,4.104,4.104,4.104,4.104,200
2012-03-19,1332115200,4.03,4.03,3.844,3.844,3100
2012-03-20,1332201600,4.067,4.067,3.918,3.918,400
2012-03-21,1332288000,3.733,3.733,3.733,3.733,200
2012-03-22,1332374400,3.881,3.881,3.881,3.881,200
