date,timestamp,open,high,low,close,volume
2012-01-03,1325548800,2.398,2.398,2.289,2.31,9200
2012-01-04,1325635200,2.289,2.333,2.289,2.333,24160
2012-01-05,1325721600,2.266,2.289,2.266,2.266,3890
2012-01-06,1325808000,2.244,2.244,2.2,2.244,12400
2012-01-09,1326067200,2.222,2.244,2.178,2.244,7860
2012-01-10,1326153600,2.31,2.333,2.266,2.333,15650
2012-01-11,1326240000,2.31,2.31,2.266,2.266,4810
2012-01-12,1326326400,2.31,2.377,2.31,2.377,31060
2012-01-13,1326412800,2.377,2.441,2.377,2.421,32390
2012-01-16,1326672000,2.421,2.464,2.421,2.464,14260
2012-01-17,1326758400,2.486,2.574,2.486,2.574,48500
2012-01-18,1326844800,2.597,2.64,2.574,2.574,19930
2012-01-19,1326931200,2.64,2.64,2.64,2.64,16900
2012-01-20,1327017600,2.728,2.728,2.64,2.706,15400
2012-01-30,1327881600,2.816,2.816,2.618,2.618,30
2012-01-31,1327968000,2.728,2.728,2.64,2.64,17520
2012-02-01,1328054400,2.662,2.662,2.574,2.574,8010
2012-02-02,1328140800,2.597,2.685,2.574,2.685,54950
2012-02-03,1328227200,2.793,2.816,2.728,2.75,208740
2012-02-06,1328486400,2.64,2.793,2.64,2.75,28120
2012-02-07,1328572800,2.793,2.793,2.662,2.75,19590
2012-02-08,1328659200,2.75,2.86,2.75,2.86,114900
2012-02-09,1328745600,2.948,2.948,2.793,2.816,44590
2012-02-10,1328832000,2.816,2.816,2.685,2.685,443850
2012-02-13,1329091200,2.64,2.64,2.574,2.64,141710
2012-02-14,1329177600,2.64,2.64,2.574,2.574,48200
2012-02-15,1329264000,2.685,2.685,2.552,2.574,38600
2012-02-16,1329350400,2.618,2.64,2.574,2.64,66420
2012-02-17,1329436800,2.772,2.772,2.772,2.772,296260
2012-02-20,1329696000,2.904,2.904,2.837,2.904,361510
2012-02-21,1329782400,3.014,3.014,2.86,2.924,80670
2012-02-22,1329868800,2.924,3.037,2.904,3.037,50100
2012-02-23,1329955200,3.081,3.169,2.969,3.169,225200
2012-02-24,1330041600,3.169,3.277,3.037,3.037,178880
2012-02-27,1330300800,3.081,3.102,2.992,3.102,85050
2012-02-28,1330387200,3.037,3.102,2.948,2.948,122410
2012-02-29,1330473600,3.037,3.037,2.837,2.924,94110
2012-03-01,1330560000,2.969,3.058,2.837,3.058,195160
2012-03-02,1330646400,3.146,3.19,3.081,3.19,262570
2012-03-05,1330905600,3.344,3.344,3.321,3.344,131190
2012-03-06,1330992000,3.476,3.499,3.19,3.3,479340
2012-03-07,1331078400,3.321,3.454,3.146,3.454,882660
2012-03-08,1331164800,3.365,3.608,3.365,3.521,594130
2012-03-09,1331251200,3.608,3.696,3.521,3.696,257480
2012-03-12,1331510400,3.608,3.631,3.521,3.521,138010
2012-03-13,1331596800,3.344,3.521,3.344,3.365,295510
2012-03-14,1331683200,3.212,3.41,3.212,3.212,393820
2012-03-15,1331769600,3.169,3.365,3.102,3.365,266370
2012-03-16,1331856000,3.388,3.499,3.365,3.388,161210
2012-03-19,1332115200,3.344,3.454,3.321,3.388,125720
2012-03-20,1332201600,3.3,3.41,3.3,3.41,140030
2012-03-21,1332288000,3.365,3.564,3.3,3.454,315220
2012-03-22,1332374400,3.41,3.542,3.365,3.499,102950
2012-03-23,1332460800,3.476,3.631,3.454,3.608,268250
2012-03-26,1332720000,3.542,3.719,3.521,3.542,136060
2012-03-27,1332806400,3.521,3.542,3.365,3.365,121450
2012-03-28,1332892800,3.3,3.388,3.234,3.3,65360
2012-03-29,1332979200,3.3,3.3,3.19,3.212,157600
2012-03-30,1333065600,3.212,3.3,3.19,3.3,89490
2012-04-03,1333411200,3.212,3.388,3.212,3.344,49060
2012-04-04,1333497600,3.212,3.432,3.212,3.212,63390
2012-04-05,1333584000,3.212,3.277,3.169,3.256,62210
2012-04-06,1333670400,3.344,3.41,3.3,3.365,139690
2012-04-09,1333929600,3.344,3.521,3.344,3.499,265060
2012-04-10,1334016000,3.586,3.652,3.542,3.652,607040
2012-04-11,1334102400,3.827,3.827,3.827,3.827,176360
2012-04-12,1334188800,4.003,4.003,4.003,4.003,114390
2012-04-13,1334275200,4.202,4.202,4.026,4.114,758690
2012-04-16,1334534400,4.114,4.312,4.091,4.312,484460
2012-04-17,1334620800,4.488,4.511,4.4,4.511,217770
2012-04-18,1334707200,4.73,4.73,4.511,4.73,756420
2012-04-19,1334793600,4.621,4.73,4.511,4.511,405720
2012-04-20,1334880000,4.335,4.488,4.291,4.4,333130
2012-04-23,1335139200,4.247,4.621,4.247,4.621,188380
2012-04-24,1335225600,4.664,4.839,4.511,4.839,548920
