date,timestamp,open,high,low,close,volume
2012-01-03,1325548800,16.661,16.661,16.661,16.661,0
2012-01-04,1325635200,17.002,17.002,17.002,17.002,10
2012-01-05,1325721600,17.002,17.002,17.002,17.002,0
2012-01-06,1325808000,17.002,17.002,17.002,17.002,0
2012-01-09,1326067200,17.002,17.002,17.002,17.002,0
2012-01-10,1326153600,16.183,16.183,16.183,16.183,3600
2012-01-11,1326240000,16.183,16.183,16.183,16.183,0
2012-01-12,1326326400,16.183,16.183,16.183,16.183,0
2012-01-13,1326412800,16.183,16.183,16.183,16.183,0
2012-01-16,1326672000,16.183,16.183,16.183,16.183,0
2012-01-17,1326758400,16.183,16.183,16.183,16.183,0
2012-01-18,1326844800,15.399,15.399,15.399,15.399,50
2012-01-19,1326931200,15.399,15.399,15.399,15.399,0
2012-01-20,1327017600,15.399,15.399,15.399,15.399,0
2012-01-30,1327881600,15.399,15.399,15.399,15.399,1710
2012-01-31,1327968000,15.399,15.399,15.399,15.399,0
2012-02-01,1328054400,15.638,15.638,15.638,15.638,10
2012-02-02,1328140800,15.638,15.638,15.638,15.638,0
2012-02-03,1328227200,15.638,15.638,15.638,15.638,0
2012-02-06,1328486400,15.638,15.638,15.638,15.638,0
2012-02-07,1328572800,15.638,15.638,15.638,15.638,0
2012-02-08,1328659200,16.318,16.318,16.318,16.318,10
2012-02-09,1328745600,16.318,16.318,16.318,16.318,0
2012-02-10,1328832000,16.318,16.318,16.318,16.318,10000
2012-02-13,1329091200,16.318,16.318,16.318,16.318,0
2012-02-14,1329177600,16.318,16.318,16.318,16.318,0
2012-02-15,1329264000,16.318,16.318,16.318,16.318,0
2012-02-16,1329350400,16.318,16.318,16.318,16.318,0
2012-02-17,1329436800,16.318,16.318,16.318,16.318,0
2012-02-20,1329696000,16.318,16.318,16.318,16.318,0
2012-02-21,1329782400,16.318,16.318,16.318,16.318,0
2012-02-22,1329868800,16.318,16.318,16.318,16.318,0
2012-02-23,1329955200,16.318,16.318,16.318,16.318,0
2012-02-24,1330041600,15.535,15.535,15.535,15.535,40
2012-02-27,1330300800,15.501,15.501,15.501,15.501,12620
2012-02-28,1330387200,15.501,15.501,15.501,15.501,0
2012-02-29,1330473600,14.753,15.331,14.753,15.331,130
2012-03-01,1330560000,14.582,14.753,14.582,14.582,45330
2012-03-02,1330646400,13.867,14.48,13.867,13.867,28970
2012-03-05,1330905600,14.548,14.548,14.548,14.548,10010
2012-03-06,1330992000,13.969,13.969,13.832,13.832,1410
2012-03-07,1331078400,13.832,13.832,13.832,13.832,1790
2012-03-08,1331164800,13.152,13.152,13.152,13.152,570
2012-03-09,1331251200,13.798,13.798,12.503,12.503,1630
2012-03-12,1331510400,11.924,11.924,11.89,11.89,1030
2012-03-13,1331596800,11.311,12.469,11.311,12.469,154490
2012-03-14,1331683200,11.856,13.082,11.856,13.082,12320
2012-03-15,1331769600,13.628,13.73,13.628,13.73,3530
2012-03-16,1331856000,14.309,14.309,14.309,14.309,300
2012-03-19,1332115200,13.969,13.969,13.594,13.594,2060
2012-03-20,1332201600,12.946,14.241,12.946,14.241,5640
2012-03-21,1332288000,14.309,14.378,14.276,14.378,250
2012-03-22,1332374400,14.378,14.378,13.969,14.378,820
2012-03-23,1332460800,13.969,15.093,13.969,15.093,1500
2012-03-26,1332720000,14.991,15.843,14.991,14.991,3350
2012-03-27,1332806400,15.672,15.672,15.331,15.331,20
2012-03-28,1332892800,15.331,15.331,14.582,14.582,110
2012-03-29,1332979200,15.149,15.149,15.149,15.149,0
