date,timestamp,open,high,low,close,volume
2012-01-03,1325548800,3.6,3.7,3.5,3.6,104620
2012-01-04,1325635200,3.6,3.6,3.5,3.5,246210
2012-01-05,1325721600,3.4,3.5,3.4,3.4,398540
2012-01-06,1325808000,3.3,3.3,3.3,3.3,21880
2012-01-09,1326067200,3.2,3.3,3.2,3.2,449210
2012-01-10,1326153600,3.1,3.3,3.1,3.3,357070
2012-01-11,1326240000,3.4,3.4,3.2,3.2,425060
2012-01-12,1326326400,3.2,3.3,3.1,3.3,94280
2012-01-13,1326412800,3.3,3.4,3.3,3.3,155440
2012-01-16,1326672000,3.2,3.4,3.2,3.4,283970
2012-01-17,1326758400,3.4,3.4,3.3,3.4,176650
2012-01-18,1326844800,3.4,3.5,3.3,3.4,203000
2012-01-19,1326931200,3.4,3.5,3.3,3.5,174930
2012-01-20,1327017600,3.5,3.6,3.5,3.5,221810
2012-01-30,1327881600,3.4,3.4,3.4,3.4,93850
2012-01-31,1327968000,3.3,3.5,3.3,3.4,586910
2012-02-01,1328054400,3.4,3.5,3.3,3.5,232940
2012-02-02,1328140800,3.5,3.6,3.5,3.6,447070
2012-02-03,1328227200,3.6,3.7,3.5,3.5,483030
2012-02-06,1328486400,3.4,3.4,3.4,3.4,315960
2012-02-07,1328572800,3.4,3.5,3.3,3.4,170670
2012-02-08,1328659200,3.4,3.5,3.4,3.5,480890
2012-02-09,1328745600,3.6,3.6,3.5,3.6,878150
2012-02-10,1328832000,3.6,3.7,3.5,3.5,646670
2012-02-13,1329091200,3.6,3.6,3.5,3.6,848890
2012-02-14,1329177600,3.7,3.7,3.7,3.7,102380
2012-02-15,1329264000,3.8,3.8,3.7,3.8,1810120
2012-02-16,1329350400,3.8,3.9,3.7,3.8,411570
2012-02-17,1329436800,3.7,3.9,3.7,3.8,825680
2012-02-20,1329696000,3.9,3.9,3.8,3.9,305550
2012-02-21,1329782400,4.0,4.0,4.0,4.0,1171750
2012-02-22,1329868800,4.0,4.2,4.0,4.2,677280
2012-02-23,1329955200,4.4,4.4,4.4,4.4,162400
2012-02-24,1330041600,4.6,4.6,4.6,4.6,375780
2012-02-27,1330300800,4.6,4.8,4.6,4.8,1633260
2012-02-28,1330387200,5.0,5.0,4.6,4.6,2356030
2012-02-29,1330473600,4.5,4.8,4.5,4.8,1258440
2012-03-01,1330560000,4.8,5.0,4.7,4.9,736490
2012-03-02,1330646400,4.9,5.0,4.8,5.0,1229190
2012-03-05,1330905600,5.2,5.2,5.2,5.2,393540
2012-03-06,1330992000,5.4,5.4,5.0,5.0,2331540
2012-03-07,1331078400,5.0,5.0,4.8,5.0,1421620
2012-03-08,1331164800,4.8,5.0,4.8,4.8,903840
2012-03-09,1331251200,4.7,4.8,4.6,4.7,1031210
2012-03-12,1331510400,4.5,4.8,4.5,4.5,640780
2012-03-13,1331596800,4.5,4.6,4.3,4.6,554480
2012-03-14,1331683200,4.4,4.7,4.4,4.4,495930
2012-03-15,1331769600,4.3,4.6,4.2,4.6,1050760
2012-03-16,1331856000,4.8,4.8,4.7,4.8,1237750
2012-03-19,1332115200,4.8,4.9,4.7,4.7,297140
2012-03-20,1332201600,4.8,4.8,4.6,4.8,404330
2012-03-21,1332288000,4.8,5.0,4.7,5.0,1652620
2012-03-22,1332374400,5.0,5.2,5.0,5.2,1602020
2012-03-23,1332460800,5.4,5.4,5.3,5.4,1843320
2012-03-26,1332720000,5.6,5.6,5.5,5.6,1271810
2012-03-27,1332806400,5.7,5.8,5.4,5.4,2828740
2012-03-28,1332892800,5.3,5.5,5.2,5.4,1321690
2012-03-29,1332979200,5.5,5.6,5.3,5.3,3061490
2012-03-30,1333065600,5.3,5.4,5.1,5.1,1065200
2012-04-03,1333411200,5.0,5.3,4.9,5.3,1104950
2012-04-04,1333497600,5.1,5.4,5.1,5.1,787290
2012-04-05,1333584000,5.0,5.3,4.9,5.3,1066090
2012-04-06,1333670400,5.3,5.5,5.2,5.3,786750
2012-04-09,1333929600,5.4,5.5,5.4,5.5,1864580
2012-04-10,1334016000,5.6,5.7,5.5,5.7,2586350
2012-04-11,1334102400,5.9,5.9,5.7,5.9,1980610
2012-04-12,1334188800,6.1,6.1,6.0,6.1,948770
2012-04-13,1334275200,6.0,6.1,5.8,5.8,2389580
2012-04-16,1334534400,5.8,6.0,5.6,6.0,1925190
2012-04-17,1334620800,6.1,6.3,5.9,6.1,2045070
