date,timestamp,open,high,low,close,volume
2012-01-03,1325548800,3.88,3.88,3.807,3.88,8510
2012-01-04,1325635200,3.953,3.953,3.953,3.953,490
2012-01-05,1325721600,3.953,3.953,3.807,3.807,23340
2012-01-06,1325808000,3.734,3.88,3.734,3.88,7700
2012-01-09,1326067200,3.953,3.953,3.734,3.734,1270
2012-01-10,1326153600,3.807,3.88,3.734,3.734,860
2012-01-11,1326240000,3.88,3.88,3.807,3.807,4040
2012-01-12,1326326400,3.88,3.88,3.807,3.88,10110
2012-01-13,1326412800,3.88,3.88,3.88,3.88,10490
2012-01-16,1326672000,3.953,3.953,3.953,3.953,4130
2012-01-17,1326758400,3.953,3.953,3.953,3.953,5170
2012-01-18,1326844800,3.953,4.027,3.953,4.027,1420
2012-01-19,1326931200,4.027,4.1,4.027,4.1,2010
2012-01-20,1327017600,4.027,4.246,4.027,4.246,23420
2012-01-30,1327881600,4.392,4.392,4.319,4.319,670
2012-01-31,1327968000,4.319,4.466,4.319,4.466,16170
2012-02-01,1328054400,4.392,4.392,4.246,4.246,38220
2012-02-02,1328140800,4.246,4.319,4.173,4.319,13350
2012-02-03,1328227200,4.466,4.466,4.246,4.392,14710
2012-02-06,1328486400,4.392,4.392,4.246,4.392,3900
2012-02-07,1328572800,4.246,4.392,4.173,4.173,27940
2012-02-08,1328659200,4.173,4.319,4.1,4.319,11120
2012-02-09,1328745600,4.246,4.392,4.246,4.319,1850
2012-02-10,1328832000,4.246,4.319,4.173,4.173,15760
2012-02-13,1329091200,4.173,4.173,4.1,4.1,9640
2012-02-14,1329177600,4.027,4.1,4.027,4.1,730
2012-02-15,1329264000,4.027,4.1,4.027,4.027,8420
2012-02-16,1329350400,4.027,4.173,4.027,4.173,910
2012-02-17,1329436800,4.246,4.246,4.173,4.246,200
2012-02-20,1329696000,4.392,4.392,4.246,4.319,15650
2012-02-21,1329782400,4.319,4.392,4.319,4.319,3760
2012-02-22,1329868800,4.246,4.392,4.246,4.319,4890
2012-02-23,1329955200,4.319,4.392,4.319,4.392,3130
2012-02-24,1330041600,4.392,4.539,4.392,4.466,7120
2012-02-27,1330300800,4.612,4.612,4.466,4.466,3150
2012-02-28,1330387200,4.392,4.612,4.319,4.612,7340
2012-02-29,1330473600,4.539,4.539,4.466,4.539,4720
