date,timestamp,open,high,low,close,volume
2012-01-03,1325548800,2.084,2.084,1.966,2.004,14300
2012-01-04,1325635200,1.966,1.966,1.927,1.927,3200
2012-01-05,1325721600,1.927,1.927,1.887,1.887,5100
2012-01-06,1325808000,1.809,1.966,1.809,1.966,400
2012-01-09,1326067200,1.809,1.927,1.809,1.927,1000
2012-01-10,1326153600,1.847,2.004,1.847,2.004,1300
2012-01-11,1326240000,1.927,1.927,1.927,1.927,3300
2012-01-12,1326326400,1.887,1.927,1.847,1.847,6600
2012-01-13,1326412800,1.966,1.966,1.966,1.966,700
2012-01-16,1326672000,1.927,1.927,1.927,1.927,100
2012-01-17,1326758400,1.966,1.966,1.809,1.927,5300
2012-01-18,1326844800,1.847,2.004,1.847,2.004,4500
2012-01-19,1326931200,1.966,1.966,1.966,1.966,1600
2012-01-20,1327017600,1.887,1.887,1.887,1.887,1000
2012-01-30,1327881600,1.809,1.966,1.809,1.966,2000
2012-01-31,1327968000,2.004,2.004,2.004,2.004,6800
2012-02-01,1328054400,1.966,2.044,1.887,2.044,31700
2012-02-02,1328140800,2.004,2.084,2.004,2.084,4800
2012-02-03,1328227200,2.202,2.202,2.084,2.124,10100
2012-02-06,1328486400,2.124,2.124,2.084,2.084,4500
2012-02-07,1328572800,2.164,2.164,2.084,2.124,4600
2012-02-08,1328659200,2.164,2.242,2.164,2.242,8100
2012-02-09,1328745600,2.242,2.281,2.242,2.242,10700
2012-02-10,1328832000,2.202,2.242,2.164,2.164,5700
2012-02-13,1329091200,2.124,2.164,2.124,2.164,2000
2012-02-14,1329177600,2.044,2.044,2.044,2.044,1000
2012-02-15,1329264000,2.164,2.164,2.164,2.164,6700
2012-02-16,1329350400,2.044,2.084,2.044,2.084,2500
2012-02-17,1329436800,1.966,2.202,1.966,2.202,5600
2012-02-20,1329696000,2.32,2.32,2.202,2.32,9500
2012-02-21,1329782400,2.476,2.476,2.242,2.242,4500
2012-02-22,1329868800,2.164,2.359,2.164,2.32,8200
2012-02-23,1329955200,2.32,2.397,2.281,2.359,10600
2012-02-24,1330041600,2.437,2.437,2.397,2.397,8200
2012-02-27,1330300800,2.437,2.516,2.437,2.516,2400
2012-02-28,1330387200,2.359,2.594,2.359,2.359,14300
2012-02-29,1330473600,2.359,2.437,2.359,2.437,400
2012-03-01,1330560000,2.32,2.437,2.32,2.437,200
2012-03-02,1330646400,2.437,2.437,2.359,2.397,10300
2012-03-05,1330905600,2.555,2.555,2.555,2.555,5400
2012-03-06,1330992000,2.712,2.712,2.397,2.594,19400
2012-03-07,1331078400,2.516,2.516,2.437,2.476,10500
2012-03-08,1331164800,2.516,2.516,2.516,2.516,1200
2012-03-09,1331251200,2.397,2.476,2.397,2.437,9700
2012-03-12,1331510400,2.32,2.437,2.32,2.437,13800
2012-03-13,1331596800,2.359,2.516,2.359,2.516,13500
2012-03-14,1331683200,2.634,2.634,2.476,2.476,50100
2012-03-15,1331769600,2.673,2.751,2.673,2.751,30600
2012-03-16,1331856000,2.869,2.869,2.673,2.712,14400
2012-03-19,1332115200,2.791,2.791,2.594,2.594,3800
2012-03-20,1332201600,2.516,2.594,2.476,2.594,12600
2012-03-21,1332288000,2.594,2.712,2.594,2.634,16200
2012-03-22,1332374400,2.83,2.83,2.673,2.673,1600
2012-03-23,1332460800,2.791,2.791,2.791,2.791,200
2012-03-26,1332720000,2.751,2.869,2.751,2.83,9300
2012-03-27,1332806400,2.751,2.948,2.634,2.83,9800
2012-03-28,1332892800,2.751,2.791,2.634,2.791,16500
2012-03-29,1332979200,2.791,2.869,2.634,2.634,21400
2012-03-30,1333065600,2.555,2.751,2.555,2.673,1800
2012-04-03,1333411200,2.516,2.712,2.516,2.516,6900
2012-04-04,1333497600,2.476,2.673,2.476,2.634,15300
2012-04-05,1333584000,2.594,2.751,2.594,2.751,17500
2012-04-06,1333670400,2.712,2.712,2.712,2.712,5300
2012-04-09,1333929600,2.791,2.791,2.751,2.791,3500
2012-04-10,1334016000,2.83,2.83,2.751,2.791,10900
2012-04-11,1334102400,2.909,2.909,2.83,2.909,33100
2012-04-12,1334188800,2.948,3.028,2.712,2.712,49800
2012-04-13,1334275200,2.83,2.948,2.751,2.948,56200
2012-04-16,1334534400,2.988,3.028,2.909,2.988,6900
2012-04-17,1334620800,3.145,3.145,3.145,3.145,1500
2012-04-18,1334707200,3.341,3.341,3.341,3.341,3000
2012-04-19,1334793600,3.538,3.538,3.42,3.459,159400
2012-04-20,1334880000,3.42,3.538,3.38,3.459,65600
2012-04-23,1335139200,3.499,3.616,3.42,3.459,34000
2012-04-24,1335225600,3.499,3.499,3.341,3.341,67700
2012-04-25,1335312000,3.29,3.517,3.197,3.517,33500
2012-04-26,1335398400,3.472,3.472,3.428,3.428,10900
2012-04-27,1335484800,3.428,3.655,3.428,3.609,19800
2012-05-02,1335916800,3.38,3.609,3.335,3.564,15200
2012-05-03,1336003200,3.428,3.517,3.428,3.517,23400
2012-05-04,1336089600,3.472,3.655,3.428,3.655,68600
2012-05-07,1336348800,3.746,3.884,3.655,3.884,115000
2012-05-08,1336435200,3.975,4.112,3.884,4.067,68400
2012-05-09,1336521600,3.792,4.156,3.792,4.112,47600
2012-05-10,1336608000,4.341,4.341,4.019,4.248,21600
2012-05-11,1336694400,4.019,4.067,3.975,3.975,25500
2012-05-14,1336953600,3.975,3.975,3.7,3.7,48600
2012-05-15,1337040000,3.609,3.7,3.564,3.655,8600
2012-05-16,1337126400,3.7,3.7,3.472,3.564,17000
2012-05-17,1337212800,3.655,3.655,3.655,3.655,700
2012-05-18,1337299200,3.655,3.655,3.428,3.655,3600
2012-05-21,1337558400,3.655,3.7,3.655,3.7,11200
2012-05-22,1337644800,3.7,3.7,3.7,3.7,400
2012-05-23,1337731200,3.517,3.517,3.472,3.472,4000
2012-05-24,1337817600,3.655,3.655,3.244,3.655,300
2012-05-25,1337904000,3.655,3.7,3.655,3.7,2000
2012-05-28,1338163200,3.746,3.792,3.7,3.7,4600
2012-05-29,1338249600,3.7,3.7,3.7,3.7,700
2012-05-30,1338336000,3.609,3.655,3.609,3.655,600
2012-05-31,1338422400,3.428,3.609,3.428,3.609,2200
2012-06-01,1338508800,3.609,3.609,3.609,3.609,0
2012-06-04,1338768000,3.655,3.655,3.609,3.609,300
2012-06-05,1338854400,3.564,3.564,3.564,3.564,100
2012-06-06,1338940800,3.564,3.564,3.564,3.564,600
2012-06-07,1339027200,3.517,3.517,3.517,3.517,1000
2012-06-08,1339113600,3.517,3.517,3.517,3.517,0
2012-06-11,1339372800,3.517,3.517,3.517,3.517,0
2012-06-12,1339459200,3.655,3.655,3.428,3.609,2600
2012-06-13,1339545600,3.609,3.609,3.609,3.609,0
2012-06-14,1339632000,3.428,3.564,3.428,3.517,3200
2012-06-15,1339718400,3.517,3.609,3.517,3.609,200
2012-06-18,1339977600,3.335,3.609,3.335,3.609,5200
2012-06-19,1340064000,3.335,3.609,3.335,3.609,1000
2012-06-20,1340150400,3.655,3.655,3.655,3.655,8000
