date,timestamp,open,high,low,close,volume
2012-01-03,1325548800,2.6,2.6,2.6,2.6,1000
2012-01-04,1325635200,2.5,2.7,2.5,2.7,6200
2012-01-05,1325721600,2.8,2.8,2.8,2.8,5100
2012-01-06,1325808000,2.7,2.7,2.7,2.7,100
2012-01-09,1326067200,2.8,2.8,2.8,2.8,300
2012-01-10,1326153600,2.8,2.8,2.8,2.8,500
2012-01-11,1326240000,2.8,2.9,2.7,2.7,700
2012-01-12,1326326400,2.8,2.8,2.8,2.8,0
2012-01-13,1326412800,2.8,2.8,2.8,2.8,0
2012-01-16,1326672000,2.7,2.7,2.7,2.7,1000
2012-01-17,1326758400,2.7,2.7,2.7,2.7,0
2012-01-18,1326844800,2.7,2.7,2.7,2.7,0
2012-01-19,1326931200,2.8,2.8,2.6,2.8,24400
2012-01-20,1327017600,2.8,2.8,2.7,2.8,1100
2012-01-30,1327881600,2.9,2.9,2.9,2.9,1900
2012-01-31,1327968000,3.0,3.1,3.0,3.0,9200
2012-02-01,1328054400,3.0,3.0,2.8,2.8,5600
2012-02-02,1328140800,3.1,3.1,3.0,3.1,23500
2012-02-03,1328227200,3.3,3.3,3.0,3.3,4300
2012-02-06,1328486400,3.4,3.4,3.2,3.2,500
2012-02-07,1328572800,3.2,3.2,3.2,3.2,700
2012-02-08,1328659200,3.2,3.4,3.2,3.3,18300
2012-02-09,1328745600,3.4,3.4,3.2,3.3,26000
2012-02-10,1328832000,3.3,3.3,3.1,3.1,10800
2012-02-13,1329091200,3.0,3.0,2.9,2.9,1200
2012-02-14,1329177600,3.1,3.1,3.0,3.0,1100
2012-02-15,1329264000,3.1,3.1,3.1,3.1,100
2012-02-16,1329350400,3.0,3.0,3.0,3.0,2500
2012-02-17,1329436800,3.2,3.2,3.1,3.1,7500
2012-02-20,1329696000,3.2,3.3,3.1,3.1,11400
2012-02-21,1329782400,3.1,3.1,3.0,3.0,31500
2012-02-22,1329868800,2.9,3.0,2.9,3.0,5800
2012-02-23,1329955200,3.1,3.2,3.0,3.1,28200
2012-02-24,1330041600,3.3,3.3,3.2,3.2,52800
2012-02-27,1330300800,3.4,3.5,3.3,3.5,43900
2012-02-28,1330387200,3.4,3.5,3.2,3.2,13700
2012-02-29,1330473600,3.4,3.4,3.3,3.4,20700
2012-03-01,1330560000,3.3,3.5,3.3,3.3,6200
2012-03-02,1330646400,3.4,3.6,3.4,3.5,41900
2012-03-05,1330905600,3.7,3.7,3.7,3.7,8300
