date,timestamp,open,high,low,close,volume
2013-01-02,1357084800,13.935,14.032,13.839,13.935,37700
2013-01-03,1357171200,13.742,13.839,13.548,13.548,85500
2013-01-04,1357257600,13.548,13.839,13.452,13.839,81500
2013-01-07,1357516800,13.839,14.032,13.548,13.645,70600
2013-01-08,1357603200,13.548,14.032,13.452,14.032,84900
2013-01-09,1357689600,13.935,14.032,13.548,13.742,99200
2013-01-10,1357776000,13.645,13.742,13.355,13.742,62300
2013-01-11,1357862400,13.645,13.839,13.645,13.839,61200
2013-01-14,1358121600,13.548,13.548,13.355,13.548,63100
2013-01-15,1358208000,13.645,13.839,13.645,13.839,71900
2013-01-16,1358294400,13.742,13.839,13.452,13.548,61800
2013-01-17,1358380800,13.548,13.645,13.355,13.355,66200
2013-01-18,1358467200,13.161,13.161,12.968,12.968,49300
2013-01-21,1358726400,13.065,13.161,12.968,13.161,42300
2013-01-22,1358812800,13.161,13.258,12.968,13.065,58000
2013-01-23,1358899200,13.161,13.258,12.871,12.871,51200
2013-01-24,1358985600,12.968,13.258,12.774,13.258,45300
2013-01-25,1359072000,13.258,13.355,13.161,13.355,44600
2013-01-28,1359331200,13.452,14.419,13.452,14.323,53500
2013-01-29,1359417600,14.129,14.129,13.548,13.935,61600
2013-01-30,1359504000,14.032,15.387,13.548,15.387,56400
2013-01-31,1359590400,15.0,15.0,14.419,14.419,44400
2013-02-01,1359676800,14.226,14.226,13.452,13.935,53600
2013-02-04,1359936000,13.935,14.032,13.645,13.839,43100
2013-02-05,1360022400,13.645,13.935,13.355,13.355,49800
2013-02-06,1360108800,13.452,14.129,13.452,14.129,56600
2013-02-07,1360195200,14.226,15.387,14.226,15.387,43100
2013-02-08,1360281600,16.355,16.839,16.161,16.839,44500
2013-02-18,1361145600,16.839,17.032,16.839,17.032,48000
2013-02-19,1361232000,16.839,16.839,16.452,16.645,43900
2013-02-20,1361318400,16.548,16.742,16.161,16.742,63400
2013-02-21,1361404800,16.742,16.742,15.097,15.097,71300
2013-02-22,1361491200,15.097,15.484,14.806,15.29,88400
2013-02-25,1361750400,15.29,15.581,15.0,15.484,63700
2013-02-26,1361836800,15.194,15.194,14.71,15.097,42500
2013-02-27,1361923200,15.194,15.581,14.903,15.581,55700
2013-02-28,1362009600,15.581,15.871,15.387,15.677,44800
2013-03-01,1362096000,15.774,15.968,15.0,15.774,43000
2013-03-04,1362355200,15.871,15.871,14.516,14.516,95600
2013-03-05,1362441600,14.903,15.0,14.032,14.032,72100
2013-03-06,1362528000,14.419,15.0,14.419,15.0,57600
2013-03-07,1362614400,14.903,14.903,14.226,14.516,95600
2013-03-08,1362700800,14.71,15.0,14.71,14.903,72000
2013-03-11,1362960000,14.903,15.29,14.903,15.29,62900
2013-03-12,1363046400,15.29,15.581,14.71,15.581,86300
2013-03-13,1363132800,15.387,15.387,14.516,14.613,77400
2013-03-14,1363219200,14.806,15.097,14.516,15.0,61800
2013-03-15,1363305600,14.903,15.194,14.129,15.097,69900
2013-03-18,1363564800,14.226,14.323,13.742,13.742,76400
2013-03-19,1363651200,14.323,15.29,14.323,15.29,71900
2013-03-20,1363737600,15.484,16.548,15.484,16.548,47300
2013-03-21,1363824000,16.452,16.935,16.161,16.935,68000
2013-03-22,1363910400,16.548,16.645,15.484,15.581,77300
2013-03-25,1364169600,15.484,15.677,15.097,15.484,60400
2013-03-26,1364256000,15.484,15.677,15.0,15.097,68000
2013-03-27,1364342400,15.097,15.097,14.613,14.806,75700
2013-03-28,1364428800,14.903,14.903,14.323,14.419,64800
2013-03-29,1364515200,14.419,14.419,14.032,14.129,67100
2013-04-01,1364774400,14.226,15.484,14.129,15.484,95500
2013-04-02,1364860800,16.645,16.742,16.258,16.355,51000
2013-04-03,1364947200,15.968,16.452,15.774,16.452,60800
2013-04-04,1365033600,16.065,16.258,15.774,16.258,66000
2013-04-05,1365120000,16.065,16.742,15.871,16.742,81000
2013-04-08,1365379200,17.903,17.903,16.355,16.742,80700
2013-04-09,1365465600,16.742,16.935,16.355,16.742,83700
2013-04-10,1365552000,16.258,16.452,16.161,16.161,80300
2013-04-11,1365638400,16.258,16.935,16.161,16.839,81200
2013-04-12,1365724800,16.935,17.032,16.355,16.355,74800
2013-04-15,1365984000,15.677,15.677,14.903,15.0,100300
2013-04-16,1366070400,15.0,15.194,14.806,15.097,58100
2013-04-17,1366156800,15.194,15.29,14.903,15.097,54100
2013-04-18,1366243200,15.097,15.29,15.0,15.29,50400
2013-04-22,1366588800,15.387,15.484,15.387,15.387,100100
2013-04-23,1366675200,16.452,16.452,15.484,15.677,73900
2013-04-24,1366761600,15.677,15.774,15.387,15.581,68200
2013-04-25,1366848000,15.581,15.871,15.581,15.774,84600
2013-04-26,1366934400,15.677,16.452,15.677,15.677,42600
2013-05-02,1367452800,15.774,15.774,15.387,15.387,47600
2013-05-03,1367539200,15.484,15.677,15.387,15.581,87000
2013-05-06,1367798400,15.677,16.452,15.677,16.355,90100
2013-05-07,1367884800,16.161,16.452,15.387,15.581,85300
2013-05-08,1367971200,15.484,15.581,15.29,15.29,86100
2013-05-09,1368057600,15.484,16.355,15.484,16.161,82500
2013-05-10,1368144000,16.355,16.452,15.387,15.387,65300
2013-05-13,1368403200,15.484,15.677,15.29,15.581,70300
2013-05-14,1368489600,15.484,15.484,15.29,15.387,79400
2013-05-15,1368576000,15.387,15.774,15.387,15.774,74600
2013-05-16,1368662400,15.774,15.968,15.774,15.968,73100
2013-05-17,1368748800,15.677,15.677,15.29,15.29,54200
2013-05-20,1369008000,15.387,15.484,15.097,15.484,64900
2013-05-21,1369094400,15.581,15.968,15.484,15.968,74100
2013-05-22,1369180800,15.871,16.839,15.871,16.839,71200
2013-05-23,1369267200,15.677,17.71,15.677,16.645,68400
2013-05-24,1369353600,16.839,16.839,15.484,16.742,79200
2013-05-27,1369612800,16.742,16.742,16.258,16.258,83000
2013-05-28,1369699200,16.161,16.161,15.484,16.161,78900
2013-05-29,1369785600,16.452,16.452,16.258,16.258,74800
2013-05-30,1369872000,16.161,16.355,15.968,16.065,67200
2013-05-31,1369958400,16.161,16.355,15.581,15.677,75000
2013-06-03,1370217600,15.484,16.258,15.387,16.258,72600
2013-06-04,1370304000,15.581,16.258,15.29,15.29,81100
2013-06-05,1370390400,15.484,15.871,15.194,15.677,46300
2013-06-06,1370476800,15.484,15.774,15.29,15.677,56000
2013-06-07,1370563200,16.161,16.161,15.387,15.968,63700
2013-06-10,1370822400,15.871,16.452,15.871,15.968,57800
2013-06-11,1370908800,15.968,15.968,15.968,15.968,0
2013-06-12,1370995200,15.968,15.968,15.968,15.968,0
2013-06-13,1371081600,16.839,16.935,15.871,16.161,43400
2013-06-14,1371168000,16.161,16.355,15.968,16.161,41200
2013-06-17,1371427200,16.355,16.355,15.097,16.355,40800
2013-06-18,1371513600,15.677,16.258,15.677,16.161,32800
2013-06-19,1371600000,16.258,16.258,16.161,16.258,31500
2013-06-20,1371686400,15.581,16.161,15.581,16.065,16100
2013-06-21,1371772800,16.161,16.258,16.065,16.161,16800
2013-06-24,1372032000,16.161,16.161,16.161,16.161,15300
2013-06-25,1372118400,15.581,16.161,15.581,15.968,10500
2013-06-26,1372204800,16.258,16.452,16.258,16.452,17100
2013-06-27,1372291200,16.355,16.355,16.258,16.258,9200
2013-06-28,1372377600,16.258,17.129,16.258,17.129,48800
2013-07-01,1372636800,16.935,16.935,16.645,16.839,40200
2013-07-02,1372723200,16.645,16.742,16.548,16.645,32600
2013-07-03,1372809600,16.645,16.645,16.548,16.645,6000
2013-07-04,1372896000,16.548,16.548,16.548,16.548,200
2013-07-05,1372982400,16.548,16.548,16.548,16.548,0
2013-07-08,1373241600,16.548,16.548,16.548,16.548,0
2013-07-09,1373328000,16.548,16.548,16.548,16.548,0
2013-07-10,1373414400,16.548,16.548,16.548,16.548,0
2013-07-11,1373500800,16.548,16.548,16.548,16.548,0
2013-07-12,1373587200,16.548,16.548,16.548,16.548,0
2013-07-15,1373846400,16.548,16.548,16.548,16.548,0
2013-07-16,1373932800,16.548,16.548,16.548,16.548,0
2013-07-17,1374019200,16.548,16.548,16.548,16.548,0
2013-07-18,1374105600,16.548,16.548,16.548,16.548,0
2013-07-19,1374192000,16.548,16.548,16.548,16.548,0
2013-07-22,1374451200,16.548,16.548,16.548,16.548,0
2013-07-23,1374537600,16.548,16.548,16.548,16.548,0
2013-07-24,1374624000,16.548,16.548,16.548,16.548,0
2013-07-25,1374710400,16.548,16.548,16.548,16.548,0
2013-07-26,1374796800,16.548,16.548,16.548,16.548,0
2013-07-29,1375056000,16.548,16.548,16.548,16.548,0
2013-07-30,1375142400,16.548,16.548,16.548,16.548,0
2013-07-31,1375228800,16.548,16.548,16.548,16.548,0
2013-08-01,1375315200,16.548,16.548,16.548,16.548,0
2013-08-02,1375401600,16.548,16.548,16.548,16.548,0
2013-08-05,1375660800,16.548,16.548,16.548,16.548,0
2013-08-06,1375747200,16.548,16.548,16.548,16.548,0
2013-08-07,1375833600,16.548,16.548,16.548,16.548,0
2013-08-08,1375920000,16.548,16.548,16.548,16.548,0
2013-08-09,1376006400,16.548,16.548,16.548,16.548,0
2013-08-12,1376265600,16.548,16.548,16.548,16.548,0
2013-08-13,1376352000,16.548,16.548,16.548,16.548,0
2013-08-14,1376438400,16.548,16.548,16.548,16.548,0
2013-08-15,1376524800,16.548,16.548,16.548,16.548,0
2013-08-16,1376611200,16.548,16.548,16.548,16.548,0
2013-08-19,1376870400,16.548,16.548,16.548,16.548,0
2013-08-20,1376956800,16.548,16.548,16.548,16.548,0
2013-08-21,1377043200,16.548,16.548,16.548,16.548,0
2013-08-22,1377129600,16.548,16.548,16.548,16.548,0
2013-08-23,1377216000,16.548,16.548,16.548,16.548,0
2013-08-26,1377475200,16.548,16.548,16.548,16.548,0
2013-08-27,1377561600,16.548,16.548,16.548,16.548,0
2013-08-28,1377648000,16.548,16.548,16.548,16.548,0
2013-08-29,1377734400,16.548,16.548,16.548,16.548,0
2013-08-30,1377820800,16.548,16.548,16.548,16.548,0
2013-09-03,1378166400,16.548,16.548,16.548,16.548,0
2013-09-04,1378252800,16.548,16.548,16.548,16.548,0
2013-09-05,1378339200,16.548,16.548,16.548,16.548,0
2013-09-06,1378425600,16.548,16.548,16.548,16.548,0
2013-09-09,1378684800,16.548,16.548,16.548,16.548,0
2013-09-10,1378771200,16.548,16.548,16.548,16.548,0
2013-09-11,1378857600,16.548,16.548,16.548,16.548,0
2013-09-12,1378944000,16.548,16.548,16.548,16.548,0
2013-09-13,1379030400,16.548,16.548,16.548,16.548,0
2013-09-16,1379289600,16.548,16.548,16.548,16.548,0
2013-09-17,1379376000,16.548,16.548,16.548,16.548,0
2013-09-18,1379462400,16.548,16.548,16.548,16.548,0
2013-09-19,1379548800,16.548,16.548,16.548,16.548,0
2013-09-20,1379635200,16.548,16.548,16.548,16.548,0
2013-09-23,1379894400,16.548,16.548,16.548,16.548,0
2013-09-24,1379980800,16.548,16.548,16.548,16.548,0
2013-09-25,1380067200,16.548,16.548,16.548,16.548,0
2013-09-26,1380153600,16.548,16.548,16.548,16.548,0
2013-09-27,1380240000,16.548,16.548,16.548,16.548,0
2013-09-30,1380499200,16.548,16.548,16.548,16.548,0
2013-10-01,1380585600,16.548,16.548,16.548,16.548,0
2013-10-02,1380672000,16.548,16.548,16.548,16.548,0
2013-10-03,1380758400,16.548,16.548,16.548,16.548,0
