date,timestamp,open,high,low,close,volume
2013-01-02,1357084800,5.197,5.721,5.197,5.721,1500
2013-01-03,1357171200,5.633,6.07,5.633,6.07,300
2013-01-04,1357257600,5.678,6.332,5.678,6.332,500
2013-01-07,1357516800,5.895,5.895,5.895,5.895,100
2013-01-08,1357603200,6.156,6.156,5.503,5.503,700
2013-01-09,1357689600,5.503,5.503,5.503,5.503,300
2013-01-10,1357776000,5.503,5.678,5.503,5.678,500
2013-01-11,1357862400,5.285,5.285,5.285,5.285,1000
2013-01-14,1358121600,5.197,5.197,5.197,5.197,300
2013-01-15,1358208000,5.241,5.241,5.241,5.241,200
2013-01-16,1358294400,5.59,5.59,5.59,5.59,100
2013-01-17,1358380800,5.59,5.59,5.59,5.59,0
2013-01-18,1358467200,5.59,5.59,5.59,5.59,0
2013-01-21,1358726400,5.372,5.372,5.372,5.372,100
2013-01-22,1358812800,5.895,5.895,5.895,5.895,100
2013-01-23,1358899200,5.329,5.329,5.329,5.329,200
2013-01-24,1358985600,5.765,5.765,5.765,5.765,100
2013-01-25,1359072000,5.765,6.114,5.765,6.114,1000
2013-01-28,1359331200,6.114,6.114,6.114,6.114,0
2013-01-29,1359417600,6.726,6.726,6.028,6.028,200
2013-01-30,1359504000,6.114,6.114,6.114,6.114,100
2013-01-31,1359590400,5.503,6.726,5.503,6.726,2100
2013-02-01,1359676800,6.508,6.508,6.07,6.07,200
2013-02-04,1359936000,6.07,6.07,6.07,6.07,0
2013-02-05,1360022400,5.503,6.551,5.503,6.551,2200
2013-02-06,1360108800,6.332,6.332,5.895,6.289,1200
2013-02-07,1360195200,5.678,5.678,5.678,5.678,300
2013-02-08,1360281600,5.765,5.851,5.765,5.851,800
2013-02-18,1361145600,6.332,6.332,5.547,5.547,400
2013-02-19,1361232000,5.983,6.07,5.547,6.07,400
2013-02-20,1361318400,5.633,6.028,5.633,6.028,800
2013-02-21,1361404800,6.114,6.114,6.114,6.114,100
2013-02-22,1361491200,6.289,6.289,5.503,6.289,1300
2013-02-25,1361750400,6.9,6.9,5.809,5.809,1100
2013-02-26,1361836800,6.332,6.332,5.46,6.114,2200
2013-02-27,1361923200,6.551,6.551,5.503,5.678,5500
2013-02-28,1362009600,5.895,6.114,5.895,6.114,200
2013-03-01,1362096000,6.07,6.114,5.765,5.765,6400
2013-03-04,1362355200,5.809,6.332,5.809,6.156,4000
2013-03-05,1362441600,6.332,6.332,6.156,6.201,500
2013-03-06,1362528000,6.332,6.332,6.028,6.028,600
2013-03-07,1362614400,6.245,6.245,5.939,5.983,3800
2013-03-08,1362700800,6.285,6.536,5.983,6.536,6000
2013-03-11,1362960000,7.19,7.19,7.19,7.19,100
2013-03-12,1363046400,6.486,6.486,6.486,6.486,1200
2013-03-13,1363132800,7.09,7.09,6.285,6.285,200
2013-03-14,1363219200,6.838,6.838,6.285,6.285,600
2013-03-15,1363305600,6.636,6.889,6.034,6.889,1400
2013-03-18,1363564800,7.291,7.542,6.235,7.291,2400
2013-03-19,1363651200,6.586,6.586,6.586,6.586,400
2013-03-20,1363737600,5.933,7.04,5.933,7.04,1300
2013-03-21,1363824000,7.04,7.04,7.04,7.04,0
2013-03-22,1363910400,6.336,6.938,6.336,6.938,400
2013-03-25,1364169600,6.336,6.336,6.285,6.285,1500
2013-03-26,1364256000,6.787,6.787,6.787,6.787,100
2013-03-27,1364342400,6.185,6.636,6.185,6.636,400
2013-03-28,1364428800,6.636,6.636,6.636,6.636,0
2013-03-29,1364515200,7.04,7.04,7.04,7.04,100
2013-04-01,1364774400,7.04,7.04,7.04,7.04,0
2013-04-02,1364860800,6.336,7.743,6.336,7.743,6200
2013-04-03,1364947200,7.743,7.743,7.743,7.743,0
2013-04-04,1365033600,6.989,6.989,6.989,6.989,100
2013-04-05,1365120000,7.642,7.642,6.336,6.336,1100
2013-04-08,1365379200,6.889,6.889,6.889,6.889,100
2013-04-09,1365465600,7.491,7.491,7.491,7.491,100
2013-04-10,1365552000,6.787,6.787,6.787,6.787,100
2013-04-11,1365638400,6.787,6.787,6.787,6.787,0
2013-04-12,1365724800,6.134,6.787,6.134,6.787,600
2013-04-15,1365984000,6.787,6.787,6.787,6.787,0
2013-04-16,1366070400,6.134,6.737,6.134,6.737,600
2013-04-17,1366156800,6.737,6.737,6.737,6.737,0
2013-04-18,1366243200,7.291,7.291,7.291,7.291,100
2013-04-22,1366588800,6.586,7.19,6.586,7.19,600
2013-04-23,1366675200,7.19,7.19,7.19,7.19,0
2013-04-24,1366761600,7.19,7.19,7.19,7.19,0
2013-04-25,1366848000,7.19,7.19,7.19,7.19,0
2013-04-26,1366934400,7.19,7.19,7.19,7.19,0
2013-05-02,1367452800,7.19,7.893,7.19,7.893,500
2013-05-03,1367539200,7.592,7.592,7.592,7.592,0
2013-05-06,1367798400,7.04,7.491,7.04,7.491,1400
2013-05-07,1367884800,8.195,8.195,6.787,7.442,800
2013-05-08,1367971200,7.442,7.442,7.442,7.442,0
2013-05-09,1368057600,7.945,7.945,7.945,7.945,100
2013-05-10,1368144000,7.945,7.945,7.945,7.945,0
2013-05-13,1368403200,7.945,7.945,7.945,7.945,0
2013-05-14,1368489600,7.945,7.945,7.945,7.945,0
2013-05-15,1368576000,7.945,7.945,7.945,7.945,0
2013-05-16,1368662400,7.945,7.945,7.945,7.945,0
2013-05-17,1368748800,7.945,7.945,7.945,7.945,0
2013-05-20,1369008000,7.945,7.945,7.945,7.945,0
2013-05-21,1369094400,7.945,7.945,7.945,7.945,0
2013-05-22,1369180800,7.945,7.945,7.945,7.945,0
2013-05-23,1369267200,7.945,7.945,7.945,7.945,0
2013-05-24,1369353600,7.945,7.945,7.945,7.945,0
2013-05-27,1369612800,7.945,7.945,7.945,7.945,0
2013-05-28,1369699200,7.945,7.945,7.945,7.945,0
2013-05-29,1369785600,7.945,7.945,7.945,7.945,0
2013-05-30,1369872000,7.945,7.945,7.945,7.945,0
2013-05-31,1369958400,7.19,7.19,7.19,7.19,100
2013-06-03,1370217600,7.19,7.19,7.19,7.19,0
2013-06-04,1370304000,6.486,6.989,6.486,6.486,2000
2013-06-05,1370390400,7.04,7.04,7.04,7.04,100
2013-06-06,1370476800,7.693,7.693,6.336,6.336,700
