date,timestamp,open,high,low,close,volume
2013-01-02,1357084800,6.39,6.551,6.178,6.178,15290
2013-01-03,1357171200,6.337,6.337,6.178,6.285,22970
2013-01-04,1357257600,6.337,6.39,6.337,6.39,1880
2013-01-07,1357516800,6.39,6.604,6.39,6.604,25960
2013-01-08,1357603200,6.551,6.551,6.285,6.496,9020
2013-01-09,1357689600,6.496,6.657,6.39,6.657,20990
2013-01-10,1357776000,6.763,6.763,6.604,6.604,2830
2013-01-11,1357862400,6.496,6.604,6.337,6.604,11840
2013-01-14,1358121600,6.845,6.845,6.604,6.664,2420
2013-01-15,1358208000,6.845,6.845,6.664,6.664,270
2013-01-16,1358294400,6.967,6.967,6.664,6.845,3030
2013-01-17,1358380800,6.664,6.785,6.664,6.785,790
2013-01-18,1358467200,6.785,6.785,6.363,6.723,2700
2013-01-21,1358726400,6.664,6.785,6.664,6.664,2750
2013-01-22,1358812800,6.723,6.785,6.664,6.664,8040
2013-01-23,1358899200,7.088,7.088,6.785,6.785,35560
2013-01-24,1358985600,7.209,7.209,6.967,7.148,3460
2013-01-25,1359072000,7.209,7.209,7.209,7.209,10
2013-01-28,1359331200,6.967,7.088,6.845,7.088,7640
2013-01-29,1359417600,6.907,6.907,6.845,6.907,3000
2013-01-30,1359504000,6.785,7.027,6.723,7.027,2910
2013-01-31,1359590400,6.723,6.907,6.723,6.907,380
2013-02-01,1359676800,6.967,6.967,6.785,6.785,2430
2013-02-04,1359936000,6.664,6.967,6.664,6.785,3380
2013-02-05,1360022400,6.967,6.967,6.664,6.907,110
2013-02-06,1360108800,6.967,6.967,6.967,6.967,10
2013-02-07,1360195200,6.967,7.027,6.845,6.907,2380
2013-02-08,1360281600,6.967,7.027,6.967,7.027,100
2013-02-18,1361145600,7.027,7.088,7.027,7.088,2150
2013-02-19,1361232000,7.088,7.088,6.907,6.967,4140
2013-02-20,1361318400,6.907,7.452,6.907,7.27,30240
2013-02-21,1361404800,7.148,7.209,6.967,6.967,12320
2013-02-22,1361491200,7.452,7.452,6.967,7.27,15100
2013-02-25,1361750400,7.27,7.391,7.27,7.33,9140
2013-02-26,1361836800,7.27,7.452,7.209,7.209,11660
2013-02-27,1361923200,7.574,7.574,7.27,7.391,550
2013-02-28,1362009600,7.512,7.512,7.391,7.512,460
2013-03-01,1362096000,7.452,7.512,7.452,7.452,1510
2013-03-04,1362355200,7.452,7.452,7.027,7.027,26350
2013-03-05,1362441600,7.27,7.27,7.027,7.027,31560
2013-03-06,1362528000,7.027,7.027,7.027,7.027,1060
2013-03-07,1362614400,6.967,7.148,6.967,7.148,1630
2013-03-08,1362700800,7.148,7.27,7.027,7.027,260
2013-03-11,1362960000,7.209,7.27,7.027,7.27,330
2013-03-12,1363046400,7.027,7.027,7.027,7.027,1020
2013-03-13,1363132800,7.088,7.512,7.088,7.512,11740
2013-03-14,1363219200,7.33,7.452,7.33,7.452,490
2013-03-15,1363305600,7.452,7.452,7.33,7.33,2360
2013-03-18,1363564800,7.391,7.815,7.391,7.815,15090
2013-03-19,1363651200,7.878,7.936,7.815,7.878,4030
2013-03-20,1363737600,7.878,8.421,7.878,8.421,14770
2013-03-21,1363824000,8.967,8.967,8.603,8.603,28160
2013-03-22,1363910400,8.967,8.967,8.603,8.785,20900
2013-03-25,1364169600,8.785,8.785,8.603,8.665,5760
2013-03-26,1364256000,8.665,9.088,8.481,8.481,14510
2013-03-27,1364342400,8.481,8.481,8.421,8.481,1400
2013-03-28,1364428800,8.179,8.481,8.058,8.481,5420
2013-03-29,1364515200,8.725,8.725,7.936,8.118,5200
2013-04-01,1364774400,8.603,8.603,7.936,8.542,7520
2013-04-02,1364860800,8.603,8.603,8.058,8.542,5680
2013-04-03,1364947200,8.481,8.603,8.24,8.542,9270
2013-04-04,1365033600,8.785,8.785,8.481,8.481,800
2013-04-05,1365120000,8.481,8.481,8.3,8.481,2580
2013-04-08,1365379200,8.542,8.542,8.421,8.481,5590
2013-04-09,1365465600,8.421,8.421,8.421,8.421,60
2013-04-10,1365552000,8.24,8.3,7.878,7.878,3360
2013-04-11,1365638400,8.421,8.421,8.179,8.421,5120
2013-04-12,1365724800,8.481,8.481,7.997,8.361,5020
2013-04-15,1365984000,8.118,8.361,8.118,8.179,4670
2013-04-16,1366070400,8.179,8.179,8.179,8.179,20
2013-04-17,1366156800,8.179,8.179,8.179,8.179,10
2013-04-18,1366243200,8.361,8.361,8.361,8.361,10
2013-04-22,1366588800,8.481,8.481,7.815,8.361,970
2013-04-23,1366675200,7.936,8.3,7.878,8.3,2610
2013-04-24,1366761600,7.936,8.24,7.878,7.878,3260
2013-04-25,1366848000,7.878,8.24,7.878,8.24,9430
2013-04-26,1366934400,8.058,8.481,7.878,7.878,18170
2013-05-02,1367452800,8.3,8.421,8.179,8.361,120
2013-05-03,1367539200,7.878,8.24,7.878,8.24,540
2013-05-06,1367798400,7.878,8.179,7.878,8.179,2920
2013-05-07,1367884800,7.815,8.058,7.815,8.058,200
2013-05-08,1367971200,8.058,8.118,7.634,8.058,5190
2013-05-09,1368057600,7.878,8.118,7.878,8.118,1280
2013-05-10,1368144000,8.179,8.179,7.878,8.179,590
2013-05-13,1368403200,7.878,8.179,7.878,8.179,14520
2013-05-14,1368489600,8.179,8.179,7.695,8.118,890
2013-05-15,1368576000,8.118,8.118,8.118,8.118,30
2013-05-16,1368662400,7.695,8.058,7.695,7.756,3330
2013-05-17,1368748800,8.058,8.058,8.058,8.058,20
2013-05-20,1369008000,8.361,8.361,8.361,8.361,50
2013-05-21,1369094400,7.997,7.997,7.878,7.878,4920
2013-05-22,1369180800,8.179,8.179,7.878,7.878,1010
2013-05-23,1369267200,8.058,8.058,7.815,7.815,460
2013-05-24,1369353600,8.118,8.118,7.815,8.118,2430
2013-05-27,1369612800,8.058,8.058,7.756,7.878,5840
2013-05-28,1369699200,8.058,8.058,7.815,7.878,9190
2013-05-29,1369785600,7.878,7.878,7.512,7.815,8170
2013-05-30,1369872000,7.574,7.878,7.574,7.878,10750
2013-05-31,1369958400,7.878,7.997,7.756,7.815,9080
2013-06-03,1370217600,8.24,8.24,8.118,8.118,20
2013-06-04,1370304000,8.118,8.118,8.118,8.118,0
2013-06-05,1370390400,8.179,8.179,7.634,7.878,1210
2013-06-06,1370476800,8.421,8.421,7.695,7.815,240
2013-06-07,1370563200,8.058,8.058,7.695,7.695,1100
2013-06-10,1370822400,7.815,7.997,7.815,7.997,1690
2013-06-11,1370908800,8.058,8.058,7.756,8.058,1040
2013-06-12,1370995200,8.058,8.058,7.756,7.756,180
2013-06-13,1371081600,7.695,7.997,7.634,7.997,720
2013-06-14,1371168000,7.695,7.997,7.512,7.695,2780
2013-06-17,1371427200,7.756,7.878,7.695,7.878,8800
2013-06-18,1371513600,7.695,7.997,7.695,7.997,3210
2013-06-19,1371600000,7.815,8.058,7.815,7.997,1530
2013-06-20,1371686400,7.997,7.997,7.878,7.936,5020
2013-06-21,1371772800,7.936,7.997,7.936,7.997,830
2013-06-24,1372032000,7.936,8.118,7.936,7.997,8250
2013-06-25,1372118400,8.118,8.118,7.815,7.936,26610
2013-06-26,1372204800,8.118,8.118,7.815,7.878,24670
2013-06-27,1372291200,7.815,8.179,7.815,8.179,1510
2013-06-28,1372377600,8.118,8.118,7.878,7.878,1010
2013-07-01,1372636800,7.878,7.878,7.878,7.878,4280
2013-07-02,1372723200,8.421,8.421,8.421,8.421,10
2013-07-03,1372809600,7.878,8.24,7.878,7.878,7840
2013-07-04,1372896000,7.878,7.997,7.878,7.997,1010
2013-07-05,1372982400,8.179,8.179,7.878,8.179,3520
2013-07-08,1373241600,8.361,8.361,8.361,8.361,10
2013-07-09,1373328000,8.845,8.845,8.179,8.481,320
2013-07-10,1373414400,8.481,8.481,8.481,8.481,0
2013-07-11,1373500800,8.481,8.481,8.481,8.481,0
2013-07-12,1373587200,7.997,7.997,7.997,7.997,10
2013-07-15,1373846400,7.936,7.936,7.936,7.936,10
2013-07-16,1373932800,8.179,8.179,8.179,8.179,1000
2013-07-17,1374019200,8.179,8.179,8.179,8.179,0
2013-07-18,1374105600,7.878,8.179,7.878,8.179,2010
2013-07-19,1374192000,7.997,7.997,7.997,7.997,20
2013-07-22,1374451200,8.179,8.179,8.179,8.179,20
2013-07-23,1374537600,8.179,8.481,8.179,8.421,14330
2013-07-24,1374624000,8.421,8.967,8.3,8.967,29100
2013-07-25,1374710400,9.088,9.088,8.603,8.785,7770
2013-07-26,1374796800,9.028,9.028,8.785,8.785,1610
2013-07-29,1375056000,8.481,8.967,8.421,8.907,1960
2013-07-30,1375142400,8.967,8.967,8.481,8.967,3270
2013-07-31,1375228800,8.786,8.846,8.786,8.846,2000
2013-08-01,1375315200,8.968,9.272,8.907,9.09,23280
2013-08-02,1375401600,8.967,9.088,8.907,9.088,5650
2013-08-05,1375660800,9.088,9.088,8.725,8.907,2510
2013-08-06,1375747200,9.088,9.088,9.088,9.088,820
2013-08-07,1375833600,8.785,9.088,8.725,9.028,5550
2013-08-08,1375920000,8.785,9.088,8.785,8.967,700
2013-08-09,1376006400,9.088,9.209,8.785,9.028,3160
2013-08-12,1376265600,9.088,9.088,9.088,9.088,10
2013-08-13,1376352000,8.845,9.088,8.785,9.088,5010
2013-08-14,1376438400,9.088,9.088,9.088,9.088,0
2013-08-15,1376524800,8.845,8.845,8.845,8.845,4430
2013-08-16,1376611200,8.907,8.907,8.845,8.845,500
2013-08-19,1376870400,9.209,9.209,8.967,8.967,15030
2013-08-20,1376956800,8.967,9.088,8.967,9.088,9090
2013-08-21,1377043200,9.088,9.088,9.088,9.088,7260
2013-08-22,1377129600,9.028,9.088,8.967,9.088,1910
2013-08-23,1377216000,8.967,9.088,8.967,9.028,10020
2013-08-26,1377475200,9.028,9.088,8.967,9.028,4420
2013-08-27,1377561600,9.028,9.028,8.967,9.028,7250
2013-08-28,1377648000,8.907,8.968,8.907,8.968,5020
2013-08-29,1377734400,8.845,8.907,8.845,8.907,6280
2013-08-30,1377820800,9.028,9.028,9.028,9.028,10
2013-09-03,1378166400,9.209,9.209,8.845,9.088,3600
2013-09-04,1378252800,8.785,9.088,8.481,9.088,80
2013-09-05,1378339200,9.088,9.088,8.542,8.725,490
2013-09-06,1378425600,8.481,9.088,8.481,9.088,20
2013-09-09,1378684800,9.088,9.088,9.088,9.088,0
2013-09-10,1378771200,8.665,8.665,8.665,8.665,890
2013-09-11,1378857600,9.088,9.088,9.088,9.088,1080
2013-09-12,1378944000,9.209,9.209,8.665,9.088,30
2013-09-13,1379030400,9.088,9.088,9.088,9.088,0
2013-09-16,1379289600,8.785,9.028,8.481,8.542,2090
2013-09-17,1379376000,9.088,9.088,8.603,9.088,2730
2013-09-18,1379462400,9.209,9.209,8.665,8.845,7690
2013-09-19,1379548800,8.785,9.209,8.785,8.845,50
2013-09-20,1379635200,9.088,9.088,8.845,8.845,20
2013-09-23,1379894400,8.665,9.028,8.542,8.665,1070
2013-09-24,1379980800,8.845,9.209,8.845,8.907,12700
2013-09-25,1380067200,9.27,9.27,8.907,8.907,9340
2013-09-26,1380153600,8.967,8.967,8.907,8.907,40
2013-09-27,1380240000,9.088,9.088,8.907,8.907,120
2013-09-30,1380499200,8.542,9.088,8.542,8.967,450
2013-10-01,1380585600,9.209,9.27,8.967,8.967,3150
2013-10-02,1380672000,9.329,9.329,8.845,9.028,4290
2013-10-03,1380758400,8.967,9.27,8.967,9.27,20
2013-10-04,1380844800,8.967,9.39,8.967,9.39,4190
2013-10-07,1381104000,9.39,9.39,9.39,9.39,30
2013-10-08,1381190400,9.148,9.27,9.148,9.27,1300
2013-10-09,1381276800,9.632,9.632,9.148,9.511,2040
2013-10-10,1381363200,9.511,9.573,9.511,9.511,8100
2013-10-11,1381449600,9.693,9.693,9.511,9.511,2440
2013-10-14,1381708800,9.511,9.632,9.511,9.632,2610
2013-10-15,1381795200,9.632,10.117,9.632,9.754,9690
2013-10-16,1381881600,9.875,10.239,9.875,10.057,7350
2013-10-17,1381968000,10.239,10.239,9.451,9.451,2080
2013-10-18,1382054400,10.057,10.057,10.057,10.057,45060
2013-10-21,1382313600,10.3,10.36,9.39,10.36,36770
2013-10-22,1382400000,10.36,10.603,10.239,10.542,7450
2013-10-23,1382486400,10.422,10.603,10.422,10.603,2900
2013-10-24,1382572800,10.422,10.542,9.875,10.48,6010
2013-10-25,1382659200,10.603,10.603,9.936,9.936,90
2013-10-28,1382918400,9.997,10.542,9.451,9.451,1320
2013-10-29,1383004800,9.148,10.057,9.148,10.057,7650
2013-10-30,1383091200,10.117,10.724,10.117,10.603,9830
2013-10-31,1383177600,10.724,10.724,10.3,10.603,4860
2013-11-01,1383264000,10.48,10.603,10.48,10.603,1790
2013-11-04,1383523200,10.542,10.664,10.542,10.603,12370
2013-11-05,1383609600,10.724,11.026,10.542,11.026,20060
2013-11-06,1383696000,11.087,11.087,11.026,11.026,1010
2013-11-07,1383782400,11.087,11.087,11.026,11.026,1010
2013-11-08,1383868800,10.906,11.087,10.724,10.906,8170
2013-11-11,1384128000,11.026,11.026,11.026,11.026,2020
2013-11-12,1384214400,11.146,11.146,10.906,11.087,10020
2013-11-13,1384300800,11.087,11.087,10.603,11.087,1780
2013-11-14,1384387200,10.603,11.146,10.603,10.965,40
2013-11-15,1384473600,11.146,11.329,10.906,11.329,10250
2013-11-18,1384732800,11.813,11.813,10.785,10.785,2460
2013-11-19,1384819200,11.329,11.511,11.329,11.511,3340
2013-11-20,1384905600,11.813,11.813,11.813,11.813,510
2013-11-21,1384992000,11.209,12.602,11.209,12.602,7290
2013-11-22,1385078400,11.875,12.722,11.875,12.419,6500
2013-11-25,1385337600,12.419,12.419,12.358,12.419,4830
2013-11-26,1385424000,11.813,12.722,11.813,12.663,17050
2013-11-27,1385510400,12.722,12.722,12.722,12.722,2000
2013-11-28,1385596800,12.118,12.722,12.118,12.722,900
2013-11-29,1385683200,12.419,12.419,11.935,11.935,460
2013-12-02,1385942400,12.118,12.48,12.118,12.48,1710
2013-12-03,1386028800,12.602,12.663,12.118,12.602,5910
2013-12-04,1386115200,12.602,12.602,11.935,12.48,1500
2013-12-05,1386201600,12.237,12.237,12.237,12.237,1110
2013-12-06,1386288000,12.298,12.298,11.391,12.298,13040
2013-12-09,1386547200,12.722,13.146,12.298,12.602,1910
2013-12-10,1386633600,12.602,13.451,12.602,12.663,9280
2013-12-11,1386720000,12.784,12.784,12.54,12.663,1530
2013-12-12,1386806400,12.663,12.663,12.298,12.602,1970
2013-12-13,1386892800,12.966,12.966,12.602,12.602,20
2013-12-16,1387152000,12.602,12.722,12.54,12.602,30190
