date,timestamp,open,high,low,close,volume
2013-01-02,1357084800,1.899,1.899,1.847,1.847,10100
2013-01-03,1357171200,1.847,1.953,1.847,1.953,9500
2013-01-04,1357257600,1.899,2.057,1.899,2.057,19900
2013-01-07,1357516800,2.162,2.162,2.111,2.162,115400
2013-01-08,1357603200,2.162,2.215,2.162,2.162,13000
2013-01-09,1357689600,2.111,2.268,2.057,2.268,69400
2013-01-10,1357776000,2.162,2.215,2.162,2.162,6100
2013-01-11,1357862400,2.215,2.215,2.057,2.057,22500
2013-01-14,1358121600,1.953,2.111,1.953,2.111,1400
2013-01-15,1358208000,2.057,2.268,2.057,2.268,20800
2013-01-16,1358294400,2.215,2.215,2.004,2.162,28500
2013-01-17,1358380800,2.004,2.162,2.004,2.004,8700
2013-01-18,1358467200,2.004,2.111,1.953,2.111,42900
2013-01-21,1358726400,2.057,2.057,2.004,2.004,1200
2013-01-22,1358812800,2.004,2.004,1.899,1.899,13400
2013-01-23,1358899200,1.899,2.004,1.794,2.004,14000
2013-01-24,1358985600,1.899,2.111,1.899,2.111,700
2013-01-25,1359072000,2.162,2.162,2.057,2.111,15200
2013-01-28,1359331200,1.953,2.111,1.953,1.953,21500
2013-01-29,1359417600,1.953,1.953,1.953,1.953,22000
2013-01-30,1359504000,1.953,2.004,1.953,2.004,36100
2013-01-31,1359590400,1.953,2.111,1.953,2.004,20200
2013-02-01,1359676800,1.953,2.004,1.953,1.953,11500
2013-02-04,1359936000,1.953,2.004,1.953,1.953,4200
2013-02-05,1360022400,2.004,2.004,1.953,1.953,10000
2013-02-06,1360108800,2.057,2.057,2.057,2.057,200
2013-02-07,1360195200,2.004,2.057,2.004,2.057,1600
2013-02-08,1360281600,2.004,2.215,2.004,2.215,14000
2013-02-18,1361145600,2.111,2.215,2.111,2.111,8600
2013-02-19,1361232000,2.111,2.111,2.111,2.111,2000
2013-02-20,1361318400,2.111,2.215,2.111,2.215,1100
2013-02-21,1361404800,2.111,2.111,2.004,2.004,13500
2013-02-22,1361491200,1.953,2.162,1.953,2.162,2200
2013-02-25,1361750400,2.057,2.162,1.953,2.162,25100
2013-02-26,1361836800,2.111,2.111,2.004,2.004,16000
2013-02-27,1361923200,2.057,2.162,2.004,2.111,16900
2013-02-28,1362009600,2.321,2.321,2.111,2.111,700
2013-03-01,1362096000,2.162,2.162,2.162,2.162,100
2013-03-04,1362355200,2.004,2.004,2.004,2.004,7000
2013-03-05,1362441600,2.111,2.111,2.111,2.111,200
2013-03-06,1362528000,2.162,2.162,2.162,2.162,100
2013-03-07,1362614400,2.004,2.004,2.004,2.004,2000
2013-03-08,1362700800,2.004,2.004,2.004,2.004,2600
2013-03-11,1362960000,2.004,2.004,2.004,2.004,0
2013-03-12,1363046400,2.004,2.004,2.004,2.004,20300
2013-03-13,1363132800,2.004,2.004,2.004,2.004,3700
2013-03-14,1363219200,2.004,2.004,2.004,2.004,1000
2013-03-15,1363305600,2.004,2.004,2.004,2.004,5200
2013-03-18,1363564800,2.057,2.057,2.057,2.057,100
2013-03-19,1363651200,2.057,2.057,2.057,2.057,0
2013-03-20,1363737600,2.057,2.057,2.057,2.057,8000
2013-03-21,1363824000,2.057,2.057,2.057,2.057,10000
2013-03-22,1363910400,1.899,2.057,1.899,2.004,3100
2013-03-25,1364169600,2.004,2.004,2.004,2.004,0
2013-03-26,1364256000,2.004,2.057,2.004,2.057,1200
2013-03-27,1364342400,1.899,1.899,1.899,1.899,100
2013-03-28,1364428800,1.953,2.057,1.953,2.057,2100
2013-03-29,1364515200,2.057,2.057,2.057,2.057,0
2013-04-01,1364774400,1.953,1.953,1.953,1.953,1300
2013-04-02,1364860800,2.057,2.057,2.057,2.057,2400
2013-04-03,1364947200,1.953,2.057,1.953,2.057,41100
2013-04-04,1365033600,2.057,2.057,2.057,2.057,9000
2013-04-05,1365120000,2.057,2.057,2.004,2.004,3100
2013-04-08,1365379200,2.004,2.004,2.004,2.004,0
2013-04-09,1365465600,2.004,2.057,2.004,2.057,5000
2013-04-10,1365552000,2.004,2.004,2.004,2.004,1000
2013-04-11,1365638400,2.004,2.004,2.004,2.004,3000
2013-04-12,1365724800,1.953,1.953,1.953,1.953,3600
2013-04-15,1365984000,1.899,1.899,1.847,1.847,12400
2013-04-16,1366070400,1.847,1.953,1.847,1.953,11600
2013-04-17,1366156800,1.953,2.004,1.953,2.004,20200
2013-04-18,1366243200,1.953,2.004,1.953,2.004,102400
2013-04-22,1366588800,2.004,2.004,2.004,2.004,0
2013-04-23,1366675200,2.004,2.004,2.004,2.004,0
2013-04-24,1366761600,2.111,2.111,2.111,2.111,1000
2013-04-25,1366848000,1.953,1.953,1.953,1.953,2700
2013-04-26,1366934400,1.953,1.953,1.953,1.953,400
2013-05-02,1367452800,1.899,2.057,1.899,2.057,3100
2013-05-03,1367539200,2.057,2.057,2.057,2.057,400
2013-05-06,1367798400,1.899,2.111,1.899,2.111,14800
2013-05-07,1367884800,2.057,2.057,2.057,2.057,5000
2013-05-08,1367971200,2.057,2.111,2.057,2.111,200
2013-05-09,1368057600,2.111,2.111,2.004,2.111,1900
2013-05-10,1368144000,2.057,2.057,2.057,2.057,2400
2013-05-13,1368403200,2.057,2.057,2.057,2.057,2100
2013-05-14,1368489600,2.057,2.111,2.004,2.004,1700
2013-05-15,1368576000,2.004,2.004,2.004,2.004,600
2013-05-16,1368662400,2.004,2.004,2.004,2.004,100
2013-05-17,1368748800,2.004,2.004,2.004,2.004,400
