date,timestamp,open,high,low,close,volume
2013-01-02,1357084800,7.301,7.301,7.301,7.301,70
2013-01-03,1357171200,7.525,7.525,7.525,7.525,10
2013-01-04,1357257600,7.192,7.192,7.192,7.192,10
2013-01-07,1357516800,7.137,7.137,6.86,6.86,20
2013-01-08,1357603200,6.638,6.695,6.638,6.695,670
2013-01-09,1357689600,6.472,6.916,6.472,6.916,1030
2013-01-10,1357776000,6.916,6.916,6.916,6.916,0
2013-01-11,1357862400,6.582,6.86,6.582,6.805,1010
2013-01-14,1358121600,6.805,6.805,6.805,6.805,0
2013-01-15,1358208000,6.582,6.582,6.362,6.362,30
2013-01-16,1358294400,6.695,6.695,6.695,6.695,30
2013-01-17,1358380800,6.695,6.695,6.695,6.695,0
2013-01-18,1358467200,6.695,6.695,6.695,6.695,0
2013-01-21,1358726400,6.695,6.695,6.695,6.695,0
2013-01-22,1358812800,6.307,6.307,6.307,6.307,20
2013-01-23,1358899200,6.695,6.695,6.695,6.695,10
2013-01-24,1358985600,6.307,6.638,6.252,6.638,700
2013-01-25,1359072000,6.362,6.582,6.362,6.582,4890
2013-01-28,1359331200,6.638,6.805,6.638,6.805,570
2013-01-29,1359417600,6.638,6.749,6.638,6.749,32140
2013-01-30,1359504000,6.695,6.805,6.695,6.805,8130
2013-01-31,1359590400,6.695,6.805,6.638,6.805,5420
2013-02-01,1359676800,6.638,6.805,6.638,6.805,1430
2013-02-04,1359936000,6.805,7.248,6.805,7.248,3000
2013-02-05,1360022400,6.972,6.972,6.916,6.916,9070
2013-02-06,1360108800,6.638,7.301,6.638,7.301,540
2013-02-07,1360195200,7.358,7.745,7.358,7.745,220
2013-02-08,1360281600,7.248,7.69,7.248,7.69,5040
2013-02-18,1361145600,7.248,7.855,7.248,7.69,13220
2013-02-19,1361232000,7.301,7.911,7.301,7.911,900
2013-02-20,1361318400,8.41,8.41,8.41,8.41,10
2013-02-21,1361404800,7.911,8.297,7.911,8.297,40
2013-02-22,1361491200,8.297,8.297,8.297,8.297,0
2013-02-25,1361750400,7.855,8.021,7.745,8.021,12670
2013-02-26,1361836800,8.464,8.464,7.579,7.579,3610
2013-02-27,1361923200,7.69,7.69,7.69,7.69,50
2013-02-28,1362009600,7.468,7.525,7.468,7.468,900
2013-03-01,1362096000,7.8,7.8,7.248,7.248,210
2013-03-04,1362355200,7.69,7.69,7.69,7.69,50
2013-03-05,1362441600,7.69,7.69,7.69,7.69,0
2013-03-06,1362528000,7.911,7.911,7.911,7.911,10
2013-03-07,1362614400,8.132,8.132,8.132,8.132,10
2013-03-08,1362700800,8.132,8.132,8.132,8.132,0
2013-03-11,1362960000,7.579,7.966,7.579,7.966,420
2013-03-12,1363046400,8.243,8.243,8.243,8.243,10
2013-03-13,1363132800,8.243,8.243,8.243,8.243,0
2013-03-14,1363219200,8.243,8.243,8.243,8.243,0
2013-03-15,1363305600,8.575,8.575,7.69,7.69,5810
2013-03-18,1363564800,7.966,8.021,7.966,8.021,20
2013-03-19,1363651200,7.525,7.525,7.468,7.468,13500
2013-03-20,1363737600,7.8,7.855,7.192,7.855,5040
2013-03-21,1363824000,8.021,8.021,7.358,8.021,6620
2013-03-22,1363910400,8.021,8.021,7.468,8.021,6300
2013-03-25,1364169600,7.525,7.745,7.468,7.745,7010
2013-03-26,1364256000,7.358,7.745,7.358,7.358,5880
2013-03-27,1364342400,7.8,7.8,7.8,7.8,20
2013-03-28,1364428800,8.243,8.297,8.243,8.297,22450
2013-03-29,1364515200,8.63,8.63,8.63,8.63,10
2013-04-01,1364774400,8.685,8.742,8.685,8.742,30
2013-04-02,1364860800,8.742,8.742,8.742,8.742,0
2013-04-03,1364947200,8.132,8.132,8.132,8.132,1570
2013-04-04,1365033600,7.745,7.745,7.579,7.579,2440
