date,timestamp,open,high,low,close,volume
2014-01-02,1388620800,11.49,12.016,11.49,12.016,7760
2014-01-03,1388707200,12.016,12.148,12.016,12.148,39240
2014-01-06,1388966400,12.344,12.344,12.213,12.213,35110
2014-01-07,1389052800,11.36,12.148,11.36,12.148,110
2014-01-08,1389139200,11.556,12.148,11.556,12.148,1810
2014-01-09,1389225600,11.556,11.82,11.556,11.82,710
2014-01-10,1389312000,11.82,11.82,11.82,11.82,1010
2014-01-13,1389571200,11.49,11.49,11.162,11.162,10740
2014-01-14,1389657600,11.162,11.82,10.833,11.82,21700
2014-01-15,1389744000,11.49,11.49,11.426,11.426,600
2014-01-16,1389830400,11.426,11.426,11.426,11.426,0
2014-01-17,1389916800,11.293,11.426,11.097,11.426,1100
2014-01-20,1390176000,11.426,11.426,11.162,11.426,13600
2014-01-21,1390262400,11.162,11.162,11.162,11.162,6250
2014-01-22,1390348800,10.966,11.162,10.966,11.162,1420
2014-01-23,1390435200,11.426,11.426,11.426,11.426,200
2014-01-24,1390521600,11.49,11.556,11.49,11.49,21990
2014-01-27,1390780800,11.49,11.556,11.49,11.556,17000
2014-02-06,1391644800,11.556,11.556,11.556,11.556,6600
2014-02-07,1391731200,11.556,11.556,11.556,11.556,0
2014-02-10,1391990400,11.49,11.49,11.49,11.49,5500
2014-02-11,1392076800,10.703,12.148,10.703,11.556,133100
2014-02-12,1392163200,11.688,11.688,10.9,10.9,1060
2014-02-13,1392249600,11.49,11.49,11.49,11.49,1200
2014-02-14,1392336000,11.556,11.622,11.556,11.622,2010
2014-02-17,1392595200,11.36,11.49,11.36,11.49,5150
2014-02-18,1392681600,11.49,11.49,11.49,11.49,6000
2014-02-19,1392768000,11.754,12.213,11.754,12.213,10980
2014-02-20,1392854400,12.476,12.476,11.49,11.49,3140
2014-02-21,1392940800,11.49,11.82,11.49,11.82,10120
2014-02-24,1393200000,11.754,12.148,11.36,11.36,7000
2014-02-25,1393286400,11.95,11.95,11.95,11.95,30
2014-02-26,1393372800,11.95,12.081,11.688,11.95,13500
2014-02-27,1393459200,11.95,12.739,11.95,12.739,30
2014-02-28,1393545600,12.476,12.672,12.344,12.344,5570
2014-03-03,1393804800,12.344,12.344,12.344,12.344,0
2014-03-04,1393891200,12.344,12.344,12.344,12.344,10
2014-03-05,1393977600,12.41,13.198,11.556,12.148,2120
2014-03-06,1394064000,12.935,12.935,12.542,12.542,30
2014-03-07,1394150400,12.542,12.542,12.148,12.148,1960
2014-03-10,1394409600,12.148,12.148,12.016,12.016,6500
2014-03-11,1394496000,11.556,12.016,11.556,12.016,640
2014-03-12,1394582400,12.476,12.476,11.556,12.41,30
2014-03-13,1394668800,13.198,13.264,11.82,12.148,2680
2014-03-14,1394755200,12.41,12.41,11.82,12.148,2030
2014-03-17,1395014400,12.148,12.148,12.148,12.148,10
2014-03-18,1395100800,11.82,12.148,11.82,12.148,1350
2014-03-19,1395187200,12.148,12.148,11.82,12.148,720
2014-03-20,1395273600,12.476,12.476,11.82,11.82,4240
2014-03-21,1395360000,12.607,12.607,11.885,12.148,16530
2014-03-24,1395619200,12.697,12.697,12.49,12.558,2740
2014-03-25,1395705600,12.558,12.558,12.558,12.558,0
2014-03-26,1395792000,12.833,12.833,12.833,12.833,10
2014-03-27,1395878400,12.353,12.353,12.353,12.353,550
2014-03-28,1395964800,12.353,12.353,12.01,12.01,1370
2014-03-31,1396224000,12.628,12.628,12.628,12.628,20
2014-04-01,1396310400,12.628,12.628,12.628,12.628,0
2014-04-02,1396396800,12.01,12.353,12.01,12.353,1700
2014-04-03,1396483200,12.353,12.353,12.353,12.353,10
2014-04-04,1396569600,12.353,12.353,12.284,12.284,3320
2014-04-07,1396828800,12.284,12.284,12.284,12.284,50
2014-04-08,1396915200,12.284,12.284,12.284,12.284,0
2014-04-10,1397088000,12.078,12.078,11.804,11.804,970
