date,timestamp,open,high,low,close,volume
2014-01-02,1388620800,6.787,6.96,6.613,6.787,2929200
2014-01-03,1388707200,6.787,6.874,6.7,6.7,2414300
2014-01-06,1388966400,6.7,7.135,6.613,6.96,4153170
2014-01-07,1389052800,7.048,7.048,6.787,6.787,2420690
2014-01-08,1389139200,6.787,6.96,6.787,6.874,1934340
2014-01-09,1389225600,6.96,6.96,6.787,6.874,2528940
2014-01-10,1389312000,6.96,7.309,6.96,6.96,5028900
2014-01-13,1389571200,6.96,7.135,6.874,6.96,2916730
2014-01-14,1389657600,6.96,7.048,6.874,6.96,1795040
2014-01-15,1389744000,7.048,7.135,6.874,6.874,5197960
2014-01-16,1389830400,6.874,6.96,6.7,6.7,2771110
2014-01-17,1389916800,6.787,6.874,6.613,6.7,3018490
2014-01-20,1390176000,6.525,6.613,6.264,6.264,5993390
2014-01-21,1390262400,6.09,6.438,6.09,6.438,2124960
2014-01-22,1390348800,6.351,6.525,6.264,6.264,1629840
2014-01-23,1390435200,6.264,6.525,6.177,6.438,1544920
2014-01-24,1390521600,6.438,6.525,6.351,6.438,1283150
2014-01-27,1390780800,6.438,6.613,6.438,6.525,1878320
2014-02-06,1391644800,6.613,6.787,6.613,6.7,1914750
2014-02-07,1391731200,6.787,6.787,6.613,6.7,2193580
2014-02-10,1391990400,6.7,6.874,6.613,6.874,2129850
2014-02-11,1392076800,7.048,7.135,6.787,6.874,3560040
2014-02-12,1392163200,6.874,6.96,6.787,6.96,2201920
2014-02-13,1392249600,7.048,7.221,6.874,6.96,4391050
2014-02-14,1392336000,7.048,7.135,6.96,7.048,3281340
2014-02-17,1392595200,6.96,7.221,6.874,7.048,3142890
2014-02-18,1392681600,7.135,7.482,7.048,7.482,6591970
2014-02-19,1392768000,7.57,7.57,7.309,7.482,3588890
2014-02-20,1392854400,7.396,7.57,6.96,6.96,7357120
2014-02-21,1392940800,6.96,7.048,6.7,6.96,2616190
2014-02-24,1393200000,6.96,7.221,6.874,7.135,3450680
2014-02-25,1393286400,7.135,7.309,7.135,7.221,3152590
2014-02-26,1393372800,7.221,7.309,7.048,7.221,2536510
2014-02-27,1393459200,7.221,7.657,7.135,7.221,8691580
2014-02-28,1393545600,7.309,7.396,7.135,7.309,2842130
2014-03-03,1393804800,7.396,7.482,7.048,7.135,3820780
2014-03-04,1393891200,7.048,7.221,6.874,7.135,3747780
2014-03-05,1393977600,7.221,7.309,7.135,7.135,2294470
2014-03-06,1394064000,7.221,7.482,7.221,7.396,4785840
2014-03-07,1394150400,7.396,7.657,7.396,7.57,5745420
2014-03-10,1394409600,7.657,8.092,7.57,7.917,6879000
2014-03-11,1394496000,7.917,8.092,7.743,7.831,6182550
2014-03-12,1394582400,7.831,7.831,7.396,7.57,7061290
2014-03-13,1394668800,7.657,7.743,7.482,7.743,3804560
2014-03-14,1394755200,7.743,7.917,7.57,7.657,3002840
2014-03-17,1395014400,7.831,8.004,7.743,7.831,5569930
2014-03-18,1395100800,8.004,8.092,7.831,7.831,9454570
2014-03-19,1395187200,7.657,7.917,7.57,7.917,7906990
2014-03-20,1395273600,8.004,8.092,7.743,7.917,4376280
2014-03-21,1395360000,7.917,8.178,7.831,8.178,8207290
2014-03-24,1395619200,8.265,8.7,8.178,8.7,9459270
2014-03-25,1395705600,8.7,8.874,8.439,8.526,6829440
2014-03-26,1395792000,8.7,8.874,8.092,8.439,10374920
2014-03-27,1395878400,8.439,8.526,8.178,8.439,5078690
2014-03-28,1395964800,8.7,8.787,8.439,8.526,6554330
2014-03-31,1396224000,8.613,8.613,8.265,8.353,3226670
2014-04-01,1396310400,8.265,8.265,7.831,7.831,5029070
2014-04-02,1396396800,7.831,7.917,7.309,7.482,6103600
2014-04-03,1396483200,7.57,7.917,7.482,7.917,3289260
2014-04-04,1396569600,7.831,7.917,7.57,7.743,1968870
2014-04-07,1396828800,7.657,8.004,7.657,7.831,2442420
2014-04-08,1396915200,7.831,8.004,7.743,7.917,2530340
2014-04-10,1397088000,7.917,8.092,7.743,7.831,2935860
2014-04-11,1397174400,7.743,7.831,7.657,7.743,3049720
2014-04-14,1397433600,7.743,7.831,7.482,7.57,2110850
2014-04-15,1397520000,7.482,7.57,7.048,7.048,4652990
2014-04-16,1397606400,7.048,7.048,6.613,6.787,4043320
2014-04-17,1397692800,6.96,7.048,6.787,6.874,2079600
2014-04-18,1397779200,6.874,6.874,6.438,6.438,3070340
2014-04-21,1398038400,6.264,6.438,6.09,6.09,2891530
2014-04-22,1398124800,6.09,6.438,6.004,6.438,3732600
2014-04-23,1398211200,6.438,6.525,6.177,6.177,2547520
2014-04-24,1398297600,6.177,6.351,6.09,6.264,1554190
2014-04-25,1398384000,6.351,6.438,6.264,6.351,1845140
2014-04-28,1398643200,6.351,6.351,6.09,6.09,1338350
2014-04-29,1398729600,6.09,6.177,6.004,6.09,1794810
2014-05-05,1399248000,6.177,6.177,5.743,5.743,3912470
2014-05-06,1399334400,5.655,5.655,5.394,5.655,3665950
2014-05-07,1399420800,5.568,5.916,5.482,5.655,1743630
2014-05-08,1399507200,5.482,5.482,5.307,5.307,2095480
2014-05-09,1399593600,4.959,5.307,4.959,5.047,4400590
2014-05-12,1399852800,4.786,5.047,4.698,4.698,4420690
2014-05-13,1399939200,4.434,4.614,4.434,4.434,3507440
2014-05-14,1400025600,4.351,4.698,4.351,4.698,4071140
2014-05-15,1400112000,4.698,4.959,4.611,4.872,6997670
2014-05-16,1400198400,4.872,5.133,4.786,5.133,3983690
2014-05-19,1400457600,5.22,5.482,5.133,5.482,5232230
2014-05-20,1400544000,5.568,5.829,5.482,5.829,7067710
2014-05-21,1400630400,6.004,6.177,5.916,6.177,5112500
2014-05-22,1400716800,6.264,6.438,6.004,6.264,6064400
2014-05-23,1400803200,6.09,6.09,5.829,5.829,6308320
2014-05-26,1401062400,5.743,6.09,5.568,6.004,4493460
2014-05-27,1401148800,6.177,6.351,6.004,6.351,8450290
2014-05-28,1401235200,6.525,6.525,6.264,6.264,6168070
2014-05-29,1401321600,6.09,6.351,6.004,6.004,4702690
2014-05-30,1401408000,5.916,6.09,5.743,5.743,4029540
2014-06-02,1401667200,5.743,5.916,5.482,5.568,4102140
2014-06-03,1401753600,5.655,5.829,5.568,5.829,2541170
2014-06-04,1401840000,5.743,5.743,5.482,5.568,3197000
2014-06-05,1401926400,5.482,5.743,5.394,5.655,3212170
2014-06-06,1402012800,5.743,6.004,5.743,6.004,4918340
2014-06-09,1402272000,6.09,6.351,6.004,6.177,5680760
2014-06-10,1402358400,6.09,6.177,5.916,6.004,3723180
2014-06-11,1402444800,5.916,6.177,5.916,6.177,3987840
2014-06-12,1402531200,6.177,6.264,6.004,6.09,2371290
2014-06-13,1402617600,6.09,6.177,6.004,6.09,1803640
2014-06-16,1402876800,6.177,6.438,6.09,6.438,7251850
2014-06-17,1402963200,6.7,6.874,6.613,6.874,8850900
2014-06-18,1403049600,6.96,7.048,6.7,6.7,5211110
2014-06-19,1403136000,6.525,6.787,6.264,6.7,7344300
2014-06-20,1403222400,6.787,6.874,6.525,6.613,2174900
2014-06-23,1403481600,6.525,6.787,6.438,6.525,2109240
2014-06-24,1403568000,6.525,6.7,6.351,6.613,2579660
2014-06-25,1403654400,6.7,6.874,6.613,6.787,3822610
2014-06-26,1403740800,6.787,6.96,6.7,6.7,4626960
2014-06-27,1403827200,6.874,6.96,6.7,6.787,4711380
2014-06-30,1404086400,6.96,7.221,6.96,7.048,5367250
2014-07-01,1404172800,7.048,7.135,6.96,7.048,2743050
2014-07-02,1404259200,7.048,7.221,6.96,7.221,5493340
2014-07-03,1404345600,7.309,7.396,7.221,7.309,4615380
2014-07-04,1404432000,7.309,7.482,7.309,7.396,5304640
2014-07-07,1404691200,7.221,7.482,7.221,7.396,6781670
2014-07-08,1404777600,7.396,7.396,7.221,7.309,2212140
2014-07-09,1404864000,7.396,7.482,7.309,7.482,2652430
2014-07-10,1404950400,7.396,7.482,7.048,7.221,6278450
2014-07-11,1405036800,7.221,7.309,7.048,7.221,2204580
2014-07-14,1405296000,7.221,7.309,7.135,7.221,1753770
2014-07-15,1405382400,7.309,7.396,7.135,7.221,4166800
2014-07-16,1405468800,7.309,7.396,7.135,7.135,6487030
2014-07-17,1405555200,7.048,7.135,6.96,7.048,8160690
2014-07-18,1405641600,6.96,7.221,6.96,7.221,11427440
2014-07-21,1405900800,7.221,7.396,7.048,7.221,8614440
2014-07-22,1405987200,7.135,7.135,6.96,7.048,2859990
2014-07-23,1406073600,7.048,7.048,6.874,6.96,2259040
2014-07-24,1406160000,6.96,6.96,6.874,6.874,3871370
2014-07-25,1406246400,6.874,6.96,6.613,6.613,3881150
2014-07-28,1406505600,6.525,6.525,6.177,6.177,4679060
2014-07-29,1406592000,6.264,6.438,6.177,6.438,2805510
2014-07-30,1406678400,6.438,6.613,6.438,6.438,2167340
2014-07-31,1406764800,6.525,6.874,6.525,6.874,3870180
2014-08-01,1406851200,6.96,6.96,6.7,6.7,2547330
2014-08-04,1407110400,6.613,6.787,6.613,6.613,3121030
2014-08-05,1407196800,6.613,6.874,6.613,6.787,2169100
2014-08-06,1407283200,6.787,6.874,6.7,6.7,4047510
2014-08-07,1407369600,6.7,6.874,6.613,6.874,3895240
2014-08-08,1407456000,6.96,7.135,6.787,7.048,6084610
2014-08-11,1407715200,7.048,7.048,6.874,6.96,2201880
2014-08-12,1407801600,6.874,7.048,6.787,6.787,3895100
2014-08-13,1407888000,6.874,7.135,6.787,7.048,4167700
2014-08-14,1407974400,7.135,7.135,6.874,6.96,4246230
2014-08-15,1408060800,6.96,7.048,6.874,7.048,3049450
2014-08-18,1408320000,7.048,7.221,7.048,7.048,4031340
2014-08-19,1408406400,7.135,7.221,6.96,6.96,7542390
2014-08-20,1408492800,7.048,7.135,6.96,6.96,3348630
2014-08-21,1408579200,7.048,7.048,6.874,6.96,2846150
2014-08-22,1408665600,6.96,7.135,6.874,6.96,3856430
2014-08-25,1408924800,7.135,7.309,7.135,7.221,7267870
2014-08-26,1409011200,7.221,7.221,7.048,7.048,3270710
2014-08-27,1409097600,7.135,7.396,7.048,7.221,7166180
2014-08-28,1409184000,7.221,7.221,7.135,7.135,4968100
2014-08-29,1409270400,7.221,7.309,7.135,7.221,4649920
2014-09-03,1409702400,7.396,7.657,7.396,7.57,7634130
2014-09-04,1409788800,7.482,7.57,7.309,7.396,4281130
2014-09-05,1409875200,7.396,7.482,7.309,7.482,3287230
2014-09-08,1410134400,7.57,7.57,7.309,7.396,3343380
2014-09-09,1410220800,7.396,7.396,6.96,6.96,10071640
2014-09-10,1410307200,6.96,7.048,6.787,7.048,3608830
2014-09-11,1410393600,7.048,7.135,6.96,7.048,2066850
2014-09-12,1410480000,7.048,7.135,6.96,7.135,2086680
2014-09-15,1410739200,7.135,7.135,6.874,6.874,2706400
2014-09-16,1410825600,6.874,7.135,6.874,7.048,6761000
2014-09-17,1410912000,7.221,7.221,7.048,7.135,4380940
2014-09-18,1410998400,7.135,7.135,6.787,6.787,3300580
2014-09-19,1411084800,6.874,6.96,6.787,6.874,1973430
2014-09-22,1411344000,6.874,6.96,6.787,6.787,1252110
2014-09-23,1411430400,6.787,6.96,6.7,6.787,2496370
2014-09-24,1411516800,6.874,6.96,6.787,6.787,1628540
2014-09-25,1411603200,6.787,6.874,6.7,6.874,1467430
2014-09-26,1411689600,6.96,7.048,6.874,6.874,1384350
2014-09-29,1411948800,6.874,6.96,6.787,6.874,1811550
2014-09-30,1412035200,6.787,6.96,6.787,6.874,2570160
2014-10-01,1412121600,6.96,7.135,6.96,7.048,4627590
2014-10-02,1412208000,7.135,7.309,7.135,7.221,5270680
2014-10-03,1412294400,7.309,7.396,7.135,7.221,3537720
2014-10-06,1412553600,7.221,7.482,7.135,7.396,7621940
2014-10-07,1412640000,7.482,7.743,7.482,7.657,9913980
2014-10-08,1412726400,7.657,7.657,7.396,7.396,3960570
2014-10-09,1412812800,7.482,7.57,7.309,7.396,5292130
2014-10-10,1412899200,7.396,7.396,7.135,7.221,4349850
