date,timestamp,open,high,low,close,volume
2014-01-02,1388620800,7.51,7.51,7.51,7.51,2460
2014-01-03,1388707200,7.379,7.51,7.314,7.51,23240
2014-01-06,1388966400,7.51,7.51,7.314,7.443,22510
2014-01-07,1389052800,7.443,7.51,7.314,7.379,13820
2014-01-08,1389139200,7.379,7.443,7.314,7.443,15020
2014-01-09,1389225600,7.379,7.443,7.314,7.443,21580
2014-01-10,1389312000,7.443,7.443,7.379,7.443,2700
2014-01-13,1389571200,7.443,7.443,7.183,7.249,12490
2014-01-14,1389657600,7.183,7.639,7.183,7.443,81160
2014-01-15,1389744000,7.574,7.639,7.443,7.574,74480
2014-01-16,1389830400,7.574,7.574,7.379,7.574,32100
2014-01-17,1389916800,7.574,7.639,7.51,7.51,78960
2014-01-20,1390176000,7.443,7.639,7.443,7.574,38900
2014-01-21,1390262400,7.639,7.704,7.51,7.639,4610
2014-01-22,1390348800,7.639,7.966,7.639,7.835,189440
2014-01-23,1390435200,7.966,7.966,7.77,7.901,18460
2014-01-24,1390521600,8.031,8.161,7.901,7.966,182660
2014-01-27,1390780800,8.031,8.294,8.031,8.161,184670
2014-02-06,1391644800,8.161,8.228,8.031,8.161,76210
2014-02-07,1391731200,8.031,8.294,7.835,7.835,324050
2014-02-10,1391990400,7.835,8.096,7.835,8.031,182330
2014-02-11,1392076800,7.901,8.228,7.901,8.031,165880
2014-02-12,1392163200,7.901,8.096,7.901,8.096,98010
2014-02-13,1392249600,8.096,8.161,7.966,8.096,86930
2014-02-14,1392336000,8.031,8.161,8.031,8.096,98260
2014-02-17,1392595200,8.031,8.161,7.966,8.161,170140
2014-02-18,1392681600,8.161,8.228,8.031,8.228,72340
2014-02-19,1392768000,8.228,8.489,8.161,8.489,638030
2014-02-20,1392854400,8.62,8.685,7.901,7.966,446660
2014-02-21,1392940800,8.27,8.474,8.27,8.27,87400
2014-02-24,1393200000,8.27,8.474,8.069,8.069,171800
2014-02-25,1393286400,8.202,8.202,7.999,8.069,80960
2014-02-26,1393372800,8.135,8.135,8.069,8.069,140720
2014-02-27,1393459200,8.135,8.27,7.999,8.069,223640
2014-02-28,1393545600,7.999,8.202,7.999,8.135,56490
2014-03-03,1393804800,8.135,8.135,7.932,7.999,74040
2014-03-04,1393891200,7.932,7.999,7.864,7.999,80350
2014-03-05,1393977600,8.069,8.135,7.932,7.999,81030
2014-03-06,1394064000,7.999,8.069,7.932,7.999,158690
2014-03-07,1394150400,7.999,8.069,7.999,8.069,25420
2014-03-10,1394409600,8.069,8.069,7.999,8.069,124090
2014-03-11,1394496000,8.069,8.069,7.932,7.999,97370
2014-03-12,1394582400,8.069,8.135,7.864,7.932,118880
2014-03-13,1394668800,7.999,8.069,7.932,7.999,59020
2014-03-14,1394755200,7.932,8.069,7.932,7.932,52950
2014-03-17,1395014400,7.932,7.999,7.932,7.999,110370
2014-03-18,1395100800,7.999,8.069,7.932,8.069,163950
2014-03-19,1395187200,8.069,8.541,8.069,8.541,391700
2014-03-20,1395273600,8.541,8.611,8.202,8.27,167660
2014-03-21,1395360000,8.27,8.407,8.27,8.27,122950
2014-03-24,1395619200,8.339,8.407,8.202,8.339,317650
2014-03-25,1395705600,8.407,8.541,8.339,8.474,320530
2014-03-26,1395792000,8.541,8.611,8.202,8.202,160370
2014-03-27,1395878400,8.339,8.339,7.999,8.27,78400
2014-03-28,1395964800,8.339,8.339,7.999,7.999,227390
2014-03-31,1396224000,8.135,8.474,7.999,7.999,169000
2014-04-01,1396310400,8.202,8.202,7.796,7.796,89360
2014-04-02,1396396800,7.932,7.932,7.661,7.661,120950
2014-04-03,1396483200,7.796,7.864,7.661,7.728,112920
2014-04-04,1396569600,7.796,7.796,7.728,7.728,59280
2014-04-07,1396828800,7.932,7.932,7.728,7.728,56910
2014-04-08,1396915200,7.728,7.999,7.661,7.796,116340
2014-04-10,1397088000,7.932,7.932,7.661,7.661,32710
2014-04-11,1397174400,7.796,7.999,7.661,7.864,81160
2014-04-14,1397433600,8.069,8.069,7.661,7.661,39710
2014-04-15,1397520000,7.796,7.864,7.661,7.661,138510
2014-04-16,1397606400,7.728,7.728,7.389,7.457,214470
2014-04-17,1397692800,7.661,7.661,7.525,7.661,50980
2014-04-18,1397779200,7.796,7.796,7.457,7.457,92240
2014-04-21,1398038400,7.593,7.593,7.186,7.322,111030
2014-04-22,1398124800,7.593,7.593,7.389,7.457,13590
2014-04-23,1398211200,7.457,7.457,7.186,7.457,5000
2014-04-24,1398297600,7.661,7.661,7.389,7.457,1480
