date,timestamp,open,high,low,close,volume
2014-01-02,1388620800,3.295,3.295,3.295,3.295,100
2014-01-03,1388707200,3.295,3.378,3.295,3.378,39300
2014-01-06,1388966400,3.503,3.503,3.336,3.419,17500
2014-01-07,1389052800,3.461,3.461,3.128,3.336,78200
2014-01-08,1389139200,3.336,3.503,3.336,3.461,79500
2014-01-09,1389225600,3.461,3.461,3.461,3.461,800
2014-01-10,1389312000,3.461,3.461,3.461,3.461,0
2014-01-13,1389571200,3.461,3.461,3.336,3.461,1600
2014-01-14,1389657600,3.336,3.336,3.295,3.295,14800
2014-01-15,1389744000,3.336,3.336,3.295,3.336,4700
2014-01-16,1389830400,3.336,3.336,3.336,3.336,5600
2014-01-17,1389916800,3.336,3.336,3.336,3.336,2000
2014-01-20,1390176000,3.254,3.336,3.254,3.336,11100
2014-01-21,1390262400,3.295,3.295,3.295,3.295,5000
2014-01-22,1390348800,3.254,3.254,3.254,3.254,600
2014-01-23,1390435200,3.254,3.254,3.254,3.254,0
2014-01-24,1390521600,3.254,3.254,3.254,3.254,0
2014-01-27,1390780800,3.211,3.545,3.211,3.254,13000
2014-02-06,1391644800,3.336,3.461,3.336,3.378,39400
2014-02-07,1391731200,3.503,3.711,3.419,3.586,12400
2014-02-10,1391990400,3.545,3.878,3.545,3.753,38300
2014-02-11,1392076800,3.794,3.878,3.669,3.794,55500
2014-02-12,1392163200,3.753,3.753,3.669,3.669,2700
2014-02-13,1392249600,3.711,3.711,3.711,3.711,700
2014-02-14,1392336000,3.503,3.753,3.378,3.753,23000
2014-02-17,1392595200,3.461,3.753,3.461,3.753,16000
2014-02-18,1392681600,3.753,3.92,3.753,3.92,94000
2014-02-19,1392768000,3.878,3.92,3.503,3.753,40600
2014-02-20,1392854400,3.753,3.753,3.711,3.753,4600
2014-02-21,1392940800,3.753,3.753,3.753,3.753,100
2014-02-24,1393200000,3.711,3.753,3.669,3.711,31700
2014-02-25,1393286400,3.669,3.669,3.669,3.669,13500
2014-02-26,1393372800,3.753,3.837,3.753,3.837,42000
2014-02-27,1393459200,3.794,3.794,3.753,3.794,9100
2014-02-28,1393545600,3.753,3.753,3.711,3.711,15000
2014-03-03,1393804800,3.669,3.711,3.669,3.669,21420
2014-03-04,1393891200,3.753,3.753,3.378,3.711,13300
2014-03-05,1393977600,3.753,3.753,3.669,3.669,27800
2014-03-06,1394064000,3.837,4.045,3.378,3.669,69260
2014-03-07,1394150400,3.586,4.128,3.545,4.086,108500
2014-03-10,1394409600,4.045,4.128,3.878,4.045,24720
2014-03-11,1394496000,4.086,4.128,4.002,4.002,33800
2014-03-12,1394582400,4.002,4.336,4.002,4.253,83000
2014-03-13,1394668800,4.17,4.17,4.17,4.17,100
2014-03-14,1394755200,4.17,4.17,3.837,3.837,7900
2014-03-17,1395014400,3.961,4.045,3.878,3.878,7280
2014-03-18,1395100800,3.878,4.17,3.753,4.17,13960
2014-03-19,1395187200,3.92,4.17,3.92,4.17,149620
2014-03-20,1395273600,4.128,4.253,4.086,4.086,73060
2014-03-21,1395360000,4.086,4.294,4.086,4.17,132400
2014-03-24,1395619200,4.086,4.128,4.002,4.045,5600
2014-03-25,1395705600,4.128,4.378,3.753,4.211,364600
2014-03-26,1395792000,4.336,4.462,4.253,4.253,99100
2014-03-27,1395878400,4.462,4.462,4.086,4.086,19500
2014-03-28,1395964800,4.253,4.754,4.253,4.378,84500
2014-03-31,1396224000,4.211,4.253,4.045,4.253,22100
2014-04-01,1396310400,4.128,4.17,4.002,4.086,26300
2014-04-02,1396396800,3.794,4.17,3.794,4.17,15200
2014-04-03,1396483200,3.878,4.17,3.628,4.086,18200
2014-04-04,1396569600,3.92,3.92,3.503,3.503,29600
2014-04-07,1396828800,3.628,3.837,3.628,3.837,8500
2014-04-08,1396915200,3.794,3.837,3.794,3.837,1500
2014-04-10,1397088000,3.837,3.837,3.669,3.669,9500
2014-04-11,1397174400,3.753,3.961,3.753,3.837,16900
2014-04-14,1397433600,3.92,3.92,3.92,3.92,3400
2014-04-15,1397520000,3.92,3.92,3.92,3.92,2000
2014-04-16,1397606400,3.92,3.92,3.92,3.92,0
2014-04-17,1397692800,3.753,3.961,3.753,3.961,3300
2014-04-18,1397779200,3.753,3.753,3.503,3.711,4800
2014-04-21,1398038400,3.753,3.92,3.753,3.92,1500
2014-04-22,1398124800,3.794,3.794,3.794,3.794,0
2014-04-23,1398211200,3.878,3.878,3.878,3.878,400
2014-04-24,1398297600,3.545,3.753,3.545,3.753,1300
2014-04-25,1398384000,3.753,3.753,3.753,3.753,100
2014-04-28,1398643200,3.753,3.753,3.753,3.753,100
2014-04-29,1398729600,3.503,3.669,3.503,3.669,2300
2014-05-05,1399248000,3.586,3.669,3.586,3.628,3100
2014-05-06,1399334400,3.461,3.461,3.295,3.336,15400
2014-05-07,1399420800,3.378,3.378,3.336,3.336,18900
2014-05-08,1399507200,3.336,3.336,3.003,3.003,25800
2014-05-09,1399593600,3.295,3.336,3.295,3.336,9000
2014-05-12,1399852800,3.211,3.211,3.128,3.211,3700
2014-05-13,1399939200,3.254,3.254,3.086,3.128,20200
2014-05-14,1400025600,3.128,3.336,3.128,3.336,56300
2014-05-15,1400112000,3.211,3.378,3.211,3.378,22900
2014-05-16,1400198400,3.295,3.419,3.295,3.419,10900
2014-05-19,1400457600,3.336,3.378,3.336,3.378,5000
2014-05-20,1400544000,3.378,3.586,3.336,3.586,15900
2014-05-21,1400630400,3.545,3.545,3.545,3.545,100
