date,timestamp,open,high,low,close,volume
2015-01-05,1420416000,8.128,8.4,8.128,8.4,2010
2015-01-06,1420502400,8.128,8.128,8.128,8.128,3470
2015-01-07,1420588800,8.128,8.128,8.128,8.128,0
2015-01-08,1420675200,7.858,8.238,7.858,8.128,4510
2015-01-09,1420761600,8.183,8.238,8.183,8.238,1050
2015-01-12,1421020800,8.292,8.4,8.292,8.4,2540
2015-01-13,1421107200,8.4,8.4,8.4,8.4,2680
2015-01-14,1421193600,8.4,8.4,8.4,8.4,1000
2015-01-15,1421280000,8.4,8.4,8.4,8.4,2000
2015-01-16,1421366400,8.4,8.4,8.4,8.4,2000
2015-01-19,1421625600,8.4,8.4,8.4,8.4,3330
2015-01-20,1421712000,8.347,8.4,8.347,8.4,6670
2015-01-21,1421798400,8.4,8.4,8.4,8.4,0
2015-01-22,1421884800,8.238,8.671,8.238,8.671,1010
2015-01-23,1421971200,8.671,8.671,8.671,8.671,0
2015-01-26,1422230400,8.671,8.671,8.4,8.671,90
2015-01-27,1422316800,8.454,8.454,8.4,8.4,2000
2015-01-28,1422403200,8.4,8.4,8.4,8.4,0
2015-01-29,1422489600,8.4,8.4,8.4,8.4,0
2015-01-30,1422576000,8.4,8.4,8.4,8.4,0
2015-02-02,1422835200,8.4,8.4,8.4,8.4,1040
2015-02-03,1422921600,8.4,8.4,8.4,8.4,990
2015-02-04,1423008000,8.4,8.4,8.4,8.4,0
2015-02-05,1423094400,8.4,8.4,8.4,8.4,0
2015-02-06,1423180800,8.4,8.4,8.347,8.347,2500
2015-02-09,1423440000,8.347,8.4,8.347,8.4,3240
2015-02-10,1423526400,8.563,8.563,8.563,8.563,100
2015-02-11,1423612800,8.563,8.563,8.563,8.563,0
2015-02-12,1423699200,8.563,8.563,8.563,8.563,0
2015-02-13,1423785600,8.671,8.671,8.671,8.671,1930
2015-02-24,1424736000,9.268,9.268,9.268,9.268,4530
2015-02-25,1424822400,9.268,9.485,9.268,9.485,3990
2015-02-26,1424908800,9.539,9.755,9.539,9.755,7060
2015-02-27,1424995200,9.755,9.755,9.755,9.755,270
2015-03-02,1425254400,9.755,9.755,9.755,9.755,0
2015-03-03,1425340800,9.485,9.485,9.485,9.485,100
2015-03-04,1425427200,9.485,9.755,9.485,9.755,4050
2015-03-05,1425513600,9.755,9.755,9.755,9.755,10
2015-03-06,1425600000,9.7,9.7,9.485,9.7,2210
2015-03-09,1425859200,9.7,9.7,9.7,9.7,0
2015-03-10,1425945600,9.593,9.593,9.485,9.485,1910
2015-03-11,1426032000,9.213,9.213,9.213,9.213,20
2015-03-12,1426118400,9.213,9.485,8.996,9.485,160
2015-03-13,1426204800,9.213,9.213,9.213,9.213,300
2015-03-16,1426464000,9.213,9.213,9.213,9.213,0
2015-03-17,1426550400,8.78,8.78,8.78,8.78,500
2015-03-18,1426636800,8.888,8.888,8.888,8.888,800
2015-03-19,1426723200,8.888,8.888,8.888,8.888,0
2015-03-20,1426809600,8.888,8.888,8.888,8.888,0
2015-03-23,1427068800,8.942,9.485,8.942,9.485,20
2015-03-24,1427155200,9.485,9.485,9.485,9.485,0
2015-03-25,1427241600,9.863,9.863,9.863,9.863,10
2015-03-26,1427328000,9.755,9.755,9.755,9.755,10
