date,timestamp,open,high,low,close,volume
2015-01-05,1420416000,5.631,5.764,5.562,5.562,126620
2015-01-06,1420502400,5.496,5.697,5.429,5.697,157500
2015-01-07,1420588800,5.697,5.764,5.631,5.631,177818
2015-01-08,1420675200,5.631,5.631,5.496,5.631,85800
2015-01-09,1420761600,5.562,5.697,5.562,5.697,130600
2015-01-12,1421020800,5.631,5.697,5.496,5.562,120000
2015-01-13,1421107200,5.562,5.631,5.496,5.496,105000
2015-01-14,1421193600,5.562,5.562,5.429,5.496,245900
2015-01-15,1421280000,5.562,5.697,5.562,5.631,137000
2015-01-16,1421366400,5.631,5.898,5.631,5.764,751500
2015-01-19,1421625600,5.764,5.831,5.697,5.697,136451
2015-01-20,1421712000,5.697,5.764,5.697,5.764,189600
2015-01-21,1421798400,5.764,5.831,5.631,5.631,129050
2015-01-22,1421884800,5.697,5.764,5.631,5.697,121910
2015-01-23,1421971200,5.764,5.764,5.697,5.697,108100
2015-01-26,1422230400,5.764,5.831,5.697,5.697,303220
2015-01-27,1422316800,5.764,6.099,5.631,5.965,1297400
2015-01-28,1422403200,5.965,6.033,5.831,5.965,191400
2015-01-29,1422489600,5.965,5.965,5.831,5.831,168200
2015-01-30,1422576000,5.831,5.831,5.631,5.697,350850
2015-02-02,1422835200,5.697,5.831,5.631,5.697,309100
2015-02-03,1422921600,5.764,5.764,5.631,5.631,238770
2015-02-04,1423008000,5.631,5.697,5.562,5.631,184200
2015-02-05,1423094400,5.631,5.631,5.562,5.631,129200
2015-02-06,1423180800,5.631,5.697,5.562,5.631,144200
2015-02-09,1423440000,5.631,5.631,5.562,5.562,52610
2015-02-10,1423526400,5.562,5.631,5.496,5.562,93100
2015-02-11,1423612800,5.562,5.697,5.562,5.697,133020
2015-02-12,1423699200,5.697,5.831,5.631,5.764,174250
2015-02-13,1423785600,5.764,5.764,5.631,5.697,75100
2015-02-24,1424736000,5.764,5.764,5.697,5.697,46900
2015-02-25,1424822400,5.697,5.764,5.697,5.697,210600
2015-02-26,1424908800,5.697,5.764,5.697,5.764,110400
2015-02-27,1424995200,5.697,5.764,5.697,5.764,239200
2015-03-02,1425254400,5.697,5.831,5.631,5.697,331100
2015-03-03,1425340800,5.161,5.831,5.161,5.831,144300
2015-03-04,1425427200,5.831,6.099,5.831,6.099,765165
2015-03-05,1425513600,6.099,6.233,6.033,6.033,286527
2015-03-06,1425600000,5.965,6.099,5.965,6.033,203300
2015-03-09,1425859200,5.965,5.965,5.831,5.831,210300
2015-03-10,1425945600,5.831,5.898,5.764,5.898,171900
2015-03-11,1426032000,5.898,5.898,5.764,5.831,104800
2015-03-12,1426118400,5.831,5.898,5.831,5.831,59600
2015-03-13,1426204800,5.898,5.965,5.831,5.898,115800
2015-03-16,1426464000,5.898,5.965,5.831,5.898,218500
2015-03-17,1426550400,5.898,5.965,5.831,5.898,180300
2015-03-18,1426636800,5.898,5.898,5.764,5.831,248600
2015-03-19,1426723200,5.831,5.831,5.764,5.831,119700
2015-03-20,1426809600,5.764,5.898,5.764,5.898,128300
2015-03-23,1427068800,5.898,5.898,5.764,5.898,109000
2015-03-24,1427155200,5.764,5.764,5.764,5.764,114300
2015-03-25,1427241600,5.831,5.831,5.697,5.764,61910
2015-03-26,1427328000,5.697,5.764,5.631,5.631,119100
2015-03-27,1427414400,5.697,5.697,5.562,5.562,172050
2015-03-30,1427673600,5.562,5.562,5.496,5.496,121700
2015-03-31,1427760000,5.496,5.631,5.496,5.562,199453
2015-04-01,1427846400,5.562,5.562,5.362,5.429,101400
